footfall_id,store_id,footfall_date,footfall_month,day_of_week,visitor_count,transaction_count,conversion_rate,avg_dwell_time_mins,peak_hour,weather
57,1,2025-04-25,2025-04,Friday,342,78,0.229,19,17:00,Sunny
58,1,2025-04-26,2025-04,Saturday,460,120,0.262,24,14:00,Sunny
59,1,2025-04-29,2025-04,Tuesday,404,101,0.251,24,14:00,Cloudy
60,1,2025-05-01,2025-05,Thursday,339,98,0.29,8,13:00,Rainy
61,1,2025-05-02,2025-05,Friday,298,89,0.301,23,16:00,Cloudy
62,1,2025-05-04,2025-05,Sunday,454,77,0.17,23,13:00,Cloudy
63,1,2025-05-05,2025-05,Monday,239,69,0.292,8,12:00,Rainy
64,1,2025-05-06,2025-05,Tuesday,392,105,0.27,24,13:00,Cloudy
65,1,2025-05-08,2025-05,Thursday,410,111,0.273,9,12:00,Sunny
66,1,2025-05-09,2025-05,Friday,291,48,0.166,10,16:00,Cloudy
67,1,2025-05-12,2025-05,Monday,310,87,0.281,17,15:00,Cloudy
68,1,2025-05-13,2025-05,Tuesday,412,101,0.246,17,13:00,Sunny
69,1,2025-05-14,2025-05,Wednesday,330,59,0.179,22,17:00,Sunny
70,1,2025-05-16,2025-05,Friday,306,105,0.345,17,14:00,Cloudy
71,1,2025-05-19,2025-05,Monday,247,70,0.287,18,13:00,Rainy
72,1,2025-05-21,2025-05,Wednesday,388,74,0.192,23,17:00,Rainy
73,1,2025-05-22,2025-05,Thursday,382,128,0.336,22,15:00,Sunny
74,1,2025-05-25,2025-05,Sunday,425,116,0.274,25,14:00,Sunny
75,1,2025-05-26,2025-05,Monday,280,92,0.331,21,13:00,Sunny
76,1,2025-05-29,2025-05,Thursday,407,91,0.226,18,14:00,Rainy
77,1,2025-05-31,2025-05,Saturday,459,126,0.276,14,15:00,Cold
78,1,2025-06-02,2025-06,Monday,331,93,0.283,20,13:00,Cloudy
79,1,2025-06-03,2025-06,Tuesday,309,102,0.332,16,16:00,Cold
80,1,2025-06-06,2025-06,Friday,360,84,0.235,14,13:00,Sunny
81,1,2025-06-08,2025-06,Sunday,374,83,0.224,22,16:00,Cloudy
82,1,2025-06-10,2025-06,Tuesday,322,68,0.214,11,17:00,Sunny
83,1,2025-06-12,2025-06,Thursday,291,52,0.182,21,15:00,Sunny
84,1,2025-06-14,2025-06,Saturday,453,82,0.182,10,16:00,Cloudy
85,1,2025-06-17,2025-06,Tuesday,346,61,0.179,19,16:00,Cloudy
86,1,2025-06-19,2025-06,Thursday,414,104,0.252,23,16:00,Cloudy
87,1,2025-06-20,2025-06,Friday,358,102,0.286,10,15:00,Cloudy
88,1,2025-06-21,2025-06,Saturday,428,133,0.311,25,15:00,Cloudy
89,1,2025-06-24,2025-06,Tuesday,383,79,0.207,8,16:00,Sunny
90,1,2025-06-25,2025-06,Wednesday,330,79,0.242,9,13:00,Cold
91,1,2025-06-28,2025-06,Saturday,512,98,0.192,12,13:00,Cloudy
92,1,2025-06-29,2025-06,Sunday,409,64,0.157,23,15:00,Cloudy
93,1,2025-06-30,2025-06,Monday,352,105,0.301,21,12:00,Cloudy
94,1,2025-07-03,2025-07,Thursday,378,116,0.309,9,17:00,Sunny
95,1,2025-07-06,2025-07,Sunday,432,121,0.281,18,17:00,Rainy
96,1,2025-07-09,2025-07,Wednesday,316,66,0.21,16,16:00,Sunny
97,1,2025-07-11,2025-07,Friday,325,94,0.29,15,15:00,Cold
98,1,2025-07-13,2025-07,Sunday,400,66,0.165,13,12:00,Cloudy
99,1,2025-07-14,2025-07,Monday,258,49,0.191,16,14:00,Cloudy
100,1,2025-07-15,2025-07,Tuesday,387,113,0.292,19,12:00,Cold
101,1,2025-07-17,2025-07,Thursday,386,122,0.318,15,17:00,Cloudy
102,1,2025-07-18,2025-07,Friday,291,67,0.231,19,17:00,Cold
103,1,2025-07-20,2025-07,Sunday,355,116,0.328,24,12:00,Rainy
104,1,2025-07-23,2025-07,Wednesday,396,60,0.154,14,15:00,Sunny
105,1,2025-07-26,2025-07,Saturday,397,100,0.254,13,13:00,Cold
106,1,2025-07-28,2025-07,Monday,278,92,0.333,22,17:00,Sunny
107,1,2025-07-30,2025-07,Wednesday,323,104,0.325,8,13:00,Sunny
108,1,2025-08-02,2025-08,Saturday,529,144,0.273,22,14:00,Rainy
109,1,2025-08-04,2025-08,Monday,275,55,0.201,10,16:00,Rainy
110,1,2025-08-07,2025-08,Thursday,369,102,0.277,9,14:00,Cloudy
111,1,2025-08-10,2025-08,Sunday,307,83,0.273,11,16:00,Sunny
112,1,2025-08-12,2025-08,Tuesday,290,82,0.285,13,16:00,Cloudy
113,1,2025-08-13,2025-08,Wednesday,368,96,0.262,19,13:00,Sunny
114,1,2025-08-16,2025-08,Saturday,492,150,0.305,23,13:00,Sunny
115,1,2025-08-19,2025-08,Tuesday,410,128,0.313,9,16:00,Rainy
116,1,2025-08-22,2025-08,Friday,395,71,0.18,17,17:00,Cloudy
117,1,2025-08-23,2025-08,Saturday,496,150,0.303,18,16:00,Cloudy
118,1,2025-08-24,2025-08,Sunday,394,100,0.255,20,16:00,Cloudy
119,1,2025-08-27,2025-08,Wednesday,299,64,0.216,11,16:00,Sunny
120,1,2025-08-30,2025-08,Saturday,530,143,0.271,10,14:00,Sunny
121,1,2025-08-31,2025-08,Sunday,315,47,0.152,10,12:00,Rainy
122,1,2025-09-01,2025-09,Monday,314,98,0.315,13,13:00,Rainy
123,1,2025-09-04,2025-09,Thursday,327,62,0.19,10,17:00,Rainy
124,1,2025-09-05,2025-09,Friday,338,108,0.32,23,15:00,Cloudy
125,1,2025-09-08,2025-09,Monday,305,102,0.337,12,15:00,Cloudy
126,1,2025-09-11,2025-09,Thursday,397,134,0.338,22,14:00,Sunny
127,1,2025-09-13,2025-09,Saturday,564,143,0.255,13,13:00,Rainy
128,1,2025-09-14,2025-09,Sunday,451,152,0.339,11,14:00,Rainy
129,1,2025-09-16,2025-09,Tuesday,366,76,0.21,20,15:00,Rainy
130,1,2025-09-18,2025-09,Thursday,371,67,0.182,23,13:00,Rainy
131,1,2025-09-20,2025-09,Saturday,519,119,0.231,25,17:00,Rainy
132,1,2025-09-23,2025-09,Tuesday,376,81,0.218,8,14:00,Sunny
133,1,2025-09-26,2025-09,Friday,392,117,0.3,25,13:00,Sunny
134,1,2025-09-28,2025-09,Sunday,433,78,0.181,24,14:00,Sunny
135,1,2025-09-30,2025-09,Tuesday,311,51,0.167,9,15:00,Cloudy
136,1,2025-10-01,2025-10,Wednesday,380,102,0.269,12,13:00,Sunny
137,1,2025-10-02,2025-10,Thursday,281,50,0.18,15,13:00,Rainy
138,1,2025-10-04,2025-10,Saturday,561,108,0.193,17,17:00,Cloudy
139,1,2025-10-07,2025-10,Tuesday,388,104,0.27,18,17:00,Cloudy
140,1,2025-10-08,2025-10,Wednesday,412,114,0.278,21,17:00,Rainy
141,1,2025-10-09,2025-10,Thursday,292,95,0.326,19,15:00,Cloudy
142,1,2025-10-11,2025-10,Saturday,416,131,0.316,23,12:00,Cloudy
143,1,2025-10-13,2025-10,Monday,326,60,0.186,25,13:00,Sunny
144,1,2025-10-14,2025-10,Tuesday,318,52,0.164,18,12:00,Sunny
145,1,2025-10-17,2025-10,Friday,353,70,0.2,12,13:00,Rainy
146,1,2025-10-20,2025-10,Monday,268,57,0.216,11,17:00,Cloudy
147,1,2025-10-23,2025-10,Thursday,317,53,0.169,21,14:00,Rainy
148,1,2025-10-24,2025-10,Friday,391,76,0.195,9,17:00,Rainy
149,1,2025-10-25,2025-10,Saturday,581,100,0.173,16,17:00,Sunny
150,1,2025-10-28,2025-10,Tuesday,305,58,0.192,25,17:00,Cold
151,1,2025-10-30,2025-10,Thursday,360,105,0.293,19,14:00,Cloudy
152,1,2025-11-02,2025-11,Sunday,422,131,0.312,18,15:00,Cloudy
153,1,2025-11-03,2025-11,Monday,336,68,0.203,17,12:00,Cold
154,1,2025-11-04,2025-11,Tuesday,509,88,0.173,25,12:00,Cold
155,1,2025-11-07,2025-11,Friday,403,70,0.174,22,12:00,Rainy
156,1,2025-11-08,2025-11,Saturday,699,170,0.244,13,13:00,Cloudy
157,1,2025-11-09,2025-11,Sunday,565,180,0.32,8,14:00,Sunny
158,1,2025-11-12,2025-11,Wednesday,491,129,0.264,21,13:00,Rainy
159,1,2025-11-15,2025-11,Saturday,627,150,0.24,10,15:00,Sunny
160,1,2025-11-18,2025-11,Tuesday,480,133,0.278,25,14:00,Rainy
161,1,2025-11-20,2025-11,Thursday,452,75,0.168,13,17:00,Cloudy
162,1,2025-11-23,2025-11,Sunday,591,103,0.175,20,17:00,Sunny
163,1,2025-11-24,2025-11,Monday,415,70,0.169,19,13:00,Cloudy
164,1,2025-11-26,2025-11,Wednesday,498,121,0.244,13,14:00,Rainy
165,1,2025-11-29,2025-11,Saturday,742,175,0.237,11,12:00,Sunny
166,1,2025-12-01,2025-12,Monday,460,75,0.165,10,13:00,Cloudy
167,1,2025-12-02,2025-12,Tuesday,367,115,0.316,17,16:00,Rainy
168,1,2025-12-04,2025-12,Thursday,466,116,0.249,18,14:00,Sunny
169,1,2025-12-05,2025-12,Friday,389,91,0.236,8,13:00,Rainy
170,1,2025-12-07,2025-12,Sunday,528,157,0.299,22,12:00,Cloudy
171,1,2025-12-10,2025-12,Wednesday,441,69,0.158,22,12:00,Rainy
172,1,2025-12-13,2025-12,Saturday,508,77,0.152,21,15:00,Cloudy
173,1,2025-12-16,2025-12,Tuesday,436,134,0.309,22,14:00,Rainy
174,1,2025-12-17,2025-12,Wednesday,490,106,0.217,19,17:00,Sunny
175,1,2025-12-20,2025-12,Saturday,709,151,0.213,16,16:00,Cloudy
176,1,2025-12-21,2025-12,Sunday,552,94,0.172,20,14:00,Cold
177,1,2025-12-24,2025-12,Wednesday,427,136,0.319,16,16:00,Cloudy
178,1,2025-12-27,2025-12,Saturday,599,113,0.189,23,15:00,Cloudy
179,1,2025-12-29,2025-12,Monday,346,104,0.302,9,13:00,Cloudy
180,1,2025-12-30,2025-12,Tuesday,421,135,0.322,16,16:00,Sunny
181,1,2025-12-31,2025-12,Wednesday,479,91,0.191,25,14:00,Cloudy
182,1,2026-01-02,2026-01,Friday,267,50,0.188,12,17:00,Cloudy
183,1,2026-01-05,2026-01,Monday,216,46,0.215,24,16:00,Cloudy
184,1,2026-01-07,2026-01,Wednesday,308,67,0.218,23,12:00,Cold
185,1,2026-01-10,2026-01,Saturday,465,162,0.349,15,12:00,Cloudy
186,1,2026-01-11,2026-01,Sunday,355,123,0.349,18,13:00,Cloudy
187,1,2026-01-12,2026-01,Monday,287,51,0.179,12,13:00,Rainy
188,1,2026-01-15,2026-01,Thursday,290,52,0.181,24,13:00,Sunny
189,1,2026-01-16,2026-01,Friday,343,88,0.259,10,17:00,Rainy
190,1,2026-01-17,2026-01,Saturday,491,163,0.334,12,12:00,Sunny
191,1,2026-01-18,2026-01,Sunday,302,77,0.257,22,13:00,Cloudy
192,1,2026-01-21,2026-01,Wednesday,255,79,0.312,20,16:00,Cloudy
193,1,2026-01-23,2026-01,Friday,337,71,0.213,16,15:00,Rainy
194,1,2026-01-24,2026-01,Saturday,455,131,0.288,24,12:00,Cloudy
195,1,2026-01-25,2026-01,Sunday,303,88,0.292,24,12:00,Rainy
196,1,2026-01-27,2026-01,Tuesday,310,57,0.185,8,12:00,Rainy
197,1,2026-01-28,2026-01,Wednesday,271,50,0.188,13,15:00,Cloudy
198,1,2026-01-31,2026-01,Saturday,345,83,0.242,11,15:00,Rainy
199,1,2026-02-03,2026-02,Tuesday,285,47,0.165,23,16:00,Sunny
200,1,2026-02-05,2026-02,Thursday,326,61,0.19,14,15:00,Sunny
201,1,2026-02-08,2026-02,Sunday,372,72,0.194,15,14:00,Sunny
202,1,2026-02-11,2026-02,Wednesday,266,76,0.287,20,17:00,Sunny
203,1,2026-02-12,2026-02,Thursday,306,79,0.259,25,17:00,Rainy
204,1,2026-02-15,2026-02,Sunday,364,107,0.295,12,13:00,Cloudy
205,1,2026-02-17,2026-02,Tuesday,312,85,0.274,22,16:00,Cloudy
206,1,2026-02-20,2026-02,Friday,262,87,0.333,20,15:00,Rainy
207,1,2026-02-21,2026-02,Saturday,342,106,0.312,12,13:00,Rainy
208,1,2026-02-22,2026-02,Sunday,373,58,0.156,19,13:00,Cloudy
209,1,2026-02-24,2026-02,Tuesday,268,59,0.221,16,13:00,Rainy
210,1,2026-02-25,2026-02,Wednesday,259,76,0.294,24,13:00,Cloudy
211,1,2026-02-28,2026-02,Saturday,348,101,0.291,25,13:00,Cold
212,2,2025-01-01,2025-01,Wednesday,245,80,0.327,23,17:00,Rainy
213,2,2025-01-02,2025-01,Thursday,251,56,0.224,12,14:00,Rainy
214,2,2025-01-03,2025-01,Friday,228,72,0.317,8,17:00,Rainy
215,2,2025-01-04,2025-01,Saturday,319,65,0.206,15,14:00,Sunny
216,2,2025-01-06,2025-01,Monday,202,65,0.323,9,13:00,Rainy
217,2,2025-01-09,2025-01,Thursday,229,68,0.299,17,16:00,Cold
218,2,2025-01-10,2025-01,Friday,242,53,0.223,18,14:00,Cloudy
219,2,2025-01-13,2025-01,Monday,146,43,0.299,14,13:00,Cloudy
220,2,2025-01-14,2025-01,Tuesday,173,35,0.207,15,15:00,Sunny
221,2,2025-01-16,2025-01,Thursday,196,30,0.155,8,12:00,Cloudy
222,2,2025-01-19,2025-01,Sunday,258,55,0.217,24,15:00,Sunny
223,2,2025-01-20,2025-01,Monday,176,55,0.314,23,12:00,Cloudy
224,2,2025-01-22,2025-01,Wednesday,235,61,0.262,11,12:00,Cloudy
225,2,2025-01-25,2025-01,Saturday,286,76,0.269,13,16:00,Sunny
226,2,2025-01-27,2025-01,Monday,206,43,0.212,15,17:00,Cloudy
227,2,2025-01-29,2025-01,Wednesday,200,40,0.201,13,14:00,Cloudy
228,2,2025-01-30,2025-01,Thursday,216,41,0.192,11,17:00,Cloudy
229,2,2025-02-01,2025-02,Saturday,345,63,0.184,22,13:00,Cloudy
230,2,2025-02-02,2025-02,Sunday,189,42,0.227,11,17:00,Cold
231,2,2025-02-03,2025-02,Monday,207,41,0.202,22,13:00,Cloudy
232,2,2025-02-06,2025-02,Thursday,205,42,0.208,22,12:00,Rainy
233,2,2025-02-08,2025-02,Saturday,262,75,0.289,19,15:00,Cloudy
234,2,2025-02-09,2025-02,Sunday,233,76,0.328,15,14:00,Cold
235,2,2025-02-10,2025-02,Monday,161,44,0.274,22,12:00,Sunny
236,2,2025-02-13,2025-02,Thursday,238,36,0.153,22,16:00,Sunny
237,2,2025-02-15,2025-02,Saturday,261,51,0.199,15,13:00,Sunny
238,2,2025-02-17,2025-02,Monday,147,35,0.241,24,16:00,Cold
239,2,2025-02-19,2025-02,Wednesday,170,44,0.26,22,17:00,Sunny
240,2,2025-02-20,2025-02,Thursday,182,38,0.211,17,13:00,Cloudy
241,2,2025-02-21,2025-02,Friday,219,57,0.263,19,15:00,Cold
242,2,2025-02-22,2025-02,Saturday,239,47,0.2,15,17:00,Cloudy
243,2,2025-02-24,2025-02,Monday,184,53,0.289,13,17:00,Cloudy
244,2,2025-02-25,2025-02,Tuesday,208,63,0.306,15,15:00,Cloudy
245,2,2025-02-28,2025-02,Friday,234,64,0.277,14,14:00,Sunny
246,2,2025-03-02,2025-03,Sunday,273,79,0.293,20,14:00,Rainy
247,2,2025-03-03,2025-03,Monday,202,31,0.155,17,15:00,Rainy
248,2,2025-03-04,2025-03,Tuesday,227,73,0.323,21,12:00,Cloudy
249,2,2025-03-05,2025-03,Wednesday,231,77,0.336,11,17:00,Rainy
250,2,2025-03-08,2025-03,Saturday,341,76,0.224,21,12:00,Sunny
251,2,2025-03-10,2025-03,Monday,214,37,0.177,16,16:00,Cloudy
252,2,2025-03-13,2025-03,Thursday,204,32,0.158,17,12:00,Cloudy
253,2,2025-03-14,2025-03,Friday,268,61,0.228,22,16:00,Cold
254,2,2025-03-17,2025-03,Monday,226,55,0.247,22,15:00,Rainy
255,2,2025-03-19,2025-03,Wednesday,252,41,0.163,17,14:00,Sunny
256,2,2025-03-20,2025-03,Thursday,297,92,0.313,22,13:00,Cloudy
257,2,2025-03-22,2025-03,Saturday,314,97,0.31,13,12:00,Rainy
258,2,2025-03-23,2025-03,Sunday,232,64,0.276,16,14:00,Rainy
259,2,2025-03-25,2025-03,Tuesday,256,87,0.342,8,13:00,Cloudy
260,2,2025-03-28,2025-03,Friday,252,61,0.244,11,14:00,Cloudy
261,2,2025-03-29,2025-03,Saturday,324,49,0.153,17,15:00,Cloudy
262,2,2025-03-30,2025-03,Sunday,280,58,0.21,11,13:00,Cloudy
263,2,2025-04-01,2025-04,Tuesday,203,67,0.332,23,16:00,Rainy
264,2,2025-04-04,2025-04,Friday,248,49,0.198,23,12:00,Rainy
265,2,2025-04-05,2025-04,Saturday,299,87,0.291,20,16:00,Cloudy
266,2,2025-04-07,2025-04,Monday,246,70,0.287,19,14:00,Rainy
267,2,2025-04-09,2025-04,Wednesday,276,88,0.321,11,12:00,Rainy
268,2,2025-04-12,2025-04,Saturday,353,93,0.264,15,17:00,Rainy
269,2,2025-04-13,2025-04,Sunday,316,97,0.31,15,17:00,Cloudy
270,2,2025-04-14,2025-04,Monday,177,61,0.346,13,16:00,Sunny
271,2,2025-04-16,2025-04,Wednesday,280,70,0.25,20,12:00,Cold
272,2,2025-04-18,2025-04,Friday,293,64,0.221,9,13:00,Sunny
273,2,2025-04-19,2025-04,Saturday,347,91,0.263,11,16:00,Cloudy
274,2,2025-04-21,2025-04,Monday,186,39,0.214,23,13:00,Sunny
275,2,2025-04-24,2025-04,Thursday,228,67,0.294,10,15:00,Sunny
276,2,2025-04-27,2025-04,Sunday,280,95,0.342,17,16:00,Sunny
277,2,2025-04-30,2025-04,Wednesday,274,83,0.303,25,12:00,Cloudy
278,2,2025-05-03,2025-05,Saturday,286,90,0.316,9,12:00,Rainy
279,2,2025-05-04,2025-05,Sunday,258,66,0.258,20,14:00,Sunny
280,2,2025-05-07,2025-05,Wednesday,251,78,0.312,20,12:00,Sunny
281,2,2025-05-10,2025-05,Saturday,368,71,0.193,17,12:00,Sunny
282,2,2025-05-11,2025-05,Sunday,321,73,0.229,13,16:00,Cold
283,2,2025-05-14,2025-05,Wednesday,207,43,0.208,22,12:00,Cloudy
284,2,2025-05-16,2025-05,Friday,245,52,0.213,11,16:00,Cloudy
285,2,2025-05-19,2025-05,Monday,205,58,0.283,11,12:00,Sunny
286,2,2025-05-22,2025-05,Thursday,214,59,0.277,19,13:00,Sunny
287,2,2025-05-25,2025-05,Sunday,310,64,0.209,23,17:00,Rainy
288,2,2025-05-28,2025-05,Wednesday,227,77,0.341,15,14:00,Cloudy
289,2,2025-05-29,2025-05,Thursday,249,38,0.154,24,16:00,Cloudy
290,2,2025-06-01,2025-06,Sunday,270,73,0.271,24,14:00,Rainy
291,2,2025-06-02,2025-06,Monday,212,56,0.266,17,16:00,Rainy
292,2,2025-06-03,2025-06,Tuesday,221,75,0.341,9,12:00,Rainy
293,2,2025-06-05,2025-06,Thursday,268,74,0.277,25,13:00,Rainy
294,2,2025-06-08,2025-06,Sunday,288,90,0.313,19,16:00,Sunny
295,2,2025-06-09,2025-06,Monday,233,81,0.348,14,14:00,Cold
296,2,2025-06-11,2025-06,Wednesday,249,83,0.337,25,15:00,Rainy
297,2,2025-06-12,2025-06,Thursday,217,59,0.276,16,17:00,Sunny
298,2,2025-06-13,2025-06,Friday,245,48,0.196,9,12:00,Sunny
299,2,2025-06-15,2025-06,Sunday,309,104,0.337,24,17:00,Cold
300,2,2025-06-16,2025-06,Monday,243,81,0.336,22,15:00,Cloudy
301,2,2025-06-19,2025-06,Thursday,265,86,0.328,11,13:00,Cloudy
302,2,2025-06-21,2025-06,Saturday,385,122,0.317,14,15:00,Cloudy
303,2,2025-06-23,2025-06,Monday,207,62,0.303,21,15:00,Sunny
304,2,2025-06-26,2025-06,Thursday,213,47,0.225,17,12:00,Rainy
305,2,2025-06-27,2025-06,Friday,217,41,0.19,8,13:00,Rainy
306,2,2025-06-29,2025-06,Sunday,309,102,0.331,16,15:00,Sunny
307,2,2025-07-02,2025-07,Wednesday,238,61,0.259,21,14:00,Rainy
308,2,2025-07-05,2025-07,Saturday,307,77,0.252,13,17:00,Cloudy
309,2,2025-07-06,2025-07,Sunday,279,69,0.249,11,12:00,Rainy
310,2,2025-07-07,2025-07,Monday,247,40,0.163,21,15:00,Cloudy
311,2,2025-07-09,2025-07,Wednesday,204,68,0.334,23,12:00,Rainy
312,2,2025-07-11,2025-07,Friday,218,58,0.27,23,17:00,Cloudy
313,2,2025-07-12,2025-07,Saturday,406,77,0.191,14,16:00,Rainy
314,2,2025-07-13,2025-07,Sunday,326,49,0.153,23,17:00,Sunny
315,2,2025-07-15,2025-07,Tuesday,287,67,0.236,18,15:00,Cold
316,2,2025-07-18,2025-07,Friday,199,60,0.305,13,16:00,Cloudy
317,2,2025-07-20,2025-07,Sunday,275,63,0.232,11,16:00,Cloudy
318,2,2025-07-23,2025-07,Wednesday,281,54,0.194,15,15:00,Cloudy
319,2,2025-07-26,2025-07,Saturday,357,109,0.308,15,12:00,Cold
320,2,2025-07-29,2025-07,Tuesday,218,65,0.301,24,12:00,Sunny
321,2,2025-07-30,2025-07,Wednesday,209,42,0.205,21,16:00,Rainy
322,2,2025-08-02,2025-08,Saturday,315,93,0.297,21,12:00,Cloudy
323,2,2025-08-03,2025-08,Sunday,254,49,0.196,9,15:00,Rainy
324,2,2025-08-06,2025-08,Wednesday,236,41,0.175,20,13:00,Sunny
325,2,2025-08-07,2025-08,Thursday,230,46,0.204,21,17:00,Rainy
326,2,2025-08-10,2025-08,Sunday,297,91,0.307,19,14:00,Sunny
327,2,2025-08-12,2025-08,Tuesday,232,65,0.283,12,14:00,Cloudy
328,2,2025-08-14,2025-08,Thursday,292,44,0.152,17,13:00,Rainy
329,2,2025-08-16,2025-08,Saturday,279,71,0.257,15,12:00,Cloudy
330,2,2025-08-18,2025-08,Monday,191,35,0.188,25,12:00,Cloudy
331,2,2025-08-19,2025-08,Tuesday,253,86,0.343,18,16:00,Cloudy
332,2,2025-08-21,2025-08,Thursday,257,83,0.325,18,17:00,Cold
333,2,2025-08-23,2025-08,Saturday,387,61,0.16,17,12:00,Rainy
334,2,2025-08-25,2025-08,Monday,241,73,0.307,21,12:00,Sunny
335,2,2025-08-27,2025-08,Wednesday,250,41,0.166,23,14:00,Cold
336,2,2025-08-30,2025-08,Saturday,349,87,0.251,23,14:00,Cloudy
337,2,2025-08-31,2025-08,Sunday,229,46,0.205,20,15:00,Sunny
338,2,2025-09-03,2025-09,Wednesday,217,50,0.232,21,17:00,Sunny
339,2,2025-09-05,2025-09,Friday,215,74,0.347,17,12:00,Cloudy
340,2,2025-09-07,2025-09,Sunday,273,79,0.292,15,14:00,Cloudy
341,2,2025-09-09,2025-09,Tuesday,255,72,0.286,20,15:00,Cold
342,2,2025-09-10,2025-09,Wednesday,208,64,0.311,11,13:00,Cold
343,2,2025-09-12,2025-09,Friday,278,62,0.224,9,16:00,Cold
344,2,2025-09-14,2025-09,Sunday,283,97,0.344,8,17:00,Sunny
