subscriber_key,score_date,churn_risk_score,churn_risk_band,upsell_propensity,cross_sell_propensity,predicted_clv,clv_segment,next_best_action,model_version,confidence_score
143,2026-01-28,0.1369,Low,0.315,0.2742,24582.07,High,App Promotion,v2.3.1,0.94
144,2026-01-28,0.0829,Low,0.4257,0.5414,1978.61,Low,Survey,v2.3.1,0.87
145,2026-01-28,0.0819,Low,0.2683,0.5329,630.36,Low,Survey,v2.3.1,0.86
146,2026-01-28,0.95,High,0.05,0.5273,1696.08,Low,Loyalty Reward,v2.3.1,0.88
147,2026-01-28,0.1198,Low,0.364,0.112,11670.09,High,Referral Program,v2.3.1,0.81
148,2026-01-28,0.1325,Low,0.2192,0.3084,1771.73,Low,Survey,v2.3.1,0.82
149,2026-01-28,0.1484,Low,0.2548,0.3139,4344.77,Medium,Engagement Campaign,v2.3.1,0.93
150,2026-01-28,0.2728,Medium,0.1982,0.5173,4166.6,Medium,Referral Program,v2.3.1,0.73
151,2026-01-28,0.2334,Low,0.3218,0.4726,13141.41,High,Survey,v2.3.1,0.77
152,2026-01-28,0.1604,Low,0.4274,0.3147,17696.24,High,Survey,v2.3.1,0.89
153,2026-01-28,0.2873,Medium,0.2987,0.3517,2442.02,Medium,Referral Program,v2.3.1,0.76
154,2026-01-28,0.1096,Low,0.3985,0.1284,9208.38,Medium,App Promotion,v2.3.1,0.89
155,2026-01-28,0.1565,Low,0.4435,0.4381,3986.05,Medium,Survey,v2.3.1,0.74
156,2026-01-28,0.02,Low,0.4892,0.5425,3024.98,Medium,Survey,v2.3.1,0.86
157,2026-01-28,0.95,High,0.05,0.5091,694.04,Low,Retention Offer,v2.3.1,0.84
158,2026-01-28,0.0669,Low,0.3745,0.2817,2021.03,Medium,Engagement Campaign,v2.3.1,0.93
159,2026-01-28,0.02,Low,0.3737,0.3571,12060.45,High,Survey,v2.3.1,0.87
160,2026-01-28,0.0852,Low,0.3301,0.1402,3801.49,Medium,Engagement Campaign,v2.3.1,0.81
161,2026-01-28,0.02,Low,0.5549,0.2539,26570.36,High,Plan Upgrade,v2.3.1,0.73
162,2026-01-28,0.1158,Low,0.4441,0.4959,19122.38,High,App Promotion,v2.3.1,0.93
163,2026-01-28,0.02,Low,0.4195,0.4734,17980.25,High,Referral Program,v2.3.1,0.84
164,2026-01-28,0.02,Low,0.4812,0.1457,20571.61,High,App Promotion,v2.3.1,0.87
165,2026-01-28,0.106,Low,0.2856,0.5878,3267.26,Medium,Engagement Campaign,v2.3.1,0.75
166,2026-01-28,0.95,High,0.05,0.3214,897.95,Low,Personal Call,v2.3.1,0.82
167,2026-01-28,0.1326,Low,0.3978,0.4257,1927.03,Low,Engagement Campaign,v2.3.1,0.92
168,2026-01-28,0.2116,Low,0.3473,0.1441,1425.56,Low,App Promotion,v2.3.1,0.81
169,2026-01-28,0.1193,Low,0.2587,0.4728,1260.91,Low,Engagement Campaign,v2.3.1,0.83
170,2026-01-28,0.0228,Low,0.6242,0.1493,4393.51,Medium,5G Upgrade,v2.3.1,0.84
171,2026-01-28,0.1496,Low,0.4639,0.1839,111526.94,High,Referral Program,v2.3.1,0.82
172,2026-01-28,0.95,High,0.05,0.1768,1008.68,Low,Retention Offer,v2.3.1,0.83
173,2026-01-28,0.0993,Low,0.3255,0.2486,19035.15,High,Engagement Campaign,v2.3.1,0.86
174,2026-01-28,0.02,Low,0.3682,0.1549,2368.53,Medium,Engagement Campaign,v2.3.1,0.77
175,2026-01-28,0.2419,Low,0.2133,0.3877,3507.28,Medium,Engagement Campaign,v2.3.1,0.92
176,2026-01-28,0.0628,Low,0.5031,0.1999,1052.41,Low,Add-on Service,v2.3.1,0.95
177,2026-01-28,0.0961,Low,0.3822,0.1124,2700.0,Medium,Engagement Campaign,v2.3.1,0.82
178,2026-01-28,0.0401,Low,0.3698,0.3288,715.41,Low,Survey,v2.3.1,0.84
179,2026-01-28,0.2391,Low,0.1367,0.2593,1141.18,Low,Survey,v2.3.1,0.92
180,2026-01-28,0.0605,Low,0.5061,0.3009,1746.12,Low,Add-on Service,v2.3.1,0.93
181,2026-01-28,0.1653,Low,0.2271,0.2233,867.59,Low,Referral Program,v2.3.1,0.82
182,2026-01-28,0.0749,Low,0.5115,0.4817,2407.13,Medium,5G Upgrade,v2.3.1,0.78
183,2026-01-28,0.1617,Low,0.194,0.1865,17161.54,High,Survey,v2.3.1,0.76
184,2026-01-28,0.1112,Low,0.4725,0.4332,3516.07,Medium,Referral Program,v2.3.1,0.77
185,2026-01-28,0.0881,Low,0.366,0.3273,2742.15,Medium,Engagement Campaign,v2.3.1,0.87
186,2026-01-28,0.02,Low,0.5144,0.2284,2191.37,Medium,Add-on Service,v2.3.1,0.92
187,2026-01-28,0.0834,Low,0.5578,0.3618,3386.13,Medium,Device Offer,v2.3.1,0.81
188,2026-01-28,0.2481,Low,0.3873,0.2577,9910.18,Medium,Referral Program,v2.3.1,0.87
189,2026-01-28,0.02,Low,0.5455,0.3033,2097.79,Medium,Device Offer,v2.3.1,0.73
190,2026-01-28,0.1096,Low,0.4279,0.2724,4388.65,Medium,App Promotion,v2.3.1,0.92
191,2026-01-28,0.2245,Low,0.1468,0.3441,617.95,Low,Engagement Campaign,v2.3.1,0.86
192,2026-01-28,0.1464,Low,0.2216,0.5494,2252.8,Medium,Engagement Campaign,v2.3.1,0.88
193,2026-01-28,0.0414,Low,0.5823,0.4708,3424.38,Medium,Add-on Service,v2.3.1,0.93
194,2026-01-28,0.02,Low,0.4925,0.3112,2968.88,Medium,Survey,v2.3.1,0.73
195,2026-01-28,0.95,High,0.05,0.2249,4953.59,Medium,Loyalty Reward,v2.3.1,0.79
196,2026-01-28,0.3179,Medium,0.3228,0.4602,3935.53,Medium,Engagement Campaign,v2.3.1,0.84
197,2026-01-28,0.1442,Low,0.3769,0.273,784.73,Low,Referral Program,v2.3.1,0.93
198,2026-01-28,0.133,Low,0.3405,0.4055,1360.14,Low,Referral Program,v2.3.1,0.89
199,2026-01-28,0.0854,Low,0.3416,0.375,1339.21,Low,App Promotion,v2.3.1,0.77
200,2026-01-28,0.1644,Low,0.2333,0.5353,1073.9,Low,Survey,v2.3.1,0.9
201,2026-01-28,0.0622,Low,0.518,0.4776,842.21,Low,Add-on Service,v2.3.1,0.82
202,2026-01-28,0.2405,Low,0.2858,0.3024,3806.9,Medium,Referral Program,v2.3.1,0.86
203,2026-01-28,0.95,High,0.05,0.4838,354.68,Low,Loyalty Reward,v2.3.1,0.85
204,2026-01-28,0.115,Low,0.453,0.4277,9265.53,Medium,Survey,v2.3.1,0.94
205,2026-01-28,0.0267,Low,0.3806,0.3381,2656.61,Medium,App Promotion,v2.3.1,0.75
206,2026-01-28,0.95,High,0.05,0.1078,65598.11,High,Retention Offer,v2.3.1,0.76
207,2026-01-28,0.0808,Low,0.3102,0.509,3317.55,Medium,Referral Program,v2.3.1,0.95
208,2026-01-28,0.0451,Low,0.5117,0.2137,6542.2,Medium,5G Upgrade,v2.3.1,0.93
209,2026-01-28,0.95,High,0.05,0.2723,96653.88,High,Retention Offer,v2.3.1,0.75
210,2026-01-28,0.0343,Low,0.3187,0.222,19226.81,High,Engagement Campaign,v2.3.1,0.87
211,2026-01-28,0.2178,Low,0.2731,0.5929,1815.92,Low,Survey,v2.3.1,0.81
212,2026-01-28,0.0766,Low,0.5324,0.4304,554.01,Low,Add-on Service,v2.3.1,0.87
213,2026-01-28,0.0534,Low,0.4097,0.1588,4249.21,Medium,Engagement Campaign,v2.3.1,0.83
214,2026-01-28,0.0259,Low,0.5706,0.4156,2024.21,Medium,Add-on Service,v2.3.1,0.8
215,2026-01-28,0.0678,Low,0.5152,0.1174,8610.44,Medium,Plan Upgrade,v2.3.1,0.74
216,2026-01-28,0.02,Low,0.6231,0.547,171556.53,High,Plan Upgrade,v2.3.1,0.85
217,2026-01-28,0.1798,Low,0.2483,0.4036,10356.49,High,Referral Program,v2.3.1,0.83
218,2026-01-28,0.02,Low,0.5514,0.5602,2771.33,Medium,Device Offer,v2.3.1,0.72
219,2026-01-28,0.1653,Low,0.2541,0.4489,2045.06,Medium,App Promotion,v2.3.1,0.72
220,2026-01-28,0.2247,Low,0.196,0.1895,1880.25,Low,Survey,v2.3.1,0.86
221,2026-01-28,0.0608,Low,0.4568,0.4139,1692.84,Low,App Promotion,v2.3.1,0.77
222,2026-01-28,0.175,Low,0.1929,0.3391,4538.52,Medium,Engagement Campaign,v2.3.1,0.75
223,2026-01-28,0.02,Low,0.4273,0.1839,3136.53,Medium,Referral Program,v2.3.1,0.77
224,2026-01-28,0.95,High,0.05,0.5374,5757.44,Medium,Personal Call,v2.3.1,0.92
225,2026-01-28,0.1051,Low,0.5412,0.4085,2839.54,Medium,5G Upgrade,v2.3.1,0.95
226,2026-01-28,0.95,High,0.05,0.5656,2181.28,Medium,Personal Call,v2.3.1,0.86
227,2026-01-28,0.02,Low,0.4932,0.3719,15194.45,High,App Promotion,v2.3.1,0.84
228,2026-01-28,0.0705,Low,0.576,0.3038,4953.48,Medium,Plan Upgrade,v2.3.1,0.8
229,2026-01-28,0.1604,Low,0.3038,0.1096,7310.47,Medium,Survey,v2.3.1,0.79
230,2026-01-28,0.0953,Low,0.4449,0.5312,2503.92,Medium,Survey,v2.3.1,0.79
231,2026-01-28,0.02,Low,0.3737,0.2948,4264.54,Medium,Engagement Campaign,v2.3.1,0.84
232,2026-01-28,0.02,Low,0.3404,0.148,152038.14,High,App Promotion,v2.3.1,0.77
233,2026-01-28,0.02,Low,0.432,0.5823,21046.36,High,Survey,v2.3.1,0.76
234,2026-01-28,0.0313,Low,0.5448,0.3426,22086.28,High,5G Upgrade,v2.3.1,0.92
235,2026-01-28,0.3687,Medium,0.2501,0.5184,14692.41,High,Referral Program,v2.3.1,0.93
236,2026-01-28,0.1388,Low,0.2345,0.3139,932.22,Low,App Promotion,v2.3.1,0.82
237,2026-01-28,0.02,Low,0.6144,0.58,6720.29,Medium,5G Upgrade,v2.3.1,0.92
238,2026-01-28,0.0546,Low,0.5868,0.1673,4307.53,Medium,Device Offer,v2.3.1,0.87
239,2026-01-28,0.02,Low,0.549,0.5029,24072.68,High,5G Upgrade,v2.3.1,0.74
240,2026-01-28,0.1295,Low,0.4633,0.4559,1557.86,Low,Referral Program,v2.3.1,0.91
241,2026-01-28,0.1232,Low,0.4273,0.5407,3449.77,Medium,Engagement Campaign,v2.3.1,0.77
242,2026-01-28,0.0676,Low,0.3187,0.5949,1582.95,Low,Survey,v2.3.1,0.87
243,2026-01-28,0.95,High,0.05,0.4759,697.0,Low,Retention Offer,v2.3.1,0.9
244,2026-01-28,0.099,Low,0.3526,0.581,622.88,Low,App Promotion,v2.3.1,0.75
245,2026-01-28,0.0981,Low,0.447,0.4395,2388.85,Medium,Engagement Campaign,v2.3.1,0.88
246,2026-01-28,0.1214,Low,0.3218,0.4218,3124.03,Medium,App Promotion,v2.3.1,0.85
247,2026-01-28,0.1651,Low,0.3391,0.111,6519.38,Medium,Survey,v2.3.1,0.81
248,2026-01-28,0.2162,Low,0.3246,0.5391,1360.34,Low,App Promotion,v2.3.1,0.93
249,2026-01-28,0.1289,Low,0.4638,0.291,4311.46,Medium,Engagement Campaign,v2.3.1,0.82
250,2026-01-28,0.1572,Low,0.2912,0.405,15599.13,High,App Promotion,v2.3.1,0.77
251,2026-01-28,0.0712,Low,0.3521,0.1102,3722.28,Medium,Engagement Campaign,v2.3.1,0.85
252,2026-01-28,0.1342,Low,0.287,0.1245,18706.76,High,Engagement Campaign,v2.3.1,0.79
253,2026-01-28,0.1101,Low,0.4294,0.1322,4644.31,Medium,Engagement Campaign,v2.3.1,0.9
254,2026-01-28,0.1084,Low,0.3552,0.25,2003.69,Medium,Referral Program,v2.3.1,0.84
255,2026-01-28,0.1864,Low,0.3654,0.4813,2504.69,Medium,Survey,v2.3.1,0.9
256,2026-01-28,0.02,Low,0.5658,0.1663,4270.6,Medium,5G Upgrade,v2.3.1,0.74
257,2026-01-28,0.02,Low,0.4808,0.3782,1120.89,Low,Referral Program,v2.3.1,0.82
258,2026-01-28,0.95,High,0.05,0.5752,1034.23,Low,Retention Offer,v2.3.1,0.87
259,2026-01-28,0.1351,Low,0.4714,0.1186,1021.46,Low,App Promotion,v2.3.1,0.71
260,2026-01-28,0.142,Low,0.2957,0.4093,3146.37,Medium,Referral Program,v2.3.1,0.78
261,2026-01-28,0.0594,Low,0.4565,0.1546,2342.52,Medium,Referral Program,v2.3.1,0.89
262,2026-01-28,0.0904,Low,0.34,0.343,12366.16,High,Referral Program,v2.3.1,0.78
263,2026-01-28,0.0325,Low,0.3914,0.5827,1116.18,Low,Survey,v2.3.1,0.9
264,2026-01-28,0.233,Low,0.2284,0.2885,1260.93,Low,App Promotion,v2.3.1,0.74
265,2026-01-28,0.02,Low,0.4148,0.1711,196679.41,High,App Promotion,v2.3.1,0.71
