churn_id,subscriber_key,churn_date,churn_reason,churn_reason_detail,competitor_name,tenure_months,lifetime_value,retention_attempts,retention_offer_made,retention_offer_accepted,final_bill_status,port_out,win_back_eligible
27,286,2022-03-11,Contract End,"Contract ended, chose not to renew",,16,489.28,0,False,False,Paid,False,True
28,287,2025-04-08,Contract End,"Contract ended, chose not to renew",,11,398.22,2,True,False,Paid,False,True
29,289,2023-05-20,Price,Found cheaper alternative with competitor,Vodafone,29,1273.38,3,True,False,Paid,True,True
30,299,2021-06-14,Billing Issues,Disputes over charges,,14,608.57,1,True,False,Paid,False,True
31,312,2023-02-26,Customer Service,Dissatisfied with support experience,,20,702.85,0,False,False,Paid,False,True
32,331,2025-08-13,Bundle Deal,Switched to competitor bundle offer,Virgin Mobile,26,775.46,1,True,False,Paid,True,True
33,339,2023-10-17,Billing Issues,Disputes over charges,,21,407.55,0,False,False,Paid,False,True
34,385,2024-05-26,Bundle Deal,Switched to competitor bundle offer,Three,21,527.51,0,False,False,Paid,True,True
35,392,2025-04-30,Price,Found cheaper alternative with competitor,Vodafone,5,214.93,2,True,False,Paid,True,False
36,412,2022-10-08,Device Issues,Device not supported on network,,24,472.29,3,True,False,Paid,False,True
37,424,2021-12-13,Billing Issues,Disputes over charges,,4,76.01,1,True,False,Paid,False,False
38,443,2022-06-08,Customer Service,Dissatisfied with support experience,,9,393.48,1,True,False,Paid,False,True
39,459,2024-03-21,Customer Service,Dissatisfied with support experience,,23,1006.89,0,False,False,Paid,False,True
40,460,2024-05-04,Price,Found cheaper alternative with competitor,Tesco Mobile,8,233.12,2,True,False,Paid,True,True
41,483,2023-03-01,Bundle Deal,Switched to competitor bundle offer,O2,34,608.58,0,False,False,Paid,True,True
42,504,2025-06-11,Customer Service,Dissatisfied with support experience,,6,125.69,0,False,False,Paid,False,True
43,507,2023-03-19,Customer Service,Dissatisfied with support experience,,34,1500.25,1,True,False,Written Off,False,False
44,514,2025-06-15,Customer Service,Dissatisfied with support experience,,43,899.03,1,True,False,Paid,False,True
45,523,2025-01-31,Network Quality,Slow speeds or poor performance,,39,1046.01,1,True,False,Paid,False,True
46,528,2023-12-17,Bundle Deal,Switched to competitor bundle offer,Tesco Mobile,45,1324.0,1,True,False,Paid,True,True
47,538,2022-10-14,Customer Service,Dissatisfied with support experience,,27,511.77,0,False,False,Paid,False,True
48,539,2025-11-18,Competitor Promotion,Attracted by competitor offer,Vodafone,22,702.72,0,False,False,Paid,True,True
49,543,2025-04-01,Contract End,"Contract ended, chose not to renew",,24,1069.33,0,False,False,Paid,False,True
50,562,2022-09-20,Network Quality,Slow speeds or poor performance,,4,106.07,1,True,False,Paid,False,False
51,567,2026-01-20,Bundle Deal,Switched to competitor bundle offer,Three,46,1835.22,0,False,False,Paid,True,True
52,574,2025-01-26,Contract End,"Contract ended, chose not to renew",,16,504.83,2,True,False,Paid,False,True
53,603,2025-07-30,Customer Service,Dissatisfied with support experience,,42,1667.92,2,True,False,Paid,False,True
54,609,2022-11-09,Price,Found cheaper alternative with competitor,Three,6,144.46,1,True,False,Paid,True,True
55,614,2021-04-12,Competitor Promotion,Attracted by competitor offer,VOXI,12,198.07,1,True,False,Paid,True,True
56,636,2024-02-10,Price,Found cheaper alternative with competitor,EE,42,1529.53,1,True,False,Paid,True,True
57,639,2021-04-11,No Longer Needed,No longer requires mobile service,,6,92.01,1,True,False,Paid,False,True
58,642,2021-02-03,Customer Service,Dissatisfied with support experience,,4,174.13,2,True,False,Paid,False,False
59,645,2022-10-28,Competitor Promotion,Attracted by competitor offer,Tesco Mobile,7,107.44,1,True,False,Paid,True,True
60,646,2025-03-16,Billing Issues,Disputes over charges,,20,448.39,1,True,False,Paid,False,True
61,679,2022-01-18,Customer Service,Dissatisfied with support experience,,23,425.2,3,True,False,Paid,False,True
62,683,2025-03-02,Bundle Deal,Switched to competitor bundle offer,Three,17,323.97,0,False,False,Paid,True,True
63,699,2023-12-22,Price,Found cheaper alternative with competitor,Tesco Mobile,38,1581.58,1,True,False,Paid,True,True
64,725,2025-09-12,Competitor Promotion,Attracted by competitor offer,giffgaff,36,643.85,1,True,False,Paid,True,True
65,736,2024-08-15,Contract End,"Contract ended, chose not to renew",,25,832.76,1,True,False,Paid,False,True
66,739,2026-01-27,Network Coverage,Poor signal in home/work area,,30,1113.01,2,True,False,Paid,True,True
67,753,2023-03-23,Contract End,"Contract ended, chose not to renew",,5,180.53,1,True,False,Paid,False,False
68,755,2025-06-25,Network Quality,Slow speeds or poor performance,,26,1115.57,0,False,False,Paid,False,True
69,761,2024-01-06,Customer Service,Dissatisfied with support experience,,30,559.96,0,False,False,Paid,False,True
70,778,2022-09-21,Network Coverage,Poor signal in home/work area,,13,542.69,1,True,False,Outstanding,True,False
71,794,2023-06-24,Bundle Deal,Switched to competitor bundle offer,Tesco Mobile,30,1182.56,0,False,False,Paid,True,True
72,801,2025-08-22,Contract End,"Contract ended, chose not to renew",,28,449.86,1,True,False,Paid,False,True
73,813,2023-02-25,Price,Found cheaper alternative with competitor,giffgaff,19,356.42,2,True,False,Paid,True,True
74,820,2025-05-22,Network Quality,Slow speeds or poor performance,,21,323.8,1,True,False,Paid,False,True
75,822,2022-10-02,Device Issues,Device not supported on network,,5,207.04,0,False,False,Outstanding,False,False
76,823,2023-04-01,Price,Found cheaper alternative with competitor,EE,25,704.7,2,True,False,Paid,True,True
77,874,2025-07-15,Network Coverage,Poor signal in home/work area,,48,1397.0,1,True,False,Paid,True,True
78,882,2026-02-23,Bundle Deal,Switched to competitor bundle offer,EE,37,686.05,2,True,False,Paid,True,True
79,890,2025-04-30,Relocation,Moving abroad or to area without coverage,,45,1106.79,1,True,False,Paid,False,True
80,893,2023-09-14,Billing Issues,Disputes over charges,,5,125.16,1,True,False,Paid,False,False
81,899,2025-01-13,Network Coverage,Poor signal in home/work area,,46,1431.12,1,True,False,Paid,True,True
82,913,2025-02-21,Price,Found cheaper alternative with competitor,giffgaff,16,267.67,0,False,False,Paid,True,True
83,926,2025-08-31,Network Coverage,Poor signal in home/work area,,26,518.64,0,False,False,Paid,True,True
84,927,2022-04-23,Price,Found cheaper alternative with competitor,Three,11,320.75,2,True,False,Paid,True,True
85,932,2025-07-21,Contract End,"Contract ended, chose not to renew",,47,874.29,2,True,False,Paid,False,True
86,948,2024-01-12,Contract End,"Contract ended, chose not to renew",,7,162.82,1,True,False,Paid,False,True
87,953,2025-12-19,Price,Found cheaper alternative with competitor,Sky Mobile,4,147.55,2,True,False,Paid,True,False
88,954,2021-06-13,Network Coverage,Poor signal in home/work area,,16,684.35,1,True,False,Paid,True,True
89,965,2025-09-27,Billing Issues,Disputes over charges,,24,904.65,2,True,False,Paid,False,True
90,969,2024-04-26,Price,Found cheaper alternative with competitor,giffgaff,39,773.25,0,False,False,Paid,True,True
91,984,2025-07-21,Network Quality,Slow speeds or poor performance,,11,452.83,2,True,False,Paid,False,True
92,986,2025-12-24,Price,Found cheaper alternative with competitor,Virgin Mobile,26,608.69,2,True,False,Paid,True,True
93,988,2024-01-21,Price,Found cheaper alternative with competitor,VOXI,28,908.4,0,False,False,Paid,True,True
94,995,2023-06-01,Contract End,"Contract ended, chose not to renew",,32,882.21,0,False,False,Paid,False,True
95,996,2025-06-25,Contract End,"Contract ended, chose not to renew",,42,1660.59,0,False,False,Paid,False,True
96,997,2024-03-09,Network Coverage,Poor signal in home/work area,,23,1033.43,1,True,False,Paid,True,True
97,998,2024-07-13,Price,Found cheaper alternative with competitor,Virgin Mobile,21,329.47,0,False,False,Paid,True,True
98,1001,2023-05-23,Network Coverage,Poor signal in home/work area,,33,1370.59,0,False,False,Paid,True,True
99,1004,2025-08-08,Network Coverage,Poor signal in home/work area,,49,1180.29,3,True,False,Paid,True,True
100,1007,2025-03-27,Price,Found cheaper alternative with competitor,Virgin Mobile,15,428.99,2,True,False,Paid,True,True
101,1010,2022-07-16,Price,Found cheaper alternative with competitor,O2,4,130.87,0,False,False,Paid,True,False
102,1025,2024-11-26,Relocation,Moving abroad or to area without coverage,,47,994.48,0,False,False,Paid,False,True
103,1027,2024-03-09,Bundle Deal,Switched to competitor bundle offer,Sky Mobile,17,715.67,1,True,False,Paid,True,True
104,1031,2025-08-02,Price,Found cheaper alternative with competitor,EE,23,722.98,1,True,False,Paid,True,True
105,1044,2024-03-10,Relocation,Moving abroad or to area without coverage,,12,518.15,0,False,False,Paid,False,True
106,1059,2025-09-16,Customer Service,Dissatisfied with support experience,,44,1927.64,3,True,False,Paid,False,True
107,1064,2025-11-13,Relocation,Moving abroad or to area without coverage,,5,205.97,0,False,False,Paid,False,False
108,1082,2024-01-28,Price,Found cheaper alternative with competitor,Sky Mobile,12,275.54,0,False,False,Paid,True,True
109,1087,2022-08-01,Customer Service,Dissatisfied with support experience,,25,683.22,0,False,False,Paid,False,True
110,1096,2024-04-30,Network Coverage,Poor signal in home/work area,,47,1786.86,1,True,False,Paid,True,True
111,1105,2023-08-01,Bundle Deal,Switched to competitor bundle offer,O2,33,1197.52,2,True,False,Paid,True,True
112,1112,2023-04-07,Bundle Deal,Switched to competitor bundle offer,Vodafone,34,1418.31,1,True,False,Paid,True,True
113,1116,2026-01-12,Bundle Deal,Switched to competitor bundle offer,Virgin Mobile,9,272.28,1,True,False,Paid,True,True
114,1124,2024-11-08,Bundle Deal,Switched to competitor bundle offer,O2,34,818.54,1,True,False,Paid,True,True
115,1146,2023-02-16,Network Quality,Slow speeds or poor performance,,37,971.98,2,True,False,Paid,False,True
116,1150,2024-05-09,Network Coverage,Poor signal in home/work area,,9,386.34,1,True,False,Paid,True,True
117,1158,2024-07-09,Bundle Deal,Switched to competitor bundle offer,VOXI,36,934.01,0,False,False,Paid,True,True
118,1165,2023-09-18,Customer Service,Dissatisfied with support experience,,21,570.1,1,True,False,Paid,False,True
119,1166,2026-02-09,Network Coverage,Poor signal in home/work area,,27,589.69,2,True,False,Paid,True,True
120,1167,2021-03-23,Contract End,"Contract ended, chose not to renew",,10,207.8,0,False,False,Paid,False,True
121,1175,2022-04-04,Network Coverage,Poor signal in home/work area,,9,149.48,2,True,False,Paid,True,True
122,1197,2023-09-26,Price,Found cheaper alternative with competitor,Tesco Mobile,15,299.59,2,True,False,Paid,True,True
123,1203,2024-11-20,Bundle Deal,Switched to competitor bundle offer,EE,26,742.61,0,False,False,Paid,True,True
124,1208,2024-07-10,Customer Service,Dissatisfied with support experience,,34,605.73,1,True,False,Paid,False,True
125,1219,2025-09-23,Network Coverage,Poor signal in home/work area,,12,458.91,1,True,False,Paid,True,True
126,1221,2021-12-30,Price,Found cheaper alternative with competitor,Sky Mobile,3,60.82,1,True,False,Paid,True,False
127,1224,2024-08-27,Bundle Deal,Switched to competitor bundle offer,VOXI,36,827.44,3,True,False,Paid,True,True
128,1232,2023-07-05,Competitor Promotion,Attracted by competitor offer,Sky Mobile,32,967.69,1,True,False,Paid,True,True
129,1235,2024-08-04,Bundle Deal,Switched to competitor bundle offer,Vodafone,43,1553.27,2,True,False,Paid,True,True
130,1236,2022-10-04,Competitor Promotion,Attracted by competitor offer,Vodafone,13,573.31,1,True,False,Paid,True,True
131,1238,2023-09-17,Price,Found cheaper alternative with competitor,O2,30,842.09,1,True,False,Paid,True,True
132,1254,2024-04-20,Price,Found cheaper alternative with competitor,Three,19,439.64,2,True,False,Paid,True,True
133,1272,2023-06-29,Price,Found cheaper alternative with competitor,O2,19,355.64,2,True,False,Paid,True,True
134,1274,2023-10-19,Relocation,Moving abroad or to area without coverage,,29,1157.95,0,False,False,Paid,False,True
135,1289,2026-02-15,Competitor Promotion,Attracted by competitor offer,Vodafone,31,702.83,1,True,False,Paid,True,True
136,1301,2024-03-19,Contract End,"Contract ended, chose not to renew",,6,148.36,0,False,False,Paid,False,True
137,1323,2024-01-29,Network Coverage,Poor signal in home/work area,,19,769.23,3,True,False,Paid,True,True
138,1326,2022-12-02,No Longer Needed,No longer requires mobile service,,11,243.6,0,False,False,Paid,False,True
139,1337,2023-07-25,Contract End,"Contract ended, chose not to renew",,37,1483.22,0,False,False,Paid,False,True
140,1341,2022-06-10,Bundle Deal,Switched to competitor bundle offer,Sky Mobile,21,521.21,1,True,False,Paid,True,True
141,1343,2026-02-23,Customer Service,Dissatisfied with support experience,,4,97.76,1,True,False,Outstanding,False,False
142,1345,2023-11-30,Price,Found cheaper alternative with competitor,O2,6,246.21,3,True,False,Paid,True,True
143,1348,2022-12-18,Bundle Deal,Switched to competitor bundle offer,VOXI,18,681.22,0,False,False,Paid,True,True
144,1351,2022-05-15,Bundle Deal,Switched to competitor bundle offer,Sky Mobile,27,547.67,1,True,False,Paid,True,True
145,1383,2023-07-01,Network Coverage,Poor signal in home/work area,,41,1249.15,1,True,False,Paid,True,True
146,1385,2023-12-13,Price,Found cheaper alternative with competitor,giffgaff,24,778.83,1,True,False,Paid,True,True
147,1394,2024-12-10,Network Coverage,Poor signal in home/work area,,17,564.62,2,True,False,Paid,True,True
148,1404,2022-02-03,Relocation,Moving abroad or to area without coverage,,9,256.95,2,True,False,Paid,False,True
149,1410,2024-05-26,Contract End,"Contract ended, chose not to renew",,17,390.16,0,False,False,Paid,False,True
150,1426,2022-01-12,Network Quality,Slow speeds or poor performance,,15,517.77,0,False,False,Paid,False,True
151,1428,2024-09-25,Bundle Deal,Switched to competitor bundle offer,Vodafone,5,215.17,0,False,False,Paid,True,False
152,1439,2025-10-19,Contract End,"Contract ended, chose not to renew",,9,329.14,2,True,False,Paid,False,True
153,1445,2024-06-29,Billing Issues,Disputes over charges,,23,806.09,3,True,False,Paid,False,True
154,1450,2024-04-12,Bundle Deal,Switched to competitor bundle offer,Vodafone,29,958.73,2,True,False,Paid,True,True
155,1456,2021-10-08,Price,Found cheaper alternative with competitor,Three,18,790.46,2,True,False,Paid,True,True
156,1471,2025-06-28,Network Coverage,Poor signal in home/work area,,32,805.29,1,True,False,Paid,True,True
157,1477,2022-03-06,Bundle Deal,Switched to competitor bundle offer,giffgaff,17,654.75,1,True,False,Paid,True,True
158,1484,2023-03-23,Price,Found cheaper alternative with competitor,Tesco Mobile,18,663.0,1,True,False,Paid,True,True
159,1487,2024-02-12,Customer Service,Dissatisfied with support experience,,40,1237.68,0,False,False,Paid,False,True
160,1489,2021-09-17,Network Coverage,Poor signal in home/work area,,10,302.24,1,True,False,Outstanding,True,False
161,1501,2025-09-19,Customer Service,Dissatisfied with support experience,,14,416.17,2,True,False,Paid,False,True
162,1516,2024-03-24,Network Coverage,Poor signal in home/work area,,49,984.64,2,True,False,Paid,True,True
163,1540,2023-11-07,Price,Found cheaper alternative with competitor,O2,46,1290.57,0,False,False,Paid,True,True
164,1541,2026-01-08,Relocation,Moving abroad or to area without coverage,,42,1204.06,2,True,False,Paid,False,True
165,1549,2023-07-04,Bundle Deal,Switched to competitor bundle offer,VOXI,17,547.17,2,True,False,Paid,True,True
166,1550,2021-04-03,Price,Found cheaper alternative with competitor,Sky Mobile,6,231.92,1,True,False,Paid,True,True
167,1553,2022-06-02,Price,Found cheaper alternative with competitor,Three,29,824.91,2,True,False,Paid,True,True
168,1558,2025-01-02,Relocation,Moving abroad or to area without coverage,,25,1033.41,1,True,False,Paid,False,True
169,1584,2024-08-20,Billing Issues,Disputes over charges,,33,758.91,1,True,False,Paid,False,True
170,1589,2024-01-08,Price,Found cheaper alternative with competitor,VOXI,23,615.75,1,True,False,Paid,True,True
171,1590,2024-05-31,Price,Found cheaper alternative with competitor,O2,36,1614.6,3,True,False,Paid,True,True
172,1599,2024-11-17,No Longer Needed,No longer requires mobile service,,20,308.26,1,True,False,Written Off,False,False
173,1603,2025-09-13,Network Quality,Slow speeds or poor performance,,9,297.51,0,False,False,Paid,False,True
174,1605,2025-08-15,Network Quality,Slow speeds or poor performance,,25,625.92,3,True,False,Paid,False,True
175,1609,2022-12-01,Price,Found cheaper alternative with competitor,VOXI,10,204.81,0,False,False,Paid,True,True
176,1619,2024-07-21,Contract End,"Contract ended, chose not to renew",,33,1237.0,1,True,False,Paid,False,True
177,1622,2024-11-29,Customer Service,Dissatisfied with support experience,,7,175.25,2,True,False,Paid,False,True
178,1663,2022-05-06,Competitor Promotion,Attracted by competitor offer,Sky Mobile,5,132.98,1,True,False,Paid,True,False
179,1668,2024-05-09,Customer Service,Dissatisfied with support experience,,29,984.93,2,True,False,Paid,False,True
180,1679,2023-04-19,Device Issues,Device not supported on network,,15,353.72,0,False,False,Paid,False,True
181,1694,2024-07-02,Bundle Deal,Switched to competitor bundle offer,EE,4,122.93,2,True,False,Paid,True,False
182,1697,2024-12-07,Network Coverage,Poor signal in home/work area,,23,1023.7,0,False,False,Paid,True,True
183,1704,2023-01-28,Bundle Deal,Switched to competitor bundle offer,VOXI,14,311.61,0,False,False,Paid,True,True
184,1711,2023-11-25,Device Issues,Device not supported on network,,16,612.26,0,False,False,Outstanding,False,False
185,1712,2025-08-23,Network Coverage,Poor signal in home/work area,,39,1186.64,3,True,False,Paid,True,True
186,1713,2022-04-03,Network Coverage,Poor signal in home/work area,,21,787.7,1,True,False,Paid,True,True
187,1724,2024-02-05,Bundle Deal,Switched to competitor bundle offer,O2,31,472.6,0,False,False,Paid,True,True
188,1753,2025-07-09,Billing Issues,Disputes over charges,,32,942.26,0,False,False,Paid,False,True
189,1759,2023-01-29,Billing Issues,Disputes over charges,,12,211.02,1,True,False,Paid,False,True
190,1765,2021-07-22,Network Quality,Slow speeds or poor performance,,10,254.42,2,True,False,Paid,False,True
191,1777,2025-07-05,Price,Found cheaper alternative with competitor,Vodafone,34,1282.83,3,True,False,Paid,True,True
192,1779,2026-01-06,Price,Found cheaper alternative with competitor,Sky Mobile,26,507.4,0,False,False,Paid,True,True
193,1782,2025-10-23,Billing Issues,Disputes over charges,,29,681.79,0,False,False,Paid,False,True
194,1784,2023-04-22,Network Coverage,Poor signal in home/work area,,33,1312.49,1,True,False,Paid,True,True
195,1786,2022-09-26,Bundle Deal,Switched to competitor bundle offer,EE,7,295.23,0,False,False,Paid,True,True
196,1812,2023-04-01,Price,Found cheaper alternative with competitor,Sky Mobile,16,476.17,0,False,False,Paid,True,True
197,1833,2024-06-08,Price,Found cheaper alternative with competitor,EE,46,964.79,0,False,False,Paid,True,True
198,1847,2021-12-16,Price,Found cheaper alternative with competitor,EE,18,565.84,1,True,False,Paid,True,True
199,1850,2023-01-17,Price,Found cheaper alternative with competitor,giffgaff,27,947.82,0,False,False,Paid,True,True
200,1865,2024-10-02,Competitor Promotion,Attracted by competitor offer,Three,43,685.97,0,False,False,Paid,True,True
201,1887,2025-04-12,Bundle Deal,Switched to competitor bundle offer,O2,5,192.54,1,True,False,Paid,True,False
202,1916,2024-07-26,Relocation,Moving abroad or to area without coverage,,15,459.32,1,True,False,Paid,False,True
203,1930,2023-11-17,Network Coverage,Poor signal in home/work area,,36,1024.53,0,False,False,Paid,True,True
204,1968,2023-11-03,Customer Service,Dissatisfied with support experience,,20,427.66,2,True,False,Paid,False,True
205,1991,2021-09-21,Price,Found cheaper alternative with competitor,giffgaff,7,132.61,3,True,False,Paid,True,True
206,2014,2024-06-14,Contract End,"Contract ended, chose not to renew",,15,581.45,2,True,False,Paid,False,True
207,2023,2024-01-09,Competitor Promotion,Attracted by competitor offer,Virgin Mobile,22,501.15,1,True,False,Paid,True,True
208,2074,2024-02-02,Bundle Deal,Switched to competitor bundle offer,Vodafone,7,123.4,0,False,False,Paid,True,True
209,2094,2026-02-03,No Longer Needed,No longer requires mobile service,,36,1015.99,1,True,False,Paid,False,True
210,2128,2024-07-15,Network Coverage,Poor signal in home/work area,,6,144.49,0,False,False,Paid,True,True
211,2136,2025-10-20,Network Coverage,Poor signal in home/work area,,17,709.94,3,True,False,Paid,True,True
212,2141,2025-12-07,Price,Found cheaper alternative with competitor,Tesco Mobile,36,1061.68,1,True,False,Paid,True,True
213,2145,2025-09-05,Network Quality,Slow speeds or poor performance,,17,364.92,2,True,False,Paid,False,True
214,2157,2021-10-20,Contract End,"Contract ended, chose not to renew",,10,381.86,1,True,False,Paid,False,True
215,2182,2024-07-22,Billing Issues,Disputes over charges,,19,405.93,1,True,False,Paid,False,True
216,2187,2024-12-27,Contract End,"Contract ended, chose not to renew",,3,71.51,1,True,False,Paid,False,False
217,2192,2025-06-12,No Longer Needed,No longer requires mobile service,,28,774.18,1,True,False,Paid,False,True
218,2205,2024-11-27,Bundle Deal,Switched to competitor bundle offer,Three,17,599.9,1,True,False,Paid,True,True
219,2207,2021-02-10,Network Coverage,Poor signal in home/work area,,9,294.3,3,True,False,Outstanding,True,False
220,2224,2021-11-12,No Longer Needed,No longer requires mobile service,,13,392.95,1,True,False,Paid,False,True
221,2225,2024-05-06,Contract End,"Contract ended, chose not to renew",,22,834.59,3,True,False,Paid,False,True
222,2229,2023-08-04,Price,Found cheaper alternative with competitor,EE,10,443.5,1,True,False,Paid,True,True
223,2237,2024-10-30,Price,Found cheaper alternative with competitor,Sky Mobile,48,1636.38,2,True,False,Paid,True,True
224,2254,2023-05-27,Price,Found cheaper alternative with competitor,Virgin Mobile,27,916.13,2,True,False,Paid,True,True
225,2263,2024-08-10,Price,Found cheaper alternative with competitor,O2,3,96.18,0,False,False,Paid,True,False
226,2270,2026-02-24,Contract End,"Contract ended, chose not to renew",,24,939.54,3,True,False,Paid,False,True
227,2271,2024-06-07,Network Quality,Slow speeds or poor performance,,48,971.8,0,False,False,Paid,False,True
228,2308,2025-08-14,Relocation,Moving abroad or to area without coverage,,9,366.26,0,False,False,Paid,False,True
229,2330,2024-07-04,Network Quality,Slow speeds or poor performance,,28,771.81,3,True,False,Paid,False,True
230,2350,2023-04-01,Customer Service,Dissatisfied with support experience,,37,827.41,0,False,False,Paid,False,True
231,2360,2022-08-08,Competitor Promotion,Attracted by competitor offer,VOXI,31,1371.64,1,True,False,Paid,True,True
232,2365,2022-11-29,Price,Found cheaper alternative with competitor,O2,4,96.92,2,True,False,Paid,True,False
233,2374,2021-10-28,Price,Found cheaper alternative with competitor,giffgaff,17,309.13,2,True,False,Paid,True,True
234,2375,2026-02-11,Bundle Deal,Switched to competitor bundle offer,Three,28,1232.1,2,True,False,Paid,True,True
235,2391,2021-10-01,Contract End,"Contract ended, chose not to renew",,7,118.69,2,True,False,Paid,False,True
236,2393,2026-02-23,Customer Service,Dissatisfied with support experience,,25,1011.27,0,False,False,Paid,False,True
237,2397,2025-09-23,Customer Service,Dissatisfied with support experience,,41,1659.01,2,True,False,Paid,False,True
238,2398,2023-10-08,Customer Service,Dissatisfied with support experience,,40,1480.64,1,True,False,Paid,False,True
239,2409,2024-07-13,Price,Found cheaper alternative with competitor,Vodafone,7,278.8,1,True,False,Paid,True,True
240,2429,2024-10-05,Price,Found cheaper alternative with competitor,giffgaff,6,126.24,1,True,False,Paid,True,True
241,2430,2024-04-28,Price,Found cheaper alternative with competitor,Sky Mobile,32,1266.94,1,True,False,Paid,True,True
242,2437,2026-01-15,Competitor Promotion,Attracted by competitor offer,Tesco Mobile,25,1078.43,1,True,False,Paid,True,True
243,2449,2021-10-17,Price,Found cheaper alternative with competitor,Tesco Mobile,14,392.25,0,False,False,Paid,True,True
244,2473,2024-06-14,Price,Found cheaper alternative with competitor,Three,41,1309.48,0,False,False,Paid,True,True
245,2490,2023-12-02,Bundle Deal,Switched to competitor bundle offer,Virgin Mobile,29,503.59,1,True,False,Paid,True,True
246,2501,2021-09-25,Price,Found cheaper alternative with competitor,Vodafone,14,291.06,1,True,False,Paid,True,True
247,2502,2023-10-08,Bundle Deal,Switched to competitor bundle offer,Sky Mobile,6,227.71,2,True,False,Paid,True,True
248,2504,2023-10-25,Price,Found cheaper alternative with competitor,VOXI,45,909.29,1,True,False,Paid,True,True
249,2532,2024-11-07,Price,Found cheaper alternative with competitor,Vodafone,20,365.47,2,True,False,Paid,True,True
250,2551,2024-04-05,Contract End,"Contract ended, chose not to renew",,16,437.51,1,True,False,Paid,False,True
251,2556,2024-09-08,Price,Found cheaper alternative with competitor,VOXI,24,994.24,2,True,False,Paid,True,True
252,2561,2021-10-18,Competitor Promotion,Attracted by competitor offer,VOXI,14,382.37,1,True,False,Paid,True,True
253,2576,2025-08-26,Bundle Deal,Switched to competitor bundle offer,EE,10,160.74,1,True,False,Paid,True,True
254,2586,2026-02-24,Price,Found cheaper alternative with competitor,Vodafone,45,1833.07,1,True,False,Paid,True,True
255,2592,2024-07-17,Price,Found cheaper alternative with competitor,Vodafone,33,855.77,0,False,False,Paid,True,True
256,2609,2024-04-21,Price,Found cheaper alternative with competitor,Three,23,708.65,0,False,False,Paid,True,True
257,2616,2025-10-05,Contract End,"Contract ended, chose not to renew",,4,65.95,0,False,False,Paid,False,False
258,2617,2024-05-17,Customer Service,Dissatisfied with support experience,,47,1106.04,0,False,False,Paid,False,True
259,2620,2023-03-05,Bundle Deal,Switched to competitor bundle offer,O2,34,596.12,1,True,False,Paid,True,True
