element_id,element_name,element_type,category,site_key,vendor,model,serial_number,ip_address,city,county,status,install_date,last_maintenance,capacity_gbps,criticality
28,ROU-GLA-00028,Router,Core,19,Nokia,Nokia-7250-IXR,SN994356192,10.236.13.168,Glasgow,Scotland,Maintenance,2016-04-07,2022-05-04,44.8,Critical
29,ROU-CAR-00029,Router,Core,40,Juniper,Juniper-ACX,SN397170815,10.145.29.181,Cardiff,Wales,Offline,2016-06-03,2023-11-10,91.7,Critical
30,ROU-NOT-00030,Router,Core,30,Cisco,Cisco-NCS-5500,SN955805187,10.220.13.28,Nottingham,Nottinghamshire,Maintenance,2019-01-26,2022-05-14,15.4,Medium
31,ROU-CAM-00031,Router,Core,12,Ericsson,Ericsson-Router-8000,SN729309542,10.248.21.29,Cambridge,Cambridgeshire,Active,2016-04-16,2016-07-05,49.9,Critical
32,ROU-COV-00032,Router,Core,49,Juniper,Juniper-MX-Series,SN553808363,10.27.235.219,Coventry,West Midlands,Active,2019-10-10,2024-08-22,52.8,Medium
33,ROU-SHE-00033,Router,Core,36,Juniper,Juniper-MX-Series,SN934687907,10.57.41.193,Sheffield,South Yorkshire,Offline,2022-04-07,2025-01-20,32.0,Low
34,ROU-LON-00034,Router,Core,35,Ericsson,Ericsson-Router-8000,SN882041294,10.156.171.114,London,Greater London,Offline,2023-03-10,2025-01-06,83.4,Low
35,ROU-SOU-00035,Router,Core,43,Huawei,Huawei-NetEngine-8000,SN647328344,10.114.127.99,Southampton,Hampshire,Active,2023-07-19,2024-09-24,98.1,High
36,ROU-SHE-00036,Router,Core,9,Nokia,Nokia-7750-SR,SN258578988,10.28.47.103,Sheffield,South Yorkshire,Active,2015-06-11,2024-01-04,11.4,High
37,ROU-OXF-00037,Router,Core,44,Huawei,Huawei-NetEngine-8000,SN687420063,10.93.203.246,Oxford,Oxfordshire,Maintenance,2024-06-11,2025-08-22,89.7,Medium
38,ROU-SOU-00038,Router,Core,22,Cisco,Cisco-NCS-5500,SN398457660,10.110.130.120,Southampton,Hampshire,Active,2019-10-06,2020-05-23,89.9,Critical
39,ROU-NEW-00039,Router,Core,2,Nokia,Nokia-7250-IXR,SN664697801,10.167.21.44,Newcastle,Tyne and Wear,Active,2016-09-21,2022-08-01,84.9,Medium
40,ROU-BEL-00040,Router,Core,11,Nokia,Nokia-FP5,SN541154114,10.132.90.199,Belfast,Northern Ireland,Active,2024-12-09,2025-01-16,94.2,Low
41,ROU-LEE-00041,Router,Core,49,Nokia,Nokia-7250-IXR,SN504219930,10.119.19.141,Leeds,West Yorkshire,Active,2024-05-09,2024-10-15,5.1,Critical
42,ROU-BRI-00042,Router,Core,11,Juniper,Juniper-PTX-Series,SN296077839,10.103.213.203,Brighton,East Sussex,Offline,2022-05-24,2023-06-16,77.2,Medium
43,ROU-GLA-00043,Router,Core,49,Ericsson,Ericsson-Router-6000,SN411821529,10.52.12.219,Glasgow,Scotland,Offline,2022-09-26,2023-09-16,67.2,Low
44,ROU-LIV-00044,Router,Core,1,Juniper,Juniper-ACX,SN232609516,10.105.143.99,Liverpool,Merseyside,Degraded,2021-04-28,2024-10-03,5.8,Critical
45,ROU-NEW-00045,Router,Core,2,Nokia,Nokia-FP5,SN653894702,10.145.135.210,Newcastle,Tyne and Wear,Active,2023-02-22,2023-04-14,9.1,Critical
46,ROU-BIR-00046,Router,Core,7,Nokia,Nokia-7250-IXR,SN701524631,10.2.151.49,Birmingham,West Midlands,Offline,2017-02-01,2018-02-15,97.1,Low
47,ROU-OXF-00047,Router,Core,5,Cisco,Cisco-ASR-1000,SN953127919,10.52.137.83,Oxford,Oxfordshire,Offline,2023-06-06,2025-08-07,27.4,Critical
48,ROU-GLA-00048,Router,Core,13,Nokia,Nokia-7250-IXR,SN928046523,10.217.180.158,Glasgow,Scotland,Maintenance,2024-03-08,2024-06-17,18.6,Critical
49,ROU-REA-00049,Router,Core,9,Cisco,Cisco-NCS-5500,SN148214779,10.102.178.105,Reading,Berkshire,Degraded,2021-11-24,2022-05-27,27.7,High
50,ROU-BEL-00050,Router,Core,3,Nokia,Nokia-7250-IXR,SN848681396,10.189.199.180,Belfast,Northern Ireland,Maintenance,2016-11-05,2020-03-30,10.1,Low
51,ROU-EDI-00051,Router,Core,39,Ericsson,Ericsson-Router-6000,SN927633629,10.190.203.159,Edinburgh,Scotland,Degraded,2019-04-01,2024-05-30,10.6,High
52,ROU-EDI-00052,Router,Core,8,Cisco,Cisco-8000,SN376947741,10.249.9.98,Edinburgh,Scotland,Maintenance,2016-01-28,2021-03-25,81.4,Medium
53,ROU-LEE-00053,Router,Core,9,Juniper,Juniper-PTX-Series,SN524158594,10.178.115.52,Leeds,West Yorkshire,Offline,2023-03-14,2025-11-30,77.3,Low
54,ROU-OXF-00054,Router,Core,8,Nokia,Nokia-FP5,SN796709990,10.76.23.228,Oxford,Oxfordshire,Active,2018-03-30,2022-08-15,71.0,Low
55,ROU-NEW-00055,Router,Core,41,Nokia,Nokia-FP5,SN364867599,10.29.163.111,Newcastle,Tyne and Wear,Active,2023-01-25,2023-11-17,66.7,Low
56,ROU-MAN-00056,Router,Core,27,Cisco,Cisco-ASR-1000,SN276663617,10.129.152.23,Manchester,Greater Manchester,Active,2015-04-24,2025-08-30,53.9,Medium
57,ROU-MAN-00057,Router,Core,37,Nokia,Nokia-FP5,SN366200094,10.163.255.103,Manchester,Greater Manchester,Active,2024-09-04,2024-11-17,64.7,Critical
58,ROU-NEW-00058,Router,Core,3,Ericsson,Ericsson-Router-8000,SN478850796,10.192.154.231,Newcastle,Tyne and Wear,Active,2018-01-06,2023-05-08,81.5,Critical
59,ROU-REA-00059,Router,Core,11,Cisco,Cisco-8000,SN130663521,10.136.77.58,Reading,Berkshire,Active,2025-03-17,2025-04-12,71.3,Critical
60,ROU-SOU-00060,Router,Core,43,Juniper,Juniper-ACX,SN565748351,10.178.136.192,Southampton,Hampshire,Active,2023-11-14,2025-02-23,64.8,Critical
61,ROU-BIR-00061,Router,Core,49,Juniper,Juniper-PTX-Series,SN553188429,10.189.7.206,Birmingham,West Midlands,Active,2019-07-26,2025-11-29,54.1,Low
62,ROU-LON-00062,Router,Core,12,Juniper,Juniper-MX-Series,SN562518269,10.217.69.10,London,Greater London,Maintenance,2016-01-01,2022-12-20,16.2,High
63,ROU-LON-00063,Router,Core,3,Juniper,Juniper-MX-Series,SN599368920,10.159.121.104,London,Greater London,Offline,2021-08-04,2024-05-03,41.5,Medium
64,ROU-CAM-00064,Router,Core,46,Cisco,Cisco-NCS-5500,SN794519886,10.113.209.251,Cambridge,Cambridgeshire,Active,2021-07-04,2025-11-18,17.9,Critical
65,ROU-BRI-00065,Router,Core,50,Nokia,Nokia-7750-SR,SN954190080,10.225.225.155,Brighton,East Sussex,Active,2017-05-07,2019-12-20,70.0,Low
66,ROU-LEI-00066,Router,Core,18,Juniper,Juniper-MX-Series,SN776247889,10.193.144.79,Leicester,Leicestershire,Active,2018-06-16,2019-04-05,45.3,Medium
67,ROU-REA-00067,Router,Core,27,Huawei,Huawei-NE-Series,SN578213728,10.117.149.6,Reading,Berkshire,Active,2019-05-14,2022-10-08,47.1,Critical
68,ROU-CAM-00068,Router,Core,13,Cisco,Cisco-ASR-1000,SN237639336,10.187.238.156,Cambridge,Cambridgeshire,Active,2016-05-12,2018-06-29,55.7,Critical
69,ROU-BRI-00069,Router,Core,9,Nokia,Nokia-FP5,SN393632394,10.49.230.224,Bristol,Avon,Active,2019-05-11,2022-07-06,35.8,Critical
70,ROU-COV-00070,Router,Core,18,Juniper,Juniper-ACX,SN991523570,10.135.33.149,Coventry,West Midlands,Active,2021-01-15,2022-08-13,51.7,Critical
71,ROU-NEW-00071,Router,Core,20,Nokia,Nokia-7250-IXR,SN937433506,10.85.100.31,Newcastle,Tyne and Wear,Active,2015-12-19,2020-04-07,54.1,Low
72,ROU-COV-00072,Router,Core,7,Juniper,Juniper-MX-Series,SN940061726,10.34.88.193,Coventry,West Midlands,Active,2024-07-20,2025-06-06,6.8,Medium
73,ROU-SHE-00073,Router,Core,12,Ericsson,Ericsson-Router-6000,SN375796500,10.127.64.45,Sheffield,South Yorkshire,Maintenance,2015-11-17,2023-11-20,60.6,Critical
74,ROU-BRI-00074,Router,Core,19,Huawei,Huawei-NE-Series,SN849919520,10.74.129.62,Bristol,Avon,Offline,2015-04-17,2019-01-11,98.8,Medium
75,ROU-LIV-00075,Router,Core,32,Ericsson,Ericsson-Router-6000,SN522819493,10.121.77.46,Liverpool,Merseyside,Active,2024-12-10,2025-03-05,30.1,Low
76,ROU-OXF-00076,Router,Core,7,Ericsson,Ericsson-Router-6000,SN666142951,10.172.224.18,Oxford,Oxfordshire,Active,2016-10-29,2020-02-17,30.6,Critical
77,ROU-COV-00077,Router,Core,47,Cisco,Cisco-NCS-5500,SN548575463,10.61.162.107,Coventry,West Midlands,Maintenance,2016-05-22,2023-08-11,9.6,Low
78,ROU-REA-00078,Router,Core,24,Huawei,Huawei-ATN-900,SN283947737,10.236.65.18,Reading,Berkshire,Offline,2016-06-21,2024-06-23,25.5,Critical
79,ROU-EDI-00079,Router,Core,33,Huawei,Huawei-ATN-900,SN551173846,10.60.44.47,Edinburgh,Scotland,Active,2017-11-21,2020-08-09,13.6,Low
80,ROU-CAM-00080,Router,Core,39,Juniper,Juniper-MX-Series,SN527403816,10.86.82.159,Cambridge,Cambridgeshire,Active,2022-03-19,2023-03-14,71.9,Low
81,ROU-LEI-00081,Router,Core,18,Ericsson,Ericsson-Router-6000,SN165717261,10.9.101.156,Leicester,Leicestershire,Active,2022-10-06,2025-07-17,30.9,High
82,ROU-LIV-00082,Router,Core,6,Nokia,Nokia-FP5,SN213618650,10.189.110.90,Liverpool,Merseyside,Active,2016-04-11,2025-04-29,53.6,Critical
83,ROU-GLA-00083,Router,Core,9,Nokia,Nokia-7750-SR,SN353393620,10.112.126.100,Glasgow,Scotland,Offline,2019-04-27,2022-07-05,69.8,Critical
84,ROU-OXF-00084,Router,Core,45,Huawei,Huawei-NE-Series,SN250356090,10.206.30.248,Oxford,Oxfordshire,Offline,2015-07-15,2016-07-10,68.0,Medium
85,ROU-BRI-00085,Router,Core,5,Ericsson,Ericsson-Router-8000,SN263259647,10.38.54.134,Brighton,East Sussex,Degraded,2017-09-13,2024-05-25,31.7,Critical
86,ROU-MAN-00086,Router,Core,23,Ericsson,Ericsson-Router-8000,SN218954427,10.102.77.222,Manchester,Greater Manchester,Active,2021-07-10,2022-05-04,15.6,Low
87,ROU-EDI-00087,Router,Core,15,Nokia,Nokia-7750-SR,SN328699108,10.226.177.138,Edinburgh,Scotland,Active,2024-05-30,2025-12-29,13.1,Low
88,ROU-EDI-00088,Router,Core,46,Nokia,Nokia-FP5,SN294897225,10.139.0.138,Edinburgh,Scotland,Active,2021-11-23,2022-03-14,64.5,Critical
89,ROU-SHE-00089,Router,Core,27,Juniper,Juniper-ACX,SN147193462,10.161.173.188,Sheffield,South Yorkshire,Active,2018-11-30,2022-03-23,5.9,High
90,ROU-CAM-00090,Router,Core,15,Ericsson,Ericsson-Router-6000,SN757883352,10.225.249.167,Cambridge,Cambridgeshire,Maintenance,2020-08-03,2022-04-19,8.6,High
91,ROU-NEW-00091,Router,Core,8,Nokia,Nokia-7750-SR,SN532389913,10.115.91.144,Newcastle,Tyne and Wear,Active,2023-01-09,2023-05-01,29.0,High
92,ROU-BRI-00092,Router,Core,49,Cisco,Cisco-ASR-1000,SN427479171,10.149.222.67,Brighton,East Sussex,Degraded,2020-08-30,2025-12-18,19.6,High
93,ROU-NEW-00093,Router,Core,23,Nokia,Nokia-FP5,SN697504514,10.135.6.245,Newcastle,Tyne and Wear,Active,2016-03-29,2021-04-16,23.0,Critical
94,ROU-MAN-00094,Router,Core,38,Cisco,Cisco-8000,SN386490884,10.150.77.243,Manchester,Greater Manchester,Active,2025-05-31,2025-12-14,63.5,Critical
95,ROU-BEL-00095,Router,Core,35,Nokia,Nokia-7250-IXR,SN950665834,10.44.72.35,Belfast,Northern Ireland,Active,2016-10-21,2020-11-04,58.4,Medium
96,ROU-CAM-00096,Router,Core,17,Nokia,Nokia-7750-SR,SN217391540,10.90.194.219,Cambridge,Cambridgeshire,Active,2025-02-25,2025-08-31,54.3,Medium
97,ROU-NOT-00097,Router,Core,49,Cisco,Cisco-8000,SN487698498,10.122.149.68,Nottingham,Nottinghamshire,Degraded,2022-05-17,2025-08-31,14.7,Medium
98,ROU-BEL-00098,Router,Core,43,Cisco,Cisco-ASR-1000,SN425774682,10.205.116.150,Belfast,Northern Ireland,Degraded,2019-07-27,2023-09-27,79.5,Medium
99,ROU-SOU-00099,Router,Core,11,Ericsson,Ericsson-Router-6000,SN645843904,10.4.182.13,Southampton,Hampshire,Active,2017-02-15,2023-03-23,10.8,Medium
100,ROU-COV-00100,Router,Core,17,Huawei,Huawei-NE-Series,SN203684364,10.19.132.204,Coventry,West Midlands,Active,2023-04-16,2025-07-25,7.6,High
101,ROU-BRI-00101,Router,Core,44,Huawei,Huawei-NE-Series,SN835169546,10.178.126.127,Bristol,Avon,Degraded,2023-06-02,2025-04-20,37.9,Low
102,ROU-REA-00102,Router,Core,49,Ericsson,Ericsson-Router-8000,SN407861015,10.186.134.135,Reading,Berkshire,Degraded,2016-12-06,2022-01-14,54.7,Medium
103,ROU-BRI-00103,Router,Core,11,Ericsson,Ericsson-Router-8000,SN524394609,10.222.223.20,Brighton,East Sussex,Active,2019-08-27,2022-09-22,4.9,Critical
104,ROU-GLA-00104,Router,Core,18,Nokia,Nokia-7250-IXR,SN947269699,10.51.99.126,Glasgow,Scotland,Maintenance,2017-11-23,2023-12-29,18.0,Medium
105,ROU-NEW-00105,Router,Core,9,Cisco,Cisco-NCS-5500,SN191699793,10.199.243.221,Newcastle,Tyne and Wear,Active,2019-04-09,2022-07-27,16.6,Low
106,ROU-BEL-00106,Router,Core,8,Juniper,Juniper-PTX-Series,SN941395732,10.163.51.92,Belfast,Northern Ireland,Active,2018-09-18,2023-05-11,93.8,Medium
107,ROU-EDI-00107,Router,Core,8,Huawei,Huawei-ATN-900,SN260103454,10.238.133.45,Edinburgh,Scotland,Active,2017-10-02,2020-04-03,14.7,Critical
108,ROU-LEI-00108,Router,Core,26,Ericsson,Ericsson-Router-6000,SN523672665,10.80.109.92,Leicester,Leicestershire,Active,2015-08-24,2025-04-02,42.8,Low
109,ROU-LIV-00109,Router,Core,2,Ericsson,Ericsson-Router-8000,SN335905873,10.29.163.192,Liverpool,Merseyside,Offline,2015-12-18,2024-02-21,56.2,Low
110,ROU-REA-00110,Router,Core,20,Huawei,Huawei-NE-Series,SN341665632,10.45.203.57,Reading,Berkshire,Active,2016-10-11,2018-02-19,97.6,High
111,ROU-SOU-00111,Router,Core,50,Cisco,Cisco-NCS-5500,SN989706240,10.105.155.9,Southampton,Hampshire,Degraded,2020-06-15,2025-06-12,55.0,Medium
112,ROU-SHE-00112,Router,Core,23,Ericsson,Ericsson-Router-8000,SN771210145,10.174.247.230,Sheffield,South Yorkshire,Maintenance,2021-08-17,2024-01-28,8.8,Low
113,ROU-BRI-00113,Router,Core,35,Ericsson,Ericsson-Router-6000,SN144238222,10.19.230.113,Brighton,East Sussex,Active,2019-08-20,2023-08-22,48.0,Critical
114,ROU-BIR-00114,Router,Core,36,Cisco,Cisco-8000,SN377243386,10.154.83.62,Birmingham,West Midlands,Offline,2022-06-28,2022-12-22,60.3,Critical
115,ROU-SOU-00115,Router,Core,12,Huawei,Huawei-ATN-900,SN214458348,10.158.4.226,Southampton,Hampshire,Maintenance,2015-12-23,2023-08-01,46.3,Low
116,ROU-BRI-00116,Router,Core,40,Juniper,Juniper-PTX-Series,SN704249852,10.47.243.59,Brighton,East Sussex,Active,2017-03-25,2025-10-04,37.9,Critical
117,ROU-BEL-00117,Router,Core,6,Juniper,Juniper-MX-Series,SN447184863,10.245.168.198,Belfast,Northern Ireland,Active,2015-11-30,2024-07-19,63.6,Low
118,ROU-BIR-00118,Router,Core,8,Ericsson,Ericsson-Router-8000,SN749576368,10.79.45.88,Birmingham,West Midlands,Offline,2024-10-19,2025-02-07,74.7,High
119,ROU-REA-00119,Router,Core,37,Nokia,Nokia-7750-SR,SN390168071,10.228.146.158,Reading,Berkshire,Active,2021-05-21,2022-04-08,75.5,Critical
120,ROU-COV-00120,Router,Core,42,Cisco,Cisco-NCS-5500,SN499839797,10.91.168.237,Coventry,West Midlands,Active,2020-12-11,2021-05-23,9.3,High
121,ROU-GLA-00121,Router,Core,21,Juniper,Juniper-MX-Series,SN437568474,10.22.21.21,Glasgow,Scotland,Active,2024-12-09,2025-08-24,61.4,Medium
122,ROU-LIV-00122,Router,Core,45,Huawei,Huawei-NE-Series,SN558297870,10.194.36.42,Liverpool,Merseyside,Maintenance,2022-05-27,2025-08-29,35.2,High
123,ROU-NOT-00123,Router,Core,19,Huawei,Huawei-ATN-900,SN203677490,10.4.41.51,Nottingham,Nottinghamshire,Active,2024-08-12,2025-02-05,1.6,Medium
124,ROU-BEL-00124,Router,Core,2,Ericsson,Ericsson-Router-8000,SN871451202,10.100.5.65,Belfast,Northern Ireland,Active,2015-06-17,2017-04-17,72.8,Low
125,ROU-NOT-00125,Router,Core,5,Juniper,Juniper-ACX,SN921214379,10.93.203.18,Nottingham,Nottinghamshire,Active,2019-04-01,2025-02-08,27.2,Critical
126,ROU-CAR-00126,Router,Core,39,Cisco,Cisco-8000,SN964976442,10.112.44.229,Cardiff,Wales,Active,2021-02-28,2024-01-18,68.0,Medium
127,ROU-SHE-00127,Router,Core,19,Nokia,Nokia-FP5,SN293346591,10.197.200.249,Sheffield,South Yorkshire,Maintenance,2018-05-13,2020-06-19,99.8,Medium
128,ROU-REA-00128,Router,Core,1,Juniper,Juniper-ACX,SN976629843,10.104.190.176,Reading,Berkshire,Maintenance,2025-04-22,2025-06-22,53.5,Critical
129,ROU-BRI-00129,Router,Core,2,Cisco,Cisco-NCS-5500,SN419370043,10.24.105.179,Brighton,East Sussex,Active,2019-03-21,2025-02-08,9.5,High
130,ROU-BRI-00130,Router,Core,27,Nokia,Nokia-7250-IXR,SN320778309,10.65.75.58,Bristol,Avon,Active,2016-12-11,2022-09-17,33.6,Medium
131,ROU-SOU-00131,Router,Core,43,Ericsson,Ericsson-Router-6000,SN955337098,10.176.75.247,Southampton,Hampshire,Degraded,2017-08-18,2017-09-12,58.5,Critical
132,ROU-REA-00132,Router,Core,12,Nokia,Nokia-7750-SR,SN395191906,10.92.17.183,Reading,Berkshire,Active,2017-01-07,2023-03-10,68.2,Critical
133,ROU-GLA-00133,Router,Core,21,Ericsson,Ericsson-Router-8000,SN143517451,10.82.47.89,Glasgow,Scotland,Active,2017-06-09,2021-09-01,37.8,High
134,ROU-NEW-00134,Router,Core,40,Huawei,Huawei-NE-Series,SN975550572,10.27.112.247,Newcastle,Tyne and Wear,Degraded,2017-10-26,2024-11-11,68.6,High
135,ROU-CAR-00135,Router,Core,5,Nokia,Nokia-7750-SR,SN727014711,10.74.35.75,Cardiff,Wales,Active,2019-01-02,2024-03-16,37.2,High
136,ROU-LON-00136,Router,Core,10,Nokia,Nokia-7750-SR,SN498176742,10.63.156.130,London,Greater London,Maintenance,2015-10-30,2018-06-06,79.1,High
137,ROU-SHE-00137,Router,Core,48,Cisco,Cisco-8000,SN526467657,10.99.12.211,Sheffield,South Yorkshire,Offline,2023-12-21,2024-04-16,56.6,Medium
138,ROU-LON-00138,Router,Core,38,Cisco,Cisco-8000,SN990757465,10.210.79.122,London,Greater London,Offline,2023-05-24,2023-10-30,42.4,Medium
139,ROU-BRI-00139,Router,Core,41,Juniper,Juniper-ACX,SN692274798,10.27.131.85,Brighton,East Sussex,Active,2025-01-12,2025-04-18,63.5,Low
140,ROU-MAN-00140,Router,Core,32,Cisco,Cisco-8000,SN907803004,10.202.245.74,Manchester,Greater Manchester,Maintenance,2017-11-27,2024-08-01,6.1,Low
141,ROU-BIR-00141,Router,Core,50,Ericsson,Ericsson-Router-6000,SN123717156,10.218.93.123,Birmingham,West Midlands,Active,2017-11-10,2018-01-30,84.0,Low
142,ROU-CAM-00142,Router,Core,8,Juniper,Juniper-ACX,SN104760264,10.241.69.49,Cambridge,Cambridgeshire,Maintenance,2018-01-16,2019-01-26,97.0,High
143,ROU-OXF-00143,Router,Core,48,Cisco,Cisco-8000,SN739271133,10.59.233.62,Oxford,Oxfordshire,Active,2019-08-01,2025-05-11,67.3,Medium
144,ROU-REA-00144,Router,Core,50,Ericsson,Ericsson-Router-6000,SN869031401,10.168.38.72,Reading,Berkshire,Active,2016-10-03,2021-06-29,53.1,Low
145,ROU-GLA-00145,Router,Core,17,Juniper,Juniper-PTX-Series,SN317547572,10.66.221.247,Glasgow,Scotland,Active,2018-11-04,2023-08-19,43.0,Medium
146,ROU-SHE-00146,Router,Core,44,Ericsson,Ericsson-Router-6000,SN457437890,10.2.157.121,Sheffield,South Yorkshire,Active,2017-09-25,2023-10-04,31.1,Low
147,ROU-GLA-00147,Router,Core,8,Huawei,Huawei-NetEngine-8000,SN506780741,10.13.143.248,Glasgow,Scotland,Degraded,2024-10-22,2025-06-18,29.6,Low
148,ROU-MAN-00148,Router,Core,13,Ericsson,Ericsson-Router-6000,SN630739038,10.100.52.72,Manchester,Greater Manchester,Active,2023-09-09,2025-01-19,87.6,High
149,ROU-REA-00149,Router,Core,47,Cisco,Cisco-8000,SN305467510,10.51.229.146,Reading,Berkshire,Active,2024-10-05,2025-06-25,87.0,Medium
150,ROU-EDI-00150,Router,Core,14,Nokia,Nokia-FP5,SN435483028,10.104.56.240,Edinburgh,Scotland,Active,2021-11-12,2023-01-05,39.3,Medium
151,ROU-BRI-00151,Router,Core,30,Nokia,Nokia-7750-SR,SN942362313,10.218.99.232,Brighton,East Sussex,Active,2016-12-30,2022-11-08,13.6,Critical
152,ROU-LON-00152,Router,Core,27,Cisco,Cisco-ASR-1000,SN451891787,10.181.244.57,London,Greater London,Active,2023-03-17,2024-09-23,3.7,Medium
153,ROU-MAN-00153,Router,Core,31,Cisco,Cisco-ASR-1000,SN229056124,10.230.120.79,Manchester,Greater Manchester,Active,2017-04-08,2019-02-14,20.9,Low
154,ROU-EDI-00154,Router,Core,6,Cisco,Cisco-NCS-5500,SN712283019,10.120.100.214,Edinburgh,Scotland,Active,2017-10-17,2025-12-03,36.5,Low
155,ROU-GLA-00155,Router,Core,2,Cisco,Cisco-NCS-5500,SN426259288,10.148.52.242,Glasgow,Scotland,Active,2019-09-03,2023-06-28,52.4,Low
156,ROU-SHE-00156,Router,Core,23,Juniper,Juniper-ACX,SN875530813,10.38.19.76,Sheffield,South Yorkshire,Active,2022-10-18,2024-01-12,65.4,Critical
157,ROU-LEI-00157,Router,Core,45,Juniper,Juniper-ACX,SN243795690,10.181.247.4,Leicester,Leicestershire,Active,2024-02-18,2025-12-07,38.9,High
