po_line_id,po_id,product_key,description,quantity_ordered,quantity_received,unit_cost,line_total
141,23,57,Item for PO PO000023,133,133,197.97,26330.01
142,23,57,Item for PO PO000023,293,293,27.61,8089.73
143,24,52,Item for PO PO000024,524,524,434.05,227442.2
144,24,38,Item for PO PO000024,537,537,269.93,144952.41
145,24,25,Item for PO PO000024,311,311,77.81,24198.91
146,24,23,Item for PO PO000024,436,436,368.87,160827.32
147,24,19,Item for PO PO000024,255,255,250.96,63994.8
148,24,62,Item for PO PO000024,328,328,350.42,114937.76
149,24,27,Item for PO PO000024,25,25,455.95,11398.75
150,24,34,Item for PO PO000024,795,795,253.14,201246.3
151,24,42,Item for PO PO000024,513,513,334.65,171675.45
152,24,17,Item for PO PO000024,906,906,197.81,179215.86
153,25,13,Item for PO PO000025,161,119,124.83,20097.63
154,25,54,Item for PO PO000025,725,38,403.26,292363.5
155,25,12,Item for PO PO000025,905,338,233.28,211118.4
156,25,11,Item for PO PO000025,123,1,307.27,37794.21
157,25,39,Item for PO PO000025,396,186,227.2,89971.2
158,25,1,Item for PO PO000025,855,373,208.94,178643.7
159,26,34,Item for PO PO000026,590,86,384.79,227026.1
160,26,63,Item for PO PO000026,199,152,32.81,6529.19
161,26,41,Item for PO PO000026,965,754,450.78,435002.7
162,26,46,Item for PO PO000026,470,231,168.39,79143.3
163,26,16,Item for PO PO000026,596,36,432.63,257847.48
164,26,30,Item for PO PO000026,93,80,63.8,5933.4
165,27,58,Item for PO PO000027,256,256,268.63,68769.28
166,27,63,Item for PO PO000027,269,269,418.96,112700.24
167,27,41,Item for PO PO000027,767,767,263.16,201843.72
168,28,14,Item for PO PO000028,235,235,484.57,113873.95
169,28,59,Item for PO PO000028,529,529,425.9,225301.1
170,28,10,Item for PO PO000028,125,125,122.22,15277.5
171,28,64,Item for PO PO000028,399,399,412.24,164483.76
172,28,6,Item for PO PO000028,917,917,383.79,351935.43
173,28,39,Item for PO PO000028,689,689,403.83,278238.87
174,28,6,Item for PO PO000028,711,711,409.93,291460.23
175,29,8,Item for PO PO000029,16,16,163.54,2616.64
176,29,13,Item for PO PO000029,297,297,282.27,83834.19
177,29,5,Item for PO PO000029,486,486,311.16,151223.76
178,29,14,Item for PO PO000029,51,51,294.11,14999.61
179,29,48,Item for PO PO000029,931,931,127.26,118479.06
180,29,49,Item for PO PO000029,560,560,307.52,172211.2
181,29,30,Item for PO PO000029,242,242,234.38,56719.96
182,30,49,Item for PO PO000030,408,408,154.78,63150.24
183,30,60,Item for PO PO000030,602,602,182.73,110003.46
184,30,32,Item for PO PO000030,293,293,298.91,87580.63
185,30,64,Item for PO PO000030,541,541,249.6,135033.6
186,30,42,Item for PO PO000030,331,331,477.32,157992.92
187,30,55,Item for PO PO000030,118,118,160.24,18908.32
188,30,30,Item for PO PO000030,533,533,323.0,172159.0
189,30,17,Item for PO PO000030,89,89,70.93,6312.77
190,30,43,Item for PO PO000030,340,340,354.41,120499.4
191,31,22,Item for PO PO000031,226,188,186.0,42036.0
192,31,41,Item for PO PO000031,406,85,56.14,22792.84
193,31,24,Item for PO PO000031,343,291,115.4,39582.2
194,31,26,Item for PO PO000031,280,224,225.54,63151.2
195,31,58,Item for PO PO000031,148,58,294.2,43541.6
196,32,57,Item for PO PO000032,851,420,87.95,74845.45
197,32,51,Item for PO PO000032,476,171,131.75,62713.0
198,32,38,Item for PO PO000032,326,61,124.43,40564.18
199,32,52,Item for PO PO000032,435,242,482.55,209909.25
200,32,8,Item for PO PO000032,188,73,217.66,40920.08
201,32,20,Item for PO PO000032,127,39,86.91,11037.57
202,32,41,Item for PO PO000032,646,219,158.75,102552.5
203,33,46,Item for PO PO000033,906,360,252.64,228891.84
204,33,43,Item for PO PO000033,771,667,408.04,314598.84
205,33,30,Item for PO PO000033,864,232,289.41,250050.24
206,33,6,Item for PO PO000033,587,373,147.23,86424.01
207,33,12,Item for PO PO000033,398,141,255.85,101828.3
208,33,24,Item for PO PO000033,822,325,276.33,227143.26
209,33,48,Item for PO PO000033,868,794,352.57,306030.76
210,33,4,Item for PO PO000033,921,260,206.82,190481.22
211,33,32,Item for PO PO000033,104,17,387.96,40347.84
212,33,48,Item for PO PO000033,136,78,24.77,3368.72
213,34,63,Item for PO PO000034,487,487,97.38,47424.06
214,34,5,Item for PO PO000034,330,330,36.41,12015.3
215,34,41,Item for PO PO000034,244,244,318.66,77753.04
216,34,29,Item for PO PO000034,418,418,321.35,134324.3
217,34,30,Item for PO PO000034,212,212,469.74,99584.88
218,35,17,Item for PO PO000035,739,416,116.31,85953.09
219,35,3,Item for PO PO000035,367,105,17.92,6576.64
220,35,15,Item for PO PO000035,497,165,91.27,45361.19
221,35,53,Item for PO PO000035,686,435,337.88,231785.68
222,35,47,Item for PO PO000035,669,487,290.18,194130.42
223,36,19,Item for PO PO000036,471,471,70.64,33271.44
224,36,26,Item for PO PO000036,404,404,317.08,128100.32
225,36,24,Item for PO PO000036,557,557,172.46,96060.22
226,36,60,Item for PO PO000036,67,67,379.45,25423.15
227,36,46,Item for PO PO000036,77,77,251.49,19364.73
228,36,54,Item for PO PO000036,441,441,411.73,181572.93
229,36,40,Item for PO PO000036,853,853,489.58,417611.74
230,37,64,Item for PO PO000037,147,147,310.79,45686.13
231,37,38,Item for PO PO000037,996,996,265.93,264866.28
232,37,57,Item for PO PO000037,942,942,31.63,29795.46
233,37,55,Item for PO PO000037,20,20,114.63,2292.6
234,37,28,Item for PO PO000037,977,977,490.84,479550.68
235,37,22,Item for PO PO000037,370,370,257.05,95108.5
236,37,39,Item for PO PO000037,640,640,415.63,266003.2
237,37,14,Item for PO PO000037,151,151,111.16,16785.16
238,37,57,Item for PO PO000037,896,896,269.08,241095.68
239,38,30,Item for PO PO000038,601,165,367.75,221017.75
240,38,49,Item for PO PO000038,262,97,131.14,34358.68
241,38,22,Item for PO PO000038,699,696,386.16,269925.84
242,38,63,Item for PO PO000038,339,234,298.01,101025.39
243,38,21,Item for PO PO000038,364,100,274.8,100027.2
244,38,7,Item for PO PO000038,31,29,18.63,577.53
245,38,61,Item for PO PO000038,139,58,115.67,16078.13
246,38,25,Item for PO PO000038,733,269,36.85,27011.05
247,39,44,Item for PO PO000039,287,267,139.36,39996.32
248,39,9,Item for PO PO000039,937,80,344.46,322759.02
249,39,47,Item for PO PO000039,458,41,159.96,73261.68
250,39,14,Item for PO PO000039,10,0,188.92,1889.2
251,40,58,Item for PO PO000040,226,226,238.78,53964.28
252,40,12,Item for PO PO000040,63,63,251.24,15828.12
253,40,16,Item for PO PO000040,424,424,451.5,191436.0
254,40,42,Item for PO PO000040,223,223,194.08,43279.84
255,40,61,Item for PO PO000040,765,765,72.27,55286.55
256,40,9,Item for PO PO000040,200,200,256.64,51328.0
257,40,26,Item for PO PO000040,65,65,255.64,16616.6
258,40,64,Item for PO PO000040,907,907,191.92,174071.44
259,40,44,Item for PO PO000040,699,699,340.67,238128.33
260,40,30,Item for PO PO000040,916,916,304.96,279343.36
261,41,34,Item for PO PO000041,258,258,187.79,48449.82
262,41,31,Item for PO PO000041,539,539,388.64,209476.96
263,41,2,Item for PO PO000041,39,39,130.87,5103.93
264,41,22,Item for PO PO000041,999,999,277.2,276922.8
265,41,16,Item for PO PO000041,664,664,68.14,45244.96
266,41,60,Item for PO PO000041,249,249,255.56,63634.44
267,41,34,Item for PO PO000041,259,259,42.33,10963.47
268,41,46,Item for PO PO000041,393,393,471.46,185283.78
269,41,38,Item for PO PO000041,678,678,378.92,256907.76
270,41,60,Item for PO PO000041,898,898,452.25,406120.5
271,42,17,Item for PO PO000042,334,334,397.77,132855.18
272,42,47,Item for PO PO000042,912,912,274.29,250152.48
273,43,20,Item for PO PO000043,664,591,371.78,246861.92
274,43,32,Item for PO PO000043,637,7,156.69,99811.53
275,43,42,Item for PO PO000043,400,393,444.07,177628.0
276,44,33,Item for PO PO000044,502,23,384.99,193264.98
277,44,50,Item for PO PO000044,294,218,304.48,89517.12
278,44,62,Item for PO PO000044,991,628,188.83,187130.53
279,44,49,Item for PO PO000044,963,169,118.6,114211.8
280,44,51,Item for PO PO000044,356,255,102.05,36329.8
281,44,34,Item for PO PO000044,825,449,149.51,123345.75
282,44,29,Item for PO PO000044,493,298,487.63,240401.59
283,44,63,Item for PO PO000044,959,191,274.39,263140.01
284,45,29,Item for PO PO000045,530,497,165.82,87884.6
285,45,30,Item for PO PO000045,477,97,97.29,46407.33
286,45,60,Item for PO PO000045,301,223,186.54,56148.54
287,45,51,Item for PO PO000045,278,141,383.11,106504.58
288,45,56,Item for PO PO000045,465,18,368.74,171464.1
289,45,18,Item for PO PO000045,906,342,84.82,76846.92
290,46,13,Item for PO PO000046,155,155,409.87,63529.85
291,46,10,Item for PO PO000046,419,419,471.03,197361.57
292,46,62,Item for PO PO000046,631,631,71.72,45255.32
293,46,54,Item for PO PO000046,80,80,12.76,1020.8
294,46,58,Item for PO PO000046,893,893,292.77,261443.61
295,47,48,Item for PO PO000047,191,191,227.01,43358.91
296,47,40,Item for PO PO000047,923,923,408.67,377202.41
297,47,32,Item for PO PO000047,693,693,330.03,228710.79
298,47,2,Item for PO PO000047,722,722,14.01,10115.22
299,47,50,Item for PO PO000047,45,45,202.31,9103.95
300,48,1,Item for PO PO000048,853,326,15.17,12940.01
301,48,61,Item for PO PO000048,568,249,145.0,82360.0
302,48,24,Item for PO PO000048,550,361,15.62,8591.0
303,48,30,Item for PO PO000048,665,494,50.3,33449.5
304,48,62,Item for PO PO000048,237,69,423.85,100452.45
305,48,64,Item for PO PO000048,133,22,463.46,61640.18
306,49,27,Item for PO PO000049,831,831,391.88,325652.28
307,49,43,Item for PO PO000049,286,286,386.29,110478.94
308,49,44,Item for PO PO000049,186,186,469.52,87330.72
309,49,28,Item for PO PO000049,819,819,325.27,266396.13
310,49,55,Item for PO PO000049,760,760,126.33,96010.8
311,49,11,Item for PO PO000049,373,373,193.22,72071.06
312,49,18,Item for PO PO000049,186,186,232.37,43220.82
313,49,57,Item for PO PO000049,896,896,265.99,238327.04
314,50,50,Item for PO PO000050,698,399,393.11,274390.78
315,50,48,Item for PO PO000050,624,345,386.85,241394.4
316,50,61,Item for PO PO000050,918,766,362.21,332508.78
317,50,62,Item for PO PO000050,114,6,250.58,28566.12
318,50,49,Item for PO PO000050,371,213,267.45,99223.95
319,50,64,Item for PO PO000050,622,106,429.34,267049.48
320,50,12,Item for PO PO000050,300,96,84.8,25440.0
321,50,11,Item for PO PO000050,689,280,375.9,258995.1
322,51,60,Item for PO PO000051,885,885,498.26,440960.1
323,51,22,Item for PO PO000051,77,77,179.95,13856.15
324,52,16,Item for PO PO000052,540,540,251.48,135799.2
325,52,19,Item for PO PO000052,511,511,244.89,125138.79
326,53,44,Item for PO PO000053,595,595,363.85,216490.75
327,53,30,Item for PO PO000053,592,592,147.38,87248.96
328,53,37,Item for PO PO000053,702,702,71.77,50382.54
329,53,50,Item for PO PO000053,711,711,183.53,130489.83
330,53,49,Item for PO PO000053,905,905,166.7,150863.5
331,53,59,Item for PO PO000053,262,262,145.28,38063.36
332,53,30,Item for PO PO000053,615,615,270.94,166628.1
333,53,13,Item for PO PO000053,461,461,450.16,207523.76
334,53,47,Item for PO PO000053,67,67,159.3,10673.1
335,54,58,Item for PO PO000054,934,934,14.77,13795.18
336,55,33,Item for PO PO000055,508,59,24.79,12593.32
337,55,18,Item for PO PO000055,180,163,318.77,57378.6
338,55,20,Item for PO PO000055,901,117,166.17,149719.17
339,55,34,Item for PO PO000055,628,100,341.31,214342.68
340,55,29,Item for PO PO000055,102,30,147.81,15076.62
341,55,57,Item for PO PO000055,28,2,409.09,11454.52
342,55,25,Item for PO PO000055,606,451,126.03,76374.18
343,55,27,Item for PO PO000055,696,609,146.23,101776.08
344,55,28,Item for PO PO000055,542,261,252.71,136968.82
345,56,54,Item for PO PO000056,176,32,320.72,56446.72
346,56,49,Item for PO PO000056,895,555,12.5,11187.5
347,56,36,Item for PO PO000056,95,12,101.47,9639.65
348,56,17,Item for PO PO000056,547,136,321.7,175969.9
349,57,5,Item for PO PO000057,148,148,458.47,67853.56
350,57,50,Item for PO PO000057,962,962,127.03,122202.86
351,57,15,Item for PO PO000057,263,263,327.74,86195.62
352,57,6,Item for PO PO000057,182,182,108.22,19696.04
353,57,55,Item for PO PO000057,841,841,129.49,108901.09
354,58,20,Item for PO PO000058,107,9,64.53,6904.71
355,58,5,Item for PO PO000058,732,206,200.99,147124.68
356,58,3,Item for PO PO000058,37,0,231.67,8571.79
357,58,25,Item for PO PO000058,445,21,307.08,136650.6
358,58,53,Item for PO PO000058,972,183,362.95,352787.4
359,58,26,Item for PO PO000058,987,945,308.52,304509.24
360,58,50,Item for PO PO000058,407,0,25.66,10443.62
361,59,11,Item for PO PO000059,124,124,427.09,52959.16
362,59,31,Item for PO PO000059,483,483,338.62,163553.46
363,59,7,Item for PO PO000059,330,330,308.42,101778.6
364,59,11,Item for PO PO000059,494,494,235.13,116154.22
365,59,17,Item for PO PO000059,73,73,405.2,29579.6
366,59,16,Item for PO PO000059,748,748,19.99,14952.52
367,60,15,Item for PO PO000060,392,250,306.58,120179.36
368,60,43,Item for PO PO000060,918,564,296.67,272343.06
369,60,32,Item for PO PO000060,840,167,222.9,187236.0
370,60,40,Item for PO PO000060,221,29,72.31,15980.51
371,60,12,Item for PO PO000060,688,570,273.82,188388.16
372,60,38,Item for PO PO000060,44,33,120.12,5285.28
373,60,17,Item for PO PO000060,680,55,466.76,317396.8
374,61,11,Item for PO PO000061,380,380,396.34,150609.2
375,61,15,Item for PO PO000061,928,928,350.96,325690.88
376,61,25,Item for PO PO000061,805,805,288.74,232435.7
377,62,43,Item for PO PO000062,638,594,443.12,282710.56
378,62,15,Item for PO PO000062,295,290,150.55,44412.25
379,62,8,Item for PO PO000062,269,46,189.61,51005.09
380,62,19,Item for PO PO000062,583,353,294.85,171897.55
381,62,5,Item for PO PO000062,115,77,52.5,6037.5
382,63,64,Item for PO PO000063,972,784,170.04,165278.88
383,63,24,Item for PO PO000063,63,53,313.77,19767.51
384,63,20,Item for PO PO000063,33,31,21.25,701.25
385,63,27,Item for PO PO000063,332,100,447.22,148477.04
386,63,59,Item for PO PO000063,730,250,331.03,241651.9
387,64,19,Item for PO PO000064,844,531,382.53,322855.32
388,64,34,Item for PO PO000064,810,418,258.73,209571.3
389,64,34,Item for PO PO000064,832,574,47.66,39653.12
390,65,22,Item for PO PO000065,277,277,144.09,39912.93
391,65,22,Item for PO PO000065,665,665,68.6,45619.0
392,65,62,Item for PO PO000065,978,978,283.68,277439.04
393,65,63,Item for PO PO000065,204,204,299.87,61173.48
394,65,12,Item for PO PO000065,871,871,107.21,93379.91
395,65,45,Item for PO PO000065,135,135,445.06,60083.1
396,65,7,Item for PO PO000065,977,977,145.21,141870.17
397,65,2,Item for PO PO000065,712,712,471.79,335914.48
398,65,42,Item for PO PO000065,97,97,62.78,6089.66
399,65,35,Item for PO PO000065,917,917,485.82,445496.94
400,66,28,Item for PO PO000066,501,398,419.14,209989.14
401,66,52,Item for PO PO000066,286,25,169.09,48359.74
402,66,31,Item for PO PO000066,244,125,378.22,92285.68
403,66,62,Item for PO PO000066,487,215,158.28,77082.36
404,66,53,Item for PO PO000066,503,185,407.91,205178.73
405,67,14,Item for PO PO000067,810,32,209.86,169986.6
406,67,22,Item for PO PO000067,965,642,10.98,10595.7
407,67,7,Item for PO PO000067,675,141,131.04,88452.0
408,67,45,Item for PO PO000067,23,15,56.86,1307.78
409,67,27,Item for PO PO000067,929,609,228.33,212118.57
410,67,54,Item for PO PO000067,476,260,404.78,192675.28
411,67,44,Item for PO PO000067,231,110,45.15,10429.65
412,68,55,Item for PO PO000068,485,292,214.38,103974.3
413,68,42,Item for PO PO000068,340,143,194.63,66174.2
414,68,62,Item for PO PO000068,365,351,118.24,43157.6
415,68,27,Item for PO PO000068,161,54,351.51,56593.11
416,68,46,Item for PO PO000068,374,147,203.02,75929.48
417,69,18,Item for PO PO000069,253,253,499.61,126401.33
418,69,30,Item for PO PO000069,356,356,241.98,86144.88
419,69,4,Item for PO PO000069,829,829,278.51,230884.79
420,70,26,Item for PO PO000070,987,591,115.62,114116.94
421,70,47,Item for PO PO000070,291,202,15.54,4522.14
422,71,61,Item for PO PO000071,688,688,111.63,76801.44
423,72,15,Item for PO PO000072,243,235,84.88,20625.84
424,72,51,Item for PO PO000072,914,326,214.4,195961.6
425,72,5,Item for PO PO000072,708,374,465.12,329304.96
426,72,13,Item for PO PO000072,915,635,369.2,337818.0
427,72,7,Item for PO PO000072,407,315,246.65,100386.55
428,73,10,Item for PO PO000073,505,279,222.99,112609.95
429,73,54,Item for PO PO000073,212,149,408.56,86614.72
430,73,3,Item for PO PO000073,746,291,97.3,72585.8
431,73,19,Item for PO PO000073,487,32,198.91,96869.17
432,73,14,Item for PO PO000073,754,246,160.95,121356.3
433,73,36,Item for PO PO000073,340,223,132.89,45182.6
434,74,47,Item for PO PO000074,223,223,190.34,42445.82
435,74,5,Item for PO PO000074,238,238,402.81,95868.78
436,74,29,Item for PO PO000074,480,480,17.37,8337.6
437,74,16,Item for PO PO000074,694,694,292.34,202883.96
438,75,32,Item for PO PO000075,253,209,144.41,36535.73
439,75,32,Item for PO PO000075,545,512,273.61,149117.45
440,75,20,Item for PO PO000075,68,54,187.44,12745.92
441,75,20,Item for PO PO000075,507,5,213.98,108487.86
442,75,45,Item for PO PO000075,293,199,106.44,31186.92
443,75,29,Item for PO PO000075,541,127,28.65,15499.65
444,75,22,Item for PO PO000075,254,139,120.99,30731.46
445,75,16,Item for PO PO000075,783,26,356.3,278982.9
446,76,45,Item for PO PO000076,863,863,155.51,134205.13
447,76,37,Item for PO PO000076,342,342,65.4,22366.8
448,76,14,Item for PO PO000076,981,981,176.22,172871.82
449,76,13,Item for PO PO000076,862,862,314.85,271400.7
450,77,31,Item for PO PO000077,202,202,424.31,85710.62
451,77,33,Item for PO PO000077,982,982,281.18,276118.76
452,78,34,Item for PO PO000078,433,29,65.23,28244.59
453,78,57,Item for PO PO000078,652,98,37.6,24515.2
454,78,1,Item for PO PO000078,141,94,29.63,4177.83
455,78,2,Item for PO PO000078,850,258,46.82,39797.0
456,78,38,Item for PO PO000078,177,82,467.0,82659.0
457,78,58,Item for PO PO000078,212,110,266.14,56421.68
458,78,11,Item for PO PO000078,705,116,60.82,42878.1
459,79,41,Item for PO PO000079,276,276,60.28,16637.28
460,79,34,Item for PO PO000079,969,969,485.69,470633.61
461,79,41,Item for PO PO000079,788,788,158.68,125039.84
462,79,15,Item for PO PO000079,102,102,191.48,19530.96
463,79,40,Item for PO PO000079,48,48,247.38,11874.24
464,79,49,Item for PO PO000079,869,869,495.76,430815.44
465,79,7,Item for PO PO000079,412,412,225.35,92844.2
466,79,43,Item for PO PO000079,68,68,61.01,4148.68
467,79,52,Item for PO PO000079,314,314,413.72,129908.08
468,80,4,Item for PO PO000080,49,35,79.76,3908.24
469,80,64,Item for PO PO000080,119,52,64.81,7712.39
470,80,46,Item for PO PO000080,310,238,361.01,111913.1
471,80,3,Item for PO PO000080,665,634,82.54,54889.1
472,80,54,Item for PO PO000080,790,522,499.48,394589.2
473,80,17,Item for PO PO000080,514,240,222.53,114380.42
474,80,61,Item for PO PO000080,570,493,283.06,161344.2
475,81,33,Item for PO PO000081,940,356,302.03,283908.2
476,81,4,Item for PO PO000081,551,192,307.57,169471.07
477,81,25,Item for PO PO000081,454,286,290.73,131991.42
478,81,13,Item for PO PO000081,425,357,152.94,64999.5
479,81,30,Item for PO PO000081,438,96,317.39,139016.82
480,81,28,Item for PO PO000081,115,25,123.1,14156.5
