complaint_id,complaint_reference,customer_key,customer_type,category,channel,received_date,acknowledged_date,resolved_date,outcome,compensation_amount,escalated_to_ombudsman,root_cause
14708,CMP014708,1563,Consumer,Pricing,Letter,2022-01-02,2022-01-04,2022-02-13,Upheld,450.63,False,System Error
13930,CMP013930,3062,Consumer,Customer Service,Social Media,2022-01-02,2022-01-02,2022-02-22,Withdrawn,0.0,False,Staff Error
19275,CMP019275,2697,Consumer,Billing,Social Media,2022-01-02,2022-01-02,,Pending,0.0,False,
4726,CMP004726,789,Consumer,Sales Practice,Email,2022-01-02,2022-01-04,2022-01-12,Upheld,269.89,False,Policy Gap
4377,CMP004377,429,Consumer,Contract Terms,Email,2022-01-02,2022-01-04,2022-01-07,Not Upheld,0.0,False,Staff Error
9215,CMP009215,1388,Consumer,Customer Service,Email,2022-01-02,2022-01-03,,Pending,0.0,False,
5354,CMP005354,2060,Consumer,Privacy,Letter,2022-01-02,2022-01-04,2022-02-12,Upheld,48.46,False,Customer Misunderstanding
3919,CMP003919,422,B2B,Network Coverage,Letter,2022-01-02,2022-01-02,,Pending,0.0,False,
8400,CMP008400,1180,Consumer,Sales Practice,Letter,2022-01-02,2022-01-02,2022-01-17,Not Upheld,0.0,False,System Error
14958,CMP014958,472,B2B,Pricing,Social Media,2022-01-02,2022-01-04,,Pending,0.0,False,
833,CMP000833,984,Consumer,Contract Terms,Phone,2022-01-02,2022-01-03,2022-02-26,Upheld,289.97,False,System Error
18172,CMP018172,4313,Consumer,Customer Service,Email,2022-01-02,2022-01-02,,Pending,0.0,False,
8796,CMP008796,4429,Consumer,Billing,Phone,2022-01-02,2022-01-02,2022-01-21,Partially Upheld,344.19,False,Policy Gap
8787,CMP008787,802,B2B,Contract Terms,Social Media,2022-01-02,2022-01-02,2022-02-09,Not Upheld,0.0,False,Policy Gap
2015,CMP002015,39,B2B,Network Coverage,Ombudsman,2022-01-02,2022-01-04,2022-02-08,Withdrawn,0.0,False,Staff Error
19339,CMP019339,1766,Consumer,Service Quality,Social Media,2022-01-03,2022-01-04,2022-02-19,Withdrawn,0.0,False,System Error
1498,CMP001498,3630,Consumer,Sales Practice,Ombudsman,2022-01-03,2022-01-04,2022-02-20,Upheld,37.86,False,System Error
4552,CMP004552,364,Consumer,Billing,Email,2022-01-03,2022-01-04,2022-01-19,Withdrawn,0.0,False,Customer Misunderstanding
7426,CMP007426,1,Consumer,Customer Service,Email,2022-01-03,2022-01-05,2022-01-17,Not Upheld,0.0,False,Policy Gap
15039,CMP015039,2349,Consumer,Contract Terms,Email,2022-01-03,2022-01-05,2022-02-12,Upheld,90.63,False,Policy Gap
10624,CMP010624,122,B2B,Customer Service,Social Media,2022-01-03,2022-01-03,2022-01-27,Upheld,487.66,False,System Error
15568,CMP015568,892,Consumer,Billing,Ombudsman,2022-01-03,2022-01-03,2022-01-17,Not Upheld,0.0,False,Process Failure
16494,CMP016494,3810,Consumer,Service Quality,Phone,2022-01-03,2022-01-04,2022-02-19,Not Upheld,0.0,False,Staff Error
8834,CMP008834,4913,Consumer,Network Coverage,Social Media,2022-01-03,2022-01-04,2022-01-28,Withdrawn,0.0,False,Process Failure
9408,CMP009408,4829,Consumer,Privacy,Ombudsman,2022-01-03,2022-01-03,2022-01-23,Withdrawn,0.0,True,System Error
230,CMP000230,543,Consumer,Service Quality,Ombudsman,2022-01-03,2022-01-05,,Pending,0.0,False,
17845,CMP017845,745,Consumer,Service Quality,Social Media,2022-01-03,2022-01-04,2022-02-10,Not Upheld,0.0,False,Customer Misunderstanding
17792,CMP017792,1482,Consumer,Contract Terms,Regulator,2022-01-03,2022-01-03,2022-01-10,Partially Upheld,330.42,False,Staff Error
2160,CMP002160,3636,Consumer,Privacy,Letter,2022-01-03,2022-01-04,,Pending,0.0,False,
17730,CMP017730,1454,Consumer,Contract Terms,Social Media,2022-01-03,2022-01-04,2022-02-13,Partially Upheld,199.62,False,Policy Gap
12049,CMP012049,3404,Consumer,Sales Practice,Social Media,2022-01-03,2022-01-03,2022-01-26,Partially Upheld,326.55,False,System Error
16541,CMP016541,2711,Consumer,Network Coverage,Phone,2022-01-04,2022-01-06,2022-01-19,Partially Upheld,177.16,False,Customer Misunderstanding
10685,CMP010685,3324,Consumer,Privacy,Email,2022-01-04,2022-01-04,,Pending,0.0,False,
10793,CMP010793,851,B2B,Customer Service,Social Media,2022-01-04,2022-01-06,2022-01-26,Upheld,237.42,False,Policy Gap
19670,CMP019670,243,Consumer,Contract Terms,Ombudsman,2022-01-04,2022-01-06,2022-01-16,Withdrawn,0.0,False,System Error
12103,CMP012103,818,Consumer,Service Quality,Social Media,2022-01-04,2022-01-04,2022-02-20,Withdrawn,0.0,False,System Error
3862,CMP003862,260,Consumer,Privacy,Email,2022-01-04,2022-01-06,2022-02-11,Partially Upheld,218.33,False,Process Failure
3297,CMP003297,3123,Consumer,Pricing,Social Media,2022-01-04,2022-01-05,,Pending,0.0,False,
13714,CMP013714,3276,Consumer,Sales Practice,Regulator,2022-01-04,2022-01-05,2022-02-25,Partially Upheld,464.31,False,Policy Gap
18303,CMP018303,1213,Consumer,Sales Practice,Email,2022-01-04,2022-01-04,2022-02-07,Partially Upheld,230.71,False,Staff Error
9091,CMP009091,779,Consumer,Pricing,Social Media,2022-01-04,2022-01-05,2022-01-15,Withdrawn,0.0,False,Policy Gap
6361,CMP006361,383,Consumer,Privacy,Ombudsman,2022-01-04,2022-01-06,2022-01-13,Partially Upheld,339.01,False,System Error
2599,CMP002599,2847,Consumer,Service Quality,Phone,2022-01-04,2022-01-05,2022-01-21,Not Upheld,0.0,False,Policy Gap
487,CMP000487,911,B2B,Privacy,Letter,2022-01-04,2022-01-05,2022-02-26,Upheld,79.26,False,Policy Gap
3057,CMP003057,4031,Consumer,Customer Service,Phone,2022-01-04,2022-01-06,,Pending,0.0,False,
9602,CMP009602,1383,Consumer,Privacy,Email,2022-01-04,2022-01-04,2022-01-29,Not Upheld,0.0,False,Process Failure
19744,CMP019744,4571,Consumer,Network Coverage,Regulator,2022-01-05,2022-01-07,2022-01-28,Upheld,13.58,False,Policy Gap
6535,CMP006535,4493,Consumer,Privacy,Phone,2022-01-05,2022-01-06,2022-01-25,Not Upheld,0.0,False,System Error
12836,CMP012836,1936,Consumer,Pricing,Letter,2022-01-05,2022-01-06,2022-03-01,Partially Upheld,22.35,False,Policy Gap
19649,CMP019649,1990,Consumer,Service Quality,Email,2022-01-05,2022-01-05,2022-02-13,Upheld,264.0,False,Policy Gap
19631,CMP019631,574,B2B,Billing,Phone,2022-01-05,2022-01-05,2022-01-15,Partially Upheld,494.7,False,Customer Misunderstanding
17917,CMP017917,3185,Consumer,Privacy,Social Media,2022-01-05,2022-01-05,2022-02-04,Upheld,205.6,False,Staff Error
7641,CMP007641,127,Consumer,Privacy,Phone,2022-01-05,2022-01-06,2022-02-18,Upheld,218.67,False,Customer Misunderstanding
9763,CMP009763,4962,Consumer,Privacy,Letter,2022-01-05,2022-01-07,,Pending,0.0,False,
6195,CMP006195,604,Consumer,Service Quality,Ombudsman,2022-01-06,2022-01-07,,Pending,0.0,False,
3717,CMP003717,4764,Consumer,Privacy,Ombudsman,2022-01-06,2022-01-08,2022-02-18,Not Upheld,0.0,False,Policy Gap
10031,CMP010031,3385,Consumer,Pricing,Email,2022-01-06,2022-01-08,2022-02-03,Partially Upheld,370.61,False,System Error
18307,CMP018307,2040,Consumer,Service Quality,Letter,2022-01-06,2022-01-08,2022-01-17,Upheld,119.93,False,System Error
6138,CMP006138,132,B2B,Sales Practice,Ombudsman,2022-01-06,2022-01-07,,Pending,0.0,False,
19678,CMP019678,948,B2B,Service Quality,Ombudsman,2022-01-06,2022-01-07,,Pending,0.0,False,
16004,CMP016004,4986,Consumer,Contract Terms,Phone,2022-01-06,2022-01-06,2022-02-25,Upheld,255.32,False,System Error
8510,CMP008510,1993,Consumer,Pricing,Social Media,2022-01-06,2022-01-06,2022-03-03,Partially Upheld,271.55,False,Customer Misunderstanding
6764,CMP006764,1871,Consumer,Billing,Ombudsman,2022-01-06,2022-01-07,2022-02-28,Partially Upheld,266.17,False,System Error
7698,CMP007698,944,B2B,Billing,Social Media,2022-01-06,2022-01-08,2022-02-15,Withdrawn,0.0,False,Policy Gap
449,CMP000449,1921,Consumer,Privacy,Letter,2022-01-06,2022-01-06,2022-01-12,Partially Upheld,314.22,False,System Error
14291,CMP014291,1069,Consumer,Pricing,Email,2022-01-06,2022-01-08,2022-02-20,Upheld,18.77,False,Process Failure
4125,CMP004125,2489,Consumer,Network Coverage,Ombudsman,2022-01-06,2022-01-06,2022-02-17,Withdrawn,0.0,True,Process Failure
1467,CMP001467,671,B2B,Sales Practice,Regulator,2022-01-06,2022-01-06,2022-02-07,Upheld,499.23,False,Staff Error
6989,CMP006989,120,B2B,Service Quality,Phone,2022-01-06,2022-01-07,2022-01-27,Withdrawn,0.0,False,Process Failure
12458,CMP012458,475,B2B,Service Quality,Letter,2022-01-06,2022-01-06,2022-02-13,Partially Upheld,486.95,False,Staff Error
16283,CMP016283,4356,Consumer,Sales Practice,Letter,2022-01-06,2022-01-08,,Pending,0.0,False,
17543,CMP017543,584,B2B,Customer Service,Social Media,2022-01-06,2022-01-08,2022-01-30,Partially Upheld,100.32,False,Staff Error
3346,CMP003346,3528,Consumer,Service Quality,Letter,2022-01-06,2022-01-06,2022-02-22,Partially Upheld,305.92,False,System Error
1488,CMP001488,566,Consumer,Customer Service,Social Media,2022-01-07,2022-01-08,,Pending,0.0,False,
10520,CMP010520,3544,Consumer,Pricing,Email,2022-01-07,2022-01-07,2022-01-14,Upheld,465.65,True,Staff Error
7014,CMP007014,661,B2B,Contract Terms,Letter,2022-01-07,2022-01-09,2022-02-16,Upheld,140.66,False,System Error
12819,CMP012819,1018,Consumer,Billing,Letter,2022-01-07,2022-01-08,2022-01-26,Withdrawn,0.0,False,System Error
4891,CMP004891,4008,Consumer,Privacy,Phone,2022-01-07,2022-01-08,2022-02-26,Withdrawn,0.0,False,System Error
1541,CMP001541,3222,Consumer,Customer Service,Letter,2022-01-07,2022-01-07,2022-01-26,Not Upheld,0.0,False,Policy Gap
16329,CMP016329,3323,Consumer,Billing,Phone,2022-01-07,2022-01-09,2022-01-30,Upheld,88.46,False,Process Failure
5484,CMP005484,2796,Consumer,Billing,Letter,2022-01-07,2022-01-07,2022-02-11,Withdrawn,0.0,False,System Error
10538,CMP010538,2895,Consumer,Billing,Ombudsman,2022-01-07,2022-01-07,2022-02-22,Upheld,108.99,False,Customer Misunderstanding
8712,CMP008712,248,Consumer,Contract Terms,Phone,2022-01-07,2022-01-09,2022-02-07,Withdrawn,0.0,False,Policy Gap
17315,CMP017315,149,B2B,Sales Practice,Ombudsman,2022-01-07,2022-01-08,2022-02-25,Not Upheld,0.0,False,Policy Gap
339,CMP000339,2779,Consumer,Customer Service,Social Media,2022-01-07,2022-01-07,2022-02-10,Upheld,472.89,False,Process Failure
12848,CMP012848,3188,Consumer,Contract Terms,Regulator,2022-01-07,2022-01-09,2022-01-31,Not Upheld,0.0,False,Policy Gap
4309,CMP004309,660,Consumer,Service Quality,Letter,2022-01-07,2022-01-09,2022-02-06,Upheld,144.04,False,Customer Misunderstanding
5363,CMP005363,4408,Consumer,Service Quality,Email,2022-01-07,2022-01-09,2022-02-12,Withdrawn,0.0,False,Customer Misunderstanding
3655,CMP003655,221,B2B,Privacy,Email,2022-01-07,2022-01-09,2022-02-08,Upheld,359.34,False,Customer Misunderstanding
15567,CMP015567,2769,Consumer,Privacy,Letter,2022-01-07,2022-01-07,2022-01-23,Withdrawn,0.0,False,Customer Misunderstanding
14059,CMP014059,4624,Consumer,Sales Practice,Regulator,2022-01-07,2022-01-08,2022-01-22,Withdrawn,0.0,False,Process Failure
13486,CMP013486,4805,Consumer,Sales Practice,Regulator,2022-01-08,2022-01-08,,Pending,0.0,False,
8369,CMP008369,930,B2B,Billing,Email,2022-01-08,2022-01-09,2022-01-13,Upheld,243.5,False,System Error
17410,CMP017410,744,Consumer,Service Quality,Regulator,2022-01-08,2022-01-08,2022-02-02,Not Upheld,0.0,False,Policy Gap
19949,CMP019949,1410,Consumer,Sales Practice,Regulator,2022-01-08,2022-01-10,2022-01-16,Not Upheld,0.0,False,Staff Error
6339,CMP006339,2368,Consumer,Billing,Email,2022-01-08,2022-01-08,2022-01-23,Withdrawn,0.0,False,System Error
1893,CMP001893,415,Consumer,Billing,Ombudsman,2022-01-08,2022-01-08,2022-01-23,Withdrawn,0.0,False,Customer Misunderstanding
6248,CMP006248,2062,Consumer,Customer Service,Ombudsman,2022-01-08,2022-01-08,2022-01-27,Upheld,406.76,False,Staff Error
18406,CMP018406,4212,Consumer,Privacy,Regulator,2022-01-08,2022-01-09,2022-01-25,Not Upheld,0.0,False,Customer Misunderstanding
12708,CMP012708,1850,Consumer,Billing,Regulator,2022-01-08,2022-01-08,2022-01-21,Not Upheld,0.0,False,Policy Gap
16896,CMP016896,2300,Consumer,Sales Practice,Ombudsman,2022-01-08,2022-01-08,2022-01-27,Withdrawn,0.0,False,Staff Error
5782,CMP005782,2834,Consumer,Pricing,Phone,2022-01-08,2022-01-09,2022-03-02,Upheld,227.75,False,Policy Gap
1021,CMP001021,4692,Consumer,Network Coverage,Ombudsman,2022-01-08,2022-01-08,2022-01-20,Withdrawn,0.0,False,Process Failure
11102,CMP011102,3251,Consumer,Customer Service,Phone,2022-01-08,2022-01-08,2022-03-03,Upheld,303.82,False,Customer Misunderstanding
7289,CMP007289,773,B2B,Customer Service,Regulator,2022-01-08,2022-01-10,,Pending,0.0,False,
11207,CMP011207,68,B2B,Contract Terms,Email,2022-01-08,2022-01-09,2022-02-09,Withdrawn,0.0,False,Process Failure
15271,CMP015271,3743,Consumer,Pricing,Email,2022-01-09,2022-01-09,2022-01-17,Withdrawn,0.0,False,Policy Gap
13405,CMP013405,585,B2B,Billing,Phone,2022-01-09,2022-01-10,,Pending,0.0,False,
15349,CMP015349,3273,Consumer,Sales Practice,Phone,2022-01-09,2022-01-09,2022-01-28,Partially Upheld,42.78,False,System Error
13115,CMP013115,631,B2B,Customer Service,Social Media,2022-01-09,2022-01-10,,Pending,0.0,False,
18906,CMP018906,1257,Consumer,Pricing,Letter,2022-01-09,2022-01-09,2022-02-22,Not Upheld,0.0,True,System Error
13834,CMP013834,47,Consumer,Network Coverage,Regulator,2022-01-09,2022-01-11,2022-02-12,Withdrawn,0.0,False,Policy Gap
16046,CMP016046,2966,Consumer,Contract Terms,Social Media,2022-01-09,2022-01-11,2022-01-27,Withdrawn,0.0,False,Staff Error
3504,CMP003504,1741,Consumer,Sales Practice,Social Media,2022-01-09,2022-01-11,,Pending,0.0,False,
12720,CMP012720,3550,Consumer,Pricing,Ombudsman,2022-01-09,2022-01-10,2022-02-19,Not Upheld,0.0,False,Policy Gap
9892,CMP009892,228,Consumer,Customer Service,Phone,2022-01-09,2022-01-09,2022-02-17,Upheld,58.04,False,Policy Gap
19231,CMP019231,1519,Consumer,Sales Practice,Letter,2022-01-09,2022-01-11,,Pending,0.0,False,
13682,CMP013682,3023,Consumer,Network Coverage,Email,2022-01-09,2022-01-10,2022-01-27,Partially Upheld,80.28,False,Customer Misunderstanding
15400,CMP015400,2932,Consumer,Pricing,Phone,2022-01-10,2022-01-11,2022-02-24,Upheld,158.13,False,Process Failure
1724,CMP001724,1394,Consumer,Contract Terms,Phone,2022-01-10,2022-01-10,2022-03-02,Not Upheld,0.0,False,Customer Misunderstanding
13507,CMP013507,2369,Consumer,Pricing,Regulator,2022-01-10,2022-01-12,2022-02-16,Not Upheld,0.0,False,Customer Misunderstanding
4448,CMP004448,2404,Consumer,Pricing,Phone,2022-01-10,2022-01-10,2022-03-03,Withdrawn,0.0,False,System Error
6392,CMP006392,1487,Consumer,Network Coverage,Email,2022-01-10,2022-01-12,,Pending,0.0,False,
1146,CMP001146,693,Consumer,Contract Terms,Ombudsman,2022-01-10,2022-01-11,,Pending,0.0,False,
12474,CMP012474,1079,Consumer,Contract Terms,Social Media,2022-01-10,2022-01-11,2022-01-22,Partially Upheld,358.81,False,Process Failure
13404,CMP013404,1656,Consumer,Privacy,Phone,2022-01-10,2022-01-10,2022-02-08,Withdrawn,0.0,False,Customer Misunderstanding
7191,CMP007191,277,B2B,Customer Service,Letter,2022-01-10,2022-01-10,2022-01-22,Not Upheld,0.0,False,Customer Misunderstanding
14490,CMP014490,4732,Consumer,Customer Service,Letter,2022-01-10,2022-01-11,2022-02-04,Upheld,436.87,False,Policy Gap
15492,CMP015492,828,B2B,Pricing,Ombudsman,2022-01-10,2022-01-10,2022-02-05,Partially Upheld,451.56,False,Policy Gap
1941,CMP001941,642,Consumer,Network Coverage,Email,2022-01-10,2022-01-11,2022-02-07,Upheld,179.97,False,Customer Misunderstanding
5293,CMP005293,3254,Consumer,Billing,Letter,2022-01-10,2022-01-12,2022-02-24,Withdrawn,0.0,False,Staff Error
17494,CMP017494,3380,Consumer,Service Quality,Phone,2022-01-10,2022-01-10,2022-02-19,Partially Upheld,66.61,False,Staff Error
8862,CMP008862,538,B2B,Pricing,Social Media,2022-01-11,2022-01-12,2022-02-13,Upheld,204.86,True,Staff Error
15597,CMP015597,166,B2B,Pricing,Phone,2022-01-11,2022-01-11,2022-01-28,Not Upheld,0.0,False,Staff Error
15575,CMP015575,604,Consumer,Customer Service,Social Media,2022-01-11,2022-01-12,,Pending,0.0,False,
197,CMP000197,3088,Consumer,Billing,Letter,2022-01-11,2022-01-12,,Pending,0.0,False,
19669,CMP019669,1534,Consumer,Service Quality,Social Media,2022-01-11,2022-01-11,2022-02-13,Partially Upheld,474.67,False,Policy Gap
993,CMP000993,190,Consumer,Privacy,Social Media,2022-01-11,2022-01-12,,Pending,0.0,False,
4493,CMP004493,3043,Consumer,Network Coverage,Ombudsman,2022-01-11,2022-01-13,2022-03-02,Not Upheld,0.0,False,Process Failure
17884,CMP017884,1590,Consumer,Billing,Letter,2022-01-11,2022-01-11,2022-01-16,Withdrawn,0.0,False,Policy Gap
15780,CMP015780,2432,Consumer,Privacy,Phone,2022-01-11,2022-01-11,2022-01-16,Upheld,80.43,False,Customer Misunderstanding
1675,CMP001675,4272,Consumer,Pricing,Regulator,2022-01-11,2022-01-11,2022-03-08,Not Upheld,0.0,False,Process Failure
17258,CMP017258,769,B2B,Sales Practice,Email,2022-01-11,2022-01-12,2022-02-11,Withdrawn,0.0,False,Customer Misunderstanding
4199,CMP004199,1841,Consumer,Privacy,Email,2022-01-11,2022-01-11,2022-01-24,Partially Upheld,307.69,False,Process Failure
19043,CMP019043,317,B2B,Network Coverage,Regulator,2022-01-11,2022-01-11,2022-02-04,Withdrawn,0.0,False,Process Failure
3174,CMP003174,458,B2B,Contract Terms,Regulator,2022-01-11,2022-01-12,2022-01-19,Withdrawn,0.0,False,Process Failure
19338,CMP019338,232,B2B,Service Quality,Email,2022-01-11,2022-01-11,2022-02-20,Partially Upheld,212.09,False,Staff Error
10056,CMP010056,1366,Consumer,Privacy,Ombudsman,2022-01-11,2022-01-13,2022-01-17,Partially Upheld,405.29,False,Process Failure
12992,CMP012992,2094,Consumer,Billing,Letter,2022-01-11,2022-01-12,2022-02-14,Not Upheld,0.0,True,System Error
27,CMP000027,3923,Consumer,Contract Terms,Letter,2022-01-11,2022-01-12,2022-02-01,Not Upheld,0.0,False,Policy Gap
10608,CMP010608,3405,Consumer,Privacy,Ombudsman,2022-01-11,2022-01-13,2022-01-27,Upheld,156.99,False,Staff Error
13212,CMP013212,2750,Consumer,Privacy,Ombudsman,2022-01-11,2022-01-12,2022-03-02,Withdrawn,0.0,True,System Error
9997,CMP009997,689,B2B,Sales Practice,Social Media,2022-01-11,2022-01-11,2022-02-04,Withdrawn,0.0,False,Customer Misunderstanding
17118,CMP017118,1753,Consumer,Sales Practice,Regulator,2022-01-12,2022-01-13,2022-01-27,Not Upheld,0.0,False,Policy Gap
16355,CMP016355,2596,Consumer,Billing,Letter,2022-01-12,2022-01-14,,Pending,0.0,False,
6010,CMP006010,277,B2B,Customer Service,Email,2022-01-12,2022-01-13,2022-02-03,Not Upheld,0.0,False,Customer Misunderstanding
7662,CMP007662,4905,Consumer,Billing,Social Media,2022-01-12,2022-01-13,,Pending,0.0,False,
1786,CMP001786,4540,Consumer,Contract Terms,Email,2022-01-12,2022-01-14,,Pending,0.0,False,
10058,CMP010058,2013,Consumer,Service Quality,Letter,2022-01-12,2022-01-13,2022-03-08,Withdrawn,0.0,False,Staff Error
18115,CMP018115,231,Consumer,Sales Practice,Letter,2022-01-12,2022-01-12,,Pending,0.0,False,
14606,CMP014606,4384,Consumer,Billing,Letter,2022-01-12,2022-01-14,2022-02-06,Not Upheld,0.0,False,Customer Misunderstanding
4484,CMP004484,506,B2B,Contract Terms,Phone,2022-01-12,2022-01-12,,Pending,0.0,False,
8475,CMP008475,281,Consumer,Contract Terms,Phone,2022-01-12,2022-01-13,2022-01-17,Withdrawn,0.0,False,Process Failure
11743,CMP011743,3217,Consumer,Customer Service,Social Media,2022-01-12,2022-01-12,,Pending,0.0,False,
2751,CMP002751,3991,Consumer,Sales Practice,Phone,2022-01-12,2022-01-14,2022-02-11,Withdrawn,0.0,False,System Error
3802,CMP003802,4139,Consumer,Billing,Phone,2022-01-12,2022-01-13,2022-03-06,Upheld,49.11,False,Customer Misunderstanding
3313,CMP003313,17,Consumer,Network Coverage,Letter,2022-01-13,2022-01-14,2022-01-27,Not Upheld,0.0,False,Customer Misunderstanding
17360,CMP017360,3707,Consumer,Contract Terms,Email,2022-01-13,2022-01-14,,Pending,0.0,False,
3967,CMP003967,3096,Consumer,Contract Terms,Phone,2022-01-13,2022-01-15,2022-02-08,Not Upheld,0.0,False,Policy Gap
1476,CMP001476,389,B2B,Sales Practice,Email,2022-01-13,2022-01-13,2022-02-18,Upheld,494.07,False,Customer Misunderstanding
9597,CMP009597,60,Consumer,Customer Service,Social Media,2022-01-13,2022-01-15,2022-02-19,Partially Upheld,7.26,False,Customer Misunderstanding
6933,CMP006933,3732,Consumer,Pricing,Phone,2022-01-13,2022-01-15,,Pending,0.0,False,
8785,CMP008785,1724,Consumer,Service Quality,Letter,2022-01-13,2022-01-13,2022-01-28,Not Upheld,0.0,False,System Error
6866,CMP006866,2193,Consumer,Service Quality,Ombudsman,2022-01-13,2022-01-13,2022-01-28,Upheld,284.8,False,Process Failure
19513,CMP019513,149,Consumer,Service Quality,Letter,2022-01-13,2022-01-13,2022-02-25,Not Upheld,0.0,False,Process Failure
11550,CMP011550,4167,Consumer,Service Quality,Letter,2022-01-13,2022-01-14,2022-02-20,Withdrawn,0.0,False,Policy Gap
18478,CMP018478,193,B2B,Billing,Email,2022-01-13,2022-01-15,,Pending,0.0,False,
16865,CMP016865,4866,Consumer,Pricing,Ombudsman,2022-01-13,2022-01-13,,Pending,0.0,False,
12038,CMP012038,929,Consumer,Sales Practice,Social Media,2022-01-14,2022-01-15,2022-01-29,Upheld,349.01,False,Customer Misunderstanding
3889,CMP003889,2270,Consumer,Billing,Email,2022-01-14,2022-01-15,2022-01-19,Partially Upheld,0.04,False,Customer Misunderstanding
6240,CMP006240,195,Consumer,Pricing,Phone,2022-01-14,2022-01-16,2022-01-21,Upheld,32.84,False,Staff Error
2386,CMP002386,316,Consumer,Privacy,Regulator,2022-01-14,2022-01-16,2022-01-20,Partially Upheld,450.72,False,Process Failure
11051,CMP011051,4547,Consumer,Sales Practice,Ombudsman,2022-01-14,2022-01-15,,Pending,0.0,False,
18308,CMP018308,459,B2B,Service Quality,Letter,2022-01-14,2022-01-15,2022-03-11,Withdrawn,0.0,False,Customer Misunderstanding
7113,CMP007113,198,B2B,Billing,Ombudsman,2022-01-14,2022-01-16,2022-02-20,Withdrawn,0.0,False,Process Failure
12187,CMP012187,2173,Consumer,Contract Terms,Ombudsman,2022-01-14,2022-01-14,2022-02-23,Not Upheld,0.0,False,Staff Error
5704,CMP005704,4558,Consumer,Pricing,Ombudsman,2022-01-14,2022-01-15,2022-02-19,Partially Upheld,311.83,False,System Error
9923,CMP009923,4549,Consumer,Sales Practice,Phone,2022-01-14,2022-01-16,2022-02-16,Not Upheld,0.0,True,Staff Error
6377,CMP006377,525,B2B,Privacy,Regulator,2022-01-14,2022-01-14,2022-02-10,Partially Upheld,39.39,False,System Error
12046,CMP012046,3668,Consumer,Network Coverage,Letter,2022-01-14,2022-01-15,2022-02-16,Withdrawn,0.0,False,Policy Gap
9156,CMP009156,1990,Consumer,Billing,Social Media,2022-01-14,2022-01-14,,Pending,0.0,False,
2308,CMP002308,321,B2B,Service Quality,Regulator,2022-01-15,2022-01-15,2022-01-29,Not Upheld,0.0,False,Staff Error
9272,CMP009272,2889,Consumer,Contract Terms,Ombudsman,2022-01-15,2022-01-17,2022-02-22,Withdrawn,0.0,False,Customer Misunderstanding
5158,CMP005158,3588,Consumer,Privacy,Regulator,2022-01-15,2022-01-15,2022-02-22,Withdrawn,0.0,False,Staff Error
