perf_id,partner_key,month,orders_count,order_value,revenue,new_customers,churn_rate,nps_score,support_tickets,training_completed,commission_earned
42,2,2022-05,91,85830.07,72955.56,26,0.62,52,28,False,12960.34
43,2,2022-06,48,98797.32,83977.72,12,2.58,75,12,False,14918.4
44,2,2022-07,45,89521.1,76092.93,1,0.97,73,11,False,13517.69
45,2,2022-08,129,108668.72,92368.41,4,1.9,40,33,True,16408.98
46,2,2022-09,98,17103.23,14537.75,16,0.23,51,12,False,2582.59
47,2,2022-10,47,25468.26,21648.02,14,2.7,41,12,False,3845.71
48,2,2022-11,90,112868.31,95938.06,28,1.52,55,38,True,17043.11
49,2,2022-12,71,44316.17,37668.74,22,0.34,41,9,True,6691.74
50,2,2023-01,56,90585.53,76997.7,13,0.21,69,1,True,13678.42
51,2,2023-02,88,109763.16,93298.69,13,0.36,62,39,True,16574.24
52,2,2023-03,44,131579.2,111842.32,10,1.21,78,7,False,19868.46
53,2,2023-04,101,143069.95,121609.46,17,2.63,52,50,True,21603.56
54,2,2023-05,78,48619.61,41326.67,20,0.18,62,36,False,7341.56
55,2,2023-06,122,91822.65,78049.25,21,1.31,25,5,True,13865.22
56,2,2023-07,86,35818.94,30446.1,16,2.17,61,20,False,5408.66
57,2,2023-08,57,84757.78,72044.11,9,1.22,39,9,False,12798.42
58,2,2023-09,79,25891.83,22008.06,1,2.93,73,28,False,3909.67
59,2,2023-10,71,105698.14,89843.42,8,2.9,49,5,True,15960.42
60,2,2023-11,59,127986.01,108788.11,3,1.71,64,18,True,19325.89
61,2,2023-12,32,92104.13,78288.51,10,2.03,76,2,False,13907.72
62,2,2024-01,109,109438.16,93022.44,33,0.27,79,34,True,16525.16
63,2,2024-02,138,29077.74,24716.08,40,0.05,26,42,True,4390.74
64,2,2024-03,43,112820.05,95897.04,2,2.79,30,6,True,17035.83
65,2,2024-04,19,146158.22,124234.49,4,2.17,64,9,False,22069.89
66,2,2024-05,16,118526.54,100747.56,4,2.1,66,6,False,17897.51
67,2,2024-06,123,21945.43,18653.62,37,1.16,69,42,True,3313.76
68,2,2024-07,149,20894.27,17760.13,15,0.79,68,44,False,3155.03
69,2,2024-08,140,93454.87,79436.64,38,1.75,80,40,False,14111.69
70,2,2024-09,87,134117.65,114000.0,12,2.71,76,38,False,20251.77
71,2,2024-10,52,38491.25,32717.56,15,2.99,73,19,False,5812.18
72,2,2024-11,80,52874.33,44943.18,21,0.98,51,17,True,7984.02
73,3,2022-01,18,9046.83,7689.81,3,1.09,45,6,True,1574.15
74,3,2022-01,31,38359.94,32605.95,1,0.74,20,2,True,6674.63
75,3,2022-03,34,26712.37,22705.51,3,1.61,41,3,False,4647.95
76,3,2022-04,11,40354.88,34301.65,1,1.79,24,1,True,7021.75
77,3,2022-05,9,22844.21,19417.58,3,2.08,68,0,False,3974.89
78,3,2022-05,47,9428.88,8014.55,2,2.98,78,9,True,1640.63
79,3,2022-06,24,41473.45,35252.43,2,0.68,66,6,True,7216.38
80,3,2022-07,44,19965.97,16971.07,5,0.86,78,8,True,3474.08
81,3,2022-08,18,31973.15,27177.18,4,0.15,52,4,True,5563.33
82,3,2022-09,37,10962.41,9318.05,8,2.4,29,0,False,1907.46
83,3,2022-10,12,7162.99,6088.54,0,0.89,22,3,False,1246.36
84,3,2022-11,26,5324.86,4526.13,3,2.18,55,11,False,926.53
85,3,2022-12,28,20545.7,17463.85,9,1.54,24,13,True,3574.95
86,3,2023-01,15,25965.66,22070.81,5,2.04,78,7,False,4518.02
87,3,2023-02,9,44491.85,37818.07,2,2.13,24,4,True,7741.58
88,3,2023-03,9,37631.44,31986.72,3,0.38,75,0,True,6547.87
89,3,2023-04,34,42918.2,36480.47,9,2.54,68,13,True,7467.77
90,3,2023-05,46,27654.2,23506.07,13,2.18,77,20,False,4811.83
91,3,2023-06,42,48861.98,41532.68,11,0.67,22,10,True,8501.98
92,3,2023-07,35,12298.1,10453.39,3,1.52,40,3,True,2139.87
93,3,2023-08,43,12241.66,10405.41,14,2.76,74,0,False,2130.05
94,3,2023-09,17,26925.35,22886.55,4,1.65,70,6,True,4685.01
95,3,2023-10,17,12719.12,10811.25,3,2.76,54,4,False,2213.13
96,3,2023-11,48,30220.53,25687.45,6,0.82,27,24,False,5258.37
97,3,2023-12,34,22081.2,18769.02,8,2.76,76,5,False,3842.13
98,3,2024-01,27,40825.29,34701.5,9,0.08,32,1,False,7103.6
99,3,2024-02,19,29900.21,25415.18,4,0.74,30,2,False,5202.64
100,3,2024-03,5,43421.66,36908.41,0,2.32,31,1,True,7555.37
101,3,2024-04,41,32504.48,27628.81,1,2.9,31,7,False,5655.78
102,3,2024-05,45,42627.53,36233.4,12,0.38,45,3,True,7417.19
103,3,2024-06,42,46347.96,39395.77,5,1.18,69,4,False,8064.55
104,3,2024-07,34,13624.16,11580.54,10,0.23,69,10,True,2370.6
105,3,2024-08,19,24003.21,20402.73,6,0.07,48,6,True,4176.56
106,3,2024-09,33,47270.9,40180.26,7,1.08,49,1,True,8225.14
107,3,2024-10,22,42960.58,36516.49,7,0.7,57,9,False,7475.14
108,3,2024-11,25,38290.54,32546.96,1,0.09,25,12,False,6662.55
109,4,2022-01,38,88223.11,74989.64,1,1.29,47,8,True,5822.73
110,4,2022-01,109,39105.02,33239.27,19,2.61,30,37,True,2580.93
111,4,2022-03,83,42597.17,36207.59,19,2.0,57,6,False,2811.41
112,4,2022-04,90,124504.05,105828.44,1,1.46,64,4,False,8217.27
113,4,2022-05,60,97298.72,82703.91,9,2.79,36,9,False,6421.72
114,4,2022-05,74,35837.07,30461.51,23,0.33,71,15,False,2365.25
115,4,2022-06,33,107632.04,91487.23,8,2.88,50,2,False,7103.71
116,4,2022-07,15,53424.58,45410.89,2,2.41,59,3,False,3526.02
117,4,2022-08,117,63513.27,53986.28,26,2.8,73,28,True,4191.88
118,4,2022-09,137,108616.73,92324.22,5,2.07,34,28,True,7168.7
119,4,2022-10,141,113263.07,96273.61,34,2.99,32,33,True,7475.36
120,4,2022-11,81,133348.09,113345.88,9,2.61,65,23,False,8800.97
121,4,2022-12,35,56044.22,47637.59,3,2.84,78,9,False,3698.92
122,4,2023-01,18,70600.17,60010.14,2,0.88,50,7,True,4659.61
123,4,2023-02,99,41964.89,35670.16,8,1.15,48,16,False,2769.68
124,4,2023-03,62,78930.82,67091.2,5,2.64,27,15,True,5209.43
125,4,2023-04,30,50987.11,43339.04,5,1.17,73,4,False,3365.15
126,4,2023-05,72,67015.13,56962.86,3,0.44,22,12,True,4423.0
127,4,2023-06,67,96491.61,82017.87,0,0.43,30,30,True,6368.45
128,4,2023-07,94,20102.31,17086.96,7,0.57,74,5,False,1326.75
129,4,2023-08,98,32062.89,27253.46,3,0.92,72,25,False,2116.15
130,4,2023-09,87,85612.52,72770.64,16,2.55,65,43,False,5650.43
131,4,2023-10,24,23897.54,20312.91,3,2.27,51,10,True,1577.24
132,4,2023-11,46,138449.08,117681.72,10,1.12,66,6,True,9137.64
133,4,2023-12,56,82378.66,70021.86,2,0.1,61,6,False,5436.99
134,4,2024-01,135,65431.26,55616.57,17,0.34,36,55,False,4318.46
135,4,2024-02,149,107144.35,91072.7,20,1.95,35,12,False,7071.53
136,4,2024-03,84,140242.18,119205.85,19,2.05,29,7,False,9255.98
137,4,2024-04,116,70829.54,60205.11,5,0.13,78,52,False,4674.75
138,4,2024-05,107,128075.62,108864.28,35,1.91,32,10,False,8452.99
139,4,2024-06,137,112266.26,95426.32,41,1.01,65,27,True,7409.57
140,4,2024-07,99,129481.1,110058.93,31,2.11,65,18,True,8545.75
141,4,2024-08,47,148773.07,126457.11,15,2.14,74,13,True,9819.02
142,4,2024-09,46,102965.98,87521.08,13,2.9,26,7,False,6795.75
143,4,2024-10,140,100610.69,85519.09,15,2.13,50,56,True,6640.31
144,4,2024-11,148,42404.08,36043.47,39,1.52,26,19,True,2798.67
145,6,2022-01,27,14855.31,12627.01,6,0.07,62,0,False,1960.9
146,6,2022-01,49,48979.45,41632.53,5,2.62,48,22,False,6465.29
147,6,2022-03,38,46633.63,39638.59,3,0.42,25,12,False,6155.64
148,6,2022-04,36,29383.9,24976.32,12,2.53,34,7,False,3878.67
149,6,2022-05,34,16894.57,14360.38,3,0.73,23,17,True,2230.08
150,6,2022-05,5,39506.13,33580.21,0,0.78,43,0,True,5214.81
151,6,2022-06,13,16775.48,14259.16,1,2.92,66,5,False,2214.36
152,6,2022-07,14,6683.82,5681.25,1,1.81,35,2,False,882.26
153,6,2022-08,34,24187.13,20559.06,1,0.17,67,14,True,3192.7
154,6,2022-09,10,10889.71,9256.25,0,2.13,67,4,True,1437.44
155,6,2022-10,22,6645.38,5648.57,3,0.43,68,9,False,877.19
156,6,2022-11,46,9144.36,7772.71,4,1.15,21,6,True,1207.06
157,6,2022-12,26,22922.35,19484.0,8,0.88,76,9,True,3025.75
158,6,2023-01,8,18229.57,15495.13,2,1.98,41,1,False,2406.3
159,6,2023-02,12,47191.4,40112.69,2,1.61,50,5,False,6229.26
160,6,2023-03,32,22595.65,19206.3,6,1.59,46,14,True,2982.63
161,6,2023-04,25,11920.81,10132.69,4,2.93,41,9,True,1573.55
162,6,2023-05,37,21219.2,18036.32,9,2.12,20,5,True,2800.93
163,6,2023-06,47,29499.24,25074.35,2,2.44,80,5,False,3893.9
164,6,2023-07,6,25502.51,21677.13,2,2.77,41,2,True,3366.33
165,6,2023-08,48,17533.49,14903.47,5,1.76,53,6,False,2314.42
166,6,2023-09,19,25655.24,21806.95,1,1.31,66,4,True,3386.49
167,6,2023-10,29,35214.19,29932.06,4,0.72,63,11,True,4648.27
168,6,2023-11,34,25235.04,21449.78,5,1.03,75,4,False,3331.03
169,6,2023-12,15,20796.59,17677.1,3,2.72,29,0,True,2745.15
170,6,2024-01,21,29753.23,25290.25,4,1.56,31,4,True,3927.43
171,6,2024-02,37,14132.65,12012.75,1,0.97,23,16,False,1865.51
172,6,2024-03,40,18716.07,15908.66,11,0.17,29,5,False,2470.52
173,6,2024-04,30,5392.71,4583.8,1,2.62,28,0,False,711.84
174,6,2024-05,35,26564.66,22579.96,9,1.97,79,3,True,3506.54
175,6,2024-06,48,24699.28,20994.39,12,1.13,66,2,True,3260.3
176,6,2024-07,37,44096.11,37481.69,11,0.25,28,6,True,5820.69
177,6,2024-08,10,36727.2,31218.12,2,0.34,46,0,True,4847.99
178,6,2024-09,45,45637.12,38791.55,10,1.36,42,14,False,6024.1
179,6,2024-10,45,25522.71,21694.3,7,2.6,78,4,True,3369.0
180,6,2024-11,44,44520.14,37842.12,14,2.78,41,2,False,5876.66
181,7,2022-01,5,48088.26,40875.02,0,2.51,67,2,False,3991.33
182,7,2022-01,35,5829.59,4955.15,3,2.15,44,8,True,483.86
183,7,2022-03,28,23297.58,19802.94,0,1.3,40,11,False,1933.7
184,7,2022-04,27,22967.22,19522.14,8,1.63,43,3,True,1906.28
185,7,2022-05,40,22578.12,19191.4,0,0.68,38,14,False,1873.98
186,7,2022-05,9,46933.0,39893.05,2,0.49,46,3,False,3895.44
187,7,2022-06,23,27676.74,23525.23,7,0.45,53,3,True,2297.17
188,7,2022-07,29,9420.25,8007.21,9,0.53,60,8,True,781.88
189,7,2022-08,8,39972.98,33977.03,1,2.73,34,2,False,3317.76
190,7,2022-09,32,31833.44,27058.42,6,2.64,30,16,True,2642.18
191,7,2022-10,32,35135.93,29865.54,0,2.19,24,5,False,2916.28
192,7,2022-11,48,22469.01,19098.66,10,0.56,54,19,True,1864.93
193,7,2022-12,48,40134.58,34114.39,11,0.51,70,4,False,3331.17
194,7,2023-01,5,26549.48,22567.06,0,1.78,52,2,False,2203.61
195,7,2023-02,41,47985.16,40787.39,2,1.97,61,14,False,3982.77
196,7,2023-03,13,46007.52,39106.39,4,2.35,22,2,True,3818.62
197,7,2023-04,22,31402.35,26692.0,4,0.39,29,1,False,2606.4
198,7,2023-05,42,41572.09,35336.28,7,1.87,25,14,True,3450.48
199,7,2023-06,29,7930.61,6741.02,7,3.0,43,11,False,658.24
200,7,2023-07,11,14724.34,12515.69,1,0.94,41,1,False,1222.12
201,7,2023-08,47,5813.33,4941.33,3,1.26,73,0,False,482.51
202,7,2023-09,46,37662.97,32013.52,2,2.4,62,12,True,3126.03
203,7,2023-10,39,41673.54,35422.51,8,2.64,31,19,False,3458.9
204,7,2023-11,27,18958.94,16115.1,9,2.13,76,9,False,1573.59
205,7,2023-12,6,18710.81,15904.19,0,2.14,74,3,False,1553.0
206,7,2024-01,16,28282.47,24040.1,0,2.95,48,3,True,2347.45
207,7,2024-02,8,5347.26,4545.17,1,0.55,80,4,True,443.82
208,7,2024-03,32,16402.74,13942.33,6,2.34,59,13,True,1361.43
209,7,2024-04,24,43264.55,36774.87,6,2.15,20,10,False,3590.96
210,7,2024-05,44,45623.29,38779.8,2,2.98,58,21,True,3786.73
211,7,2024-06,25,19970.92,16975.28,5,2.68,68,10,False,1657.59
212,7,2024-07,46,23057.79,19599.12,15,2.28,44,1,True,1913.8
213,7,2024-08,15,43177.24,36700.65,1,1.38,64,4,False,3583.71
214,7,2024-09,43,24951.5,21208.77,11,0.89,51,20,True,2070.97
215,7,2024-10,26,41132.27,34962.43,1,1.13,63,12,True,3413.98
216,7,2024-11,13,31655.0,26906.75,0,2.69,33,0,False,2627.36
217,8,2022-01,26,15668.59,13318.3,3,2.85,50,5,True,2538.31
218,8,2022-01,8,34141.1,29019.93,0,1.23,50,1,False,5530.86
219,8,2022-03,23,44393.95,37734.86,7,2.03,73,4,False,7191.82
220,8,2022-04,36,15112.0,12845.2,1,1.03,62,16,True,2448.14
221,8,2022-05,49,25344.79,21543.07,3,2.51,29,24,False,4105.86
222,8,2022-05,27,35604.72,30264.01,7,2.2,61,4,False,5767.96
223,8,2022-06,11,46576.75,39590.24,3,2.87,28,5,False,7545.43
224,8,2022-07,25,18124.8,15406.08,8,1.91,33,0,False,2936.22
225,8,2022-08,20,10504.56,8928.88,5,2.63,35,2,True,1701.74
226,8,2022-09,14,37677.69,32026.04,1,0.45,56,6,False,6103.79
227,8,2022-10,47,25150.31,21377.76,11,2.28,66,18,True,4074.35
228,8,2022-11,29,24182.52,20555.14,2,2.82,62,10,True,3917.57
229,8,2022-12,43,39522.38,33594.02,12,0.84,26,6,False,6402.63
230,8,2023-01,46,33912.13,28825.31,10,1.74,32,1,False,5493.77
231,8,2023-02,46,38601.22,32811.04,9,2.64,60,9,False,6253.4
232,8,2023-03,40,14758.13,12544.41,12,2.39,57,12,False,2390.82
233,8,2023-04,13,30643.69,26047.14,0,2.96,49,5,True,4964.28
234,8,2023-05,40,22629.64,19235.19,9,2.32,33,15,True,3666.0
235,8,2023-06,37,22425.51,19061.68,9,1.92,80,16,False,3632.93
236,8,2023-07,35,33055.56,28097.23,6,1.86,55,17,True,5355.0
237,8,2023-08,26,30169.8,25644.33,2,0.1,50,12,False,4887.51
238,8,2023-09,43,22234.89,18899.66,6,1.42,31,10,False,3602.05
239,8,2023-10,36,42298.35,35953.6,1,0.64,49,13,False,6852.33
240,8,2023-11,45,40453.72,34385.66,3,0.83,76,10,False,6553.5
241,8,2023-12,46,44174.11,37547.99,14,1.19,38,10,False,7156.21
242,8,2024-01,22,27430.92,23316.28,2,1.13,51,6,True,4443.81
243,8,2024-02,6,8948.32,7606.07,0,0.69,59,2,True,1449.63
244,8,2024-03,5,16404.87,13944.14,0,1.6,34,0,False,2657.59
245,8,2024-04,8,37872.55,32191.67,2,2.43,45,0,True,6135.35
246,8,2024-05,32,7418.74,6305.93,4,2.72,64,12,True,1201.84
247,8,2024-06,30,33460.13,28441.11,2,0.32,30,0,True,5420.54
248,8,2024-07,46,39558.56,33624.78,9,1.54,37,12,True,6408.49
249,8,2024-08,8,9047.19,7690.11,2,2.66,42,3,True,1465.64
250,8,2024-09,8,37719.62,32061.68,2,0.85,52,0,False,6110.58
251,8,2024-10,39,25932.35,22042.5,13,0.98,57,2,True,4201.04
252,8,2024-11,48,27950.44,23757.87,12,1.84,37,23,True,4527.97
253,9,2022-01,45,147598.42,125458.66,7,0.39,55,2,True,19040.2
254,9,2022-01,112,103784.34,88216.69,34,1.01,71,4,False,13388.18
255,9,2022-03,103,55848.57,47471.28,8,1.79,71,45,False,7204.47
256,9,2022-04,17,58894.26,50060.12,1,2.44,71,6,True,7597.36
257,9,2022-05,89,30427.88,25863.7,23,1.2,33,9,False,3925.2
258,9,2022-05,48,89668.63,76218.34,1,0.06,26,11,True,11567.25
259,9,2022-06,118,53654.85,45606.62,35,1.69,75,27,False,6921.48
260,9,2022-07,33,30680.02,26078.02,5,1.35,65,10,True,3957.72
261,9,2022-08,64,77099.31,65534.41,16,0.76,46,22,True,9945.81
262,9,2022-09,86,21825.28,18551.49,11,2.0,24,37,True,2815.46
263,9,2022-10,27,143093.85,121629.77,2,2.74,32,8,True,18459.11
264,9,2022-11,148,133109.9,113143.41,34,2.09,38,13,True,17171.18
265,9,2022-12,66,102094.87,86780.64,19,2.62,48,17,False,13170.24
266,9,2023-01,55,93799.0,79729.15,13,0.03,70,22,True,12100.07
267,9,2023-02,26,31723.96,26965.37,0,2.4,74,0,False,4092.39
268,9,2023-03,110,90973.13,77327.16,22,0.06,58,33,False,11735.53
269,9,2023-04,118,100439.64,85373.69,39,0.88,30,42,True,12956.71
270,9,2023-05,24,29157.83,24784.16,3,2.04,40,3,False,3761.36
271,9,2023-06,132,37404.37,31793.71,29,2.91,75,61,False,4825.16
272,9,2023-07,48,131777.33,112010.73,3,0.72,30,7,True,16999.28
273,9,2023-08,91,135952.05,115559.24,14,1.04,22,1,True,17537.81
274,9,2023-09,66,37435.6,31820.26,8,0.38,20,11,False,4829.19
275,9,2023-10,118,112410.59,95549.0,7,0.82,77,45,False,14500.97
276,9,2023-11,146,112906.65,95970.65,27,0.47,41,5,True,14564.96
277,9,2023-12,62,42190.04,35861.53,18,0.59,60,25,True,5442.52
278,9,2024-01,66,40059.66,34050.71,20,2.06,38,9,True,5167.7
279,9,2024-02,141,51099.33,43434.43,32,2.69,68,28,False,6591.81
280,9,2024-03,121,87726.63,74567.64,17,1.46,67,54,True,11316.74
281,9,2024-04,32,31991.85,27193.07,8,0.82,63,2,False,4126.95
282,9,2024-05,23,37553.85,31920.77,0,1.52,77,6,False,4844.45
283,9,2024-06,105,104879.87,89147.89,28,1.75,51,27,True,13529.5
284,9,2024-07,85,88936.86,75596.33,15,2.73,32,27,True,11472.85
285,9,2024-08,16,131643.98,111897.38,3,1.64,47,4,True,16982.07
286,9,2024-09,31,33239.65,28253.7,10,0.7,53,12,False,4287.91
287,9,2024-10,86,111128.75,94459.44,10,0.34,59,10,True,14335.61
288,9,2024-11,28,144870.04,123139.53,9,2.17,58,14,False,18688.24
289,10,2022-01,62,83268.24,70778.0,7,1.3,42,6,True,11657.55
290,10,2022-01,68,54652.76,46454.85,1,0.35,73,4,False,7651.39
291,10,2022-03,116,29058.46,24699.69,24,0.62,67,18,False,4068.18
292,10,2022-04,93,69644.48,59197.81,6,0.64,42,24,False,9750.23
293,10,2022-05,129,16878.61,14346.82,30,0.76,49,49,True,2363.01
294,10,2022-05,48,126235.35,107300.05,3,2.46,53,4,True,17672.95
295,10,2022-06,89,34220.61,29087.52,10,0.84,51,23,True,4790.89
296,10,2022-07,94,115375.26,98068.97,17,2.71,76,20,False,16152.54
297,10,2022-08,88,65070.56,55309.98,9,1.66,54,1,False,9109.88
298,10,2022-09,50,70872.8,60241.88,11,2.72,63,19,True,9922.19
299,10,2022-10,47,137471.12,116850.45,9,0.76,28,15,True,19245.96
300,10,2022-11,95,141551.38,120318.67,31,1.42,28,15,False,19817.19
301,10,2022-12,45,146836.97,124811.42,9,1.82,47,5,True,20557.18
302,10,2023-01,16,138463.02,117693.57,2,0.28,21,8,False,19384.82
303,10,2023-02,94,69127.14,58758.07,30,2.92,40,4,False,9677.8
304,10,2023-03,128,130522.96,110944.52,7,2.1,48,24,False,18273.21
305,10,2023-04,18,42679.05,36277.19,1,2.64,57,8,True,5975.07
306,10,2023-05,126,83009.34,70557.94,40,1.69,32,31,True,11621.31
307,10,2023-06,21,129847.33,110370.23,2,0.68,64,5,True,18178.63
308,10,2023-07,73,124965.05,106220.29,18,2.26,69,34,True,17495.11
309,10,2023-08,122,53055.21,45096.93,32,2.18,36,18,False,7427.73
310,10,2023-09,143,122045.52,103738.69,21,2.62,60,24,False,17086.37
311,10,2023-10,80,115662.64,98313.24,24,2.74,62,15,True,16192.77
312,10,2023-11,143,113119.1,96151.24,39,1.74,73,37,True,15836.67
313,10,2023-12,55,68439.59,58173.65,7,1.49,22,21,True,9581.54
314,10,2024-01,85,116597.85,99108.17,8,2.52,71,4,False,16323.7
315,10,2024-02,65,52311.51,44464.78,20,0.01,28,23,True,7323.61
316,10,2024-03,22,57054.96,48496.72,0,2.24,43,1,False,7987.69
317,10,2024-04,59,21015.13,17862.86,16,2.25,62,1,True,2942.12
318,10,2024-05,17,76953.37,65410.36,1,1.06,51,5,False,10773.47
319,10,2024-06,144,42510.9,36134.26,27,0.02,26,40,True,5951.53
320,10,2024-07,118,137314.27,116717.13,28,1.82,48,32,False,19224.0
321,10,2024-08,55,68628.5,58334.22,18,0.99,68,27,False,9607.99
322,10,2024-09,111,84839.04,72113.18,31,0.82,39,54,True,11877.47
323,10,2024-10,76,136247.73,115810.57,22,2.88,76,34,False,19074.68
324,10,2024-11,68,30792.44,26173.57,12,1.28,59,2,True,4310.94
325,11,2022-01,41,72381.84,61524.56,3,1.58,66,7,False,11436.33
326,11,2022-01,16,28213.77,23981.7,4,2.74,75,1,True,4457.78
327,11,2022-03,14,65873.49,55992.47,2,1.82,46,1,False,10408.01
328,11,2022-04,56,28394.78,24135.56,11,0.67,24,13,False,4486.38
329,11,2022-05,65,53902.18,45816.85,8,2.32,29,27,True,8516.54
330,11,2022-05,16,45694.0,38839.9,5,2.79,43,2,False,7219.65
331,11,2022-06,50,38260.63,32521.54,6,2.49,36,11,False,6045.18
332,11,2022-07,18,13927.48,11838.36,0,2.39,25,2,False,2200.54
333,11,2022-08,13,64993.53,55244.5,3,2.68,52,6,False,10268.98
334,11,2022-09,69,40812.08,34690.27,19,0.48,79,15,False,6448.31
335,11,2022-10,24,24257.5,20618.88,6,0.94,43,11,True,3832.68
336,11,2022-11,24,17495.14,14870.87,5,2.39,61,12,False,2764.23
337,11,2022-12,45,9943.18,8451.7,1,1.64,57,13,False,1571.02
338,11,2023-01,16,41399.92,35189.93,1,2.08,25,0,True,6541.19
339,11,2023-02,49,25618.5,21775.72,5,0.06,72,23,True,4047.72
340,11,2023-03,56,33062.56,28103.18,13,0.06,54,19,False,5223.88
341,11,2023-04,39,68502.52,58227.14,1,2.78,21,14,False,10823.4
342,11,2023-05,55,30693.8,26089.73,17,1.92,77,19,False,4849.62
343,11,2023-06,33,43159.47,36685.55,9,0.64,37,10,False,6819.2
344,11,2023-07,11,73484.06,62461.45,2,0.81,59,2,False,11610.48
345,11,2023-08,25,55448.52,47131.24,3,2.55,50,5,True,8760.87
346,11,2023-09,11,59673.08,50722.12,1,1.92,75,5,False,9428.35
347,11,2023-10,45,18748.37,15936.11,15,0.18,51,2,False,2962.24
348,11,2023-11,46,54615.59,46423.25,10,2.04,62,4,True,8629.26
349,11,2023-12,37,22862.81,19433.39,11,2.81,79,9,True,3612.32
350,11,2024-01,63,68715.26,58407.97,15,0.02,33,27,False,10857.01
351,11,2024-02,38,12534.08,10653.97,12,1.62,54,19,True,1980.38
352,11,2024-03,57,16900.45,14365.38,6,2.62,71,0,True,2670.27
353,11,2024-04,62,33427.39,28413.28,20,1.1,56,25,True,5281.53
354,11,2024-05,22,37382.96,31775.52,0,0.26,24,0,False,5906.51
355,11,2024-06,41,36437.25,30971.66,5,1.89,80,3,False,5757.09
356,11,2024-07,48,8301.32,7056.12,10,2.21,53,14,True,1311.61
357,11,2024-08,39,27929.3,23739.9,5,2.07,38,16,True,4412.83
358,11,2024-09,14,33452.05,28434.24,4,1.17,63,2,False,5285.42
359,11,2024-10,46,56906.05,48370.14,5,0.65,46,21,True,8991.16
360,11,2024-11,19,16703.07,14197.61,1,2.18,42,7,True,2639.09
361,12,2022-01,99,78903.72,67068.16,14,1.32,76,3,False,9073.93
362,12,2022-01,174,205814.13,174942.01,1,2.6,35,4,False,23668.62
363,12,2022-03,229,47672.57,40521.68,65,0.5,63,50,True,5482.35
364,12,2022-04,89,236093.2,200679.22,17,1.21,47,6,True,27150.72
365,12,2022-05,111,65379.46,55572.54,9,2.37,32,0,False,7518.64
