credit_note_id,customer_key,invoice_id,credit_date,credit_amount,credit_reason,approval_status,approved_by,created_date
1cba98c8-a7ac-4934-83ca-d4b987441066,35,204967,2026-03-05,4123.33,Service Outage Compensation,Approved,Customer Service Lead,2026-03-05 00:00:00
c1b9e5f7-e94f-4414-93ea-788f065e6137,303,201176,2026-01-26,1456.04,Billing Error,Approved,Revenue Assurance Team,2026-01-26 00:00:00
66fa87bd-e7d0-4e0f-811a-ffc47945433f,575,204066,2026-02-24,1687.54,Goodwill Gesture,Approved,Customer Service Lead,2026-02-24 00:00:00
7b90fb1d-b126-46c7-902c-fba7e7a809c8,882,201616,2026-01-27,8.8,Goodwill Gesture,Approved,Finance Manager,2026-01-27 00:00:00
dddefc77-b363-4601-9159-55574531bdf7,292,203937,2026-02-22,5612.8,Rate Plan Correction,Pending,Customer Service Lead,2026-02-22 00:00:00
a3a6c1fc-8170-4330-967b-cbd261c2722d,492,200632,2026-01-16,1282.01,Contract Dispute Resolution,Approved,Revenue Assurance Team,2026-01-16 00:00:00
78b119ec-2e17-43b2-a3ce-389e9e9b7c11,1081,201952,2026-02-05,29.5,Rate Plan Correction,Pending,Customer Service Lead,2026-02-05 00:00:00
d13f3819-cd76-4fa1-ae23-b3c7b41af325,190,205027,2026-03-10,5134.64,Goodwill Gesture,Pending,Revenue Assurance Team,2026-03-10 00:00:00
177eec27-8913-4310-8aaa-d62188bb8674,1219,202616,2026-02-08,6.37,Rate Plan Correction,Pending,Revenue Assurance Team,2026-02-08 00:00:00
79a64c3e-e39f-4d90-8eca-797e7c55f646,266,203884,2026-02-25,188.19,Rate Plan Correction,Approved,Finance Manager,2026-02-25 00:00:00
7155518c-1e82-4f09-9e0f-b778aef9cee2,116,202138,2026-01-31,18.72,Contract Dispute Resolution,Approved,Customer Service Lead,2026-01-31 00:00:00
740f4a8e-3067-4d36-ae5b-f958ecc4935b,4273,202177,2026-01-27,8.16,Contract Dispute Resolution,Approved,Customer Service Lead,2026-01-27 00:00:00
ad4c2758-0bd5-4326-adf4-64a279a06843,608,204961,2026-03-06,965.92,Goodwill Gesture,Approved,Revenue Assurance Team,2026-03-06 00:00:00
83d2911e-0e6a-4f4f-863d-daaee3467bf9,795,202466,2026-02-07,4216.24,Billing Error,Approved,Customer Service Lead,2026-02-07 00:00:00
f5d67a3d-42a2-4546-9bb0-3fc7c2c38f99,2839,202314,2026-02-07,8.54,Rate Plan Correction,Approved,Finance Manager,2026-02-07 00:00:00
e42d0076-62d7-4468-900b-0eccecedab6f,2434,201381,2026-01-23,22.33,Contract Dispute Resolution,Approved,Customer Service Lead,2026-01-23 00:00:00
4d9de10e-148f-4fa5-876a-79a1afe9bb61,101,202997,2026-02-14,1338.2,Rate Plan Correction,Approved,Revenue Assurance Team,2026-02-14 00:00:00
bdb6e2fc-ed07-4d63-a678-bb4e08823525,2730,202233,2026-02-01,5.31,Overcharge Refund,Approved,Customer Service Lead,2026-02-01 00:00:00
a360a9b0-b380-4d07-a4da-69c3eabb684f,801,203405,2026-02-18,4343.99,Service Outage Compensation,Approved,Revenue Assurance Team,2026-02-18 00:00:00
bd42876e-ce60-4754-bc3a-9aebc8e190d8,342,204322,2026-03-03,836.3,Goodwill Gesture,Approved,Finance Manager,2026-03-03 00:00:00
89433b42-15d9-4694-bb65-712e1ee1dda4,813,204851,2026-02-27,3741.07,Contract Dispute Resolution,Pending,Customer Service Lead,2026-02-27 00:00:00
ed95d391-a75c-404a-af3a-b81204b8a3d9,2470,200156,2026-01-13,10.91,Billing Error,Pending,Finance Manager,2026-01-13 00:00:00
774830b8-5435-4f38-98cc-9d7ce00a38fe,3562,200683,2026-01-21,23.92,Service Outage Compensation,Approved,Finance Manager,2026-01-21 00:00:00
227030a5-96ae-477c-8542-90b4d029aca4,4289,203783,2026-02-24,6.99,Goodwill Gesture,Approved,Revenue Assurance Team,2026-02-24 00:00:00
d6c6ff56-c6b6-4af4-beb6-92d1b039408f,2355,203280,2026-02-14,20.93,Goodwill Gesture,Approved,Customer Service Lead,2026-02-14 00:00:00
555f0111-55d4-4777-bde6-e66d31c7da8f,291,202583,2026-02-01,4863.45,Rate Plan Correction,Pending,Finance Manager,2026-02-01 00:00:00
d403bb31-05f5-490a-b47b-5c114f746fe3,1361,201707,2026-02-02,9.29,Billing Error,Approved,Finance Manager,2026-02-02 00:00:00
71d2199f-a98f-4262-9cea-05b5fd7c9f5e,238,200069,2026-01-04,4028.49,Rate Plan Correction,Approved,Finance Manager,2026-01-04 00:00:00
2d516d69-c8dd-41b6-a9f9-fcb65e607c53,4444,203149,2026-02-14,6.75,Rate Plan Correction,Approved,Revenue Assurance Team,2026-02-14 00:00:00
e94ac161-1755-47ca-92fa-79cbbf562141,902,205171,2026-03-09,819.88,Contract Dispute Resolution,Approved,Revenue Assurance Team,2026-03-09 00:00:00
e508c260-5c30-4276-9490-826ef96e8a7d,981,201236,2026-01-17,2926.97,Contract Dispute Resolution,Pending,Revenue Assurance Team,2026-01-17 00:00:00
3037b9fa-0374-4fce-9a33-9fc7d6c6966d,3278,204919,2026-03-04,26.22,Billing Error,Approved,Customer Service Lead,2026-03-04 00:00:00
6a4c53a2-4490-4ccd-a7f8-1e7961ac366a,3194,200644,2026-01-15,5.68,Billing Error,Pending,Customer Service Lead,2026-01-15 00:00:00
8cc79482-1b58-450e-be65-5d7d8a9cf11a,331,201396,2026-01-29,1664.72,Billing Error,Approved,Customer Service Lead,2026-01-29 00:00:00
62cdfd46-ff22-4101-864b-dd93026bda45,1211,201899,2026-01-30,7.44,Contract Dispute Resolution,Approved,Finance Manager,2026-01-30 00:00:00
d0209888-0157-4670-8845-9d6d6f727674,2164,202035,2026-02-05,25.02,Overcharge Refund,Approved,Finance Manager,2026-02-05 00:00:00
3a5bec58-3966-4b5c-8dd6-6b5eef95bb7f,1557,202451,2026-02-07,13.86,Rate Plan Correction,Pending,Customer Service Lead,2026-02-07 00:00:00
2fae8a11-8a1b-489d-b61f-39059b4d502a,3032,204814,2026-03-08,34.61,Contract Dispute Resolution,Pending,Finance Manager,2026-03-08 00:00:00
23d13b09-dc93-48f2-8433-c965f3405d48,417,202430,2026-02-04,17.28,Contract Dispute Resolution,Approved,Customer Service Lead,2026-02-04 00:00:00
6d78e41b-dac9-4746-b53f-fe06923a1cd8,2481,202578,2026-02-11,12.56,Rate Plan Correction,Approved,Customer Service Lead,2026-02-11 00:00:00
766ad5ff-cd09-46dc-8fe4-6d92f9c5f7ae,454,204782,2026-02-26,4256.92,Service Outage Compensation,Approved,Finance Manager,2026-02-26 00:00:00
f5e68ba2-1623-42cc-a1e1-4b72499b0f9e,4800,202249,2026-01-31,25.16,Billing Error,Approved,Customer Service Lead,2026-01-31 00:00:00
f3369855-a4be-4a6b-8e4b-4fcbcb37ca6a,4067,203892,2026-02-21,8.38,Overcharge Refund,Approved,Finance Manager,2026-02-21 00:00:00
88bd0ee2-a458-4008-ad5b-abf4df982b8d,142,200133,2026-01-10,7176.63,Billing Error,Approved,Revenue Assurance Team,2026-01-10 00:00:00
e5c487d0-08eb-44ca-80c0-5213c42f15c2,538,205203,2026-03-10,15.73,Contract Dispute Resolution,Approved,Finance Manager,2026-03-10 00:00:00
6ba2c998-458f-4929-b02e-b8b5918500b9,3171,204178,2026-02-22,14.35,Overcharge Refund,Approved,Finance Manager,2026-02-22 00:00:00
80d2fd19-bea7-46fd-af91-1859752d788d,4085,203472,2026-02-19,4.76,Goodwill Gesture,Pending,Finance Manager,2026-02-19 00:00:00
d83dbf1f-7a25-4508-8c30-bf63815e6b2f,335,205114,2026-03-06,7.93,Contract Dispute Resolution,Pending,Customer Service Lead,2026-03-06 00:00:00
6cb2f033-453b-429c-9ab0-8ab9cb8fec39,4932,203801,2026-02-24,17.78,Contract Dispute Resolution,Approved,Customer Service Lead,2026-02-24 00:00:00
32e22531-a57a-440e-a553-5d09f47d6f2a,2658,204428,2026-02-27,5.11,Billing Error,Approved,Finance Manager,2026-02-27 00:00:00
dbbaf89b-d23f-4bf2-8c4f-e9d770da6418,179,203796,2026-02-16,4.81,Service Outage Compensation,Approved,Customer Service Lead,2026-02-16 00:00:00
595c1ffa-9cbf-4bcf-9685-e7b935aaaff1,462,205304,2026-03-13,852.2,Rate Plan Correction,Approved,Customer Service Lead,2026-03-13 00:00:00
07f88074-0df7-47fe-b0fb-7d19b8dcb186,464,201012,2026-01-24,6.34,Goodwill Gesture,Approved,Customer Service Lead,2026-01-24 00:00:00
f1c6ade1-2bda-4875-99ef-d188788ad02c,279,201643,2026-01-29,6220.38,Rate Plan Correction,Approved,Revenue Assurance Team,2026-01-29 00:00:00
af4ffd48-59d5-4e9e-a85c-5c35bf79c17a,127,202539,2026-02-01,1464.8,Contract Dispute Resolution,Approved,Customer Service Lead,2026-02-01 00:00:00
24c616da-559e-4858-aaca-3ddfc74596e8,1677,205217,2026-03-03,15.51,Contract Dispute Resolution,Pending,Revenue Assurance Team,2026-03-03 00:00:00
67423cd5-9bdb-4f95-a910-8592f25a0b1a,613,202361,2026-01-29,715.44,Service Outage Compensation,Approved,Revenue Assurance Team,2026-01-29 00:00:00
05045ea7-9990-46b5-8ed7-21ab78fc1021,1258,203762,2026-02-23,30.92,Contract Dispute Resolution,Approved,Revenue Assurance Team,2026-02-23 00:00:00
3a3fe861-ad2b-4b60-9bbf-eaaf722ab717,408,205166,2026-03-06,17.78,Overcharge Refund,Approved,Revenue Assurance Team,2026-03-06 00:00:00
b93ef269-80cd-4a3f-acc9-1105dd3c4504,2607,200546,2026-01-16,3.49,Rate Plan Correction,Pending,Customer Service Lead,2026-01-16 00:00:00
34d176c9-fbd8-4792-8a40-b6b7108530ed,215,201779,2026-01-23,1292.72,Rate Plan Correction,Pending,Revenue Assurance Team,2026-01-23 00:00:00
6949c644-9b0a-4e3c-a544-0b5bb92c6276,1597,202054,2026-02-05,19.32,Billing Error,Approved,Customer Service Lead,2026-02-05 00:00:00
d289c0c9-bf99-4677-9c44-c4292ae9c4cc,1215,205257,2026-03-02,3.59,Billing Error,Approved,Revenue Assurance Team,2026-03-02 00:00:00
54b5cd4f-ab9d-4746-b691-ef032d5d304a,3753,203380,2026-02-09,8.06,Billing Error,Approved,Customer Service Lead,2026-02-09 00:00:00
bbeec0ad-cb1f-442c-9a62-ba5216ff170e,955,203407,2026-02-15,466.78,Rate Plan Correction,Approved,Customer Service Lead,2026-02-15 00:00:00
2d192024-d68c-40da-bcbc-22f87288ed04,274,200733,2026-01-18,248.48,Rate Plan Correction,Approved,Customer Service Lead,2026-01-18 00:00:00
a0638033-dc41-4059-8664-a170585957db,565,201192,2026-01-24,4.71,Billing Error,Pending,Finance Manager,2026-01-24 00:00:00
d0dc2731-5223-4c8c-a207-eb409f840364,2382,205159,2026-03-12,19.74,Goodwill Gesture,Approved,Revenue Assurance Team,2026-03-12 00:00:00
a1689d8e-c182-4e1e-8020-75c6f5893257,176,204215,2026-02-27,1190.21,Rate Plan Correction,Approved,Finance Manager,2026-02-27 00:00:00
9a55acdf-7198-476b-9b22-104da400d45a,3036,205200,2026-03-08,14.65,Overcharge Refund,Pending,Revenue Assurance Team,2026-03-08 00:00:00
53e78330-53cf-429c-824f-bf440a3d04b7,3405,203611,2026-02-14,27.27,Billing Error,Approved,Revenue Assurance Team,2026-02-14 00:00:00
fe55226b-b1bb-434f-930f-4225bc8f8b2c,82,204735,2026-03-03,16.4,Billing Error,Pending,Customer Service Lead,2026-03-03 00:00:00
645b3414-81b1-4f98-bfc8-92fc77eb9da4,2626,204459,2026-03-01,34.7,Service Outage Compensation,Approved,Revenue Assurance Team,2026-03-01 00:00:00
03624ede-1251-40d3-852c-b9d2211801ae,769,200015,2026-01-13,1221.07,Service Outage Compensation,Approved,Finance Manager,2026-01-13 00:00:00
5204bdbf-eb02-4da5-948e-e3c84dc0b62b,531,200806,2026-01-14,1458.09,Overcharge Refund,Approved,Customer Service Lead,2026-01-14 00:00:00
55e410bd-ae55-4c9f-ac91-b923d67085cb,7,203859,2026-02-20,1343.73,Rate Plan Correction,Approved,Revenue Assurance Team,2026-02-20 00:00:00
7697ace4-6d76-4f67-910c-642c6cebf6e2,4643,205392,2026-03-05,8.93,Overcharge Refund,Approved,Customer Service Lead,2026-03-05 00:00:00
9ff49b5d-026f-4be3-ab51-374bbe00864b,3500,204234,2026-02-20,6.37,Rate Plan Correction,Approved,Finance Manager,2026-02-20 00:00:00
a0524795-0d22-49a1-8405-5cecc12a9b84,634,202526,2026-02-11,244.98,Billing Error,Pending,Revenue Assurance Team,2026-02-11 00:00:00
7cfe1692-1f2b-4472-982a-20fc390e782d,452,201612,2026-01-21,34.51,Rate Plan Correction,Approved,Revenue Assurance Team,2026-01-21 00:00:00
d95cbb56-d8d5-444c-a0f3-46f0aa897805,71,203321,2026-02-09,774.16,Billing Error,Approved,Customer Service Lead,2026-02-09 00:00:00
42ea1cc4-a924-4410-9157-f427ff6da594,4746,200360,2026-01-09,34.66,Service Outage Compensation,Approved,Finance Manager,2026-01-09 00:00:00
1ce9c0a3-0db7-468d-bb28-70523ec68c52,527,204233,2026-02-20,2338.82,Goodwill Gesture,Approved,Customer Service Lead,2026-02-20 00:00:00
18c70b22-2263-4782-ad55-b1cc6da2af63,24,200253,2026-01-12,4452.56,Overcharge Refund,Approved,Revenue Assurance Team,2026-01-12 00:00:00
5654bde1-b7d7-41b4-97b3-05d84cebebaf,2120,200844,2026-01-13,3.68,Contract Dispute Resolution,Approved,Customer Service Lead,2026-01-13 00:00:00
a54cf1e2-98ca-4643-9a54-e691f747d51e,4740,202046,2026-01-26,32.16,Overcharge Refund,Approved,Revenue Assurance Team,2026-01-26 00:00:00
783785fc-0fb9-4bee-8917-1a20c93bd3e4,144,201571,2026-01-23,9.9,Overcharge Refund,Pending,Revenue Assurance Team,2026-01-23 00:00:00
8f2276e2-f667-451b-b5ad-b766d41ef830,953,205248,2026-03-05,2160.11,Goodwill Gesture,Approved,Customer Service Lead,2026-03-05 00:00:00
1d896391-171a-4187-b2e4-5b74590d3205,1293,205345,2026-03-04,19.76,Billing Error,Approved,Customer Service Lead,2026-03-04 00:00:00
4d6e90ee-5b60-4f71-95a7-e67c75246315,122,204510,2026-02-27,3879.26,Rate Plan Correction,Approved,Finance Manager,2026-02-27 00:00:00
a76d923a-d960-44b6-9d26-6df925f92720,4260,203831,2026-02-16,13.45,Contract Dispute Resolution,Approved,Customer Service Lead,2026-02-16 00:00:00
cddbd7a9-f48e-4f64-a24e-51f6ad0e2e53,1080,202487,2026-02-08,16.63,Overcharge Refund,Approved,Finance Manager,2026-02-08 00:00:00
e81e66c1-e3a3-4d12-ae76-519bbdf66737,4818,203915,2026-02-20,1.79,Service Outage Compensation,Approved,Revenue Assurance Team,2026-02-20 00:00:00
07bb992d-12d3-4071-bd02-b26c2734014d,79,204423,2026-03-01,4389.34,Overcharge Refund,Pending,Customer Service Lead,2026-03-01 00:00:00
29779445-27dc-47c2-94c1-f465bea7ddbb,2406,201512,2026-01-23,27.74,Rate Plan Correction,Approved,Revenue Assurance Team,2026-01-23 00:00:00
ee93dfb4-6bf5-4a19-985c-1cb6ac2688f9,573,201238,2026-01-28,786.51,Overcharge Refund,Approved,Customer Service Lead,2026-01-28 00:00:00
1eb1f67e-47da-4270-88e6-1a8af31f90fd,1432,201116,2026-01-21,2.99,Overcharge Refund,Approved,Revenue Assurance Team,2026-01-21 00:00:00
f663af1b-b543-4cde-bf57-c02aff3d7546,888,202497,2026-02-01,14.27,Service Outage Compensation,Pending,Customer Service Lead,2026-02-01 00:00:00
f66a5b4a-0d77-43da-8296-b8d500621055,4962,205023,2026-03-05,26.94,Overcharge Refund,Approved,Finance Manager,2026-03-05 00:00:00
155b2d54-aea0-4761-bb6e-059df11f4753,545,201664,2026-02-02,3342.87,Goodwill Gesture,Approved,Finance Manager,2026-02-02 00:00:00
f1e7f296-14bc-4ca8-846d-7b8e5827d8d3,2009,202337,2026-02-01,20.0,Service Outage Compensation,Approved,Revenue Assurance Team,2026-02-01 00:00:00
0ac0e347-84d6-44dd-9458-dd6104b97c51,345,204033,2026-02-17,30.85,Goodwill Gesture,Approved,Revenue Assurance Team,2026-02-17 00:00:00
ed6959b6-4ea9-4ca0-bf7e-d166c01352e0,494,203639,2026-02-20,1572.95,Goodwill Gesture,Approved,Finance Manager,2026-02-20 00:00:00
5a970261-765e-46e9-901a-e9d7f5413250,576,200794,2026-01-22,15.79,Goodwill Gesture,Pending,Customer Service Lead,2026-01-22 00:00:00
fa8ef4b6-4b81-455d-a303-7b91fab61411,646,203410,2026-02-20,27.74,Service Outage Compensation,Approved,Customer Service Lead,2026-02-20 00:00:00
0dfc3238-40d7-46de-9036-c266b090334e,2967,200397,2026-01-12,23.15,Contract Dispute Resolution,Approved,Finance Manager,2026-01-12 00:00:00
b901bdc1-723d-49b2-a027-8f86931f68a3,2921,203552,2026-02-19,37.87,Rate Plan Correction,Approved,Finance Manager,2026-02-19 00:00:00
706465a9-db2d-41d8-9597-c653dc18249a,660,202686,2026-02-06,1881.62,Overcharge Refund,Pending,Revenue Assurance Team,2026-02-06 00:00:00
3359585b-d641-48ad-9276-9e5feb2e774f,440,200654,2026-01-17,3.66,Billing Error,Approved,Finance Manager,2026-01-17 00:00:00
52863556-5b99-4d6b-bd4e-086b322049a1,4269,201254,2026-01-20,1.09,Goodwill Gesture,Approved,Customer Service Lead,2026-01-20 00:00:00
b1153fe4-cc45-4b4f-b8c7-61633c330f50,78,204466,2026-03-03,3845.06,Rate Plan Correction,Pending,Revenue Assurance Team,2026-03-03 00:00:00
7fc17e46-195a-40a5-93b1-a9a0958d6289,2406,204489,2026-03-03,30.43,Overcharge Refund,Approved,Customer Service Lead,2026-03-03 00:00:00
f75b4e68-0769-4ef5-a21c-a2e55bc7bfb4,2508,201628,2026-01-27,9.26,Goodwill Gesture,Approved,Finance Manager,2026-01-27 00:00:00
ec7aca89-3b47-42e6-bb8d-567cd6c9e52c,3714,201558,2026-01-27,17.96,Service Outage Compensation,Approved,Revenue Assurance Team,2026-01-27 00:00:00
2320ca64-804d-4c07-88af-9f96c9436027,64,201377,2026-01-22,35.89,Billing Error,Approved,Revenue Assurance Team,2026-01-22 00:00:00
6ebad004-a4c0-402d-b295-fd7b86d1687c,1753,202730,2026-02-02,19.46,Service Outage Compensation,Pending,Revenue Assurance Team,2026-02-02 00:00:00
1272e8c9-eb9c-4d32-bbdf-46ca87136a6e,2250,201227,2026-01-27,19.07,Rate Plan Correction,Approved,Finance Manager,2026-01-27 00:00:00
a3183d0d-f762-438c-b0be-993f27a1efc2,482,200117,2026-01-10,7.8,Overcharge Refund,Approved,Customer Service Lead,2026-01-10 00:00:00
69094b88-2b0a-4cf3-b860-5e809958c4fe,992,203954,2026-02-27,3331.94,Contract Dispute Resolution,Approved,Revenue Assurance Team,2026-02-27 00:00:00
ca8c003c-326a-4ed4-a763-de59af0ef8bf,3648,201644,2026-02-01,15.3,Overcharge Refund,Approved,Revenue Assurance Team,2026-02-01 00:00:00
3f276397-f242-415d-99ba-7fe6ed8515df,28,202629,2026-02-05,590.1,Billing Error,Approved,Revenue Assurance Team,2026-02-05 00:00:00
f70a15d2-7b23-4235-b6fa-d10940a8097f,3174,203294,2026-02-12,12.31,Rate Plan Correction,Pending,Revenue Assurance Team,2026-02-12 00:00:00
c257722f-32c1-4770-8c52-d78810189a45,1256,202830,2026-02-06,9.14,Rate Plan Correction,Pending,Customer Service Lead,2026-02-06 00:00:00
2838e074-614e-4619-a4cf-d5d93450efcf,1895,202638,2026-02-05,18.08,Contract Dispute Resolution,Approved,Finance Manager,2026-02-05 00:00:00
75d59f35-929f-46fe-ba90-38d212404a21,389,204188,2026-02-26,31.13,Goodwill Gesture,Approved,Finance Manager,2026-02-26 00:00:00
417fc339-4d74-4b25-b751-414fb810bccb,80,203730,2026-02-17,1813.92,Service Outage Compensation,Approved,Customer Service Lead,2026-02-17 00:00:00
595f4f46-62a2-464d-88fc-242b9aae8d1b,2889,201307,2026-01-20,26.53,Billing Error,Approved,Finance Manager,2026-01-20 00:00:00
a84f9546-2014-4e17-91cc-5ed5e9444174,3309,205137,2026-03-02,17.77,Rate Plan Correction,Approved,Revenue Assurance Team,2026-03-02 00:00:00
