subscription_id,iccid,device_type_key,customer_key,data_plan,activation_date,status,monthly_fee,contract_term_months,last_communication
60,894412958440081471117,64,546,100MB,2022-05-02,Active,17.48,60,2025-09-04
61,894426779705843889725,7,376,1GB,2020-04-22,Active,11.24,24,2020-10-19
62,894444950118630496930,64,205,1MB,2025-04-08,Active,2.46,12,2025-10-14
63,894418433958082427219,63,401,Unlimited,2024-03-25,Active,12.87,12,2025-03-28
64,894476329549975043812,38,308,100MB,2021-11-22,Active,4.16,60,2025-03-08
65,894444045243764022870,4,955,1GB,2023-12-11,Active,9.4,60,2025-02-26
66,894437456459651381677,83,229,100MB,2024-08-07,Active,10.69,36,2025-01-20
67,894442980163683099990,53,859,1MB,2021-07-06,Terminated,15.22,24,2022-01-13
68,894472171844207682711,21,250,1MB,2025-05-03,Active,12.05,24,2025-11-18
69,894472555831056178623,21,642,100MB,2021-01-22,Suspended,3.9,24,2021-08-24
70,894439700429822155509,33,665,10MB,2025-04-20,Active,18.37,24,2025-10-21
71,894471959959304704514,100,205,1MB,2024-02-20,Active,6.44,36,2025-11-02
72,894491091391718093864,30,523,100MB,2022-04-10,Active,8.98,12,2022-06-13
73,894415871829130487790,6,797,1GB,2020-10-28,Active,6.36,12,2021-04-25
74,894424394466011126443,20,625,10MB,2020-12-06,Active,11.2,60,2022-10-12
75,894491106960757637291,80,881,1GB,2021-10-07,Active,17.97,12,2023-03-08
76,894424425761651325624,40,649,1GB,2024-07-09,Active,12.21,12,2025-02-14
77,894469467800886799785,58,680,Unlimited,2020-03-14,Active,17.24,60,2023-05-29
78,894422622817960053739,8,236,5GB,2021-04-30,Suspended,2.57,24,2024-01-24
79,894471628604197993741,11,996,5GB,2025-04-23,Active,18.68,24,2025-12-14
80,894427976275638216581,85,363,Unlimited,2023-12-03,Active,11.15,12,2023-12-06
81,894430005083288246194,90,284,1GB,2024-10-15,Active,9.51,60,2025-03-17
82,894470493466798336764,93,671,1GB,2023-12-21,Active,3.78,12,2025-11-27
83,894439596367576897175,96,405,100MB,2024-12-29,Active,13.84,36,2025-11-13
84,894456337036778309060,82,219,10MB,2021-09-16,Active,10.79,60,2024-02-13
85,894438731924168816059,57,19,1MB,2025-03-31,Active,18.09,12,2025-06-22
86,894481388950419192396,89,379,5GB,2024-08-11,Active,3.11,24,2025-04-06
87,894484352892987573130,66,134,100MB,2024-04-28,Active,2.21,36,2025-04-29
88,894442540185078828698,86,73,10MB,2025-08-28,Active,17.98,36,2025-12-07
89,894431315509722663101,91,643,5GB,2024-11-26,Suspended,8.75,24,2025-06-26
90,894450640433411494829,24,680,Unlimited,2025-01-13,Suspended,16.11,12,2025-01-18
91,894463854711096067180,78,359,1GB,2021-03-23,Active,19.02,36,2024-04-07
92,894428040488959184168,38,523,10MB,2024-07-16,Suspended,12.22,24,2024-10-17
93,894488844965990327605,9,461,5GB,2024-10-21,Suspended,14.21,36,2024-11-14
94,894425321015200565959,74,655,5GB,2021-12-05,Active,8.17,24,2023-02-27
95,894429662146051939417,19,687,10MB,2020-02-17,Active,8.5,36,2020-11-29
96,894459310417422938368,59,920,10MB,2021-08-02,Active,17.1,60,2023-05-13
97,894498045679317379454,46,266,Unlimited,2025-06-05,Active,12.63,12,2025-06-17
98,894453544968831355853,100,247,1MB,2025-11-13,Active,7.12,12,2025-12-08
99,894466416472449577568,57,203,1MB,2022-11-09,Active,12.42,60,2023-10-02
100,894452382998401038612,2,988,1MB,2024-01-17,Terminated,13.26,36,2024-06-24
101,894453895301049758589,29,592,10MB,2025-10-22,Active,10.92,24,2025-11-25
102,894448022410549590988,61,101,5GB,2020-08-04,Active,13.1,24,2022-01-24
103,894467711556074436802,78,72,Unlimited,2023-10-21,Active,13.99,60,2025-04-12
104,894433072820932231325,87,88,10MB,2020-01-20,Active,3.12,60,2025-05-28
105,894496633871503277867,23,736,5GB,2024-10-20,Active,18.94,12,2024-12-31
106,894476212516454762434,55,91,5GB,2022-10-05,Active,6.66,12,2023-06-24
107,894417591250539884802,78,325,10MB,2020-12-23,Active,9.39,60,2021-04-25
108,894457733129009639314,74,713,10MB,2021-08-09,Active,9.17,24,2022-03-23
109,894440727020283601525,71,57,1GB,2024-03-10,Active,8.89,12,2024-08-25
110,894432694490981462221,70,374,1GB,2020-02-03,Terminated,17.75,12,2024-02-22
111,894472636151594871090,38,298,Unlimited,2023-06-30,Active,1.1,24,2025-08-19
112,894432379416009259880,37,944,5GB,2020-03-10,Suspended,18.86,36,2025-04-04
113,894451376818788174218,14,28,1GB,2021-05-04,Active,12.07,24,2023-11-18
114,894460532739141299420,68,130,10MB,2021-07-18,Active,18.83,12,2023-01-16
115,894436718766658833448,88,566,100MB,2023-03-06,Active,12.18,60,2025-12-16
116,894445979410067154254,71,506,1MB,2025-08-03,Active,8.51,36,2025-08-06
117,894426375907864038416,41,57,5GB,2023-03-04,Active,2.89,12,2024-09-10
118,894498723889815257029,96,735,100MB,2020-06-12,Suspended,1.79,36,2023-05-23
119,894482386245874570707,39,138,1GB,2025-05-16,Active,17.45,60,2025-07-28
120,894455525435566454584,47,593,1MB,2024-12-11,Active,1.03,36,2025-05-14
121,894492898091111583486,22,185,1MB,2021-04-18,Terminated,1.64,60,2024-12-16
122,894438326767096089533,5,889,1GB,2023-04-28,Suspended,14.69,60,2025-10-19
123,894468808210191417933,4,985,Unlimited,2024-04-02,Active,6.74,36,2025-04-08
124,894487030353727240706,71,925,1GB,2020-05-25,Active,14.4,60,2025-08-30
125,894443625912057653813,23,180,Unlimited,2024-10-14,Suspended,1.48,36,2025-09-19
126,894434901479740044920,86,357,5GB,2021-09-03,Suspended,3.2,12,2024-01-09
127,894438508024142374654,28,611,100MB,2025-12-15,Active,15.31,12,2025-12-27
128,894418857344797019788,53,246,5GB,2023-03-10,Active,16.14,12,2025-05-28
129,894453798516990816447,71,814,100MB,2024-09-22,Active,9.05,24,2025-06-11
130,894423800990343663671,40,934,1MB,2024-02-17,Terminated,2.13,36,2025-04-10
131,894431992703525150915,63,364,100MB,2021-08-18,Active,3.23,24,2022-10-12
132,894416172496515477150,63,89,Unlimited,2024-04-04,Active,14.0,12,2025-01-24
133,894439898014790205740,19,692,10MB,2022-12-01,Active,3.11,24,2024-07-31
134,894462880715555788603,92,384,10MB,2021-01-24,Active,9.92,36,2021-02-21
135,894468817737607216689,62,511,1MB,2025-03-23,Active,8.03,60,2025-12-17
136,894441141231290859824,43,757,100MB,2024-08-19,Active,9.58,12,2024-09-26
137,894492171210952657060,57,293,Unlimited,2023-12-04,Suspended,19.33,24,2024-07-13
138,894460665279549792803,91,635,10MB,2022-05-12,Active,7.69,36,2023-09-06
139,894441692221654702670,60,236,100MB,2021-04-27,Active,11.18,60,2024-10-04
140,894436121857085120922,56,624,1GB,2024-07-04,Active,17.6,36,2025-01-19
141,894434227663633823177,58,813,Unlimited,2020-10-03,Terminated,5.77,60,2025-05-29
142,894488462805860603045,55,612,1GB,2020-05-08,Suspended,12.57,24,2022-04-13
143,894436740697569798095,64,270,5GB,2020-03-13,Active,6.42,36,2023-01-13
144,894495039390609568051,72,369,10MB,2023-07-13,Active,4.91,36,2025-06-18
145,894486221408667137849,10,702,10MB,2024-06-02,Active,6.24,60,2024-10-12
146,894431071368002260168,59,802,1MB,2024-12-05,Suspended,6.68,12,2025-04-22
147,894464993560953513949,54,950,10MB,2025-05-04,Terminated,18.21,36,2025-11-18
148,894419259322754337601,51,89,Unlimited,2020-04-10,Active,4.38,60,2024-07-21
149,894480416398814305558,83,353,Unlimited,2025-02-17,Active,17.53,36,2025-07-31
150,894445775282237127636,71,141,10MB,2023-06-16,Active,14.85,60,2024-05-03
151,894412713523354794427,60,2,10MB,2024-10-31,Suspended,3.92,12,2025-05-22
152,894429106139193015993,29,131,1GB,2023-05-04,Active,8.31,36,2025-01-30
153,894415716151181257818,70,35,5GB,2025-03-09,Active,1.11,24,2025-11-17
154,894432263593414992241,2,393,Unlimited,2024-02-07,Active,5.75,12,2025-10-31
155,894472722322146389368,19,594,10MB,2023-10-06,Active,19.73,60,2025-05-09
156,894470633269220768412,95,77,5GB,2021-01-03,Active,3.28,60,2023-11-18
157,894431211190437269813,30,72,1MB,2025-04-06,Active,2.68,12,2025-05-01
158,894466270276422867521,99,696,1MB,2024-12-10,Active,17.79,12,2025-03-16
159,894458093421207996336,56,427,Unlimited,2023-03-08,Active,5.23,24,2024-12-27
160,894461908757778703693,54,337,10MB,2024-03-30,Active,12.63,12,2024-12-31
161,894489289236403697998,89,90,10MB,2024-09-02,Active,8.21,36,2025-06-18
162,894429814399050695656,88,18,1MB,2024-11-16,Active,18.05,60,2025-12-21
163,894439324290324984802,39,115,Unlimited,2021-02-26,Active,8.54,12,2022-01-08
164,894454430936218056824,8,407,100MB,2025-11-08,Active,15.5,60,2025-12-28
165,894429766701517942246,64,106,100MB,2023-10-22,Active,10.79,36,2025-01-25
166,894461409986940657643,37,141,1GB,2024-01-03,Active,12.22,24,2025-08-18
167,894437489299033702624,9,544,10MB,2023-03-04,Active,16.16,36,2025-12-30
168,894483461832578606178,21,274,1GB,2021-01-25,Terminated,14.79,36,2023-01-10
169,894453742524983684174,87,150,Unlimited,2023-07-18,Active,3.58,60,2025-07-02
170,894486050039121221731,6,849,1GB,2025-10-07,Active,3.05,12,2025-12-07
171,894431047470483727924,69,384,10MB,2020-12-01,Active,19.79,24,2025-12-20
172,894494759167773856151,43,802,Unlimited,2025-05-01,Active,6.65,60,2025-10-25
173,894460304929717997958,98,263,100MB,2022-07-15,Active,3.75,36,2024-09-28
174,894422685148548162189,79,252,1MB,2022-02-26,Active,3.28,12,2025-10-01
175,894477382159206172861,16,499,Unlimited,2021-07-30,Active,9.42,24,2024-12-06
176,894435846037321477249,52,8,100MB,2020-04-22,Active,1.27,36,2024-02-27
177,894463583504675789701,25,438,Unlimited,2025-10-07,Terminated,18.18,12,2025-11-19
178,894436533977354615958,18,8,Unlimited,2020-07-21,Active,4.12,12,2021-09-05
179,894499329955659874062,64,126,1GB,2023-08-18,Active,1.44,36,2023-12-19
180,894484751230035746375,93,431,100MB,2022-11-05,Active,12.2,36,2024-04-28
181,894480127438613840921,95,170,1MB,2023-11-11,Active,2.17,12,2024-12-31
182,894432269868196446460,60,361,1MB,2021-10-26,Active,11.65,60,2025-04-16
183,894478313432519736637,12,794,10MB,2021-06-24,Active,5.61,12,2024-10-31
184,894429665240507854768,28,499,1GB,2021-10-31,Suspended,18.99,36,2025-08-15
185,894464168884372031156,78,420,1GB,2020-02-18,Terminated,9.85,36,2020-09-23
186,894490191189635316001,1,481,5GB,2020-04-11,Terminated,10.9,36,2023-10-21
187,894481559790592811804,71,377,Unlimited,2025-03-31,Active,19.92,60,2025-11-19
188,894412037035569547309,29,845,10MB,2021-03-23,Active,11.97,12,2024-02-14
189,894420382272941215778,20,28,5GB,2021-04-01,Suspended,6.94,60,2022-05-04
190,894413879811523932855,68,266,Unlimited,2021-11-26,Active,17.66,12,2022-07-23
191,894468438559344147151,20,672,5GB,2021-01-01,Active,13.45,36,2022-02-05
192,894446374979774165188,65,35,Unlimited,2024-12-18,Suspended,2.72,12,2025-12-16
193,894474934461144186477,28,120,1GB,2025-02-20,Terminated,16.09,36,2025-07-30
194,894413813690585112049,33,463,Unlimited,2022-02-26,Active,2.22,60,2022-08-31
195,894421700039951000737,22,711,5GB,2023-10-18,Active,17.54,24,2024-07-23
196,894460359582057280619,16,781,Unlimited,2022-11-28,Active,9.82,36,2023-12-19
197,894457668564929540669,6,116,Unlimited,2021-12-24,Active,14.93,36,2025-07-08
198,894431631498789362907,37,28,5GB,2021-04-16,Terminated,1.74,12,2021-09-25
199,894451578387263228078,50,299,100MB,2020-08-15,Active,1.31,60,2021-07-02
200,894458507442611356506,17,187,5GB,2023-06-28,Active,10.27,24,2024-12-24
201,894463414438820550065,41,662,1GB,2021-08-16,Active,15.69,36,2025-07-06
202,894424492815911433314,61,842,1MB,2021-09-15,Terminated,4.81,12,2022-12-06
203,894468111524694988836,99,567,100MB,2023-01-05,Active,8.47,12,2025-04-20
204,894489691322303587347,89,936,100MB,2020-02-07,Active,4.12,24,2025-06-05
205,894428654726783390053,3,628,1MB,2024-04-13,Active,10.65,60,2025-10-29
206,894433061600789706840,32,647,100MB,2024-02-17,Terminated,4.26,12,2025-12-22
207,894485102743890183466,16,850,10MB,2020-03-06,Suspended,4.03,60,2022-02-20
208,894473882811473730948,2,717,10MB,2022-05-04,Active,12.3,12,2025-12-18
209,894430577112513376835,68,475,10MB,2025-12-25,Active,7.87,24,2025-12-25
210,894419731001732981588,34,840,1MB,2025-10-05,Active,6.73,12,2025-12-19
211,894474218326037980969,61,334,10MB,2023-10-06,Active,6.65,24,2023-10-22
212,894430654688574397109,35,748,100MB,2025-10-23,Active,1.0,60,2025-12-27
213,894499212177666542173,95,1,10MB,2022-02-13,Active,4.03,60,2025-02-23
214,894471075624211695523,37,223,100MB,2021-03-25,Terminated,16.15,24,2022-10-10
215,894480619786387051743,22,436,5GB,2025-01-01,Active,10.53,60,2025-11-07
216,894482262915950688460,68,680,10MB,2023-09-23,Active,5.7,60,2023-10-19
217,894494034759232898289,18,658,1MB,2021-02-09,Active,1.42,60,2025-03-25
218,894489553232370627163,10,590,5GB,2022-08-28,Active,2.1,36,2023-11-07
219,894421467799322136981,96,287,1GB,2021-09-30,Active,2.13,60,2023-09-05
220,894480020448935791504,24,446,10MB,2023-08-09,Terminated,6.43,36,2024-06-27
221,894468226208845575246,94,128,100MB,2024-11-02,Suspended,19.04,60,2025-03-04
222,894496946123019443382,83,551,Unlimited,2025-02-17,Active,11.5,12,2025-10-22
223,894410951089350793920,20,840,100MB,2024-02-17,Active,17.74,36,2025-04-26
224,894438597004297370440,86,288,1MB,2025-08-17,Suspended,14.34,36,2025-11-24
225,894478698471071667683,94,151,5GB,2024-05-29,Active,8.02,36,2025-05-08
226,894436854131271351277,80,252,Unlimited,2022-06-09,Active,6.99,24,2022-08-24
227,894434162906881932640,61,478,1MB,2021-06-01,Terminated,4.99,24,2024-07-18
228,894439391011734016400,86,369,10MB,2020-04-28,Active,9.37,24,2021-04-19
229,894479652051806300832,76,69,Unlimited,2025-08-21,Active,9.43,60,2025-09-29
230,894464239842481243787,97,407,1MB,2022-01-29,Terminated,4.72,24,2024-05-02
231,894449202100738747831,34,65,10MB,2020-05-14,Active,3.84,24,2024-12-17
232,894494282387972592726,70,322,Unlimited,2022-03-13,Active,12.72,24,2025-10-26
233,894463939093197577936,93,631,100MB,2022-10-20,Active,11.18,60,2024-10-18
234,894498994913347397650,100,760,Unlimited,2020-01-20,Active,13.33,12,2022-02-07
235,894413979259137057279,16,282,5GB,2021-06-01,Active,19.1,12,2023-05-24
236,894475041568500363060,89,185,1GB,2021-06-22,Terminated,10.74,12,2023-11-26
237,894491104138791188382,34,310,1GB,2020-05-16,Active,2.31,12,2022-09-20
238,894441488739746443688,31,176,1MB,2025-01-03,Active,19.64,36,2025-10-09
239,894474451867202509592,82,453,10MB,2022-10-09,Suspended,18.03,24,2024-06-19
240,894436388357916974927,24,843,Unlimited,2020-12-10,Active,13.2,36,2025-09-12
241,894446621157111475945,9,149,Unlimited,2025-10-16,Active,4.63,36,2025-12-16
242,894488807267888295416,63,382,1MB,2025-12-14,Terminated,14.23,60,2025-12-29
243,894413500285379687811,59,780,100MB,2024-11-23,Terminated,12.6,60,2025-11-12
244,894434787602533204041,49,543,100MB,2025-05-10,Suspended,15.54,60,2025-07-12
245,894431075046588558305,74,808,10MB,2020-09-30,Terminated,2.99,36,2025-03-31
246,894434029834025223462,60,979,1GB,2021-12-10,Active,2.17,60,2025-11-22
247,894428764701986874996,53,299,10MB,2021-12-28,Active,8.37,12,2024-02-20
248,894488381112046961163,78,381,1GB,2020-11-12,Active,14.79,12,2023-01-02
249,894477387294084763840,33,396,5GB,2021-09-13,Active,6.26,60,2024-01-28
250,894444366805182490528,34,203,Unlimited,2022-06-07,Active,18.22,36,2024-11-02
251,894415238454901650887,87,238,1MB,2025-08-10,Active,5.31,36,2025-11-29
252,894424723364978904483,40,236,1MB,2021-01-23,Active,2.47,36,2024-11-27
253,894478111846665972913,95,34,1MB,2023-09-27,Active,13.53,24,2023-11-22
254,894480780932795707717,78,956,1MB,2025-10-26,Suspended,14.88,36,2025-11-16
255,894430611791066000545,82,627,5GB,2020-10-23,Active,5.19,12,2023-04-11
256,894412399165876707408,4,212,100MB,2021-01-15,Active,9.54,12,2023-08-23
257,894414020072935089320,62,550,1MB,2020-10-28,Terminated,18.29,24,2023-10-26
258,894499784409559504749,26,420,100MB,2023-06-13,Terminated,6.49,12,2024-11-21
259,894471183731049548568,77,28,1MB,2022-03-23,Active,2.31,36,2025-09-16
260,894413881500356968719,42,883,100MB,2024-05-01,Active,13.05,60,2025-12-10
261,894484365588809971573,51,14,5GB,2021-02-04,Active,16.43,36,2023-09-25
262,894460481238202469436,97,820,1GB,2023-01-04,Active,14.37,12,2023-06-25
263,894461579549031703805,74,762,10MB,2020-10-20,Active,10.02,36,2022-10-16
264,894483954963401975643,69,540,5GB,2025-03-04,Active,8.19,36,2025-10-18
265,894480335689831089097,3,470,1GB,2023-01-17,Active,13.32,24,2025-10-25
266,894414832748494527491,25,870,1MB,2023-04-19,Active,19.18,60,2024-01-12
267,894480099009016880233,52,372,100MB,2024-06-09,Active,7.28,24,2025-09-16
268,894414649068823756436,33,422,5GB,2024-08-08,Active,17.03,60,2025-12-06
269,894444880080891401149,97,852,1MB,2023-08-16,Active,7.2,24,2025-07-07
270,894425102484657985255,7,155,10MB,2021-07-03,Suspended,4.64,36,2025-06-13
271,894451696230307850520,3,241,10MB,2021-03-20,Active,10.78,24,2025-12-18
272,894447779602847423804,41,700,1GB,2023-09-11,Active,8.8,36,2024-11-10
273,894430999644350672888,93,531,1GB,2022-12-19,Active,8.89,36,2024-06-12
274,894411832664784280188,94,202,10MB,2025-03-08,Active,12.63,36,2025-04-02
275,894414729643891191284,65,948,10MB,2021-02-19,Active,19.39,24,2022-01-02
276,894474311566229359542,91,621,5GB,2023-02-23,Active,7.21,60,2025-05-11
277,894413550842481377634,32,301,5GB,2023-08-13,Suspended,5.43,60,2023-12-18
278,894455303287587846283,88,220,5GB,2021-08-12,Suspended,9.32,24,2025-11-05
279,894454834644790244663,83,829,1GB,2022-09-26,Terminated,8.4,36,2024-12-29
280,894441009559768592885,85,577,5GB,2020-08-29,Active,16.56,36,2024-12-05
281,894412578999101266664,51,217,1MB,2024-02-14,Active,7.75,12,2024-05-19
282,894484203296679492145,6,516,1GB,2024-03-09,Active,17.8,36,2025-08-02
283,894424395644249847249,31,316,1MB,2023-07-12,Active,3.82,36,2025-12-24
284,894499801936775287247,12,866,5GB,2025-09-13,Terminated,2.41,24,2025-12-02
285,894438674030815721355,74,629,100MB,2024-10-25,Terminated,9.66,12,2025-07-20
286,894410617344431322521,37,17,5GB,2020-05-21,Active,19.79,36,2024-10-29
287,894448094743385491360,58,723,1GB,2024-09-20,Suspended,5.24,36,2025-06-29
288,894456764004735634575,74,193,Unlimited,2023-04-11,Active,8.24,60,2024-11-25
289,894455448081960472291,37,222,5GB,2025-04-12,Active,14.52,24,2025-06-22
290,894460832863932472674,36,742,1GB,2021-06-06,Suspended,8.47,12,2021-08-24
291,894485672645098853378,38,231,Unlimited,2022-06-26,Active,15.44,60,2025-02-14
292,894489127303592669730,44,843,1MB,2023-08-15,Active,16.08,36,2024-09-09
293,894430344469478881681,40,241,5GB,2024-09-02,Suspended,1.91,36,2025-05-17
294,894436703224364880560,91,119,10MB,2022-06-17,Terminated,8.96,12,2024-07-25
295,894429412385906547251,41,67,1GB,2024-11-21,Suspended,15.29,12,2025-07-30
296,894482474616708934682,99,408,1GB,2023-05-20,Active,5.47,12,2025-11-03
297,894423622907049366812,14,627,5GB,2020-06-10,Active,16.61,60,2022-06-19
298,894422715068514214935,92,155,1MB,2021-07-08,Active,15.95,24,2023-04-25
299,894483258933973890207,80,284,100MB,2025-10-15,Active,8.88,24,2025-10-27
300,894447434799377405936,78,28,Unlimited,2021-10-03,Active,4.29,12,2024-10-21
301,894410366025220428105,32,183,1MB,2021-06-05,Active,13.85,12,2025-08-15
302,894493194851184545978,27,86,10MB,2020-12-07,Active,6.25,60,2021-12-13
303,894410864020426537358,35,695,1GB,2024-04-08,Terminated,12.15,24,2025-01-20
304,894444119284917052548,27,136,100MB,2024-01-26,Active,2.65,12,2025-02-06
305,894442854990837091866,72,312,5GB,2024-06-01,Suspended,17.0,24,2025-12-22
306,894460828891431326311,86,420,1MB,2023-11-28,Terminated,6.03,60,2025-11-24
307,894439638382080702377,48,937,100MB,2020-05-22,Terminated,9.98,12,2024-07-20
308,894452355925564200878,27,732,1MB,2021-07-27,Terminated,3.86,36,2023-12-22
309,894477703584771055490,88,138,1MB,2025-09-11,Suspended,1.1,60,2025-09-13
310,894438449551199335459,61,616,5GB,2021-10-01,Active,19.35,36,2024-09-22
311,894437246121641684223,7,960,Unlimited,2021-08-12,Active,17.03,36,2022-12-18
312,894438225470942001653,76,298,10MB,2021-07-12,Active,17.99,12,2024-01-26
313,894474158341927618077,23,432,1GB,2020-05-19,Suspended,14.06,24,2022-03-25
314,894410787991116865439,60,43,1GB,2024-04-05,Active,14.6,24,2025-09-14
315,894451429810360738167,73,271,1MB,2025-03-12,Suspended,5.21,24,2025-08-21
316,894425956590884494462,85,400,100MB,2025-11-29,Active,12.3,36,2025-12-03
317,894489634133560684148,10,869,5GB,2025-03-05,Active,9.08,60,2025-08-05
318,894450799918102240796,5,911,1GB,2020-12-31,Active,3.36,24,2025-12-29
319,894493797608216641993,19,656,1MB,2021-11-13,Active,4.2,24,2023-12-28
320,894456964722035327781,99,844,Unlimited,2022-11-27,Active,4.73,12,2024-10-26
321,894443776910646282095,83,217,5GB,2022-10-02,Suspended,19.74,12,2025-10-22
322,894485075252835521614,46,75,1MB,2023-07-14,Active,12.91,24,2024-04-15
323,894466369511577181498,92,368,100MB,2024-05-26,Active,5.84,60,2025-09-17
324,894423918328593396451,73,67,Unlimited,2020-07-27,Active,15.86,60,2023-03-03
325,894475528944993617840,73,327,100MB,2021-12-17,Active,10.12,36,2022-06-05
326,894489257007515450134,47,779,10MB,2021-05-22,Active,11.84,12,2025-09-23
327,894462502224656394328,48,638,1MB,2023-12-31,Active,7.29,60,2024-10-26
328,894470220508890147699,76,780,1GB,2024-03-03,Terminated,10.35,24,2024-08-07
329,894430387161460151102,27,837,1GB,2023-03-05,Terminated,5.46,24,2023-11-01
330,894488673639200912648,23,342,1GB,2020-11-06,Suspended,2.32,12,2024-06-06
331,894414944461530972645,87,669,100MB,2022-12-07,Active,4.56,60,2025-06-20
332,894482394726010565556,47,477,Unlimited,2024-07-14,Active,19.27,36,2024-07-25
