cell_id,site_id,cell_name,cell_type,technology,frequency_band,frequency_mhz,bandwidth_mhz,sector,azimuth_degrees,electrical_tilt,mechanical_tilt,antenna_height_m,tx_power_dbm,max_throughput_mbps,max_connected_users,pci,tac,vendor,status
45,13,NR-LON-MAC-0013-F,NR,5G NR,n258,26000,400,6,300,8,5,39,43,2936,437,439,17948,Ericsson,Active
46,14,NR-LON-ROO-0014-A,NR,5G NR,n78,3500,100,1,0,3,2,24,42,1197,443,482,95990,Samsung,Active
47,15,NR-LON-MAC-0015-A,NR,5G NR,n1,2100,20,1,0,8,0,26,45,532,638,390,71920,Samsung,Active
48,15,NR-LON-MAC-0015-B,NR,5G NR,n77,3700,80,2,60,3,1,26,42,845,416,297,65076,Samsung,Active
49,15,NR-LON-MAC-0015-C,NR,5G NR,n258,26000,400,3,120,4,2,26,40,2682,455,399,10042,Samsung,Active
50,15,NR-LON-MAC-0015-D,NR,5G NR,n28,700,20,4,180,6,0,26,44,577,687,155,67512,Samsung,Active
51,15,NR-LON-MAC-0015-E,NR,5G NR,n77,3700,80,5,240,2,2,26,43,919,577,10,54683,Samsung,Active
52,15,NR-LON-MAC-0015-F,NR,5G NR,n28,700,20,6,300,2,3,26,44,383,895,399,86503,Samsung,Active
53,16,NR-LON-SMA-0016-A,NR,5G NR,n28,700,20,1,0,8,3,9,43,596,706,425,25383,Nokia,Active
54,16,NR-LON-SMA-0016-B,NR,5G NR,n78,3500,100,2,120,5,4,9,43,910,326,200,50196,Nokia,Active
55,16,NR-LON-SMA-0016-C,NR,5G NR,n258,26000,400,3,240,7,5,9,42,2741,348,214,54750,Nokia,Active
56,17,NR-LON-ROO-0017-A,NR,5G NR,n258,26000,400,1,0,6,3,21,41,2306,462,85,60777,Nokia,Active
57,17,NR-LON-ROO-0017-B,NR,5G NR,n1,2100,20,2,180,6,2,21,42,407,703,482,99168,Nokia,Active
58,18,NR-LON-ROO-0018-A,NR,5G NR,n78,3500,100,1,0,2,4,18,44,1008,596,132,99821,Nokia,Active
59,19,NR-LON-SMA-0019-A,NR,5G NR,n258,26000,400,1,0,7,3,11,40,3082,378,431,66868,Huawei,Active
60,19,LTE-LON-SMA-0019-A,LTE,4G LTE,B7,2600,20,1,0,8,5,11,45,385,196,441,63441,Huawei,Active
61,19,NR-LON-SMA-0019-B,NR,5G NR,n78,3500,100,2,120,3,3,11,46,1023,565,280,72437,Huawei,Active
62,19,LTE-LON-SMA-0019-B,LTE,4G LTE,B20,800,10,2,120,8,3,11,43,129,692,455,69797,Huawei,Active
63,19,NR-LON-SMA-0019-C,NR,5G NR,n258,26000,400,3,240,5,0,11,46,3220,391,334,36885,Huawei,Active
64,19,LTE-LON-SMA-0019-C,LTE,4G LTE,B7,2600,20,3,240,3,3,11,43,236,246,301,34082,Huawei,Active
65,20,NR-LON-MAC-0020-A,NR,5G NR,n258,26000,400,1,0,2,3,42,46,2142,243,122,56870,Ericsson,Active
66,20,NR-LON-MAC-0020-B,NR,5G NR,n78,3500,100,2,120,6,3,42,41,933,583,95,96597,Ericsson,Active
67,20,NR-LON-MAC-0020-C,NR,5G NR,n78,3500,100,3,240,7,1,42,42,1216,576,103,31491,Ericsson,Active
68,21,NR-LON-DAS-0021-A,NR,5G NR,n77,3700,80,1,0,8,1,5,40,997,650,403,28756,Samsung,Active
69,21,NR-LON-DAS-0021-B,NR,5G NR,n77,3700,80,2,120,3,2,5,42,1431,601,194,12956,Samsung,Active
70,21,NR-LON-DAS-0021-C,NR,5G NR,n258,26000,400,3,240,8,3,5,44,3667,214,498,43893,Samsung,Active
71,22,NR-LON-DAS-0022-A,NR,5G NR,n77,3700,80,1,0,2,3,6,44,1496,769,176,95769,Ericsson,Active
72,22,NR-LON-DAS-0022-B,NR,5G NR,n77,3700,80,2,180,5,4,6,43,995,474,165,28425,Ericsson,Active
73,23,NR-LON-ROO-0023-A,NR,5G NR,n1,2100,20,1,0,3,4,23,42,456,492,124,73228,Samsung,Active
74,24,NR-LON-MAC-0024-A,NR,5G NR,n78,3500,100,1,0,5,2,31,42,833,702,271,82834,Nokia,Active
75,24,LTE-LON-MAC-0024-A,LTE,4G LTE,B1,2100,15,1,0,5,2,31,41,173,472,54,25263,Nokia,Active
76,24,NR-LON-MAC-0024-B,NR,5G NR,n1,2100,20,2,120,4,1,31,42,566,410,179,50765,Nokia,Active
77,24,LTE-LON-MAC-0024-B,LTE,4G LTE,B3,1800,20,2,120,4,1,31,43,235,203,210,49673,Nokia,Active
78,24,NR-LON-MAC-0024-C,NR,5G NR,n77,3700,80,3,240,8,0,31,43,1173,470,285,65610,Nokia,Active
79,24,LTE-LON-MAC-0024-C,LTE,4G LTE,B7,2600,20,3,240,2,5,31,41,339,251,21,39974,Nokia,Active
80,25,NR-LON-SMA-0025-A,NR,5G NR,n1,2100,20,1,0,2,1,15,40,366,572,469,72984,Nokia,Active
81,26,NR-LON-SMA-0026-A,NR,5G NR,n78,3500,100,1,0,7,2,7,44,895,618,205,64356,Nokia,Active
82,26,NR-LON-SMA-0026-B,NR,5G NR,n77,3700,80,2,180,6,5,7,41,1406,697,276,71862,Nokia,Active
83,27,NR-LON-MAC-0027-A,NR,5G NR,n1,2100,20,1,0,3,4,45,43,568,895,103,19999,Ericsson,Active
84,27,LTE-LON-MAC-0027-A,LTE,4G LTE,B1,2100,15,1,0,6,2,45,46,140,358,209,32764,Ericsson,Active
85,27,NR-LON-MAC-0027-B,NR,5G NR,n1,2100,20,2,120,7,4,45,43,357,885,158,49376,Ericsson,Active
86,27,LTE-LON-MAC-0027-B,LTE,4G LTE,B20,800,10,2,120,3,1,45,46,104,304,93,81028,Ericsson,Active
87,27,NR-LON-MAC-0027-C,NR,5G NR,n1,2100,20,3,240,5,0,45,40,559,406,165,20299,Ericsson,Active
88,27,LTE-LON-MAC-0027-C,LTE,4G LTE,B20,800,10,3,240,5,2,45,42,72,569,350,20392,Ericsson,Active
89,28,NR-LON-MAC-0028-A,NR,5G NR,n77,3700,80,1,0,7,1,39,45,821,375,360,95994,Ericsson,Active
90,28,NR-LON-MAC-0028-B,NR,5G NR,n78,3500,100,2,60,5,2,39,42,884,670,187,45597,Ericsson,Active
91,28,NR-LON-MAC-0028-C,NR,5G NR,n78,3500,100,3,120,6,3,39,44,1207,441,70,96317,Ericsson,Active
92,28,NR-LON-MAC-0028-D,NR,5G NR,n78,3500,100,4,180,4,3,39,43,856,744,67,71140,Ericsson,Active
93,28,NR-LON-MAC-0028-E,NR,5G NR,n28,700,20,5,240,4,1,39,43,309,500,348,99200,Ericsson,Active
94,28,NR-LON-MAC-0028-F,NR,5G NR,n1,2100,20,6,300,4,1,39,46,529,658,26,40121,Ericsson,Active
95,29,NR-LON-SMA-0029-A,NR,5G NR,n258,26000,400,1,0,6,2,13,42,2113,446,376,81152,Nokia,Active
96,29,NR-LON-SMA-0029-B,NR,5G NR,n77,3700,80,2,180,6,2,13,44,1006,306,487,74672,Nokia,Active
97,30,NR-LON-MAC-0030-A,NR,5G NR,n77,3700,80,1,0,6,1,42,43,1043,652,273,94444,Ericsson,Active
98,30,LTE-LON-MAC-0030-A,LTE,4G LTE,B20,800,10,1,0,8,0,42,46,104,325,132,53984,Ericsson,Active
99,30,NR-LON-MAC-0030-B,NR,5G NR,n258,26000,400,2,60,3,1,42,43,3217,278,248,19892,Ericsson,Active
100,30,LTE-LON-MAC-0030-B,LTE,4G LTE,B1,2100,15,2,60,6,5,42,40,236,375,317,93134,Ericsson,Active
101,30,NR-LON-MAC-0030-C,NR,5G NR,n258,26000,400,3,120,4,0,42,45,2014,248,54,84120,Ericsson,Active
102,30,LTE-LON-MAC-0030-C,LTE,4G LTE,B7,2600,20,3,120,7,1,42,40,327,273,316,26924,Ericsson,Active
103,30,NR-LON-MAC-0030-D,NR,5G NR,n28,700,20,4,180,3,0,42,40,337,985,434,83708,Ericsson,Active
104,30,LTE-LON-MAC-0030-D,LTE,4G LTE,B3,1800,20,4,180,3,1,42,41,240,380,360,29581,Ericsson,Active
105,30,NR-LON-MAC-0030-E,NR,5G NR,n1,2100,20,5,240,8,2,42,44,530,403,331,35913,Ericsson,Active
106,30,LTE-LON-MAC-0030-E,LTE,4G LTE,B7,2600,20,5,240,6,1,42,44,349,237,465,23518,Ericsson,Active
107,30,NR-LON-MAC-0030-F,NR,5G NR,n28,700,20,6,300,4,0,42,40,574,780,219,37657,Ericsson,Active
108,30,LTE-LON-MAC-0030-F,LTE,4G LTE,B7,2600,20,6,300,6,1,42,40,221,222,462,71164,Ericsson,Active
109,31,NR-LON-DAS-0031-A,NR,5G NR,n28,700,20,1,0,7,0,6,46,535,709,493,50602,Huawei,Active
110,31,NR-LON-DAS-0031-B,NR,5G NR,n77,3700,80,2,120,8,3,6,46,1106,587,121,86391,Huawei,Active
111,31,NR-LON-DAS-0031-C,NR,5G NR,n258,26000,400,3,240,3,2,6,44,2324,397,40,77781,Huawei,Active
112,32,NR-LON-ROO-0032-A,NR,5G NR,n1,2100,20,1,0,3,2,17,45,421,471,294,71581,Nokia,Active
113,32,LTE-LON-ROO-0032-A,LTE,4G LTE,B7,2600,20,1,0,7,3,17,43,260,261,87,43801,Nokia,Active
114,33,NR-LON-DAS-0033-A,NR,5G NR,n28,700,20,1,0,3,5,3,42,397,713,440,49885,Ericsson,Offline
115,33,LTE-LON-DAS-0033-A,LTE,4G LTE,B7,2600,20,1,0,3,4,3,46,332,276,192,57435,Ericsson,Offline
116,34,NR-LON-MAC-0034-A,NR,5G NR,n258,26000,400,1,0,5,5,36,46,2225,372,157,39202,Nokia,Active
117,34,LTE-LON-MAC-0034-A,LTE,4G LTE,B20,800,10,1,0,6,0,36,46,70,614,412,39673,Nokia,Active
118,34,NR-LON-MAC-0034-B,NR,5G NR,n28,700,20,2,120,7,2,36,41,573,419,150,71721,Nokia,Active
119,34,LTE-LON-MAC-0034-B,LTE,4G LTE,B7,2600,20,2,120,7,0,36,44,212,157,146,11243,Nokia,Active
120,34,NR-LON-MAC-0034-C,NR,5G NR,n1,2100,20,3,240,7,2,36,43,333,829,116,72636,Nokia,Active
121,34,LTE-LON-MAC-0034-C,LTE,4G LTE,B7,2600,20,3,240,3,3,36,43,232,223,355,28143,Nokia,Active
122,35,NR-LON-ROO-0035-A,NR,5G NR,n77,3700,80,1,0,6,1,22,40,1174,433,113,64079,Nokia,Active
123,35,NR-LON-ROO-0035-B,NR,5G NR,n1,2100,20,2,180,6,0,22,45,418,454,490,45183,Nokia,Active
124,36,NR-LON-SMA-0036-A,NR,5G NR,n78,3500,100,1,0,4,1,12,43,902,647,123,24251,Nokia,Active
125,36,NR-LON-SMA-0036-B,NR,5G NR,n78,3500,100,2,180,8,1,12,43,1271,394,159,18628,Nokia,Active
126,37,NR-LON-DAS-0037-A,NR,5G NR,n28,700,20,1,0,5,4,9,46,551,736,6,11510,Ericsson,Active
127,37,LTE-LON-DAS-0037-A,LTE,4G LTE,B20,800,10,1,0,3,4,9,46,116,436,114,38498,Ericsson,Active
128,37,NR-LON-DAS-0037-B,NR,5G NR,n28,700,20,2,180,5,2,9,41,570,679,80,85393,Ericsson,Active
129,37,LTE-LON-DAS-0037-B,LTE,4G LTE,B3,1800,20,2,180,7,3,9,45,182,413,246,72477,Ericsson,Active
130,38,NR-LON-DAS-0038-A,NR,5G NR,n78,3500,100,1,0,8,4,6,40,1161,427,404,32126,Ericsson,Active
131,38,NR-LON-DAS-0038-B,NR,5G NR,n77,3700,80,2,180,3,5,6,42,1241,693,238,40969,Ericsson,Active
132,39,NR-LON-SMA-0039-A,NR,5G NR,n258,26000,400,1,0,2,5,12,41,2664,205,73,89313,Huawei,Active
133,39,NR-LON-SMA-0039-B,NR,5G NR,n1,2100,20,2,120,2,5,12,45,308,988,28,66665,Huawei,Active
134,39,NR-LON-SMA-0039-C,NR,5G NR,n28,700,20,3,240,2,5,12,42,532,816,154,29090,Huawei,Active
135,40,NR-LON-SMA-0040-A,NR,5G NR,n258,26000,400,1,0,3,5,8,45,3030,450,166,51693,Nokia,Active
136,40,LTE-LON-SMA-0040-A,LTE,4G LTE,B1,2100,15,1,0,3,5,8,41,113,345,63,62501,Nokia,Active
137,41,NR-LON-SMA-0041-A,NR,5G NR,n1,2100,20,1,0,7,5,12,45,552,547,31,66736,Huawei,Active
138,41,NR-LON-SMA-0041-B,NR,5G NR,n258,26000,400,2,180,8,2,12,44,3946,386,115,91523,Huawei,Active
139,42,NR-LON-SMA-0042-A,NR,5G NR,n77,3700,80,1,0,3,5,6,44,1113,789,204,87002,Ericsson,Active
140,42,NR-LON-SMA-0042-B,NR,5G NR,n78,3500,100,2,180,8,1,6,45,1083,463,398,98063,Ericsson,Active
141,43,NR-LON-SMA-0043-A,NR,5G NR,n1,2100,20,1,0,3,4,9,43,393,755,285,39154,Huawei,Active
142,43,NR-LON-SMA-0043-B,NR,5G NR,n28,700,20,2,180,3,4,9,40,533,602,456,39008,Huawei,Active
143,44,NR-LON-MAC-0044-A,NR,5G NR,n77,3700,80,1,0,5,1,33,42,820,778,174,42578,Ericsson,Active
144,44,LTE-LON-MAC-0044-A,LTE,4G LTE,B3,1800,20,1,0,3,3,33,42,112,292,51,33424,Ericsson,Active
145,44,NR-LON-MAC-0044-B,NR,5G NR,n77,3700,80,2,120,5,2,33,40,1100,688,324,84718,Ericsson,Active
146,44,LTE-LON-MAC-0044-B,LTE,4G LTE,B1,2100,15,2,120,3,0,33,41,148,434,117,55461,Ericsson,Active
147,44,NR-LON-MAC-0044-C,NR,5G NR,n78,3500,100,3,240,2,3,33,40,1131,768,64,42576,Ericsson,Active
148,44,LTE-LON-MAC-0044-C,LTE,4G LTE,B3,1800,20,3,240,8,0,33,43,183,249,362,21766,Ericsson,Active
149,45,NR-LON-SMA-0045-A,NR,5G NR,n28,700,20,1,0,6,3,9,40,482,732,411,87038,Huawei,Active
150,45,NR-LON-SMA-0045-B,NR,5G NR,n28,700,20,2,180,3,1,9,45,326,679,418,98487,Huawei,Active
151,46,NR-LON-MAC-0046-A,NR,5G NR,n28,700,20,1,0,4,0,33,40,474,802,303,91349,Samsung,Active
152,46,NR-LON-MAC-0046-B,NR,5G NR,n77,3700,80,2,60,4,0,33,41,1180,716,164,40483,Samsung,Active
153,46,NR-LON-MAC-0046-C,NR,5G NR,n1,2100,20,3,120,8,4,33,40,318,897,300,21944,Samsung,Active
154,46,NR-LON-MAC-0046-D,NR,5G NR,n77,3700,80,4,180,2,2,33,45,1153,762,380,39257,Samsung,Active
155,46,NR-LON-MAC-0046-E,NR,5G NR,n28,700,20,5,240,6,5,33,46,430,470,240,24427,Samsung,Active
156,46,NR-LON-MAC-0046-F,NR,5G NR,n28,700,20,6,300,4,3,33,40,554,721,457,61423,Samsung,Active
157,47,NR-LON-MAC-0047-A,NR,5G NR,n258,26000,400,1,0,3,4,34,45,3633,318,332,27230,Ericsson,Active
158,47,LTE-LON-MAC-0047-A,LTE,4G LTE,B1,2100,15,1,0,2,3,34,40,204,325,381,63807,Ericsson,Active
159,47,NR-LON-MAC-0047-B,NR,5G NR,n77,3700,80,2,120,7,4,34,45,876,643,186,66698,Ericsson,Active
160,47,LTE-LON-MAC-0047-B,LTE,4G LTE,B3,1800,20,2,120,2,0,34,43,180,267,223,19588,Ericsson,Active
161,47,NR-LON-MAC-0047-C,NR,5G NR,n28,700,20,3,240,3,0,34,42,321,696,310,83711,Ericsson,Active
162,47,LTE-LON-MAC-0047-C,LTE,4G LTE,B7,2600,20,3,240,7,5,34,43,328,241,304,68378,Ericsson,Active
163,48,NR-LON-DAS-0048-A,NR,5G NR,n258,26000,400,1,0,4,1,10,45,3796,239,110,65372,Ericsson,Active
164,48,NR-LON-DAS-0048-B,NR,5G NR,n78,3500,100,2,120,7,4,10,40,1317,321,55,15784,Ericsson,Active
165,48,NR-LON-DAS-0048-C,NR,5G NR,n78,3500,100,3,240,8,3,10,45,1091,691,49,16560,Ericsson,Active
166,49,NR-LON-ROO-0049-A,NR,5G NR,n77,3700,80,1,0,5,4,17,44,1414,376,256,83042,Nokia,Offline
167,49,NR-LON-ROO-0049-B,NR,5G NR,n78,3500,100,2,180,3,0,17,42,1350,604,409,61214,Nokia,Offline
168,50,NR-LON-DAS-0050-A,NR,5G NR,n78,3500,100,1,0,3,4,5,44,1195,780,58,63429,Nokia,Active
169,50,NR-LON-DAS-0050-B,NR,5G NR,n1,2100,20,2,120,7,2,5,40,542,948,270,99791,Nokia,Active
170,50,NR-LON-DAS-0050-C,NR,5G NR,n28,700,20,3,240,4,5,5,40,515,446,338,87491,Nokia,Active
171,51,NR-LON-ROO-0051-A,NR,5G NR,n258,26000,400,1,0,8,4,27,44,2684,404,388,31012,Ericsson,Maintenance
172,52,NR-LON-ROO-0052-A,NR,5G NR,n258,26000,400,1,0,6,0,16,40,2980,290,245,30458,Huawei,Active
173,52,LTE-LON-ROO-0052-A,LTE,4G LTE,B7,2600,20,1,0,7,5,16,44,240,150,57,98241,Huawei,Active
174,52,NR-LON-ROO-0052-B,NR,5G NR,n28,700,20,2,180,7,1,16,43,529,558,107,56098,Huawei,Active
175,52,LTE-LON-ROO-0052-B,LTE,4G LTE,B7,2600,20,2,180,5,4,16,41,272,154,372,13772,Huawei,Active
176,53,NR-LON-DAS-0053-A,NR,5G NR,n1,2100,20,1,0,8,3,9,44,413,450,227,78213,Ericsson,Active
177,53,LTE-LON-DAS-0053-A,LTE,4G LTE,B1,2100,15,1,0,4,2,9,44,126,330,280,36793,Ericsson,Active
178,53,NR-LON-DAS-0053-B,NR,5G NR,n258,26000,400,2,180,4,3,9,43,2945,240,134,83963,Ericsson,Active
179,53,LTE-LON-DAS-0053-B,LTE,4G LTE,B20,800,10,2,180,6,4,9,45,105,494,213,68909,Ericsson,Active
180,54,LTE-LON-MAC-0054-A,LTE,4G LTE,B1,2100,15,1,0,4,3,28,40,117,487,43,65703,Huawei,Active
181,54,LTE-LON-MAC-0054-B,LTE,4G LTE,B1,2100,15,2,120,2,2,28,45,190,420,311,57899,Huawei,Active
182,54,LTE-LON-MAC-0054-C,LTE,4G LTE,B7,2600,20,3,240,3,0,28,44,253,227,24,92027,Huawei,Active
183,55,NR-LON-SMA-0055-A,NR,5G NR,n258,26000,400,1,0,2,5,6,40,2429,275,68,55808,Huawei,Active
184,55,NR-LON-SMA-0055-B,NR,5G NR,n1,2100,20,2,120,4,1,6,41,477,838,394,71567,Huawei,Active
185,55,NR-LON-SMA-0055-C,NR,5G NR,n258,26000,400,3,240,2,5,6,41,2987,323,50,59614,Huawei,Active
186,56,NR-LON-SMA-0056-A,NR,5G NR,n258,26000,400,1,0,5,0,10,44,3408,485,400,31087,Nokia,Active
187,56,NR-LON-SMA-0056-B,NR,5G NR,n258,26000,400,2,180,4,4,10,43,2220,390,344,30145,Nokia,Active
188,57,NR-LON-SMA-0057-A,NR,5G NR,n78,3500,100,1,0,4,5,9,40,905,373,70,59145,Samsung,Active
189,57,NR-LON-SMA-0057-B,NR,5G NR,n28,700,20,2,120,2,5,9,40,472,728,175,48769,Samsung,Active
190,57,NR-LON-SMA-0057-C,NR,5G NR,n1,2100,20,3,240,7,5,9,40,316,919,340,83870,Samsung,Active
191,58,NR-LON-MAC-0058-A,NR,5G NR,n1,2100,20,1,0,6,3,28,43,581,613,323,70063,Huawei,Active
192,58,LTE-LON-MAC-0058-A,LTE,4G LTE,B3,1800,20,1,0,5,1,28,42,233,461,193,22765,Huawei,Active
193,58,NR-LON-MAC-0058-B,NR,5G NR,n258,26000,400,2,120,3,2,28,41,2439,206,269,38804,Huawei,Active
194,58,LTE-LON-MAC-0058-B,LTE,4G LTE,B20,800,10,2,120,6,0,28,42,53,315,114,51008,Huawei,Active
195,58,NR-LON-MAC-0058-C,NR,5G NR,n77,3700,80,3,240,6,1,28,40,1429,457,251,46435,Huawei,Active
196,58,LTE-LON-MAC-0058-C,LTE,4G LTE,B20,800,10,3,240,6,5,28,43,106,590,160,45582,Huawei,Active
197,59,LTE-LON-MAC-0059-A,LTE,4G LTE,B7,2600,20,1,0,3,4,30,44,393,249,254,35513,Nokia,Active
198,59,LTE-LON-MAC-0059-B,LTE,4G LTE,B1,2100,15,2,120,6,3,30,41,125,467,74,54148,Nokia,Active
199,59,LTE-LON-MAC-0059-C,LTE,4G LTE,B3,1800,20,3,240,7,3,30,40,215,367,2,31749,Nokia,Active
200,60,NR-LON-SMA-0060-A,NR,5G NR,n77,3700,80,1,0,3,1,15,42,1055,319,19,58795,Nokia,Active
201,60,NR-LON-SMA-0060-B,NR,5G NR,n258,26000,400,2,120,5,0,15,41,3522,439,184,20330,Nokia,Active
202,60,NR-LON-SMA-0060-C,NR,5G NR,n28,700,20,3,240,7,0,15,46,565,977,134,23407,Nokia,Active
203,61,NR-LON-MAC-0061-A,NR,5G NR,n1,2100,20,1,0,2,2,29,40,384,919,211,62762,Ericsson,Maintenance
204,61,LTE-LON-MAC-0061-A,LTE,4G LTE,B7,2600,20,1,0,8,0,29,46,211,288,92,38509,Ericsson,Maintenance
205,61,NR-LON-MAC-0061-B,NR,5G NR,n1,2100,20,2,120,6,4,29,42,365,899,394,46098,Ericsson,Maintenance
206,61,LTE-LON-MAC-0061-B,LTE,4G LTE,B7,2600,20,2,120,6,4,29,43,362,158,409,35388,Ericsson,Maintenance
207,61,NR-LON-MAC-0061-C,NR,5G NR,n258,26000,400,3,240,3,3,29,43,2169,367,313,52330,Ericsson,Maintenance
208,61,LTE-LON-MAC-0061-C,LTE,4G LTE,B1,2100,15,3,240,3,0,29,41,177,355,81,44016,Ericsson,Maintenance
209,62,NR-LON-SMA-0062-A,NR,5G NR,n1,2100,20,1,0,6,4,11,46,376,657,201,35086,Huawei,Active
210,63,NR-LON-DAS-0063-A,NR,5G NR,n78,3500,100,1,0,5,1,9,43,1050,744,39,49348,Samsung,Active
