record_id,site_id,measurement_date,energy_kwh,renewable_kwh,grid_kwh,renewable_pct,carbon_emissions_kg,pue_ratio,cooling_kwh,equipment_kwh
73,73,2025-01-01,1603.51,615.05,988.46,38.4,197.69,1.56,557.86,897.91
74,74,2025-01-01,910.84,320.57,590.27,35.2,118.05,1.76,360.6,481.32
75,75,2025-01-01,126.86,48.62,78.24,38.3,15.65,1.56,36.51,85.86
76,76,2025-01-01,308.02,117.02,191.0,38.0,38.2,1.63,110.01,206.07
77,77,2025-01-01,192.23,74.41,117.83,38.7,23.57,1.69,41.07,100.49
78,78,2025-01-01,1449.86,553.27,896.6,38.2,179.32,1.39,398.88,894.93
79,79,2025-01-01,1194.91,451.94,742.97,37.8,148.59,1.36,291.16,750.35
80,80,2025-01-01,1690.29,599.41,1090.88,35.5,218.18,1.78,430.54,1038.29
81,81,2025-01-01,130.63,57.93,72.69,44.4,14.54,1.44,27.5,74.82
82,82,2025-01-01,1110.27,461.21,649.06,41.5,129.81,1.39,273.47,611.65
83,83,2025-01-01,287.78,108.97,178.81,37.9,35.76,1.34,88.48,177.79
84,84,2025-01-01,472.46,177.86,294.61,37.6,58.92,1.58,187.7,236.97
85,85,2025-01-01,1012.16,452.63,559.54,44.7,111.91,1.37,205.01,645.41
86,86,2025-01-01,235.51,87.91,147.59,37.3,29.52,1.7,64.39,135.76
87,87,2025-01-01,202.25,79.32,122.92,39.2,24.58,1.5,71.8,124.19
88,88,2025-01-01,1177.45,518.29,659.16,44.0,131.83,1.74,308.87,638.17
89,89,2025-01-01,502.21,188.67,313.54,37.6,62.71,1.66,128.16,275.08
90,90,2025-01-01,932.49,410.07,522.43,44.0,104.49,1.45,321.56,624.07
91,91,2025-01-01,176.9,75.03,101.86,42.4,20.37,1.55,61.14,89.07
92,92,2025-01-01,290.31,102.56,187.75,35.3,37.55,1.76,79.01,171.57
93,93,2025-01-01,161.11,71.42,89.69,44.3,17.94,1.49,42.07,98.87
94,94,2025-01-01,62.12,25.17,36.95,40.5,7.39,1.67,13.23,39.82
95,95,2025-01-01,262.66,113.5,149.16,43.2,29.83,1.64,102.69,179.19
96,96,2025-01-01,431.8,152.55,279.24,35.3,55.85,1.66,159.53,277.16
97,97,2025-01-01,176.66,77.35,99.31,43.8,19.86,1.42,47.99,102.14
98,98,2025-01-01,134.4,47.21,87.19,35.1,17.44,1.69,31.77,69.36
99,99,2025-01-01,1170.21,450.1,720.1,38.5,144.02,1.51,289.79,718.49
100,100,2025-01-01,374.49,135.32,239.17,36.1,47.83,1.51,131.09,191.26
101,101,2025-01-01,135.37,57.56,77.81,42.5,15.56,1.31,36.6,82.7
102,102,2025-01-01,115.11,40.41,74.7,35.1,14.94,1.62,29.46,76.96
103,103,2025-01-01,242.02,100.21,141.81,41.4,28.36,1.41,61.7,157.02
104,104,2025-01-01,419.78,171.64,248.15,40.9,49.63,1.64,150.41,230.47
105,105,2025-01-01,912.46,359.29,553.17,39.4,110.63,1.4,185.52,456.76
106,106,2025-01-01,77.26,32.12,45.14,41.6,9.03,1.43,18.06,44.92
107,107,2025-01-01,129.33,54.14,75.19,41.9,15.04,1.51,45.06,78.83
108,108,2025-01-01,1024.34,392.28,632.07,38.3,126.41,1.52,362.95,605.89
109,109,2025-01-01,1160.79,433.27,727.52,37.3,145.5,1.71,268.9,791.77
110,110,2025-01-01,357.95,147.7,210.25,41.3,42.05,1.39,77.13,244.0
111,111,2025-01-01,163.24,72.77,90.47,44.6,18.09,1.37,54.95,105.56
112,112,2025-01-01,137.53,49.17,88.36,35.8,17.67,1.39,49.19,92.01
113,113,2025-01-01,1438.17,563.02,875.15,39.1,175.03,1.36,346.37,874.81
114,114,2025-01-01,197.8,82.62,115.18,41.8,23.04,1.38,76.07,138.12
115,115,2025-01-01,515.79,188.0,327.79,36.4,65.56,1.44,136.23,288.68
116,116,2025-01-01,289.65,129.5,160.15,44.7,32.03,1.71,62.68,178.68
117,117,2025-01-01,310.1,113.01,197.09,36.4,39.42,1.41,78.47,201.32
118,118,2025-01-01,1002.92,408.24,594.68,40.7,118.94,1.54,257.47,537.13
119,119,2025-01-01,227.4,91.16,136.24,40.1,27.25,1.36,77.03,122.64
120,120,2025-01-01,1560.26,622.3,937.96,39.9,187.59,1.7,519.05,859.84
121,121,2025-01-01,136.32,51.75,84.58,38.0,16.92,1.78,45.32,82.24
122,122,2025-01-01,354.58,139.16,215.42,39.2,43.08,1.69,93.0,213.23
123,123,2025-01-01,116.11,41.71,74.41,35.9,14.88,1.42,36.64,73.74
124,124,2025-01-01,168.79,64.13,104.66,38.0,20.93,1.61,65.9,89.88
125,125,2025-01-01,148.4,54.96,93.43,37.0,18.69,1.64,44.82,86.44
126,126,2025-01-01,188.29,83.67,104.62,44.4,20.92,1.41,38.63,110.93
127,127,2025-01-01,841.53,306.05,535.48,36.4,107.1,1.6,296.4,584.36
128,128,2025-01-01,332.31,147.7,184.61,44.4,36.92,1.65,86.31,171.15
129,129,2025-01-01,316.62,119.92,196.71,37.9,39.34,1.52,70.73,168.4
130,130,2025-01-01,213.76,95.81,117.95,44.8,23.59,1.72,65.47,129.82
131,131,2025-01-01,1434.19,639.03,795.17,44.6,159.03,1.51,529.64,969.61
132,132,2025-01-01,205.78,90.74,115.04,44.1,23.01,1.65,62.21,136.44
133,133,2025-01-01,185.7,80.46,105.24,43.3,21.05,1.48,49.91,126.69
134,134,2025-01-01,219.63,96.7,122.93,44.0,24.59,1.56,81.29,147.59
135,135,2025-01-01,76.6,33.47,43.13,43.7,8.63,1.43,21.23,42.31
136,136,2025-01-01,229.21,93.64,135.57,40.9,27.11,1.78,54.18,132.87
137,137,2025-01-01,174.26,71.15,103.11,40.8,20.62,1.48,60.71,116.21
138,138,2025-01-01,868.9,322.74,546.16,37.1,109.23,1.73,252.46,485.65
139,139,2025-01-01,253.55,89.77,163.77,35.4,32.75,1.73,64.98,164.15
140,140,2025-01-01,142.26,58.39,83.87,41.0,16.77,1.42,35.03,90.17
141,141,2025-01-01,131.51,54.09,77.41,41.1,15.48,1.4,43.06,89.53
142,142,2025-01-01,964.88,390.95,573.92,40.5,114.78,1.54,272.2,530.04
143,143,2025-01-01,309.08,134.81,174.27,43.6,34.85,1.79,108.6,198.23
144,144,2025-01-01,1056.07,395.83,660.24,37.5,132.05,1.65,304.08,649.91
145,145,2025-01-01,187.04,82.67,104.37,44.2,20.87,1.38,55.16,98.89
146,146,2025-01-01,135.96,57.68,78.28,42.4,15.66,1.5,34.69,83.74
147,147,2025-01-01,237.39,98.62,138.77,41.5,27.75,1.53,74.25,164.08
148,148,2025-01-01,118.35,47.14,71.21,39.8,14.24,1.69,44.69,65.53
149,149,2025-01-01,121.57,51.51,70.07,42.4,14.01,1.65,32.49,61.46
150,150,2025-01-01,898.15,396.32,501.83,44.1,100.37,1.49,338.74,589.2
151,151,2025-01-01,308.79,129.57,179.22,42.0,35.84,1.68,96.82,208.03
152,152,2025-01-01,192.13,68.07,124.06,35.4,24.81,1.7,65.73,128.68
153,153,2025-01-01,1353.26,501.72,851.54,37.1,170.31,1.38,389.94,867.63
154,154,2025-01-01,1317.14,502.58,814.55,38.2,162.91,1.39,394.56,777.81
155,155,2025-01-01,62.69,27.24,35.45,43.4,7.09,1.5,16.74,34.85
156,156,2025-01-01,540.55,234.39,306.16,43.4,61.23,1.67,188.27,367.95
157,157,2025-01-01,221.18,95.63,125.55,43.2,25.11,1.54,54.53,149.69
158,158,2025-01-01,1024.03,457.62,566.4,44.7,113.28,1.64,354.63,699.46
159,159,2025-01-01,494.73,214.41,280.32,43.3,56.06,1.38,196.82,325.79
160,160,2025-01-01,888.06,349.63,538.42,39.4,107.68,1.37,252.41,456.99
161,161,2025-01-01,1066.38,379.35,687.03,35.6,137.41,1.66,244.48,693.46
162,162,2025-01-01,133.5,56.6,76.9,42.4,15.38,1.35,37.49,83.16
163,163,2025-01-01,127.49,46.53,80.96,36.5,16.19,1.79,40.31,75.3
164,164,2025-01-01,138.84,57.35,81.5,41.3,16.3,1.68,27.8,93.84
165,165,2025-01-01,1578.37,705.8,872.57,44.7,174.51,1.65,450.19,841.2
166,166,2025-01-01,364.32,142.88,221.44,39.2,44.29,1.61,101.28,249.97
167,167,2025-01-01,979.8,424.57,555.24,43.3,111.05,1.64,301.87,659.61
168,168,2025-01-01,1058.68,412.68,646.0,39.0,129.2,1.7,212.87,594.96
169,169,2025-01-01,114.63,42.92,71.71,37.4,14.34,1.37,34.11,72.54
170,170,2025-01-01,861.87,371.84,490.03,43.1,98.01,1.67,308.96,524.57
171,171,2025-01-01,246.23,108.99,137.24,44.3,27.45,1.68,49.89,168.74
172,172,2025-01-01,1162.84,420.03,742.82,36.1,148.56,1.63,426.77,799.01
173,173,2025-01-01,92.01,33.97,58.04,36.9,11.61,1.4,29.66,50.21
174,174,2025-01-01,123.92,45.94,77.99,37.1,15.6,1.73,25.16,64.73
175,175,2025-01-01,1195.44,484.65,710.79,40.5,142.16,1.61,320.94,795.01
176,176,2025-01-01,223.95,82.13,141.82,36.7,28.36,1.31,54.46,133.08
177,177,2025-01-01,1335.32,505.72,829.6,37.9,165.92,1.64,289.01,910.89
178,178,2025-01-01,570.4,232.42,337.98,40.7,67.6,1.42,155.17,390.52
179,179,2025-01-01,1070.27,428.07,642.2,40.0,128.44,1.65,313.93,682.74
180,180,2025-01-01,900.08,392.02,508.07,43.6,101.61,1.32,290.36,479.04
181,181,2025-01-01,103.77,36.36,67.41,35.0,13.48,1.76,29.58,61.82
182,182,2025-01-01,125.02,50.9,74.12,40.7,14.82,1.33,42.57,71.17
183,183,2025-01-01,998.79,437.76,561.03,43.8,112.21,1.54,201.47,697.8
184,184,2025-01-01,1419.13,627.05,792.07,44.2,158.41,1.42,471.69,745.1
185,185,2025-01-01,1607.83,638.19,969.64,39.7,193.93,1.54,461.6,882.45
186,186,2025-01-01,234.48,90.72,143.76,38.7,28.75,1.39,58.28,148.56
187,187,2025-01-01,160.92,61.4,99.51,38.2,19.9,1.68,33.47,90.65
188,188,2025-01-01,433.0,169.74,263.26,39.2,52.65,1.78,148.32,218.24
189,189,2025-01-01,867.5,344.46,523.03,39.7,104.61,1.49,240.68,510.47
190,190,2025-01-01,884.04,388.06,495.98,43.9,99.2,1.79,300.87,487.7
191,191,2025-01-01,1025.08,396.59,628.49,38.7,125.7,1.43,366.75,561.19
192,192,2025-01-01,75.57,26.64,48.92,35.3,9.78,1.4,27.16,46.74
193,193,2025-01-01,875.73,313.64,562.09,35.8,112.42,1.64,184.1,582.34
194,194,2025-01-01,290.42,108.38,182.04,37.3,36.41,1.77,108.5,156.92
195,195,2025-01-01,130.31,55.7,74.61,42.7,14.92,1.51,46.44,83.46
196,196,2025-01-01,351.96,142.97,208.99,40.6,41.8,1.78,98.38,245.32
197,197,2025-01-01,1107.95,402.97,704.98,36.4,141.0,1.71,297.4,632.43
198,198,2025-01-01,88.58,33.96,54.62,38.3,10.92,1.36,23.83,61.4
199,199,2025-01-01,264.7,93.51,171.19,35.3,34.24,1.79,69.77,151.34
200,200,2025-01-01,62.3,22.65,39.66,36.3,7.93,1.33,12.56,37.15
201,201,2025-01-01,176.91,66.42,110.5,37.5,22.1,1.44,39.69,95.38
202,202,2025-01-01,176.85,67.0,109.86,37.9,21.97,1.32,45.05,97.26
203,203,2025-01-01,156.84,69.67,87.17,44.4,17.43,1.31,55.54,83.54
204,204,2025-01-01,139.57,55.98,83.59,40.1,16.72,1.48,38.83,87.29
205,205,2025-01-01,133.24,55.1,78.14,41.4,15.63,1.66,26.94,84.39
206,206,2025-01-01,490.7,176.15,314.55,35.9,62.91,1.51,120.78,257.32
207,207,2025-01-01,312.96,138.88,174.08,44.4,34.82,1.47,121.88,159.43
208,208,2025-01-01,329.6,140.26,189.35,42.6,37.87,1.5,88.92,191.26
209,209,2025-01-01,120.93,42.51,78.42,35.2,15.68,1.76,32.4,62.68
210,210,2025-01-01,237.7,86.17,151.53,36.3,30.31,1.69,55.68,139.91
211,211,2025-01-01,247.03,92.92,154.1,37.6,30.82,1.69,53.21,157.14
212,212,2025-01-01,154.08,67.09,87.0,43.5,17.4,1.31,53.99,101.38
213,213,2025-01-01,219.18,76.81,142.37,35.0,28.47,1.61,69.37,151.69
214,214,2025-01-01,58.06,24.96,33.11,43.0,6.62,1.37,13.52,36.72
215,215,2025-01-01,1290.0,567.43,722.57,44.0,144.51,1.3,485.56,799.26
216,216,2025-01-01,135.82,58.91,76.91,43.4,15.38,1.66,34.23,88.44
217,217,2025-01-01,117.79,47.2,70.59,40.1,14.12,1.73,44.76,62.92
218,218,2025-01-01,260.6,114.26,146.34,43.8,29.27,1.34,55.32,164.79
219,219,2025-01-01,304.56,124.97,179.59,41.0,35.92,1.63,118.91,206.05
220,220,2025-01-01,182.57,66.71,115.86,36.5,23.17,1.62,53.76,96.59
221,221,2025-01-01,236.54,85.61,150.93,36.2,30.19,1.43,48.47,121.48
222,222,2025-01-01,1271.81,474.08,797.73,37.3,159.55,1.54,506.22,842.51
223,223,2025-01-01,290.67,113.09,177.58,38.9,35.52,1.67,61.43,148.33
224,224,2025-01-01,111.31,49.96,61.35,44.9,12.27,1.55,26.01,72.21
225,225,2025-01-01,146.62,54.85,91.77,37.4,18.35,1.59,47.82,99.59
226,226,2025-01-01,226.84,79.78,147.06,35.2,29.41,1.32,61.85,145.3
227,227,2025-01-01,157.4,56.74,100.66,36.0,20.13,1.4,54.05,92.48
228,228,2025-01-01,235.24,98.99,136.25,42.1,27.25,1.38,70.16,151.2
229,229,2025-01-01,89.13,33.46,55.67,37.5,11.13,1.59,23.05,53.49
230,230,2025-01-01,1639.05,587.71,1051.34,35.9,210.27,1.62,637.79,935.4
231,231,2025-01-01,1054.66,436.83,617.83,41.4,123.57,1.45,296.28,546.9
232,232,2025-01-01,275.56,107.11,168.46,38.9,33.69,1.62,61.6,165.65
233,233,2025-01-01,66.86,25.38,41.48,38.0,8.3,1.69,22.93,36.4
234,234,2025-01-01,996.34,358.69,637.65,36.0,127.53,1.42,251.56,681.91
235,235,2025-01-01,226.37,84.22,142.15,37.2,28.43,1.6,85.8,143.31
236,236,2025-01-01,1508.1,557.88,950.21,37.0,190.04,1.4,554.42,933.24
237,237,2025-01-01,268.68,120.18,148.49,44.7,29.7,1.63,59.17,155.9
238,238,2025-01-01,174.92,77.91,97.01,44.5,19.4,1.34,42.28,94.66
239,239,2025-01-01,151.81,57.2,94.61,37.7,18.92,1.45,37.75,91.09
240,240,2025-01-01,1474.85,578.23,896.62,39.2,179.32,1.49,305.02,984.75
241,241,2025-01-01,157.0,69.97,87.03,44.6,17.41,1.36,37.29,102.84
242,242,2025-01-01,77.03,27.92,49.11,36.2,9.82,1.47,27.25,49.07
243,243,2025-01-01,1268.29,471.9,796.39,37.2,159.28,1.69,399.49,782.44
244,244,2025-01-01,1065.58,416.88,648.7,39.1,129.74,1.39,363.41,614.99
245,245,2025-01-01,216.12,79.93,136.19,37.0,27.24,1.49,79.28,110.83
246,246,2025-01-01,213.73,89.89,123.84,42.1,24.77,1.73,66.48,115.53
247,247,2025-01-01,1501.52,548.52,953.0,36.5,190.6,1.66,553.55,935.25
248,248,2025-01-01,253.69,105.11,148.59,41.4,29.72,1.33,57.08,158.35
249,249,2025-01-01,176.16,72.24,103.92,41.0,20.78,1.58,49.26,103.29
250,250,2025-01-01,270.56,105.18,165.37,38.9,33.07,1.5,100.53,154.29
251,251,2025-01-01,1377.33,486.38,890.95,35.3,178.19,1.68,494.35,771.06
252,252,2025-01-01,153.86,55.05,98.81,35.8,19.76,1.75,60.77,98.57
253,253,2025-01-01,965.64,357.73,607.91,37.0,121.58,1.61,349.63,608.84
254,254,2025-01-01,1342.64,589.92,752.72,43.9,150.54,1.33,361.32,690.12
255,255,2025-01-01,1267.28,527.25,740.03,41.6,148.01,1.69,409.28,740.17
256,256,2025-01-01,269.3,107.82,161.47,40.0,32.29,1.66,83.56,177.69
257,257,2025-01-01,405.27,150.07,255.21,37.0,51.04,1.51,156.05,254.92
258,258,2025-01-01,258.12,100.48,157.65,38.9,31.53,1.59,92.5,139.83
259,259,2025-01-01,87.84,39.08,48.76,44.5,9.75,1.38,20.92,53.19
260,260,2025-01-01,145.3,51.38,93.92,35.4,18.78,1.46,54.53,85.86
261,261,2025-01-01,778.52,293.5,485.02,37.7,97.0,1.56,208.19,518.33
262,262,2025-01-01,1391.77,538.67,853.1,38.7,170.62,1.55,549.39,716.44
263,263,2025-01-01,1066.1,411.06,655.04,38.6,131.01,1.35,369.82,548.1
264,264,2025-01-01,245.09,93.35,151.73,38.1,30.35,1.39,93.52,129.72
265,265,2025-01-01,1468.62,567.09,901.52,38.6,180.3,1.3,484.93,945.07
266,266,2025-01-01,290.8,130.14,160.66,44.8,32.13,1.32,109.03,154.47
267,267,2025-01-01,220.13,98.38,121.76,44.7,24.35,1.51,57.54,137.67
268,268,2025-01-01,229.0,82.83,146.16,36.2,29.23,1.39,58.27,128.82
269,269,2025-01-01,1479.3,551.44,927.86,37.3,185.57,1.33,380.13,982.15
270,270,2025-01-01,135.19,50.43,84.76,37.3,16.95,1.73,29.72,82.51
271,271,2025-01-01,289.87,125.39,164.48,43.3,32.9,1.8,66.24,160.59
272,272,2025-01-01,1467.28,613.29,853.99,41.8,170.8,1.63,365.84,1004.77
273,273,2025-01-01,1163.3,437.71,725.6,37.6,145.12,1.73,414.33,747.88
274,274,2025-01-01,170.67,65.99,104.69,38.7,20.94,1.38,42.85,103.5
275,275,2025-01-01,1405.97,581.99,823.98,41.4,164.8,1.37,357.33,885.35
276,276,2025-01-01,134.52,59.75,74.76,44.4,14.95,1.61,53.1,92.16
277,277,2025-01-01,1002.37,429.98,572.4,42.9,114.48,1.75,317.83,608.12
278,278,2025-01-01,1125.04,480.73,644.31,42.7,128.86,1.44,446.27,625.18
279,279,2025-01-01,1171.5,474.19,697.31,40.5,139.46,1.74,418.62,765.92
280,280,2025-01-01,126.56,48.82,77.74,38.6,15.55,1.77,33.87,84.63
281,281,2025-01-01,1090.76,415.16,675.6,38.1,135.12,1.49,279.01,560.01
282,282,2025-01-01,1180.22,529.73,650.49,44.9,130.1,1.76,313.33,770.22
283,283,2025-01-01,292.16,116.3,175.86,39.8,35.17,1.72,64.65,150.13
284,284,2025-01-01,989.38,413.65,575.73,41.8,115.15,1.76,355.18,561.42
285,285,2025-01-01,219.59,93.51,126.08,42.6,25.22,1.5,52.66,131.22
286,286,2025-01-01,1213.54,520.06,693.49,42.9,138.7,1.36,260.13,800.08
287,287,2025-01-01,1007.85,358.88,648.98,35.6,129.8,1.33,260.94,689.17
288,288,2025-01-01,879.04,319.06,559.99,36.3,112.0,1.71,304.83,573.0
289,289,2025-01-01,271.58,102.49,169.08,37.7,33.82,1.59,82.02,138.22
290,290,2025-01-01,903.69,383.03,520.66,42.4,104.13,1.71,183.83,559.3
291,291,2025-01-01,1250.49,487.0,763.49,38.9,152.7,1.79,265.31,666.54
292,292,2025-01-01,285.57,127.69,157.88,44.7,31.58,1.54,75.13,152.98
293,293,2025-01-01,1546.94,612.99,933.94,39.6,186.79,1.73,536.6,780.64
294,294,2025-01-01,1103.0,389.49,713.52,35.3,142.7,1.65,288.86,659.99
295,295,2025-01-01,145.14,57.13,88.01,39.4,17.6,1.31,55.37,97.31
296,296,2025-01-01,284.53,118.55,165.98,41.7,33.2,1.75,85.85,143.22
297,297,2025-01-01,1590.42,616.84,973.58,38.8,194.72,1.7,617.97,905.4
298,298,2025-01-01,129.97,50.47,79.5,38.8,15.9,1.72,47.15,73.91
299,299,2025-01-01,164.27,68.33,95.93,41.6,19.19,1.75,45.01,112.48
300,300,2025-01-01,848.18,333.42,514.75,39.3,102.95,1.54,213.43,434.84
301,301,2025-01-01,209.83,88.17,121.67,42.0,24.33,1.66,65.74,134.39
302,302,2025-01-01,344.43,127.61,216.81,37.1,43.36,1.77,124.07,205.29
303,303,2025-01-01,1196.11,534.42,661.69,44.7,132.34,1.73,424.66,694.3
304,304,2025-01-01,115.98,41.44,74.54,35.7,14.91,1.69,35.34,75.95
305,305,2025-01-01,1242.36,530.31,712.05,42.7,142.41,1.68,438.35,647.23
306,306,2025-01-01,285.89,115.07,170.82,40.3,34.16,1.56,90.38,171.25
307,307,2025-01-01,280.67,99.3,181.37,35.4,36.27,1.5,103.36,170.56
308,308,2025-01-01,314.55,116.58,197.97,37.1,39.59,1.54,70.78,192.64
309,309,2025-01-01,893.99,378.06,515.93,42.3,103.19,1.69,220.28,526.12
310,310,2025-01-01,1302.91,488.38,814.53,37.5,162.91,1.33,520.19,857.61
311,311,2025-01-01,293.19,115.83,177.35,39.5,35.47,1.71,103.52,167.75
312,312,2025-01-01,1409.44,606.98,802.46,43.1,160.49,1.57,390.39,877.93
313,313,2025-01-01,1255.65,532.26,723.39,42.4,144.68,1.52,349.63,740.66
314,314,2025-01-01,94.14,38.09,56.05,40.5,11.21,1.61,31.04,56.24
315,315,2025-01-01,1558.15,621.18,936.97,39.9,187.39,1.71,365.36,981.17
316,316,2025-01-01,884.24,317.03,567.21,35.9,113.44,1.32,227.71,541.23
317,317,2025-01-01,204.37,81.9,122.47,40.1,24.49,1.54,54.41,137.87
318,318,2025-01-01,1038.84,447.68,591.16,43.1,118.23,1.42,317.01,619.87
319,319,2025-01-01,1710.24,603.5,1106.74,35.3,221.35,1.51,666.69,1031.23
