equipment_id,site_id,equipment_type,equipment_name,vendor,model,serial_number,technology,frequency_band,power_watts,status,install_date,firmware_version
18,3,Antenna,ANT-LON-MAC-0003-A,Samsung,Samsung 8T8R Antenna,SN173269109,5G,,0,Active,2023-01-21,
19,3,gNodeB,gNB-LON-MAC-0003-B,Samsung,Samsung 5G RAN,SN805472650,5G NR,n1,55,Active,2023-01-21,v23.2.60
20,3,RRU,RRU-LON-MAC-0003-B,Samsung,Samsung Mid-Band Radio,SN273265999,5G,,121,Active,2023-01-21,v24.0.77
21,3,Antenna,ANT-LON-MAC-0003-B,Samsung,Samsung Massive MIMO,SN290306358,5G,,0,Active,2023-01-21,
22,3,gNodeB,gNB-LON-MAC-0003-C,Samsung,Samsung Compact Macro,SN674080176,5G NR,n78,65,Active,2023-01-21,v21.1.85
23,3,RRU,RRU-LON-MAC-0003-C,Samsung,Samsung 5G mmWave,SN827334609,5G,,134,Active,2023-01-21,v19.7.45
24,3,Antenna,ANT-LON-MAC-0003-C,Samsung,Samsung Massive MIMO,SN332650248,5G,,0,Active,2023-01-21,
25,4,BBU,BBU-LON-SMA-0004,Huawei,Huawei BBU5900,SN824823116,5G,,472,Active,2019-10-20,v19.7.89
26,4,gNodeB,gNB-LON-SMA-0004-A,Huawei,Huawei AAU5613,SN788281593,5G NR,n1,46,Active,2019-10-20,v23.4.56
27,4,RRU,RRU-LON-SMA-0004-A,Huawei,Huawei RRU5301,SN742318110,5G,,100,Active,2019-10-20,v18.6.98
28,4,Antenna,ANT-LON-SMA-0004-A,Huawei,Huawei AAU3940,SN368113097,5G,,0,Active,2019-10-20,
29,4,gNodeB,gNB-LON-SMA-0004-B,Huawei,Huawei AAU5239,SN314733002,5G NR,n77,45,Active,2019-10-20,v20.6.3
30,4,RRU,RRU-LON-SMA-0004-B,Huawei,Huawei RRU5301,SN461976234,5G,,124,Active,2019-10-20,v23.1.28
31,4,Antenna,ANT-LON-SMA-0004-B,Huawei,Huawei AAU3940,SN955690804,5G,,0,Active,2019-10-20,
32,5,BBU,BBU-LON-MAC-0005,Huawei,Huawei BBU5900,SN877401428,4G/5G,,285,Active,2021-05-14,v18.6.65
33,5,gNodeB,gNB-LON-MAC-0005-A,Huawei,Huawei AAU5613,SN446474552,5G NR,n28,75,Active,2021-05-14,v21.9.26
34,5,eNodeB,eNB-LON-MAC-0005-A,Huawei,Huawei DBS3900,SN229712269,4G LTE,B7,37,Active,2021-05-14,v17.1.45
35,5,RRU,RRU-LON-MAC-0005-A,Huawei,Huawei RRU3971,SN286424733,4G/5G,,101,Active,2021-05-14,v21.5.1
36,5,Antenna,ANT-LON-MAC-0005-A,Huawei,Huawei APUS13M,SN328457837,4G/5G,,0,Active,2021-05-14,
37,5,gNodeB,gNB-LON-MAC-0005-B,Huawei,Huawei AAU5239,SN170884445,5G NR,n77,57,Active,2021-05-14,v24.5.5
38,5,eNodeB,eNB-LON-MAC-0005-B,Huawei,Huawei BTS3900,SN541411867,4G LTE,B3,39,Active,2021-05-14,v22.9.63
39,5,RRU,RRU-LON-MAC-0005-B,Huawei,Huawei RRU5301,SN865074455,4G/5G,,168,Active,2021-05-14,v24.9.21
40,5,Antenna,ANT-LON-MAC-0005-B,Huawei,Huawei APUS13M,SN201731201,4G/5G,,0,Active,2021-05-14,
41,5,gNodeB,gNB-LON-MAC-0005-C,Huawei,Huawei AAU5611,SN777395712,5G NR,n28,64,Active,2021-05-14,v21.5.22
42,5,eNodeB,eNB-LON-MAC-0005-C,Huawei,Huawei DBS3900,SN172492053,4G LTE,B7,40,Active,2021-05-14,v16.9.74
43,5,RRU,RRU-LON-MAC-0005-C,Huawei,Huawei RRU3971,SN510568162,4G/5G,,165,Active,2021-05-14,v23.3.64
44,5,Antenna,ANT-LON-MAC-0005-C,Huawei,Huawei AAU3940,SN349758689,4G/5G,,0,Active,2021-05-14,
45,5,gNodeB,gNB-LON-MAC-0005-D,Huawei,Huawei AAU5613,SN914906726,5G NR,n1,47,Active,2021-05-14,v22.3.94
46,5,eNodeB,eNB-LON-MAC-0005-D,Huawei,Huawei DBS3900,SN765468920,4G LTE,B3,32,Active,2021-05-14,v16.2.47
47,5,RRU,RRU-LON-MAC-0005-D,Huawei,Huawei RRU3971,SN418487640,4G/5G,,125,Active,2021-05-14,v19.6.26
48,5,Antenna,ANT-LON-MAC-0005-D,Huawei,Huawei AAU3940,SN355619239,4G/5G,,0,Active,2021-05-14,
49,5,gNodeB,gNB-LON-MAC-0005-E,Huawei,Huawei AAU5611,SN576447381,5G NR,n1,61,Active,2021-05-14,v21.4.40
50,5,eNodeB,eNB-LON-MAC-0005-E,Huawei,Huawei BTS3900,SN795834545,4G LTE,B7,56,Active,2021-05-14,v18.0.29
51,5,RRU,RRU-LON-MAC-0005-E,Huawei,Huawei RRU3971,SN468001834,4G/5G,,131,Active,2021-05-14,v19.8.6
52,5,Antenna,ANT-LON-MAC-0005-E,Huawei,Huawei AAU3940,SN960552321,4G/5G,,0,Active,2021-05-14,
53,5,gNodeB,gNB-LON-MAC-0005-F,Huawei,Huawei AAU5611,SN752902881,5G NR,n77,64,Active,2021-05-14,v24.5.23
54,5,eNodeB,eNB-LON-MAC-0005-F,Huawei,Huawei DBS3900,SN169381847,4G LTE,B20,57,Active,2021-05-14,v19.1.24
55,5,RRU,RRU-LON-MAC-0005-F,Huawei,Huawei RRU5301,SN781146329,4G/5G,,118,Active,2021-05-14,v19.2.11
56,5,Antenna,ANT-LON-MAC-0005-F,Huawei,Huawei AAU3940,SN736332312,4G/5G,,0,Active,2021-05-14,
57,6,BBU,BBU-LON-MAC-0006,Huawei,Huawei BBU5900,SN353736066,5G,,459,Active,2020-07-20,v18.6.92
58,6,gNodeB,gNB-LON-MAC-0006-A,Huawei,Huawei AAU5239,SN276264180,5G NR,n28,52,Active,2020-07-20,v21.6.22
59,6,RRU,RRU-LON-MAC-0006-A,Huawei,Huawei RRU5301,SN425451904,5G,,136,Active,2020-07-20,v22.7.81
60,6,Antenna,ANT-LON-MAC-0006-A,Huawei,Huawei AAU3940,SN391908293,5G,,0,Active,2020-07-20,
61,6,gNodeB,gNB-LON-MAC-0006-B,Huawei,Huawei AAU5239,SN486098163,5G NR,n78,65,Active,2020-07-20,v23.2.60
62,6,RRU,RRU-LON-MAC-0006-B,Huawei,Huawei RRU3971,SN553867727,5G,,164,Active,2020-07-20,v22.6.97
63,6,Antenna,ANT-LON-MAC-0006-B,Huawei,Huawei AAU3940,SN980042882,5G,,0,Active,2020-07-20,
64,6,gNodeB,gNB-LON-MAC-0006-C,Huawei,Huawei AAU5239,SN918115357,5G NR,n78,64,Active,2020-07-20,v23.1.97
65,6,RRU,RRU-LON-MAC-0006-C,Huawei,Huawei RRU3971,SN739073265,5G,,168,Active,2020-07-20,v19.8.93
66,6,Antenna,ANT-LON-MAC-0006-C,Huawei,Huawei AAU3940,SN376264887,5G,,0,Active,2020-07-20,
67,6,gNodeB,gNB-LON-MAC-0006-D,Huawei,Huawei AAU5239,SN428401021,5G NR,n258,69,Active,2020-07-20,v22.6.71
68,6,RRU,RRU-LON-MAC-0006-D,Huawei,Huawei RRU3971,SN177244613,5G,,142,Active,2020-07-20,v19.7.25
69,6,Antenna,ANT-LON-MAC-0006-D,Huawei,Huawei AAU3940,SN303609169,5G,,0,Active,2020-07-20,
70,6,gNodeB,gNB-LON-MAC-0006-E,Huawei,Huawei AAU5613,SN637622321,5G NR,n78,63,Active,2020-07-20,v23.6.53
71,6,RRU,RRU-LON-MAC-0006-E,Huawei,Huawei RRU3971,SN896924722,5G,,147,Active,2020-07-20,v21.7.39
72,6,Antenna,ANT-LON-MAC-0006-E,Huawei,Huawei AAU3940,SN538932325,5G,,0,Active,2020-07-20,
73,6,gNodeB,gNB-LON-MAC-0006-F,Huawei,Huawei AAU5613,SN513203779,5G NR,n78,76,Active,2020-07-20,v21.3.97
74,6,RRU,RRU-LON-MAC-0006-F,Huawei,Huawei RRU3971,SN374081636,5G,,198,Active,2020-07-20,v24.5.65
75,6,Antenna,ANT-LON-MAC-0006-F,Huawei,Huawei APUS13M,SN781804304,5G,,0,Active,2020-07-20,
76,7,BBU,BBU-LON-SMA-0007,Huawei,Huawei BBU3910,SN847813304,4G,,229,Active,2022-08-24,v23.6.54
77,7,eNodeB,eNB-LON-SMA-0007-A,Huawei,Huawei BTS3900,SN612953915,4G LTE,B3,31,Active,2022-08-24,v22.5.80
78,7,RRU,RRU-LON-SMA-0007-A,Huawei,Huawei RRU5301,SN848904238,4G,,185,Active,2022-08-24,v23.2.33
79,7,Antenna,ANT-LON-SMA-0007-A,Huawei,Huawei APUS13M,SN831289574,4G,,0,Active,2022-08-24,
80,8,BBU,BBU-LON-ROO-0008,Nokia,Nokia AirScale Baseband,SN373039702,5G,,326,Active,2020-09-18,v22.9.84
81,8,gNodeB,gNB-LON-ROO-0008-A,Nokia,Nokia AirScale,SN225338571,5G NR,n78,45,Active,2020-09-18,v23.6.90
82,8,RRU,RRU-LON-ROO-0008-A,Nokia,Nokia AHFIB,SN656774907,5G,,124,Active,2020-09-18,v21.2.54
83,8,Antenna,ANT-LON-ROO-0008-A,Nokia,Nokia MIMO Antenna 8T8R,SN842854111,5G,,0,Active,2020-09-18,
84,8,gNodeB,gNB-LON-ROO-0008-B,Nokia,Nokia AEQC,SN672520551,5G NR,n1,64,Active,2020-09-18,v24.4.93
85,8,RRU,RRU-LON-ROO-0008-B,Nokia,Nokia AHHF,SN907950191,5G,,193,Active,2020-09-18,v24.1.13
86,8,Antenna,ANT-LON-ROO-0008-B,Nokia,Nokia MIMO Antenna 8T8R,SN974270684,5G,,0,Active,2020-09-18,
87,9,BBU,BBU-LON-DAS-0009,Huawei,Huawei BBU5900,SN388859459,5G,,307,Active,2024-06-13,v23.6.89
88,9,gNodeB,gNB-LON-DAS-0009-A,Huawei,Huawei AAU5239,SN280816719,5G NR,n78,71,Active,2024-06-13,v20.1.8
89,9,RRU,RRU-LON-DAS-0009-A,Huawei,Huawei RRU3971,SN663673646,5G,,153,Active,2024-06-13,v23.4.93
90,9,Antenna,ANT-LON-DAS-0009-A,Huawei,Huawei APUS13M,SN283217137,5G,,0,Active,2024-06-13,
91,9,gNodeB,gNB-LON-DAS-0009-B,Huawei,Huawei AAU5613,SN300145519,5G NR,n28,48,Active,2024-06-13,v21.7.23
92,9,RRU,RRU-LON-DAS-0009-B,Huawei,Huawei RRU5301,SN583893332,5G,,172,Active,2024-06-13,v24.3.23
93,9,Antenna,ANT-LON-DAS-0009-B,Huawei,Huawei AAU3940,SN163331510,5G,,0,Active,2024-06-13,
94,9,gNodeB,gNB-LON-DAS-0009-C,Huawei,Huawei AAU5611,SN968848930,5G NR,n77,52,Active,2024-06-13,v22.6.56
95,9,RRU,RRU-LON-DAS-0009-C,Huawei,Huawei RRU5301,SN783365422,5G,,121,Active,2024-06-13,v18.4.10
96,9,Antenna,ANT-LON-DAS-0009-C,Huawei,Huawei APUS13M,SN233875825,5G,,0,Active,2024-06-13,
97,10,BBU,BBU-LON-DAS-0010,Huawei,Huawei BBU3910,SN169001266,5G,,375,Offline,2023-06-23,v18.9.30
98,10,gNodeB,gNB-LON-DAS-0010-A,Huawei,Huawei AAU5239,SN822418424,5G NR,n258,46,Offline,2023-06-23,v20.0.34
99,10,RRU,RRU-LON-DAS-0010-A,Huawei,Huawei RRU5301,SN814384353,5G,,174,Offline,2023-06-23,v24.0.12
100,10,Antenna,ANT-LON-DAS-0010-A,Huawei,Huawei AAU3940,SN660852445,5G,,0,Offline,2023-06-23,
101,11,BBU,BBU-LON-MAC-0011,Huawei,Huawei BBU5900,SN503368085,5G,,466,Active,2019-05-09,v24.4.62
102,11,gNodeB,gNB-LON-MAC-0011-A,Huawei,Huawei AAU5239,SN748939011,5G NR,n28,67,Active,2019-05-09,v22.5.87
103,11,RRU,RRU-LON-MAC-0011-A,Huawei,Huawei RRU3971,SN438468976,5G,,130,Active,2019-05-09,v20.6.48
104,11,Antenna,ANT-LON-MAC-0011-A,Huawei,Huawei AAU3940,SN482283477,5G,,0,Active,2019-05-09,
105,11,gNodeB,gNB-LON-MAC-0011-B,Huawei,Huawei AAU5239,SN103312131,5G NR,n78,69,Active,2019-05-09,v23.2.3
106,11,RRU,RRU-LON-MAC-0011-B,Huawei,Huawei RRU5301,SN669758914,5G,,135,Active,2019-05-09,v23.3.47
107,11,Antenna,ANT-LON-MAC-0011-B,Huawei,Huawei APUS13M,SN763950073,5G,,0,Active,2019-05-09,
108,11,gNodeB,gNB-LON-MAC-0011-C,Huawei,Huawei AAU5611,SN652884702,5G NR,n258,66,Active,2019-05-09,v21.0.81
109,11,RRU,RRU-LON-MAC-0011-C,Huawei,Huawei RRU3971,SN117856651,5G,,181,Active,2019-05-09,v20.0.94
110,11,Antenna,ANT-LON-MAC-0011-C,Huawei,Huawei APUS13M,SN827921175,5G,,0,Active,2019-05-09,
111,12,BBU,BBU-LON-SMA-0012,Ericsson,Ericsson Baseband 6648,SN350781693,5G,,448,Active,2023-10-01,v21.9.10
112,12,gNodeB,gNB-LON-SMA-0012-A,Ericsson,Ericsson AIR 3246,SN611232011,5G NR,n258,46,Active,2023-10-01,v23.4.77
113,12,RRU,RRU-LON-SMA-0012-A,Ericsson,Ericsson Radio 2219,SN864441874,5G,,118,Active,2023-10-01,v24.8.73
114,12,Antenna,ANT-LON-SMA-0012-A,Ericsson,Ericsson AIR 6488,SN237290086,5G,,0,Active,2023-10-01,
115,12,gNodeB,gNB-LON-SMA-0012-B,Ericsson,Ericsson Radio 4422,SN423570275,5G NR,n78,75,Active,2023-10-01,v23.2.57
116,12,RRU,RRU-LON-SMA-0012-B,Ericsson,Ericsson Radio 2219,SN617724535,5G,,184,Active,2023-10-01,v22.3.31
117,12,Antenna,ANT-LON-SMA-0012-B,Ericsson,Ericsson AIR 6488,SN283001054,5G,,0,Active,2023-10-01,
118,13,BBU,BBU-LON-MAC-0013,Ericsson,Ericsson Baseband 6630,SN213247207,5G,,422,Active,2020-02-06,v23.0.20
119,13,gNodeB,gNB-LON-MAC-0013-A,Ericsson,Ericsson AIR 3246,SN922817838,5G NR,n258,57,Active,2020-02-06,v21.4.85
120,13,RRU,RRU-LON-MAC-0013-A,Ericsson,Ericsson Radio 4478,SN820052632,5G,,115,Active,2020-02-06,v23.2.68
121,13,Antenna,ANT-LON-MAC-0013-A,Ericsson,Ericsson Antenna 8843,SN197111094,5G,,0,Active,2020-02-06,
122,13,gNodeB,gNB-LON-MAC-0013-B,Ericsson,Ericsson AIR 3246,SN718445315,5G NR,n77,78,Active,2020-02-06,v20.5.48
123,13,RRU,RRU-LON-MAC-0013-B,Ericsson,Ericsson Radio 4478,SN802140873,5G,,182,Active,2020-02-06,v24.8.55
124,13,Antenna,ANT-LON-MAC-0013-B,Ericsson,Ericsson AIR 6488,SN340035882,5G,,0,Active,2020-02-06,
125,13,gNodeB,gNB-LON-MAC-0013-C,Ericsson,Ericsson AIR 3246,SN412433640,5G NR,n78,45,Active,2020-02-06,v20.1.43
126,13,RRU,RRU-LON-MAC-0013-C,Ericsson,Ericsson Radio 2219,SN899527218,5G,,114,Active,2020-02-06,v22.5.16
127,13,Antenna,ANT-LON-MAC-0013-C,Ericsson,Ericsson Antenna 8843,SN508231386,5G,,0,Active,2020-02-06,
128,13,gNodeB,gNB-LON-MAC-0013-D,Ericsson,Ericsson AIR 6449,SN166448444,5G NR,n28,77,Active,2020-02-06,v24.3.49
129,13,RRU,RRU-LON-MAC-0013-D,Ericsson,Ericsson Radio 4478,SN443214044,5G,,198,Active,2020-02-06,v20.2.66
130,13,Antenna,ANT-LON-MAC-0013-D,Ericsson,Ericsson AIR 6488,SN214445764,5G,,0,Active,2020-02-06,
131,13,gNodeB,gNB-LON-MAC-0013-E,Ericsson,Ericsson Radio 4422,SN677987641,5G NR,n78,69,Active,2020-02-06,v22.2.37
132,13,RRU,RRU-LON-MAC-0013-E,Ericsson,Ericsson Radio 2219,SN636691235,5G,,187,Active,2020-02-06,v21.2.76
133,13,Antenna,ANT-LON-MAC-0013-E,Ericsson,Ericsson Antenna 8843,SN256627467,5G,,0,Active,2020-02-06,
134,13,gNodeB,gNB-LON-MAC-0013-F,Ericsson,Ericsson AIR 6449,SN443747017,5G NR,n1,59,Active,2020-02-06,v24.1.35
135,13,RRU,RRU-LON-MAC-0013-F,Ericsson,Ericsson Radio 4478,SN777613840,5G,,127,Active,2020-02-06,v21.4.90
136,13,Antenna,ANT-LON-MAC-0013-F,Ericsson,Ericsson Antenna 8843,SN163149529,5G,,0,Active,2020-02-06,
137,14,BBU,BBU-LON-ROO-0014,Samsung,Samsung vRAN,SN263962774,5G,,307,Active,2023-09-29,v24.3.89
138,14,gNodeB,gNB-LON-ROO-0014-A,Samsung,Samsung 5G RAN,SN623454129,5G NR,n77,65,Active,2023-09-29,v22.2.2
139,14,RRU,RRU-LON-ROO-0014-A,Samsung,Samsung Mid-Band Radio,SN462291384,5G,,154,Active,2023-09-29,v23.7.44
140,14,Antenna,ANT-LON-ROO-0014-A,Samsung,Samsung 8T8R Antenna,SN519900806,5G,,0,Active,2023-09-29,
141,15,BBU,BBU-LON-MAC-0015,Samsung,Samsung BBU,SN666768643,5G,,344,Active,2024-09-11,v20.3.89
142,15,gNodeB,gNB-LON-MAC-0015-A,Samsung,Samsung Compact Macro,SN240553542,5G NR,n78,60,Active,2024-09-11,v24.0.90
143,15,RRU,RRU-LON-MAC-0015-A,Samsung,Samsung Mid-Band Radio,SN591271783,5G,,183,Active,2024-09-11,v19.9.17
144,15,Antenna,ANT-LON-MAC-0015-A,Samsung,Samsung 8T8R Antenna,SN847276554,5G,,0,Active,2024-09-11,
145,15,gNodeB,gNB-LON-MAC-0015-B,Samsung,Samsung Compact Macro,SN255502389,5G NR,n28,53,Active,2024-09-11,v21.3.94
146,15,RRU,RRU-LON-MAC-0015-B,Samsung,Samsung 5G mmWave,SN488936964,5G,,192,Active,2024-09-11,v24.9.13
147,15,Antenna,ANT-LON-MAC-0015-B,Samsung,Samsung Massive MIMO,SN504323699,5G,,0,Active,2024-09-11,
148,15,gNodeB,gNB-LON-MAC-0015-C,Samsung,Samsung Compact Macro,SN160485496,5G NR,n77,46,Active,2024-09-11,v22.7.22
149,15,RRU,RRU-LON-MAC-0015-C,Samsung,Samsung 5G mmWave,SN226000213,5G,,165,Active,2024-09-11,v23.5.75
150,15,Antenna,ANT-LON-MAC-0015-C,Samsung,Samsung 8T8R Antenna,SN259524021,5G,,0,Active,2024-09-11,
151,15,gNodeB,gNB-LON-MAC-0015-D,Samsung,Samsung Compact Macro,SN136499524,5G NR,n77,47,Active,2024-09-11,v21.6.62
152,15,RRU,RRU-LON-MAC-0015-D,Samsung,Samsung Mid-Band Radio,SN838717308,5G,,176,Active,2024-09-11,v19.6.99
153,15,Antenna,ANT-LON-MAC-0015-D,Samsung,Samsung Massive MIMO,SN935082100,5G,,0,Active,2024-09-11,
154,15,gNodeB,gNB-LON-MAC-0015-E,Samsung,Samsung Compact Macro,SN395510969,5G NR,n258,80,Active,2024-09-11,v23.5.1
155,15,RRU,RRU-LON-MAC-0015-E,Samsung,Samsung 5G mmWave,SN225227973,5G,,110,Active,2024-09-11,v18.7.82
156,15,Antenna,ANT-LON-MAC-0015-E,Samsung,Samsung Massive MIMO,SN124724799,5G,,0,Active,2024-09-11,
157,15,gNodeB,gNB-LON-MAC-0015-F,Samsung,Samsung Compact Macro,SN844882463,5G NR,n28,46,Active,2024-09-11,v24.2.49
158,15,RRU,RRU-LON-MAC-0015-F,Samsung,Samsung Mid-Band Radio,SN792130377,5G,,189,Active,2024-09-11,v21.4.73
159,15,Antenna,ANT-LON-MAC-0015-F,Samsung,Samsung Massive MIMO,SN206774236,5G,,0,Active,2024-09-11,
160,16,BBU,BBU-LON-SMA-0016,Nokia,Nokia Cloud RAN,SN168180783,5G,,475,Active,2021-04-16,v19.6.89
161,16,gNodeB,gNB-LON-SMA-0016-A,Nokia,Nokia AirScale,SN697065054,5G NR,n258,74,Active,2021-04-16,v24.7.8
162,16,RRU,RRU-LON-SMA-0016-A,Nokia,Nokia AHFIB,SN909073286,5G,,196,Active,2021-04-16,v19.1.23
163,16,Antenna,ANT-LON-SMA-0016-A,Nokia,Nokia AirScale Antenna,SN105716605,5G,,0,Active,2021-04-16,
164,16,gNodeB,gNB-LON-SMA-0016-B,Nokia,Nokia AWHQA,SN959544263,5G NR,n258,60,Active,2021-04-16,v20.0.16
165,16,RRU,RRU-LON-SMA-0016-B,Nokia,Nokia AHFIB,SN800767402,5G,,120,Active,2021-04-16,v18.8.32
166,16,Antenna,ANT-LON-SMA-0016-B,Nokia,Nokia AirScale Antenna,SN190849645,5G,,0,Active,2021-04-16,
167,16,gNodeB,gNB-LON-SMA-0016-C,Nokia,Nokia AirScale,SN420595601,5G NR,n1,63,Active,2021-04-16,v24.2.54
168,16,RRU,RRU-LON-SMA-0016-C,Nokia,Nokia AHFIB,SN366649918,5G,,138,Active,2021-04-16,v18.8.37
169,16,Antenna,ANT-LON-SMA-0016-C,Nokia,Nokia MIMO Antenna 8T8R,SN250168209,5G,,0,Active,2021-04-16,
170,17,BBU,BBU-LON-ROO-0017,Nokia,Nokia Cloud RAN,SN846359545,5G,,360,Active,2024-09-03,v22.5.77
171,17,gNodeB,gNB-LON-ROO-0017-A,Nokia,Nokia AWHQA,SN325313451,5G NR,n1,46,Active,2024-09-03,v20.3.4
172,17,RRU,RRU-LON-ROO-0017-A,Nokia,Nokia AHFIB,SN252114137,5G,,138,Active,2024-09-03,v24.3.17
173,17,Antenna,ANT-LON-ROO-0017-A,Nokia,Nokia AirScale Antenna,SN735422310,5G,,0,Active,2024-09-03,
174,17,gNodeB,gNB-LON-ROO-0017-B,Nokia,Nokia AEQC,SN237967359,5G NR,n28,79,Active,2024-09-03,v23.1.70
175,17,RRU,RRU-LON-ROO-0017-B,Nokia,Nokia AHHF,SN379897048,5G,,148,Active,2024-09-03,v23.2.51
176,17,Antenna,ANT-LON-ROO-0017-B,Nokia,Nokia MIMO Antenna 8T8R,SN189393380,5G,,0,Active,2024-09-03,
177,18,BBU,BBU-LON-ROO-0018,Nokia,Nokia Cloud RAN,SN826413906,5G,,417,Active,2020-07-04,v23.2.68
178,18,gNodeB,gNB-LON-ROO-0018-A,Nokia,Nokia AirScale,SN775993707,5G NR,n78,57,Active,2020-07-04,v21.5.72
179,18,RRU,RRU-LON-ROO-0018-A,Nokia,Nokia AHFIB,SN550634913,5G,,119,Active,2020-07-04,v20.6.48
180,18,Antenna,ANT-LON-ROO-0018-A,Nokia,Nokia AirScale Antenna,SN748118351,5G,,0,Active,2020-07-04,
181,19,BBU,BBU-LON-SMA-0019,Huawei,Huawei BBU5900,SN183241401,4G/5G,,338,Active,2022-02-07,v18.8.14
182,19,gNodeB,gNB-LON-SMA-0019-A,Huawei,Huawei AAU5611,SN536778058,5G NR,n1,44,Active,2022-02-07,v22.1.46
183,19,eNodeB,eNB-LON-SMA-0019-A,Huawei,Huawei DBS3900,SN257120244,4G LTE,B1,57,Active,2022-02-07,v22.3.35
184,19,RRU,RRU-LON-SMA-0019-A,Huawei,Huawei RRU5301,SN205169636,4G/5G,,148,Active,2022-02-07,v19.6.13
185,19,Antenna,ANT-LON-SMA-0019-A,Huawei,Huawei AAU3940,SN288690127,4G/5G,,0,Active,2022-02-07,
186,19,gNodeB,gNB-LON-SMA-0019-B,Huawei,Huawei AAU5611,SN732248231,5G NR,n28,71,Active,2022-02-07,v20.8.44
187,19,eNodeB,eNB-LON-SMA-0019-B,Huawei,Huawei DBS3900,SN752262668,4G LTE,B1,33,Active,2022-02-07,v16.2.40
188,19,RRU,RRU-LON-SMA-0019-B,Huawei,Huawei RRU3971,SN293995605,4G/5G,,144,Active,2022-02-07,v24.8.70
189,19,Antenna,ANT-LON-SMA-0019-B,Huawei,Huawei APUS13M,SN612026532,4G/5G,,0,Active,2022-02-07,
190,19,gNodeB,gNB-LON-SMA-0019-C,Huawei,Huawei AAU5611,SN378164668,5G NR,n77,40,Active,2022-02-07,v24.2.84
191,19,eNodeB,eNB-LON-SMA-0019-C,Huawei,Huawei BTS3900,SN506734117,4G LTE,B3,48,Active,2022-02-07,v21.4.6
192,19,RRU,RRU-LON-SMA-0019-C,Huawei,Huawei RRU3971,SN859674935,4G/5G,,199,Active,2022-02-07,v19.9.53
193,19,Antenna,ANT-LON-SMA-0019-C,Huawei,Huawei APUS13M,SN296606987,4G/5G,,0,Active,2022-02-07,
194,20,BBU,BBU-LON-MAC-0020,Ericsson,Ericsson Baseband 6648,SN480106125,5G,,439,Active,2020-08-29,v22.4.35
195,20,gNodeB,gNB-LON-MAC-0020-A,Ericsson,Ericsson Radio 4422,SN871447859,5G NR,n1,54,Active,2020-08-29,v22.1.39
196,20,RRU,RRU-LON-MAC-0020-A,Ericsson,Ericsson Radio 4478,SN927402258,5G,,140,Active,2020-08-29,v24.1.81
197,20,Antenna,ANT-LON-MAC-0020-A,Ericsson,Ericsson AIR 6488,SN182348704,5G,,0,Active,2020-08-29,
198,20,gNodeB,gNB-LON-MAC-0020-B,Ericsson,Ericsson AIR 6419,SN277288866,5G NR,n78,76,Active,2020-08-29,v20.1.95
