contract_id,customer_key,account_name,industry,region,contract_type,contract_start_date,contract_end_date,contract_term_months,annual_contract_value,total_contract_value,renewal_status,renewal_probability,days_to_renewal,competitor_threat,competitor_name,proposed_change,proposed_value_change,account_manager,nps_score,support_tickets_ytd,last_engagement_date
CON000103,2668,Enterprise Customer 103,Education,South East,UCaaS,2023-03-17,2024-03-11,12,168237.05,168237.05,Renewed,0.7,0,Low,Three,,,AM044,2,46,2025-12-25
CON000104,2662,Enterprise Customer 104,Professional Services,Yorkshire,IoT Connectivity,2023-01-30,2026-01-14,36,30063.62,90190.86,Renewed,0.93,0,Low,Vodafone,,,AM034,5,23,2026-01-06
CON000105,2319,Enterprise Customer 105,Financial Services,Yorkshire,CCaaS,2024-12-24,2025-12-19,12,354622.66,354622.66,Renewed,0.75,0,None,,,,AM017,3,32,2025-11-09
CON000106,1348,Enterprise Customer 106,Hospitality,West Midlands,CCaaS,2023-11-03,2025-10-23,24,311000.55,622001.1,Renewed,0.88,0,None,,,,AM034,3,50,2025-12-19
CON000107,3220,Enterprise Customer 107,Education,South East,Business Broadband,2023-11-24,2024-11-18,12,63942.22,63942.22,Renewed,0.72,0,None,,,,AM017,6,9,2025-11-25
CON000108,4037,Enterprise Customer 108,Technology,East,CCaaS,2024-11-23,2026-11-13,24,466978.23,933956.46,Active,0.8,288,Medium,Vodafone,,,AM028,6,1,2025-11-10
CON000109,3634,Enterprise Customer 109,Professional Services,Yorkshire,Business Broadband,2023-11-02,2028-10-06,60,9201.89,46009.45,Active,0.69,981,Medium,Vodafone,,,AM006,4,32,2026-01-10
CON000110,2354,Enterprise Customer 110,Financial Services,Scotland,SD-WAN,2023-08-12,2025-08-01,24,68372.49,136744.98,Churned,0.82,0,None,,,,AM016,4,27,2026-01-10
CON000111,2294,Enterprise Customer 111,Education,Northern Ireland,IoT Connectivity,2023-10-31,2028-10-04,60,91918.59,459592.95,Active,0.95,979,None,,,,AM005,6,17,2025-11-19
CON000112,1808,Enterprise Customer 112,Hospitality,Yorkshire,Managed Security,2023-01-16,2025-12-31,36,123832.51,371497.53,Renewed,0.8,0,Low,BT,,,AM032,4,4,2026-01-16
CON000113,2694,Enterprise Customer 113,Technology,Northern Ireland,SIP Trunking,2024-05-29,2027-05-14,36,68032.77,204098.31,Active,0.84,470,None,,,,AM011,1,25,2025-12-02
CON000114,4323,Enterprise Customer 114,Financial Services,Scotland,Business Mobile,2024-08-02,2029-07-07,60,61728.07,308640.35,Active,0.82,1255,Low,Vodafone,,,AM010,1,50,2026-01-21
CON000115,2692,Enterprise Customer 115,Education,West Midlands,Business Broadband,2023-03-31,2028-03-04,60,45350.81,226754.05,Active,0.88,765,None,,,,AM039,10,50,2026-01-27
CON000116,2428,Enterprise Customer 116,Transport,West Midlands,CCaaS,2024-06-30,2026-06-20,24,96948.62,193897.24,Active,0.72,142,None,,,,AM020,6,5,2025-12-26
CON000117,3867,Enterprise Customer 117,Education,North West,SD-WAN,2024-05-02,2026-04-22,24,269786.9,539573.8,In Negotiation,0.52,83,High,TalkTalk,Upgrade,100614.66,AM033,4,31,2025-11-02
CON000118,4968,Enterprise Customer 118,Manufacturing,South East,CCaaS,2023-10-13,2026-09-27,36,461465.38,1384396.14,Active,0.99,241,Low,BT,,,AM041,8,30,2025-11-30
CON000119,933,Enterprise Customer 119,Manufacturing,Northern Ireland,Business Mobile,2024-07-05,2029-06-09,60,47117.15,235585.75,Active,0.87,1227,None,,,,AM040,6,44,2025-12-22
CON000120,1184,Enterprise Customer 120,Technology,London,IoT Connectivity,2024-01-11,2026-12-26,36,61889.49,185668.47,Active,0.83,331,None,,,,AM011,10,23,2025-12-25
CON000121,4845,Enterprise Customer 121,Hospitality,London,SD-WAN,2024-10-31,2026-10-21,24,204307.22,408614.44,Active,0.51,265,High,TalkTalk,,,AM027,2,18,2025-12-05
CON000122,3475,Enterprise Customer 122,Technology,Yorkshire,SIP Trunking,2023-11-08,2024-11-02,12,85414.79,85414.79,Renewed,0.92,0,Low,TalkTalk,,,AM015,6,25,2025-12-22
CON000123,3648,Enterprise Customer 123,Hospitality,West Midlands,Business Mobile,2024-10-26,2027-10-11,36,34640.23,103920.69,Active,0.84,620,None,,,,AM010,9,5,2025-12-24
CON000124,936,Enterprise Customer 124,Financial Services,Wales,Managed Security,2024-11-07,2025-11-02,12,280369.4,280369.4,Renewed,0.87,0,None,,,,AM018,7,28,2025-11-08
CON000125,746,Enterprise Customer 125,Financial Services,Northern Ireland,IoT Connectivity,2023-10-19,2026-10-03,36,86211.64,258634.92,Active,0.99,247,None,,,,AM027,9,46,2025-12-07
CON000126,2675,Enterprise Customer 126,Hospitality,Yorkshire,CCaaS,2024-06-23,2026-06-13,24,17337.48,34674.96,Active,0.76,135,None,,,,AM045,10,32,2025-12-22
CON000127,1959,Enterprise Customer 127,Financial Services,South West,Managed Security,2023-11-11,2025-10-31,24,211298.29,422596.58,Renewed,0.7,0,None,,,,AM006,6,33,2026-01-03
CON000128,1673,Enterprise Customer 128,Education,West Midlands,IoT Connectivity,2023-10-30,2028-10-03,60,83754.02,418770.1,Active,0.99,978,None,,,,AM012,9,33,2026-01-23
CON000129,4510,Enterprise Customer 129,Financial Services,South West,SD-WAN,2024-10-07,2026-09-27,24,203333.74,406667.48,Active,0.8,241,None,,,,AM044,10,11,2026-01-03
CON000130,3064,Enterprise Customer 130,Education,East,CCaaS,2024-05-04,2026-04-24,24,52606.22,105212.44,Pending Renewal,0.63,85,Medium,Vodafone,Same,0.0,AM012,10,44,2026-01-23
CON000131,1851,Enterprise Customer 131,Hospitality,West Midlands,Business Broadband,2023-04-19,2026-04-03,36,71728.07,215184.21,Renewed,0.82,64,Medium,BT,,,AM032,2,9,2025-11-25
CON000132,2093,Enterprise Customer 132,Government,Northern Ireland,Managed Security,2023-09-17,2028-08-21,60,20805.16,104025.8,Active,0.74,935,Medium,BT,,,AM012,3,15,2025-10-30
CON000133,4632,Enterprise Customer 133,Retail,South East,UCaaS,2023-11-28,2028-11-01,60,498816.16,2494080.8,Active,0.77,1007,None,,,,AM035,10,46,2026-01-11
CON000134,2117,Enterprise Customer 134,Professional Services,Scotland,UCaaS,2023-12-11,2026-11-25,36,241936.07,725808.21,Active,0.86,300,Low,TalkTalk,,,AM043,1,13,2025-12-10
CON000135,1786,Enterprise Customer 135,Education,London,IoT Connectivity,2023-08-03,2025-07-23,24,40569.53,81139.06,Renewed,0.6,0,Medium,Three,,,AM015,3,5,2025-12-15
CON000136,2432,Enterprise Customer 136,Education,North West,Managed Security,2023-02-12,2024-02-07,12,114025.6,114025.6,Renewed,0.64,0,Medium,BT,,,AM031,1,37,2025-11-02
CON000137,4624,Enterprise Customer 137,Professional Services,Northern Ireland,UCaaS,2023-09-12,2025-09-01,24,331195.86,662391.72,Renewed,0.5,0,High,BT,,,AM020,5,7,2026-01-08
CON000138,1810,Enterprise Customer 138,Transport,East,CCaaS,2023-09-19,2026-09-03,36,417642.53,1252927.59,Active,0.78,217,None,,,,AM007,8,44,2026-01-02
CON000139,1205,Enterprise Customer 139,Professional Services,Northern Ireland,SIP Trunking,2024-08-12,2025-08-07,12,68929.16,68929.16,Renewed,0.87,0,Low,BT,,,AM013,4,37,2026-01-15
CON000140,1162,Enterprise Customer 140,Hospitality,South East,Managed Security,2023-10-28,2025-10-17,24,184879.38,369758.76,Renewed,0.93,0,None,,,,AM013,7,11,2026-01-25
CON000141,379,Enterprise Customer 141,Healthcare,East,Business Broadband,2024-10-05,2026-09-25,24,6107.72,12215.44,Active,0.86,239,None,,,,AM022,1,31,2026-01-07
CON000142,4237,Enterprise Customer 142,Technology,Northern Ireland,UCaaS,2024-10-09,2026-09-29,24,365217.85,730435.7,Active,0.6,243,Medium,Vodafone,,,AM040,7,41,2025-12-20
CON000143,3944,Enterprise Customer 143,Manufacturing,Scotland,Business Mobile,2024-11-07,2026-10-28,24,56406.06,112812.12,Active,0.86,272,None,,,,AM007,8,50,2026-01-12
CON000144,4808,Enterprise Customer 144,Government,London,UCaaS,2024-03-13,2027-02-26,36,199859.73,599579.19,Active,0.73,393,Medium,TalkTalk,,,AM026,9,21,2025-11-01
