range_id,prefix,range_start,range_end,block_size,number_type,status,allocated_date,utilization_pct
57,0113,0113862497,0113863496,1000,Geographic,Active,2018-02-01,17.8
58,0161,0161259585,0161269584,10000,Geographic,Reserved,2017-11-20,16.1
59,0121,0121135391,0121136390,1000,Geographic,Active,2022-12-01,87.3
60,0141,0141754236,0141764235,10000,Geographic,Reserved,2021-07-12,23.0
61,07900,07900204378,07900204477,100,Mobile,Active,2013-01-08,65.0
62,0121,0121854351,0121864350,10000,Geographic,Active,2015-05-07,94.7
63,0161,0161382202,0161383201,1000,Geographic,Quarantine,2014-04-16,71.4
64,0121,0121290870,0121290969,100,Geographic,Quarantine,2020-09-06,56.9
65,0121,0121251653,0121252652,1000,Geographic,Active,2018-12-24,19.2
66,0121,0121434885,0121444884,10000,Geographic,Active,2011-12-16,44.1
67,0121,0121810724,0121820723,10000,Geographic,Quarantine,2022-04-24,66.0
68,0117,0117375005,0117375104,100,Geographic,Active,2012-05-16,60.7
69,0207,0207104641,0207104740,100,Geographic,Quarantine,2014-01-08,96.1
70,0208,0208119551,0208119650,100,Geographic,Active,2014-04-24,16.8
71,07900,07900661189,07900671188,10000,Mobile,Reserved,2019-12-04,59.6
72,07700,07700453995,07700463994,10000,Mobile,Quarantine,2010-11-02,82.5
73,07700,07700668935,07700669034,100,Mobile,Reserved,2014-03-25,11.7
74,0207,0207274916,0207284915,10000,Geographic,Reserved,2013-09-04,23.3
75,07800,07800253715,07800254714,1000,Mobile,Active,2013-12-18,11.7
76,0141,0141844392,0141854391,10000,Geographic,Active,2013-10-28,95.6
77,0121,0121596368,0121606367,10000,Geographic,Active,2014-01-08,47.4
78,0208,0208136735,0208137734,1000,Geographic,Active,2017-10-05,61.4
79,07800,07800224694,07800225693,1000,Mobile,Active,2012-09-03,68.4
80,0207,0207868262,0207869261,1000,Geographic,Reserved,2016-03-06,98.4
81,0161,0161855782,0161855881,100,Geographic,Active,2011-08-22,42.9
82,07800,07800809780,07800810779,1000,Mobile,Active,2010-04-30,8.8
83,0141,0141200144,0141210143,10000,Geographic,Reserved,2023-08-26,89.0
84,0121,0121284669,0121285668,1000,Geographic,Active,2023-08-31,22.4
85,0121,0121132431,0121132530,100,Geographic,Reserved,2019-05-27,98.0
86,0161,0161484917,0161494916,10000,Geographic,Active,2015-09-01,43.1
87,07700,07700847416,07700847515,100,Mobile,Active,2010-05-01,60.5
88,0141,0141262789,0141263788,1000,Geographic,Reserved,2017-02-26,47.5
89,0131,0131786373,0131786472,100,Geographic,Active,2010-10-31,85.9
90,0141,0141364866,0141374865,10000,Geographic,Active,2016-12-28,87.5
91,07800,07800832870,07800832969,100,Mobile,Active,2017-03-28,20.3
92,0208,0208227461,0208237460,10000,Geographic,Active,2021-05-08,63.6
93,0151,0151604986,0151605985,1000,Geographic,Active,2020-04-03,18.7
94,0117,0117498336,0117498435,100,Geographic,Active,2018-08-04,91.9
95,0161,0161313577,0161313676,100,Geographic,Active,2018-02-11,2.1
96,0151,0151572512,0151582511,10000,Geographic,Active,2021-04-24,76.2
97,07900,07900813578,07900814577,1000,Mobile,Reserved,2020-04-26,16.0
98,0113,0113772699,0113782698,10000,Geographic,Reserved,2020-12-24,69.7
99,0113,0113398538,0113408537,10000,Geographic,Active,2023-08-01,5.7
100,07900,07900444886,07900454885,10000,Mobile,Quarantine,2022-06-12,42.4
101,0113,0113829703,0113830702,1000,Geographic,Quarantine,2018-01-11,66.5
102,0161,0161167970,0161177969,10000,Geographic,Quarantine,2019-12-03,54.9
103,0131,0131649087,0131659086,10000,Geographic,Active,2012-09-22,53.3
104,07900,07900433776,07900443775,10000,Mobile,Reserved,2023-12-17,37.0
105,0208,0208867398,0208868397,1000,Geographic,Active,2019-05-01,30.1
106,0151,0151299730,0151300729,1000,Geographic,Active,2022-07-22,56.5
107,0117,0117807043,0117807142,100,Geographic,Active,2017-11-21,0.1
108,0121,0121207167,0121207266,100,Geographic,Active,2020-05-20,21.9
109,07700,07700368967,07700369966,1000,Mobile,Active,2015-12-31,41.3
110,0208,0208531942,0208541941,10000,Geographic,Quarantine,2014-06-18,34.6
111,0113,0113613568,0113623567,10000,Geographic,Active,2014-10-29,91.3
112,0117,0117101085,0117102084,1000,Geographic,Active,2014-09-30,69.8
113,0161,0161635464,0161636463,1000,Geographic,Active,2014-04-11,15.6
114,07700,07700744774,07700744873,100,Mobile,Active,2012-04-22,21.5
115,0208,0208704349,0208704448,100,Geographic,Active,2012-06-07,72.3
116,0113,0113176310,0113176409,100,Geographic,Active,2021-08-02,39.6
117,0131,0131109380,0131110379,1000,Geographic,Active,2022-09-07,66.2
118,0117,0117294169,0117294268,100,Geographic,Active,2015-07-03,82.4
119,07900,07900730258,07900740257,10000,Mobile,Active,2012-07-28,45.7
120,0207,0207773969,0207774068,100,Geographic,Reserved,2023-09-24,43.5
121,07900,07900569482,07900569581,100,Mobile,Active,2010-01-08,91.2
122,0113,0113188994,0113189093,100,Geographic,Active,2022-06-30,17.0
123,0151,0151371311,0151371410,100,Geographic,Active,2019-05-21,35.6
124,0131,0131696400,0131697399,1000,Geographic,Active,2013-01-10,31.0
125,0208,0208414747,0208424746,10000,Geographic,Reserved,2016-07-11,2.9
126,0113,0113696760,0113706759,10000,Geographic,Active,2021-07-14,78.8
127,07900,07900826060,07900836059,10000,Mobile,Active,2017-06-02,91.5
128,0151,0151321624,0151331623,10000,Geographic,Quarantine,2018-01-10,5.2
129,0117,0117292159,0117293158,1000,Geographic,Reserved,2010-09-12,70.5
130,0141,0141793398,0141794397,1000,Geographic,Active,2010-10-25,29.5
131,0161,0161535840,0161535939,100,Geographic,Reserved,2015-11-16,14.5
132,07800,07800431163,07800431262,100,Mobile,Active,2014-07-08,55.3
133,0207,0207888677,0207889676,1000,Geographic,Active,2019-08-31,16.5
134,07800,07800810461,07800811460,1000,Mobile,Active,2024-11-30,91.6
135,0207,0207870076,0207871075,1000,Geographic,Active,2018-08-17,44.2
136,0208,0208243042,0208244041,1000,Geographic,Reserved,2019-02-25,43.5
137,0161,0161491456,0161491555,100,Geographic,Reserved,2017-04-23,66.7
138,07800,07800272953,07800282952,10000,Mobile,Active,2023-02-10,23.9
139,0121,0121886118,0121886217,100,Geographic,Active,2011-03-30,41.9
140,0161,0161267918,0161268017,100,Geographic,Active,2017-01-02,84.6
141,07900,07900185757,07900185856,100,Mobile,Active,2011-05-11,19.8
142,07700,07700841851,07700842850,1000,Mobile,Active,2021-12-06,39.5
143,0208,0208396092,0208406091,10000,Geographic,Active,2019-01-31,52.5
144,0141,0141111614,0141121613,10000,Geographic,Quarantine,2014-08-29,38.6
145,0131,0131463261,0131463360,100,Geographic,Active,2011-01-03,19.4
146,0141,0141360923,0141370922,10000,Geographic,Active,2014-03-20,20.4
147,0131,0131124700,0131124799,100,Geographic,Quarantine,2019-03-15,69.3
148,07900,07900451712,07900461711,10000,Mobile,Active,2024-12-12,0.9
149,07800,07800760569,07800770568,10000,Mobile,Active,2016-06-09,87.2
150,07900,07900281228,07900282227,1000,Mobile,Quarantine,2022-08-06,51.3
151,07800,07800440778,07800441777,1000,Mobile,Active,2011-04-24,18.3
152,0208,0208706520,0208707519,1000,Geographic,Active,2020-03-02,49.7
153,0131,0131638826,0131648825,10000,Geographic,Active,2018-06-04,74.6
154,0208,0208144131,0208145130,1000,Geographic,Active,2017-06-17,25.6
155,0121,0121606028,0121616027,10000,Geographic,Active,2013-01-05,57.3
156,0131,0131779569,0131780568,1000,Geographic,Active,2017-11-15,48.6
157,0131,0131497212,0131497311,100,Geographic,Active,2013-03-10,82.0
158,07900,07900625284,07900626283,1000,Mobile,Active,2010-01-23,87.9
159,0208,0208476150,0208477149,1000,Geographic,Active,2023-01-07,60.9
160,0151,0151702453,0151703452,1000,Geographic,Active,2021-05-23,83.4
161,07800,07800648734,07800648833,100,Mobile,Active,2019-07-30,23.8
162,0208,0208307811,0208317810,10000,Geographic,Active,2024-12-21,8.3
163,0113,0113591710,0113592709,1000,Geographic,Active,2021-12-02,11.0
164,0208,0208799295,0208809294,10000,Geographic,Reserved,2024-12-31,74.2
165,07700,07700602573,07700603572,1000,Mobile,Reserved,2016-01-19,17.5
166,0131,0131488852,0131498851,10000,Geographic,Active,2021-08-06,59.5
167,0208,0208613171,0208614170,1000,Geographic,Reserved,2023-07-08,86.2
168,0208,0208652689,0208653688,1000,Geographic,Reserved,2012-08-07,6.9
169,07800,07800136902,07800137001,100,Mobile,Quarantine,2022-08-13,18.6
170,0161,0161637652,0161638651,1000,Geographic,Active,2011-04-22,9.3
171,0161,0161716803,0161726802,10000,Geographic,Active,2018-04-06,68.6
172,07900,07900824410,07900834409,10000,Mobile,Active,2018-04-30,37.5
173,0131,0131154120,0131155119,1000,Geographic,Active,2016-01-19,24.2
174,0121,0121437627,0121438626,1000,Geographic,Active,2018-06-15,71.0
175,0207,0207629715,0207639714,10000,Geographic,Active,2012-01-07,14.7
176,0117,0117639993,0117640092,100,Geographic,Active,2019-06-27,8.0
177,0131,0131876209,0131876308,100,Geographic,Active,2015-06-12,75.5
178,07700,07700519507,07700520506,1000,Mobile,Active,2020-07-02,91.3
179,0131,0131863494,0131873493,10000,Geographic,Reserved,2019-04-24,40.5
180,0113,0113136069,0113136168,100,Geographic,Reserved,2014-01-22,88.5
181,07700,07700786886,07700786985,100,Mobile,Active,2020-04-03,8.0
182,0161,0161732118,0161742117,10000,Geographic,Active,2016-12-18,57.9
183,0113,0113543715,0113544714,1000,Geographic,Reserved,2017-11-28,74.0
184,0117,0117369220,0117369319,100,Geographic,Quarantine,2015-08-10,30.6
185,07800,07800580886,07800581885,1000,Mobile,Reserved,2010-05-14,9.4
186,0208,0208805040,0208806039,1000,Geographic,Active,2014-11-12,54.8
187,07800,07800430909,07800431908,1000,Mobile,Active,2016-11-19,47.7
188,0208,0208312362,0208322361,10000,Geographic,Active,2023-09-06,89.3
189,0121,0121448042,0121448141,100,Geographic,Active,2014-12-27,77.0
190,0207,0207574612,0207574711,100,Geographic,Active,2022-02-19,59.4
191,0117,0117366041,0117367040,1000,Geographic,Active,2022-11-04,88.7
192,0141,0141104221,0141114220,10000,Geographic,Active,2019-04-10,18.3
193,07900,07900249268,07900259267,10000,Mobile,Active,2018-03-22,41.0
194,07800,07800207421,07800217420,10000,Mobile,Reserved,2018-07-31,31.5
195,0141,0141739020,0141739119,100,Geographic,Quarantine,2018-06-16,60.4
196,0131,0131280199,0131281198,1000,Geographic,Reserved,2014-06-17,24.3
197,0121,0121664247,0121664346,100,Geographic,Quarantine,2023-11-19,39.1
198,07900,07900537010,07900538009,1000,Mobile,Active,2020-08-24,36.0
199,07700,07700346947,07700347046,100,Mobile,Quarantine,2017-12-27,3.0
200,0141,0141349841,0141350840,1000,Geographic,Reserved,2010-09-23,35.8
201,0208,0208563820,0208573819,10000,Geographic,Active,2016-03-29,97.9
202,0131,0131266201,0131276200,10000,Geographic,Quarantine,2013-11-09,61.4
203,0131,0131820279,0131830278,10000,Geographic,Quarantine,2021-11-07,51.3
204,0117,0117374821,0117374920,100,Geographic,Active,2013-10-28,10.4
205,0141,0141892066,0141892165,100,Geographic,Active,2010-04-27,47.3
206,0113,0113515226,0113516225,1000,Geographic,Active,2012-11-29,13.0
207,0208,0208800329,0208801328,1000,Geographic,Active,2014-04-16,7.7
208,0117,0117479115,0117479214,100,Geographic,Reserved,2014-12-22,13.7
209,0113,0113290194,0113290293,100,Geographic,Active,2015-07-09,63.0
210,0113,0113228098,0113228197,100,Geographic,Reserved,2014-02-06,88.8
211,0151,0151694298,0151704297,10000,Geographic,Active,2011-10-06,82.9
212,07800,07800467457,07800477456,10000,Mobile,Active,2024-10-04,77.1
213,0131,0131336772,0131346771,10000,Geographic,Reserved,2014-01-29,35.9
214,07700,07700514614,07700514713,100,Mobile,Active,2019-03-27,58.2
215,0131,0131645010,0131646009,1000,Geographic,Active,2018-07-18,45.4
216,0151,0151460105,0151460204,100,Geographic,Active,2014-05-01,31.2
217,0117,0117279852,0117289851,10000,Geographic,Active,2022-04-29,78.2
218,0141,0141534816,0141534915,100,Geographic,Active,2020-07-07,38.3
219,0161,0161452351,0161452450,100,Geographic,Reserved,2021-04-18,47.1
220,07900,07900381008,07900391007,10000,Mobile,Active,2024-01-16,59.6
221,0208,0208520418,0208521417,1000,Geographic,Active,2010-03-10,32.0
222,0131,0131764041,0131764140,100,Geographic,Reserved,2020-08-06,51.2
223,0113,0113881415,0113891414,10000,Geographic,Quarantine,2013-08-24,22.8
224,07900,07900676314,07900676413,100,Mobile,Active,2010-03-09,34.6
225,0117,0117493750,0117503749,10000,Geographic,Active,2023-03-13,86.3
226,0141,0141682182,0141692181,10000,Geographic,Quarantine,2017-09-27,8.6
227,07700,07700342838,07700352837,10000,Mobile,Reserved,2012-05-06,75.9
228,0161,0161833145,0161834144,1000,Geographic,Active,2022-11-02,36.8
229,0141,0141823361,0141824360,1000,Geographic,Quarantine,2011-09-06,3.5
230,0121,0121523098,0121533097,10000,Geographic,Quarantine,2019-03-31,51.4
231,0117,0117711300,0117721299,10000,Geographic,Reserved,2019-07-17,19.5
232,0161,0161647468,0161648467,1000,Geographic,Quarantine,2017-05-31,35.3
233,0117,0117880037,0117880136,100,Geographic,Active,2018-06-18,86.5
234,0113,0113505432,0113515431,10000,Geographic,Active,2020-08-03,37.8
235,0161,0161673534,0161683533,10000,Geographic,Reserved,2011-11-25,50.7
236,07700,07700327037,07700327136,100,Mobile,Active,2019-08-16,52.5
237,0117,0117751265,0117752264,1000,Geographic,Reserved,2015-04-04,88.4
238,0113,0113492934,0113493933,1000,Geographic,Quarantine,2012-12-29,76.3
239,0161,0161430928,0161431027,100,Geographic,Active,2019-07-27,29.0
240,0208,0208736501,0208736600,100,Geographic,Reserved,2010-05-30,55.2
241,0151,0151833498,0151833597,100,Geographic,Reserved,2023-06-09,0.2
242,0131,0131639479,0131649478,10000,Geographic,Quarantine,2019-08-13,95.9
243,0117,0117354738,0117364737,10000,Geographic,Active,2014-01-15,54.9
244,07700,07700277819,07700277918,100,Mobile,Active,2010-09-26,66.4
245,0207,0207800688,0207801687,1000,Geographic,Active,2011-08-18,37.6
246,0113,0113265020,0113266019,1000,Geographic,Active,2014-02-26,27.9
247,0208,0208583217,0208593216,10000,Geographic,Quarantine,2017-09-11,14.6
248,0131,0131632720,0131632819,100,Geographic,Active,2015-11-16,95.0
249,07700,07700209925,07700219924,10000,Mobile,Active,2022-08-10,99.3
250,0121,0121825157,0121826156,1000,Geographic,Active,2011-06-29,40.6
251,0121,0121761777,0121761876,100,Geographic,Active,2016-12-10,39.8
252,0207,0207726298,0207736297,10000,Geographic,Active,2012-06-11,19.8
253,07800,07800311943,07800312042,100,Mobile,Active,2010-04-24,79.6
254,0113,0113637879,0113638878,1000,Geographic,Active,2010-08-07,23.4
255,0207,0207526919,0207527018,100,Geographic,Reserved,2024-06-29,64.0
256,0141,0141530999,0141531098,100,Geographic,Reserved,2014-09-20,23.5
257,0131,0131378860,0131379859,1000,Geographic,Active,2010-12-06,28.6
258,07800,07800108132,07800118131,10000,Mobile,Quarantine,2016-12-06,98.4
259,0161,0161222180,0161232179,10000,Geographic,Active,2014-11-13,80.1
260,07700,07700352568,07700353567,1000,Mobile,Quarantine,2021-07-18,52.4
261,0207,0207280884,0207280983,100,Geographic,Reserved,2021-05-03,1.5
262,0208,0208168778,0208178777,10000,Geographic,Reserved,2020-01-24,90.9
263,0151,0151804073,0151804172,100,Geographic,Active,2018-11-18,30.5
264,07700,07700538352,07700548351,10000,Mobile,Active,2018-07-01,20.9
265,0208,0208257846,0208257945,100,Geographic,Active,2012-01-01,87.8
266,07900,07900715492,07900725491,10000,Mobile,Quarantine,2015-08-18,0.5
267,0207,0207659131,0207660130,1000,Geographic,Active,2012-12-05,37.9
268,07800,07800253464,07800253563,100,Mobile,Reserved,2024-05-11,52.7
269,0161,0161527156,0161527255,100,Geographic,Active,2020-05-16,34.1
270,07700,07700158454,07700168453,10000,Mobile,Reserved,2019-03-08,55.1
271,0208,0208526605,0208536604,10000,Geographic,Active,2020-01-20,28.6
272,0208,0208753065,0208753164,100,Geographic,Active,2013-09-02,78.4
273,07700,07700447061,07700457060,10000,Mobile,Active,2014-12-28,23.1
274,0113,0113822954,0113832953,10000,Geographic,Active,2010-08-27,11.8
275,0141,0141596631,0141606630,10000,Geographic,Quarantine,2013-09-29,47.3
276,07900,07900808252,07900809251,1000,Mobile,Active,2013-04-10,73.0
277,0121,0121666425,0121667424,1000,Geographic,Active,2020-03-05,3.2
278,0117,0117720874,0117720973,100,Geographic,Reserved,2022-07-07,20.2
279,0117,0117320167,0117321166,1000,Geographic,Reserved,2018-07-30,62.0
280,07900,07900655825,07900656824,1000,Mobile,Reserved,2016-07-08,19.5
281,0113,0113273574,0113283573,10000,Geographic,Active,2014-04-08,70.6
282,0121,0121264136,0121264235,100,Geographic,Active,2022-05-12,44.6
283,07900,07900638649,07900648648,10000,Mobile,Active,2023-04-03,67.0
284,0113,0113582806,0113583805,1000,Geographic,Active,2011-05-23,51.1
285,0161,0161655414,0161665413,10000,Geographic,Active,2011-11-18,9.9
286,0161,0161268040,0161278039,10000,Geographic,Active,2016-12-11,41.3
287,0207,0207739892,0207739991,100,Geographic,Active,2017-06-13,2.4
288,07900,07900641101,07900641200,100,Mobile,Quarantine,2017-01-15,75.5
289,0117,0117398217,0117399216,1000,Geographic,Active,2023-06-18,30.3
290,0141,0141713576,0141713675,100,Geographic,Quarantine,2016-05-06,80.3
291,0117,0117242384,0117252383,10000,Geographic,Active,2011-04-24,76.5
292,0207,0207574221,0207574320,100,Geographic,Quarantine,2020-11-02,15.7
293,0117,0117721221,0117722220,1000,Geographic,Active,2023-01-28,22.7
294,07700,07700518332,07700519331,1000,Mobile,Active,2018-12-08,67.0
295,07900,07900881412,07900882411,1000,Mobile,Active,2023-03-06,69.4
296,0207,0207740992,0207750991,10000,Geographic,Active,2013-09-04,31.8
297,0208,0208867080,0208867179,100,Geographic,Active,2024-09-04,17.1
298,0207,0207288830,0207288929,100,Geographic,Reserved,2020-01-04,47.2
299,07900,07900726296,07900736295,10000,Mobile,Quarantine,2024-02-14,40.8
300,0151,0151141948,0151142047,100,Geographic,Active,2013-09-07,81.2
301,0207,0207287634,0207288633,1000,Geographic,Reserved,2024-03-16,56.1
302,0113,0113838560,0113839559,1000,Geographic,Reserved,2011-09-21,17.0
303,0208,0208558999,0208568998,10000,Geographic,Reserved,2011-10-25,77.5
304,0141,0141373861,0141373960,100,Geographic,Active,2017-09-03,93.5
305,0121,0121111850,0121112849,1000,Geographic,Quarantine,2013-06-28,61.6
306,0141,0141467015,0141468014,1000,Geographic,Active,2016-10-20,81.7
307,0141,0141289961,0141290060,100,Geographic,Quarantine,2014-08-28,91.5
308,0113,0113128850,0113128949,100,Geographic,Active,2013-07-17,15.0
309,0161,0161418815,0161418914,100,Geographic,Active,2015-04-14,54.0
310,0151,0151744102,0151744201,100,Geographic,Reserved,2021-06-09,43.4
311,0141,0141412196,0141413195,1000,Geographic,Active,2020-02-21,78.2
312,0208,0208383891,0208383990,100,Geographic,Active,2023-11-14,23.9
313,0207,0207547099,0207548098,1000,Geographic,Active,2014-11-12,53.8
314,07700,07700465946,07700475945,10000,Mobile,Quarantine,2018-12-03,65.4
315,0141,0141492182,0141492281,100,Geographic,Reserved,2018-12-03,37.5
316,0131,0131523074,0131523173,100,Geographic,Active,2012-05-04,62.1
317,07900,07900532594,07900532693,100,Mobile,Quarantine,2014-03-13,84.4
318,0121,0121603415,0121613414,10000,Geographic,Active,2021-08-25,28.3
319,0151,0151318703,0151318802,100,Geographic,Quarantine,2022-12-23,68.7
320,0207,0207329115,0207329214,100,Geographic,Reserved,2018-08-26,7.6
321,07700,07700758984,07700768983,10000,Mobile,Reserved,2023-09-13,59.6
322,07700,07700389864,07700399863,10000,Mobile,Active,2016-12-16,98.6
323,0161,0161618537,0161619536,1000,Geographic,Quarantine,2024-08-30,99.1
324,0207,0207725581,0207725680,100,Geographic,Quarantine,2015-05-24,72.7
325,0207,0207150921,0207151920,1000,Geographic,Reserved,2012-08-01,42.8
326,0131,0131844066,0131844165,100,Geographic,Active,2011-04-03,9.4
327,07800,07800376191,07800376290,100,Mobile,Reserved,2022-12-20,11.4
328,0117,0117706361,0117716360,10000,Geographic,Quarantine,2012-06-24,12.9
329,07800,07800352397,07800353396,1000,Mobile,Active,2018-12-15,1.3
330,0113,0113180291,0113181290,1000,Geographic,Active,2010-07-08,57.6
331,07800,07800342344,07800352343,10000,Mobile,Active,2010-04-04,86.4
332,07800,07800388198,07800398197,10000,Mobile,Quarantine,2020-07-22,16.8
333,07700,07700396168,07700397167,1000,Mobile,Quarantine,2023-05-05,84.6
334,0151,0151117158,0151118157,1000,Geographic,Active,2013-07-13,1.4
335,0161,0161792086,0161792185,100,Geographic,Reserved,2019-11-03,25.1
336,0207,0207600383,0207601382,1000,Geographic,Reserved,2011-11-07,91.3
337,07700,07700693553,07700693652,100,Mobile,Active,2011-10-07,47.0
338,0141,0141630628,0141640627,10000,Geographic,Quarantine,2023-06-01,24.0
339,07800,07800752174,07800752273,100,Mobile,Active,2024-04-07,87.8
340,0161,0161326742,0161336741,10000,Geographic,Reserved,2014-05-29,66.9
341,0113,0113406271,0113416270,10000,Geographic,Active,2023-08-03,80.9
342,0113,0113384708,0113394707,10000,Geographic,Quarantine,2017-02-19,48.7
343,0131,0131544640,0131544739,100,Geographic,Reserved,2020-05-07,12.4
344,07700,07700850556,07700851555,1000,Mobile,Active,2018-08-25,46.8
345,0117,0117719247,0117719346,100,Geographic,Active,2022-09-19,24.1
346,07700,07700200179,07700200278,100,Mobile,Active,2016-05-02,26.4
347,07900,07900302538,07900312537,10000,Mobile,Quarantine,2020-12-09,94.0
348,0141,0141782733,0141782832,100,Geographic,Active,2011-07-14,85.6
349,0121,0121345385,0121346384,1000,Geographic,Active,2019-10-19,30.8
350,07900,07900193928,07900194927,1000,Mobile,Active,2019-07-09,61.9
351,07700,07700461156,07700471155,10000,Mobile,Reserved,2012-05-25,58.0
352,0208,0208405302,0208405401,100,Geographic,Active,2010-08-28,52.0
353,0208,0208482177,0208482276,100,Geographic,Active,2019-06-28,33.7
354,0121,0121617027,0121618026,1000,Geographic,Active,2024-05-27,76.7
355,0131,0131210011,0131210110,100,Geographic,Active,2024-03-08,1.1
356,0208,0208403811,0208404810,1000,Geographic,Active,2015-09-09,20.3
357,0161,0161360328,0161370327,10000,Geographic,Active,2020-07-23,94.7
358,0117,0117756731,0117756830,100,Geographic,Quarantine,2016-06-11,68.4
359,0131,0131676896,0131686895,10000,Geographic,Active,2019-05-02,48.2
360,07800,07800348484,07800358483,10000,Mobile,Quarantine,2012-04-17,69.3
361,0161,0161793632,0161793731,100,Geographic,Quarantine,2013-04-08,89.3
362,0208,0208350091,0208350190,100,Geographic,Active,2014-05-12,4.8
363,0113,0113432564,0113442563,10000,Geographic,Reserved,2018-05-07,42.9
364,0208,0208633617,0208643616,10000,Geographic,Active,2012-12-04,76.8
365,07800,07800448540,07800448639,100,Mobile,Reserved,2015-09-20,27.1
366,0161,0161642754,0161643753,1000,Geographic,Active,2024-09-06,71.2
367,07900,07900779405,07900789404,10000,Mobile,Reserved,2019-02-13,78.2
368,0207,0207550918,0207551917,1000,Geographic,Quarantine,2015-05-22,49.2
369,0141,0141180625,0141181624,1000,Geographic,Active,2012-06-04,52.3
370,0208,0208861085,0208861184,100,Geographic,Active,2015-09-25,0.4
