survey_id,employee_id,department,work_location,survey_date,survey_month,survey_type,engagement_score,satisfaction_score,manager_rating,career_growth_score,work_life_balance,compensation_satisfaction,would_recommend,enps_score,comments_provided
71,EMP0969,Network Engineering,Cardiff Office,2025-02-03,2025-02,Pulse Survey,1,2,5,4,1,1,True,0,False
72,EMP0951,Legal,Cardiff Office,2025-10-24,2025-10,Annual Engagement,4,3,2,4,4,2,True,-39,False
73,EMP1496,Retail Operations,SnowTelco London High 17,2025-04-26,2025-04,Pulse Survey,4,5,3,5,3,2,False,-65,False
74,EMP0348,Finance,Manchester Office,2025-11-12,2025-11,Pulse Survey,5,3,2,4,5,3,True,-33,False
75,EMP1142,Sales - Consumer,Birmingham Office,2025-02-28,2025-02,Onboarding Survey,4,5,5,1,2,5,True,-70,True
76,EMP0982,Legal,Manchester Office,2025-07-15,2025-07,Exit Survey,2,1,4,2,4,2,False,66,True
77,EMP1638,Executive,Cardiff Office,2025-09-04,2025-09,Annual Engagement,4,3,4,4,3,1,False,-55,False
78,EMP1424,Supply Chain,Cardiff Office,2026-01-07,2026-01,Pulse Survey,4,2,1,3,2,5,True,-3,True
79,EMP1272,Customer Service,Glasgow Contact Centre,2026-01-11,2026-01,Pulse Survey,5,4,2,4,3,5,True,30,True
80,EMP0690,Retail Operations,SnowTelco London Airport 21,2025-04-24,2025-04,Pulse Survey,4,1,4,3,2,4,True,51,False
81,EMP0910,Sales - B2B,Birmingham Office,2025-02-28,2025-02,Annual Engagement,2,3,3,5,4,3,True,6,True
82,EMP0541,Finance,Manchester Office,2025-08-08,2025-08,Annual Engagement,4,4,4,4,1,2,False,-82,False
83,EMP1943,Customer Service,Manchester Contact Centre,2025-09-14,2025-09,Pulse Survey,4,4,3,3,5,5,True,-77,False
84,EMP0620,Retail Operations,SnowTelco London Train 26,2025-07-21,2025-07,Pulse Survey,4,2,1,4,2,2,True,46,False
85,EMP0816,Customer Service,Manchester Contact Centre,2025-10-10,2025-10,Pulse Survey,5,2,4,1,5,4,True,52,False
86,EMP1863,Network Engineering,Edinburgh Office,2026-01-09,2026-01,Onboarding Survey,4,5,1,4,5,1,False,-70,False
87,EMP1768,Network Engineering,Cardiff Office,2025-04-26,2025-04,Pulse Survey,4,5,5,4,5,1,True,-19,False
88,EMP0383,Sales - B2B,London HQ,2025-07-13,2025-07,Annual Engagement,3,2,2,1,4,1,True,65,False
89,EMP0327,Customer Service,Glasgow Contact Centre,2026-01-30,2026-01,Pulse Survey,5,3,5,1,3,2,False,44,True
90,EMP0138,Retail Operations,SnowTelco Brighton Standard,2025-02-22,2025-02,Pulse Survey,2,5,4,4,3,2,True,-83,False
91,EMP0673,Network Engineering,Edinburgh Office,2026-02-14,2026-02,Onboarding Survey,4,5,3,3,1,2,True,-25,True
92,EMP0990,HR,London HQ,2025-10-26,2025-10,Annual Engagement,3,5,5,5,3,2,True,-34,True
93,EMP1363,Network Engineering,Cardiff Office,2026-02-17,2026-02,Exit Survey,5,5,4,3,5,3,False,-65,False
94,EMP0762,Retail Operations,SnowTelco Glasgow Retail 7,2026-01-12,2026-01,Onboarding Survey,4,3,2,3,1,5,True,-59,False
95,EMP0151,Customer Service,Glasgow Contact Centre,2025-12-07,2025-12,Annual Engagement,3,2,4,4,5,1,True,16,False
96,EMP1230,Sales - Consumer,Cardiff Office,2025-11-27,2025-11,Pulse Survey,3,1,2,1,4,5,True,23,False
97,EMP0780,Sales - B2B,Cardiff Office,2025-08-12,2025-08,Annual Engagement,4,5,2,5,2,3,False,16,True
98,EMP1059,Customer Service,Glasgow Contact Centre,2025-09-24,2025-09,Annual Engagement,3,5,5,5,2,1,True,-95,False
99,EMP1721,Network Engineering,Edinburgh Office,2025-01-05,2025-01,Annual Engagement,1,5,4,4,5,3,True,-58,True
100,EMP1087,HR,Edinburgh Office,2025-09-16,2025-09,Pulse Survey,4,4,3,1,2,1,False,-77,True
101,EMP0623,Customer Service,Manchester Contact Centre,2025-03-22,2025-03,Pulse Survey,4,1,4,3,1,4,True,26,True
102,EMP1132,Customer Service,Manchester Contact Centre,2025-07-13,2025-07,Pulse Survey,2,3,1,1,3,1,True,55,False
103,EMP1710,Network Engineering,Manchester Office,2025-08-02,2025-08,Annual Engagement,4,2,5,1,5,3,True,94,False
104,EMP0300,Customer Service,Glasgow Contact Centre,2025-11-18,2025-11,Exit Survey,2,1,3,3,1,1,False,-58,False
105,EMP1848,Customer Service,London Contact Centre,2025-02-10,2025-02,Exit Survey,3,5,5,2,3,1,True,-79,True
106,EMP1265,Retail Operations,SnowTelco Edinburgh High 6,2025-01-03,2025-01,Annual Engagement,3,4,2,2,5,3,True,-82,False
107,EMP1708,Retail Operations,SnowTelco Cardiff Flagship,2025-09-15,2025-09,Onboarding Survey,4,5,3,2,3,2,False,67,True
108,EMP1081,Customer Service,Manchester Contact Centre,2025-03-23,2025-03,Annual Engagement,3,2,2,4,2,2,True,1,False
109,EMP1911,Retail Operations,SnowTelco Sheffield High 3,2025-04-12,2025-04,Pulse Survey,5,3,2,4,3,2,True,12,False
110,EMP1992,Sales - B2B,Birmingham Office,2025-05-04,2025-05,Annual Engagement,4,1,3,3,2,4,False,-71,False
111,EMP0247,Retail Operations,SnowTelco Oxford Airport 2,2025-03-26,2025-03,Pulse Survey,4,3,4,4,3,4,True,-96,True
112,EMP1664,IT,Manchester Office,2025-03-21,2025-03,Exit Survey,5,3,5,1,5,1,True,-98,False
113,EMP0997,Customer Service,Glasgow Contact Centre,2025-09-19,2025-09,Annual Engagement,3,3,5,3,3,2,True,-16,True
114,EMP0984,Network Engineering,London HQ,2025-04-24,2025-04,Annual Engagement,4,4,5,1,5,5,False,47,False
115,EMP0028,Retail Operations,SnowTelco London Retail 19,2025-07-23,2025-07,Pulse Survey,3,3,1,5,4,4,True,-70,True
116,EMP1385,Sales - B2B,London HQ,2025-12-19,2025-12,Annual Engagement,4,2,2,2,3,2,True,76,True
117,EMP0300,Customer Service,Glasgow Contact Centre,2025-01-10,2025-01,Exit Survey,5,2,5,5,4,3,True,-44,False
118,EMP1900,Customer Service,London Contact Centre,2025-08-27,2025-08,Annual Engagement,5,5,4,4,2,3,True,-22,False
119,EMP1554,Retail Operations,SnowTelco London Retail 27,2026-01-06,2026-01,Exit Survey,4,2,1,2,3,1,False,74,False
120,EMP0535,Network Engineering,Manchester Office,2025-03-28,2025-03,Pulse Survey,3,2,5,1,4,2,False,39,False
121,EMP0797,Finance,London HQ,2026-01-05,2026-01,Annual Engagement,3,2,3,1,4,1,True,51,False
122,EMP0398,IT,Manchester Office,2025-07-13,2025-07,Pulse Survey,4,4,5,2,3,1,True,-49,True
123,EMP0313,HR,Cardiff Office,2025-08-17,2025-08,Pulse Survey,3,1,4,1,1,1,True,-65,True
124,EMP1572,Retail Operations,SnowTelco London Airport 8,2025-09-10,2025-09,Annual Engagement,5,5,3,1,5,1,True,-4,True
125,EMP1675,Retail Operations,SnowTelco Liverpool Flagship,2025-06-09,2025-06,Annual Engagement,3,5,2,5,1,2,True,-89,False
126,EMP1692,Product Management,London HQ,2025-09-16,2025-09,Pulse Survey,4,5,4,3,2,3,True,-69,False
127,EMP1071,IT,Birmingham Office,2025-08-26,2025-08,Annual Engagement,3,1,1,4,4,2,True,-22,True
128,EMP0117,Finance,Edinburgh Office,2025-02-28,2025-02,Annual Engagement,4,3,4,5,5,3,False,-69,True
129,EMP0835,IT,London HQ,2025-04-26,2025-04,Pulse Survey,4,4,2,2,2,4,True,-99,False
130,EMP0141,Product Management,London HQ,2025-09-27,2025-09,Annual Engagement,4,1,3,2,4,5,True,-61,True
131,EMP0553,Customer Service,Manchester Contact Centre,2025-08-13,2025-08,Pulse Survey,4,2,2,4,2,4,True,28,True
132,EMP1885,Network Engineering,Edinburgh Office,2025-09-30,2025-09,Pulse Survey,5,2,2,5,4,5,True,34,True
133,EMP1144,Sales - B2B,Birmingham Office,2025-03-23,2025-03,Annual Engagement,4,2,1,1,5,3,False,-8,True
134,EMP1293,Sales - B2B,Cardiff Office,2025-02-05,2025-02,Annual Engagement,3,1,5,2,2,1,True,14,False
135,EMP0307,Sales - B2B,Birmingham Office,2026-01-01,2026-01,Onboarding Survey,3,2,3,2,3,4,True,55,False
136,EMP0040,Retail Operations,SnowTelco London Shopping 7,2025-11-19,2025-11,Exit Survey,4,3,2,4,2,4,True,27,True
137,EMP1237,Network Engineering,London HQ,2025-10-25,2025-10,Pulse Survey,2,3,1,1,3,5,False,-93,False
138,EMP1317,IT,London HQ,2026-01-30,2026-01,Pulse Survey,5,5,3,2,2,4,True,79,True
139,EMP1134,Customer Service,London Contact Centre,2026-01-24,2026-01,Annual Engagement,4,3,2,1,2,2,False,36,False
140,EMP0057,Sales - Consumer,Birmingham Office,2025-05-03,2025-05,Onboarding Survey,3,3,5,2,3,1,False,1,False
141,EMP0872,Marketing,London HQ,2025-09-02,2025-09,Pulse Survey,4,3,3,3,3,5,False,-4,False
142,EMP0893,Executive,Cardiff Office,2025-05-09,2025-05,Pulse Survey,4,2,1,4,4,3,True,-97,False
143,EMP0577,Sales - Consumer,London HQ,2025-12-11,2025-12,Annual Engagement,4,5,4,2,5,2,False,5,False
144,EMP0038,Retail Operations,SnowTelco Brighton Shopping 3,2026-02-02,2026-02,Pulse Survey,4,2,3,3,5,2,True,53,True
145,EMP0620,Retail Operations,SnowTelco London Train 26,2025-05-09,2025-05,Annual Engagement,2,5,5,3,5,1,False,-31,False
146,EMP0688,Retail Operations,SnowTelco Sheffield High 2,2025-06-29,2025-06,Annual Engagement,2,2,2,3,5,2,True,-81,False
147,EMP0582,Marketing,Edinburgh Office,2025-08-27,2025-08,Pulse Survey,3,3,2,2,5,4,True,-82,False
148,EMP1649,Sales - Consumer,Edinburgh Office,2025-12-23,2025-12,Pulse Survey,5,3,4,4,3,1,True,-10,True
149,EMP1889,Finance,Cardiff Office,2025-11-11,2025-11,Annual Engagement,4,4,1,4,4,2,True,83,False
150,EMP1885,Network Engineering,Edinburgh Office,2025-01-24,2025-01,Annual Engagement,4,2,3,5,1,2,True,-77,False
151,EMP1005,Marketing,Cardiff Office,2026-02-04,2026-02,Pulse Survey,4,1,2,4,5,1,True,33,False
152,EMP1230,Sales - Consumer,Cardiff Office,2025-07-22,2025-07,Pulse Survey,4,2,2,5,1,3,True,33,True
153,EMP0653,Network Engineering,Manchester Office,2025-11-12,2025-11,Onboarding Survey,3,3,5,5,1,4,True,-73,False
154,EMP0417,Network Engineering,Cardiff Office,2025-06-23,2025-06,Exit Survey,2,4,3,4,5,3,False,61,False
155,EMP1519,Customer Service,London Contact Centre,2025-03-24,2025-03,Pulse Survey,5,2,2,1,1,3,True,-27,False
156,EMP0579,Customer Service,Manchester Contact Centre,2025-09-12,2025-09,Pulse Survey,5,1,1,1,4,4,False,88,False
157,EMP0156,IT,London HQ,2025-12-17,2025-12,Annual Engagement,4,1,2,5,5,1,False,31,True
158,EMP0330,Customer Service,London Contact Centre,2025-12-18,2025-12,Onboarding Survey,5,3,2,5,2,1,True,20,True
159,EMP0985,Network Engineering,Manchester Office,2025-07-05,2025-07,Annual Engagement,4,2,2,3,1,3,True,-15,False
160,EMP0821,Sales - Consumer,Cardiff Office,2025-09-10,2025-09,Onboarding Survey,4,1,2,5,4,2,True,-72,True
161,EMP0698,Retail Operations,SnowTelco Manchester Airport 4,2025-04-04,2025-04,Pulse Survey,4,1,5,1,5,4,True,-55,True
162,EMP1011,Customer Service,London Contact Centre,2025-03-10,2025-03,Pulse Survey,5,1,5,1,2,4,False,-53,True
163,EMP0655,Product Management,Edinburgh Office,2025-04-19,2025-04,Pulse Survey,4,2,4,4,1,5,True,-84,False
164,EMP1762,Network Engineering,London HQ,2025-05-30,2025-05,Annual Engagement,2,1,2,2,1,2,True,-65,False
165,EMP1938,Customer Service,London Contact Centre,2025-04-29,2025-04,Pulse Survey,4,1,3,3,4,4,True,-70,False
166,EMP0497,IT,Edinburgh Office,2025-11-01,2025-11,Pulse Survey,2,1,2,5,3,3,True,-2,False
167,EMP1846,Retail Operations,SnowTelco Manchester Shopping 10,2025-08-17,2025-08,Annual Engagement,3,5,1,2,2,3,True,-64,False
168,EMP1561,Security,Cardiff Office,2025-05-07,2025-05,Pulse Survey,5,3,5,4,2,5,False,24,True
169,EMP1648,Sales - B2B,Cardiff Office,2025-03-22,2025-03,Pulse Survey,4,2,2,3,1,3,True,61,False
170,EMP0440,Sales - Consumer,Manchester Office,2025-03-15,2025-03,Annual Engagement,5,1,2,2,5,4,False,89,False
171,EMP0266,Retail Operations,SnowTelco Leeds Train 8,2025-01-02,2025-01,Pulse Survey,3,1,3,4,3,4,True,8,False
172,EMP0566,Network Engineering,Manchester Office,2025-08-14,2025-08,Pulse Survey,5,4,4,1,4,1,True,79,False
173,EMP0768,Retail Operations,SnowTelco Bristol Flagship,2025-05-09,2025-05,Annual Engagement,4,1,4,5,1,2,True,-23,True
174,EMP0024,Retail Operations,SnowTelco Belfast Shopping 3,2025-03-02,2025-03,Pulse Survey,5,1,3,5,2,2,True,61,False
175,EMP0938,Customer Service,Glasgow Contact Centre,2025-03-01,2025-03,Onboarding Survey,2,1,4,5,5,5,False,-46,True
176,EMP0869,Sales - Consumer,Cardiff Office,2025-02-08,2025-02,Onboarding Survey,2,3,4,1,3,2,True,17,True
177,EMP0051,Supply Chain,Manchester Office,2025-11-14,2025-11,Annual Engagement,3,5,4,4,1,3,True,-69,False
178,EMP1007,Finance,London HQ,2026-02-03,2026-02,Onboarding Survey,5,5,1,5,4,4,True,24,False
179,EMP0491,Retail Operations,SnowTelco London Airport 39,2025-02-19,2025-02,Pulse Survey,3,4,2,4,4,2,False,54,False
180,EMP1459,Customer Service,Glasgow Contact Centre,2025-04-23,2025-04,Pulse Survey,4,5,5,5,4,4,False,-37,False
181,EMP1975,Customer Service,Manchester Contact Centre,2025-07-08,2025-07,Annual Engagement,2,5,5,3,4,4,False,21,False
182,EMP0919,Marketing,Cardiff Office,2025-12-21,2025-12,Annual Engagement,5,3,3,2,2,3,False,-26,False
183,EMP0204,Executive,London HQ,2025-07-09,2025-07,Annual Engagement,4,2,4,2,4,4,True,-62,True
184,EMP1254,Retail Operations,SnowTelco Edinburgh Train 4,2025-04-09,2025-04,Pulse Survey,4,3,4,3,1,5,True,62,True
185,EMP0411,Retail Operations,SnowTelco London Train 35,2025-07-25,2025-07,Pulse Survey,3,4,2,1,2,4,False,-31,False
186,EMP1285,Finance,London HQ,2025-01-22,2025-01,Annual Engagement,3,1,3,5,1,2,True,80,False
187,EMP1080,Network Engineering,Manchester Office,2026-01-08,2026-01,Onboarding Survey,5,2,5,4,5,1,True,3,False
188,EMP0544,Network Engineering,Cardiff Office,2025-02-11,2025-02,Annual Engagement,4,1,3,5,2,2,False,40,False
189,EMP0481,Network Engineering,Cardiff Office,2025-02-15,2025-02,Annual Engagement,4,1,1,2,4,3,False,49,True
190,EMP0275,Retail Operations,SnowTelco Bristol Train 5,2025-08-12,2025-08,Pulse Survey,4,5,4,1,4,2,True,90,True
191,EMP0855,Marketing,Edinburgh Office,2026-01-01,2026-01,Annual Engagement,4,5,5,2,5,3,True,-19,False
192,EMP1515,HR,Manchester Office,2026-02-13,2026-02,Pulse Survey,2,4,5,3,5,3,True,-9,False
193,EMP1090,Finance,Edinburgh Office,2025-09-18,2025-09,Annual Engagement,4,5,5,3,5,2,False,-58,False
194,EMP0377,Customer Service,London Contact Centre,2025-01-24,2025-01,Annual Engagement,3,2,1,1,2,1,True,38,True
195,EMP0125,Network Engineering,Birmingham Office,2026-02-11,2026-02,Annual Engagement,4,4,4,5,1,1,False,45,False
196,EMP1212,Product Management,Edinburgh Office,2025-11-02,2025-11,Pulse Survey,4,4,1,2,2,2,True,42,True
197,EMP0537,Customer Service,Glasgow Contact Centre,2025-09-11,2025-09,Onboarding Survey,4,2,3,4,4,4,False,14,False
198,EMP0372,Customer Service,Glasgow Contact Centre,2025-05-20,2025-05,Pulse Survey,4,3,2,1,1,5,True,-21,True
199,EMP0838,Retail Operations,SnowTelco Cardiff Airport 2,2025-11-06,2025-11,Annual Engagement,3,1,1,4,1,3,False,11,False
200,EMP1221,Retail Operations,SnowTelco Sheffield Train 4,2026-02-21,2026-02,Pulse Survey,5,1,3,3,4,3,False,7,True
201,EMP0121,Customer Service,London Contact Centre,2025-06-28,2025-06,Pulse Survey,4,5,2,2,2,3,False,44,False
202,EMP1133,IT,Edinburgh Office,2026-01-13,2026-01,Annual Engagement,4,1,4,5,2,5,True,-8,False
203,EMP1238,Facilities,Cardiff Office,2025-08-23,2025-08,Annual Engagement,4,3,2,1,1,4,True,70,True
204,EMP1802,Network Engineering,Edinburgh Office,2025-01-21,2025-01,Pulse Survey,5,2,4,1,1,2,True,-69,False
205,EMP1869,Supply Chain,Birmingham Office,2025-06-02,2025-06,Pulse Survey,4,4,4,5,1,5,True,-78,True
206,EMP0082,Retail Operations,SnowTelco London Retail 19,2025-05-02,2025-05,Annual Engagement,4,1,5,3,2,2,True,51,False
207,EMP1483,Sales - B2B,Birmingham Office,2025-03-28,2025-03,Pulse Survey,3,5,5,3,5,2,True,67,False
208,EMP1315,Sales - B2B,Edinburgh Office,2025-04-22,2025-04,Pulse Survey,4,4,3,4,2,5,False,-26,False
209,EMP0262,Supply Chain,Manchester Office,2026-02-13,2026-02,Annual Engagement,4,3,2,5,3,1,True,-7,False
210,EMP0004,Network Engineering,Edinburgh Office,2025-10-17,2025-10,Pulse Survey,4,5,5,3,5,3,True,49,True
211,EMP1769,Network Engineering,London HQ,2025-09-09,2025-09,Annual Engagement,4,5,1,5,1,4,True,-40,False
212,EMP1666,Customer Service,Glasgow Contact Centre,2026-02-16,2026-02,Annual Engagement,4,2,1,2,4,2,True,-62,False
213,EMP2000,IT,Manchester Office,2026-02-12,2026-02,Annual Engagement,3,2,3,3,4,5,True,83,False
214,EMP0119,Executive,Birmingham Office,2025-01-17,2025-01,Annual Engagement,4,3,3,4,3,1,False,-1,False
215,EMP1493,Finance,Manchester Office,2025-09-09,2025-09,Pulse Survey,3,2,1,2,5,4,False,32,False
216,EMP0801,Product Management,Manchester Office,2025-02-09,2025-02,Pulse Survey,5,5,3,4,3,3,True,4,False
217,EMP0511,IT,London HQ,2026-02-17,2026-02,Pulse Survey,3,1,4,5,3,1,True,-21,True
218,EMP1965,Facilities,Edinburgh Office,2026-02-17,2026-02,Pulse Survey,4,2,3,2,4,5,True,7,False
219,EMP1882,Retail Operations,SnowTelco London Train 10,2026-02-13,2026-02,Onboarding Survey,5,1,2,5,5,1,True,21,False
220,EMP0764,Marketing,Cardiff Office,2025-11-30,2025-11,Pulse Survey,2,4,5,3,5,4,True,79,False
221,EMP0739,Sales - B2B,Birmingham Office,2025-12-25,2025-12,Pulse Survey,4,3,1,3,2,3,False,-33,False
222,EMP0198,Customer Service,Glasgow Contact Centre,2025-12-15,2025-12,Onboarding Survey,5,1,5,4,1,2,True,-91,False
