snapshot_id,snapshot_date,stage_name,opportunity_count,total_amount,weighted_amount,avg_days_in_stage
SNP10000060,2025-02-21,Value Proposition,41,2427904.84,1213952.42,17
SNP10000061,2025-02-21,Proposal/Price Quote,40,2305718.35,1383431.01,9
SNP10000062,2025-02-21,Negotiation/Review,46,2332918.18,1749688.63,20
SNP10000063,2025-02-21,Id. Decision Makers,31,1498452.53,1198762.02,20
SNP10000064,2025-02-21,Perception Analysis,17,913690.73,776637.12,15
SNP10000065,2025-02-28,Prospecting,80,4348268.45,434826.84,18
SNP10000066,2025-02-28,Qualification,62,3441888.67,688377.73,10
SNP10000067,2025-02-28,Needs Analysis,68,3355113.26,1342045.31,21
SNP10000068,2025-02-28,Value Proposition,51,2701732.47,1350866.24,45
SNP10000069,2025-02-28,Proposal/Price Quote,46,2471113.36,1482668.01,42
SNP10000070,2025-02-28,Negotiation/Review,60,2667186.51,2000389.88,27
SNP10000071,2025-02-28,Id. Decision Makers,34,1553518.54,1242814.83,26
SNP10000072,2025-02-28,Perception Analysis,15,847976.98,720780.43,38
SNP10000073,2025-03-07,Prospecting,110,5258640.68,525864.07,40
SNP10000074,2025-03-07,Qualification,83,4079698.45,815939.69,14
SNP10000075,2025-03-07,Needs Analysis,63,3332111.64,1332844.65,29
SNP10000076,2025-03-07,Value Proposition,58,2953905.61,1476952.8,9
SNP10000077,2025-03-07,Proposal/Price Quote,47,2562283.08,1537369.85,13
SNP10000078,2025-03-07,Negotiation/Review,61,2768348.63,2076261.47,19
SNP10000079,2025-03-07,Id. Decision Makers,29,1474010.5,1179208.4,6
SNP10000080,2025-03-07,Perception Analysis,20,1021249.57,868062.14,20
SNP10000081,2025-03-14,Prospecting,77,4395889.82,439588.98,24
SNP10000082,2025-03-14,Qualification,101,4503435.38,900687.08,24
SNP10000083,2025-03-14,Needs Analysis,61,3272978.05,1309191.22,19
SNP10000084,2025-03-14,Value Proposition,63,3085529.88,1542764.94,10
SNP10000085,2025-03-14,Proposal/Price Quote,50,2649744.15,1589846.49,19
SNP10000086,2025-03-14,Negotiation/Review,41,2285445.82,1714084.36,26
SNP10000087,2025-03-14,Id. Decision Makers,31,1523408.97,1218727.17,17
SNP10000088,2025-03-14,Perception Analysis,22,1055012.22,896760.38,32
SNP10000089,2025-03-21,Prospecting,91,4779246.05,477924.61,44
SNP10000090,2025-03-21,Qualification,58,3407125.45,681425.09,16
SNP10000091,2025-03-21,Needs Analysis,92,4014570.95,1605828.38,9
SNP10000092,2025-03-21,Value Proposition,60,2997252.0,1498626.0,39
SNP10000093,2025-03-21,Proposal/Price Quote,59,2887291.89,1732375.13,45
SNP10000094,2025-03-21,Negotiation/Review,46,2409583.23,1807187.42,26
SNP10000095,2025-03-21,Id. Decision Makers,31,1541472.84,1233178.28,8
SNP10000096,2025-03-21,Perception Analysis,17,921751.61,783488.87,8
SNP10000097,2025-03-28,Prospecting,116,5383644.95,538364.49,29
SNP10000098,2025-03-28,Qualification,78,3949000.18,789800.04,41
SNP10000099,2025-03-28,Needs Analysis,73,3588211.0,1435284.4,17
SNP10000100,2025-03-28,Value Proposition,52,2798597.69,1399298.84,40
SNP10000101,2025-03-28,Proposal/Price Quote,64,2991934.59,1795160.75,29
SNP10000102,2025-03-28,Negotiation/Review,53,2589435.92,1942076.94,6
SNP10000103,2025-03-28,Id. Decision Makers,27,1444150.14,1155320.11,30
SNP10000104,2025-03-28,Perception Analysis,15,867200.25,737120.21,12
SNP10000105,2025-04-04,Prospecting,116,5521938.36,552193.84,36
SNP10000106,2025-04-04,Qualification,102,4630376.32,926075.26,35
SNP10000107,2025-04-04,Needs Analysis,58,3276672.91,1310669.16,31
SNP10000108,2025-04-04,Value Proposition,62,3135833.79,1567916.9,18
SNP10000109,2025-04-04,Proposal/Price Quote,52,2766921.86,1660153.11,7
SNP10000110,2025-04-04,Negotiation/Review,68,3004192.25,2253144.19,39
SNP10000111,2025-04-04,Id. Decision Makers,32,1596956.91,1277565.53,33
SNP10000112,2025-04-04,Perception Analysis,20,1048788.46,891470.19,35
SNP10000113,2025-04-11,Prospecting,123,5682900.75,568290.07,26
SNP10000114,2025-04-11,Qualification,106,4730948.26,946189.65,45
SNP10000115,2025-04-11,Needs Analysis,60,3342546.12,1337018.45,31
SNP10000116,2025-04-11,Value Proposition,58,3045552.22,1522776.11,43
SNP10000117,2025-04-11,Proposal/Price Quote,65,3107284.27,1864370.56,8
SNP10000118,2025-04-11,Negotiation/Review,68,3008116.93,2256087.7,18
SNP10000119,2025-04-11,Id. Decision Makers,37,1728642.71,1382914.17,24
SNP10000120,2025-04-11,Perception Analysis,22,1096230.98,931796.33,13
SNP10000121,2025-04-18,Prospecting,81,4623485.51,462348.55,6
SNP10000122,2025-04-18,Qualification,95,4486365.85,897273.17,37
SNP10000123,2025-04-18,Needs Analysis,78,3800133.8,1520053.52,18
SNP10000124,2025-04-18,Value Proposition,49,2780178.98,1390089.49,43
SNP10000125,2025-04-18,Proposal/Price Quote,58,2944484.62,1766690.77,17
SNP10000126,2025-04-18,Negotiation/Review,59,2798751.51,2099063.63,41
SNP10000127,2025-04-18,Id. Decision Makers,40,1785851.21,1428680.97,42
SNP10000128,2025-04-18,Perception Analysis,24,1126455.18,957486.9,20
SNP10000129,2025-04-25,Prospecting,136,5988551.99,598855.2,24
SNP10000130,2025-04-25,Qualification,66,3738567.32,747713.46,45
SNP10000131,2025-04-25,Needs Analysis,93,4139965.95,1655986.38,26
SNP10000132,2025-04-25,Value Proposition,59,3065683.19,1532841.59,37
SNP10000133,2025-04-25,Proposal/Price Quote,43,2519269.03,1511561.42,34
SNP10000134,2025-04-25,Negotiation/Review,44,2407812.15,1805859.12,27
SNP10000135,2025-04-25,Id. Decision Makers,37,1722354.88,1377883.9,15
SNP10000136,2025-04-25,Perception Analysis,19,1017239.07,864653.21,25
SNP10000137,2025-05-02,Prospecting,136,5976394.15,597639.41,27
SNP10000138,2025-05-02,Qualification,104,4680293.86,936058.77,44
SNP10000139,2025-05-02,Needs Analysis,92,4117365.55,1646946.22,39
SNP10000140,2025-05-02,Value Proposition,80,3557591.4,1778795.7,28
SNP10000141,2025-05-02,Proposal/Price Quote,50,2713187.53,1627912.52,7
SNP10000142,2025-05-02,Negotiation/Review,62,2860394.6,2145295.95,30
SNP10000143,2025-05-02,Id. Decision Makers,24,1394722.97,1115778.37,6
SNP10000144,2025-05-02,Perception Analysis,26,1173558.95,997525.11,45
SNP10000145,2025-05-09,Prospecting,100,5147360.13,514736.01,45
SNP10000146,2025-05-09,Qualification,107,4744028.04,948805.61,26
SNP10000147,2025-05-09,Needs Analysis,57,3243932.36,1297572.94,6
SNP10000148,2025-05-09,Value Proposition,48,2769357.38,1384678.69,41
SNP10000149,2025-05-09,Proposal/Price Quote,66,3132739.88,1879643.93,26
SNP10000150,2025-05-09,Negotiation/Review,38,2233824.88,1675368.66,44
SNP10000151,2025-05-09,Id. Decision Makers,37,1718606.2,1374884.96,40
SNP10000152,2025-05-09,Perception Analysis,24,1127494.18,958370.05,15
SNP10000153,2025-05-16,Prospecting,98,5085055.46,508505.55,31
SNP10000154,2025-05-16,Qualification,66,3750663.19,750132.64,11
SNP10000155,2025-05-16,Needs Analysis,69,3584224.11,1433689.65,34
SNP10000156,2025-05-16,Value Proposition,57,3009202.62,1504601.31,13
SNP10000157,2025-05-16,Proposal/Price Quote,71,3246813.85,1948088.31,28
SNP10000158,2025-05-16,Negotiation/Review,54,2682962.95,2012222.22,26
SNP10000159,2025-05-16,Id. Decision Makers,38,1733894.88,1387115.9,10
SNP10000160,2025-05-16,Perception Analysis,19,1008805.86,857484.98,36
SNP10000161,2025-05-23,Prospecting,120,5614068.98,561406.9,20
SNP10000162,2025-05-23,Qualification,88,4299699.01,859939.8,21
SNP10000163,2025-05-23,Needs Analysis,60,3327780.36,1331112.15,34
SNP10000164,2025-05-23,Value Proposition,83,3615849.13,1807924.56,14
SNP10000165,2025-05-23,Proposal/Price Quote,64,3072360.1,1843416.06,39
SNP10000166,2025-05-23,Negotiation/Review,55,2694470.31,2020852.73,44
SNP10000167,2025-05-23,Id. Decision Makers,38,1743995.36,1395196.29,25
SNP10000168,2025-05-23,Perception Analysis,22,1086081.17,923169.0,36
SNP10000169,2025-05-30,Prospecting,121,5650281.31,565028.13,32
SNP10000170,2025-05-30,Qualification,110,4819345.74,963869.15,10
SNP10000171,2025-05-30,Needs Analysis,76,3756956.02,1502782.41,23
SNP10000172,2025-05-30,Value Proposition,60,3077585.23,1538792.61,28
SNP10000173,2025-05-30,Proposal/Price Quote,54,2832982.67,1699789.6,12
SNP10000174,2025-05-30,Negotiation/Review,61,2850662.81,2137997.11,6
SNP10000175,2025-05-30,Id. Decision Makers,37,1713615.5,1370892.4,16
SNP10000176,2025-05-30,Perception Analysis,22,1095029.39,930774.98,40
SNP10000177,2025-06-06,Prospecting,100,5004619.98,500462.0,21
SNP10000178,2025-06-06,Qualification,88,4194712.78,838942.56,41
SNP10000179,2025-06-06,Needs Analysis,69,3473960.31,1389584.13,44
SNP10000180,2025-06-06,Value Proposition,52,2815599.95,1407799.98,36
SNP10000181,2025-06-06,Proposal/Price Quote,44,2479954.47,1487972.68,19
SNP10000182,2025-06-06,Negotiation/Review,55,2637205.22,1977903.91,27
SNP10000183,2025-06-06,Id. Decision Makers,23,1331765.21,1065412.17,40
SNP10000184,2025-06-06,Perception Analysis,15,889031.36,755676.66,37
SNP10000185,2025-06-13,Prospecting,72,4254951.5,425495.15,38
SNP10000186,2025-06-13,Qualification,64,3583808.31,716761.66,18
SNP10000187,2025-06-13,Needs Analysis,53,3069583.98,1227833.59,17
SNP10000188,2025-06-13,Value Proposition,78,3434681.49,1717340.74,7
SNP10000189,2025-06-13,Proposal/Price Quote,61,2929512.4,1757707.44,14
SNP10000190,2025-06-13,Negotiation/Review,45,2381053.01,1785789.76,7
SNP10000191,2025-06-13,Id. Decision Makers,21,1277012.02,1021609.62,13
SNP10000192,2025-06-13,Perception Analysis,23,1079915.81,917928.44,41
SNP10000193,2025-06-20,Prospecting,115,5367648.55,536764.86,38
SNP10000194,2025-06-20,Qualification,85,4138171.66,827634.33,23
SNP10000195,2025-06-20,Needs Analysis,56,3136927.12,1254770.85,31
SNP10000196,2025-06-20,Value Proposition,62,3058840.14,1529420.07,40
SNP10000197,2025-06-20,Proposal/Price Quote,41,2412075.09,1447245.06,35
SNP10000198,2025-06-20,Negotiation/Review,51,2526188.86,1894641.65,25
SNP10000199,2025-06-20,Id. Decision Makers,25,1377968.42,1102374.74,29
SNP10000200,2025-06-20,Perception Analysis,19,996044.48,846637.81,5
SNP10000201,2025-06-27,Prospecting,104,5116998.6,511699.86,33
SNP10000202,2025-06-27,Qualification,99,4446184.57,889236.91,37
SNP10000203,2025-06-27,Needs Analysis,80,3751576.01,1500630.4,7
SNP10000204,2025-06-27,Value Proposition,69,3220830.05,1610415.02,9
SNP10000205,2025-06-27,Proposal/Price Quote,52,2695072.34,1617043.4,20
SNP10000206,2025-06-27,Negotiation/Review,39,2207812.13,1655859.1,14
SNP10000207,2025-06-27,Id. Decision Makers,38,1693529.0,1354823.2,34
SNP10000208,2025-06-27,Perception Analysis,25,1124920.97,956182.83,39
SNP10000209,2025-07-04,Prospecting,103,4955064.12,495506.41,39
SNP10000210,2025-07-04,Qualification,85,4027388.84,805477.77,45
SNP10000211,2025-07-04,Needs Analysis,50,2897092.41,1158836.96,16
SNP10000212,2025-07-04,Value Proposition,53,2743421.96,1371710.98,30
SNP10000213,2025-07-04,Proposal/Price Quote,56,2734423.87,1640654.32,35
SNP10000214,2025-07-04,Negotiation/Review,40,2198452.39,1648839.29,13
SNP10000215,2025-07-04,Id. Decision Makers,22,1273003.36,1018402.69,20
SNP10000216,2025-07-04,Perception Analysis,23,1051913.24,894126.25,19
SNP10000217,2025-07-11,Prospecting,119,5320269.11,532026.91,38
SNP10000218,2025-07-11,Qualification,96,4261472.16,852294.43,23
SNP10000219,2025-07-11,Needs Analysis,58,3113544.06,1245417.62,24
SNP10000220,2025-07-11,Value Proposition,53,2749738.93,1374869.46,10
SNP10000221,2025-07-11,Proposal/Price Quote,51,2614643.77,1568786.26,25
SNP10000222,2025-07-11,Negotiation/Review,41,2222090.12,1666567.59,28
SNP10000223,2025-07-11,Id. Decision Makers,36,1597382.03,1277905.62,34
SNP10000224,2025-07-11,Perception Analysis,22,1034762.56,879548.18,10
SNP10000225,2025-07-18,Prospecting,91,4641495.35,464149.54,5
SNP10000226,2025-07-18,Qualification,66,3547018.32,709403.66,21
SNP10000227,2025-07-18,Needs Analysis,71,3450015.08,1380006.03,24
SNP10000228,2025-07-18,Value Proposition,61,2962642.25,1481321.12,9
SNP10000229,2025-07-18,Proposal/Price Quote,48,2537569.74,1522541.84,17
SNP10000230,2025-07-18,Negotiation/Review,44,2281811.59,1711358.69,12
SNP10000231,2025-07-18,Id. Decision Makers,24,1314450.66,1051560.53,9
SNP10000232,2025-07-18,Perception Analysis,21,998126.67,848407.67,39
SNP10000233,2025-07-25,Prospecting,117,5265432.7,526543.27,18
SNP10000234,2025-07-25,Qualification,57,3297016.16,659403.23,19
SNP10000235,2025-07-25,Needs Analysis,53,2961331.35,1184532.54,38
SNP10000236,2025-07-25,Value Proposition,44,2503106.91,1251553.46,29
SNP10000237,2025-07-25,Proposal/Price Quote,62,2886387.26,1731832.36,7
SNP10000238,2025-07-25,Negotiation/Review,41,2221973.54,1666480.15,42
SNP10000239,2025-07-25,Id. Decision Makers,22,1249074.59,999259.67,28
SNP10000240,2025-07-25,Perception Analysis,17,914715.12,777507.86,11
SNP10000241,2025-08-01,Prospecting,64,3808089.8,380808.98,8
SNP10000242,2025-08-01,Qualification,90,4024469.85,804893.97,13
SNP10000243,2025-08-01,Needs Analysis,59,3059875.74,1223950.29,34
SNP10000244,2025-08-01,Value Proposition,68,3030878.85,1515439.42,37
SNP10000245,2025-08-01,Proposal/Price Quote,55,2635644.85,1581386.91,27
SNP10000246,2025-08-01,Negotiation/Review,33,1943952.37,1457964.27,23
SNP10000247,2025-08-01,Id. Decision Makers,35,1537885.71,1230308.56,8
SNP10000248,2025-08-01,Perception Analysis,19,930199.54,790669.61,32
SNP10000249,2025-08-08,Prospecting,78,4178608.58,417860.86,8
SNP10000250,2025-08-08,Qualification,64,3394909.56,678981.91,23
SNP10000251,2025-08-08,Needs Analysis,80,3551283.4,1420513.36,27
SNP10000252,2025-08-08,Value Proposition,41,2358634.46,1179317.23,13
SNP10000253,2025-08-08,Proposal/Price Quote,50,2500967.51,1500580.51,15
SNP10000254,2025-08-08,Negotiation/Review,58,2561182.83,1920887.12,13
SNP10000255,2025-08-08,Id. Decision Makers,28,1387773.51,1110218.81,15
SNP10000256,2025-08-08,Perception Analysis,22,997882.76,848200.35,44
SNP10000257,2025-08-15,Prospecting,91,4521756.43,452175.64,12
SNP10000258,2025-08-15,Qualification,86,3939138.63,787827.73,32
SNP10000259,2025-08-15,Needs Analysis,74,3411948.72,1364779.49,23
SNP10000260,2025-08-15,Value Proposition,64,2927317.24,1463658.62,43
SNP10000261,2025-08-15,Proposal/Price Quote,49,2480781.12,1488468.67,22
SNP10000262,2025-08-15,Negotiation/Review,45,2247841.49,1685881.12,20
SNP10000263,2025-08-15,Id. Decision Makers,31,1457339.34,1165871.47,25
SNP10000264,2025-08-15,Perception Analysis,21,971833.95,826058.85,25
SNP10000265,2025-08-22,Prospecting,88,4456206.14,445620.61,40
SNP10000266,2025-08-22,Qualification,65,3426242.36,685248.47,11
SNP10000267,2025-08-22,Needs Analysis,72,3361037.45,1344414.98,19
SNP10000268,2025-08-22,Value Proposition,44,2441439.58,1220719.79,36
SNP10000269,2025-08-22,Proposal/Price Quote,45,2387814.24,1432688.54,42
SNP10000270,2025-08-22,Negotiation/Review,52,2413249.19,1809936.89,19
SNP10000271,2025-08-22,Id. Decision Makers,22,1240609.92,992487.94,40
SNP10000272,2025-08-22,Perception Analysis,14,808702.19,687396.86,18
SNP10000273,2025-08-29,Prospecting,91,4527170.2,452717.02,10
SNP10000274,2025-08-29,Qualification,71,3572267.07,714453.41,12
SNP10000275,2025-08-29,Needs Analysis,58,3027510.8,1211004.32,21
SNP10000276,2025-08-29,Value Proposition,49,2583710.39,1291855.19,33
SNP10000277,2025-08-29,Proposal/Price Quote,58,2698455.68,1619073.41,32
SNP10000278,2025-08-29,Negotiation/Review,46,2272682.47,1704511.86,44
SNP10000279,2025-08-29,Id. Decision Makers,29,1406170.52,1124936.42,13
SNP10000280,2025-08-29,Perception Analysis,20,959539.97,815608.97,45
SNP10000281,2025-09-05,Prospecting,119,5461795.18,546179.52,24
SNP10000282,2025-09-05,Qualification,86,4165511.56,833102.31,34
SNP10000283,2025-09-05,Needs Analysis,65,3393339.67,1357335.87,7
SNP10000284,2025-09-05,Value Proposition,58,2967740.95,1483870.47,26
SNP10000285,2025-09-05,Proposal/Price Quote,54,2766874.39,1660124.64,41
SNP10000286,2025-09-05,Negotiation/Review,48,2450740.41,1838055.31,45
SNP10000287,2025-09-05,Id. Decision Makers,22,1304486.0,1043588.8,10
SNP10000288,2025-09-05,Perception Analysis,17,944756.17,803042.74,22
SNP10000289,2025-09-12,Prospecting,94,4865218.16,486521.82,32
SNP10000290,2025-09-12,Qualification,79,3988423.81,797684.76,32
SNP10000291,2025-09-12,Needs Analysis,90,3968086.91,1587234.76,11
SNP10000292,2025-09-12,Value Proposition,50,2738497.15,1369248.57,32
SNP10000293,2025-09-12,Proposal/Price Quote,66,3058252.9,1834951.74,32
SNP10000294,2025-09-12,Negotiation/Review,39,2230071.42,1672553.56,23
SNP10000295,2025-09-12,Id. Decision Makers,35,1640368.03,1312294.43,42
SNP10000296,2025-09-12,Perception Analysis,17,930351.28,790798.59,22
SNP10000297,2025-09-19,Prospecting,97,4935272.89,493527.29,16
SNP10000298,2025-09-19,Qualification,94,4334775.84,866955.17,13
SNP10000299,2025-09-19,Needs Analysis,62,3293676.79,1317470.72,25
SNP10000300,2025-09-19,Value Proposition,65,3142346.04,1571173.02,29
SNP10000301,2025-09-19,Proposal/Price Quote,59,2876375.74,1725825.44,42
SNP10000302,2025-09-19,Negotiation/Review,50,2519380.94,1889535.71,36
SNP10000303,2025-09-19,Id. Decision Makers,26,1412106.2,1129684.96,11
SNP10000304,2025-09-19,Perception Analysis,21,1034710.01,879503.51,38
SNP10000305,2025-09-26,Prospecting,105,5125338.5,512533.85,20
SNP10000306,2025-09-26,Qualification,88,4198856.73,839771.35,19
SNP10000307,2025-09-26,Needs Analysis,65,3383875.15,1353550.06,18
SNP10000308,2025-09-26,Value Proposition,64,3097539.4,1548769.7,32
SNP10000309,2025-09-26,Proposal/Price Quote,73,3209630.77,1925778.46,9
SNP10000310,2025-09-26,Negotiation/Review,44,2353026.43,1764769.82,22
SNP10000311,2025-09-26,Id. Decision Makers,29,1492941.31,1194353.05,28
SNP10000312,2025-09-26,Perception Analysis,25,1133128.21,963158.98,41
SNP10000313,2025-10-03,Prospecting,115,5634096.89,563409.69,34
SNP10000314,2025-10-03,Qualification,87,4404327.6,880865.52,9
SNP10000315,2025-10-03,Needs Analysis,80,3946015.08,1578406.03,45
SNP10000316,2025-10-03,Value Proposition,57,3082505.83,1541252.91,44
SNP10000317,2025-10-03,Proposal/Price Quote,56,2960892.24,1776535.34,44
SNP10000318,2025-10-03,Negotiation/Review,51,2667473.29,2000604.97,21
SNP10000319,2025-10-03,Id. Decision Makers,24,1424860.49,1139888.39,44
SNP10000320,2025-10-03,Perception Analysis,27,1232502.67,1047627.27,34
SNP10000321,2025-10-10,Prospecting,107,5435928.98,543592.9,24
SNP10000322,2025-10-10,Qualification,67,3859934.44,771986.89,37
SNP10000323,2025-10-10,Needs Analysis,67,3605806.02,1442322.41,14
SNP10000324,2025-10-10,Value Proposition,83,3723088.68,1861544.34,21
SNP10000325,2025-10-10,Proposal/Price Quote,74,3385646.47,2031387.88,25
SNP10000326,2025-10-10,Negotiation/Review,67,3045295.46,2283971.59,20
SNP10000327,2025-10-10,Id. Decision Makers,42,1883755.67,1507004.53,13
SNP10000328,2025-10-10,Perception Analysis,28,1261100.32,1071935.28,19
SNP10000329,2025-10-17,Prospecting,134,6079194.73,607919.47,13
SNP10000330,2025-10-17,Qualification,116,5063737.62,1012747.52,30
SNP10000331,2025-10-17,Needs Analysis,81,3959455.52,1583782.21,36
SNP10000332,2025-10-17,Value Proposition,54,3000377.81,1500188.91,8
SNP10000333,2025-10-17,Proposal/Price Quote,55,2925465.26,1755279.15,34
SNP10000334,2025-10-17,Negotiation/Review,45,2492117.86,1869088.39,37
SNP10000335,2025-10-17,Id. Decision Makers,31,1619400.44,1295520.36,26
SNP10000336,2025-10-17,Perception Analysis,26,1206740.32,1025729.27,19
SNP10000337,2025-10-24,Prospecting,87,4899630.76,489963.08,32
SNP10000338,2025-10-24,Qualification,67,3870561.93,774112.39,30
SNP10000339,2025-10-24,Needs Analysis,82,3995366.56,1598146.62,34
SNP10000340,2025-10-24,Value Proposition,86,3784989.83,1892494.92,21
SNP10000341,2025-10-24,Proposal/Price Quote,64,3154348.38,1892609.03,19
SNP10000342,2025-10-24,Negotiation/Review,59,2871388.74,2153541.56,44
SNP10000343,2025-10-24,Id. Decision Makers,28,1543583.07,1234866.45,15
SNP10000344,2025-10-24,Perception Analysis,17,992064.95,843255.21,42
SNP10000345,2025-10-31,Prospecting,130,6000715.72,600071.57,38
SNP10000346,2025-10-31,Qualification,104,4808409.38,961681.88,27
SNP10000347,2025-10-31,Needs Analysis,68,3643513.37,1457405.35,21
SNP10000348,2025-10-31,Value Proposition,81,3662985.31,1831492.65,8
SNP10000349,2025-10-31,Proposal/Price Quote,46,2675468.79,1605281.27,31
SNP10000350,2025-10-31,Negotiation/Review,70,3108804.19,2331603.14,40
SNP10000351,2025-10-31,Id. Decision Makers,33,1668238.08,1334590.46,20
SNP10000352,2025-10-31,Perception Analysis,26,1202590.31,1022201.76,5
SNP10000353,2025-11-07,Prospecting,124,5991945.47,599194.55,41
SNP10000354,2025-11-07,Qualification,87,4505454.79,901090.96,13
SNP10000355,2025-11-07,Needs Analysis,59,3466319.11,1386527.64,27
SNP10000356,2025-11-07,Value Proposition,79,3710692.7,1855346.35,20
SNP10000357,2025-11-07,Proposal/Price Quote,54,2974528.08,1784716.85,30
SNP10000358,2025-11-07,Negotiation/Review,70,3196830.69,2397623.02,8
SNP10000359,2025-11-07,Id. Decision Makers,40,1873642.37,1498913.89,33
SNP10000360,2025-11-07,Perception Analysis,21,1123171.21,954695.53,39
SNP10000361,2025-11-14,Prospecting,142,6416168.36,641616.84,33
SNP10000362,2025-11-14,Qualification,70,4045032.33,809006.47,15
SNP10000363,2025-11-14,Needs Analysis,93,4341511.29,1736604.52,40
SNP10000364,2025-11-14,Value Proposition,71,3516681.72,1758340.86,31
SNP10000365,2025-11-14,Proposal/Price Quote,55,2986324.27,1791794.56,6
SNP10000366,2025-11-14,Negotiation/Review,66,3088489.82,2316367.37,30
SNP10000367,2025-11-14,Id. Decision Makers,40,1864359.46,1491487.57,34
SNP10000368,2025-11-14,Perception Analysis,29,1296304.06,1101858.45,28
SNP10000369,2025-11-21,Prospecting,149,6563770.14,656377.01,24
SNP10000370,2025-11-21,Qualification,68,3991484.22,798296.84,36
