record_id,campaign_key,campaign_date,channel,impressions,clicks,conversions,spend,revenue_attributed
10000124,49,2025-01-25,Display,19097,428,31,1358.84,5699.26
10000125,38,2025-01-31,Display,78799,3043,103,2737.51,11098.97
10000126,31,2025-01-11,PPC,83707,2720,123,3334.23,20256.56
10000127,50,2025-01-10,Display,53754,1235,121,430.17,20918.38
10000128,45,2025-01-16,Display,30514,955,42,2256.47,3448.19
10000129,20,2025-01-21,PPC,21697,1047,44,2391.23,3548.45
10000130,45,2025-01-06,PPC,50478,2159,119,4244.88,8668.68
10000131,24,2025-01-21,Email,62141,881,63,1387.42,3608.49
10000132,47,2025-01-06,Display,36681,1460,131,3152.56,7005.29
10000133,44,2025-01-25,Email,46262,1614,114,2826.58,21526.35
10000134,3,2025-01-02,Direct Mail,64879,1713,124,586.99,8719.03
10000135,1,2025-01-17,Social,24156,617,52,2422.69,5892.71
10000136,38,2025-01-18,Display,40077,985,86,1136.67,14017.28
10000137,43,2025-01-25,Direct Mail,49788,1825,130,356.9,14646.17
10000138,45,2025-01-16,Radio,46196,1636,114,2557.2,9450.88
10000139,6,2025-01-16,Direct Mail,30965,521,40,1479.43,2589.25
10000140,19,2025-01-19,PPC,43525,1201,110,4613.73,7021.37
10000141,7,2025-01-19,Radio,20597,680,38,834.26,5743.18
10000142,18,2025-01-07,TV,40139,1124,68,4134.47,5022.21
10000143,51,2025-01-10,Direct Mail,14423,278,9,2379.35,1736.49
10000144,4,2025-01-05,Direct Mail,8244,402,14,4576.1,1715.89
10000145,20,2025-01-10,Social,42021,619,37,3281.37,2250.31
10000146,1,2025-01-22,TV,70290,2535,235,1686.28,41535.59
10000147,31,2025-01-05,Display,62501,1942,111,2705.44,22056.42
10000148,10,2025-01-05,TV,41237,871,58,989.97,7383.35
10000149,9,2025-01-29,Email,67255,3260,291,1483.79,57720.2
10000150,45,2025-01-19,Radio,16867,259,24,2943.87,3732.54
10000151,16,2025-01-06,TV,52151,1567,91,4127.69,17170.78
10000152,45,2025-01-12,Direct Mail,67489,2488,248,3855.05,17137.03
10000153,40,2025-01-12,TV,56915,1601,138,3920.24,26007.4
10000154,45,2025-01-14,Radio,65523,3179,169,3722.61,28836.91
10000155,25,2025-01-04,Display,28739,1277,75,3011.61,9792.37
10000156,45,2025-01-27,Email,68696,1767,56,2121.4,7595.14
10000157,37,2025-01-21,Radio,37776,1799,43,1877.02,5520.19
10000158,2,2025-01-20,TV,67364,1625,100,448.34,8198.2
10000159,45,2025-01-05,Display,8995,375,26,1664.16,3265.1
10000160,40,2025-01-30,Direct Mail,84214,4062,173,1342.21,27720.42
10000161,28,2025-01-23,Social,51716,992,35,4647.3,1926.98
10000162,37,2025-01-31,Email,54006,1826,42,2405.35,2702.52
10000163,47,2025-01-08,Email,70366,2591,257,3063.64,45288.02
10000164,6,2025-01-01,Radio,18484,507,35,1883.18,4945.41
10000165,38,2025-01-15,Direct Mail,13985,390,25,3050.66,1434.87
10000166,50,2025-01-10,Email,10010,314,24,839.62,4172.74
10000167,23,2025-01-06,Social,23906,949,25,1965.24,2782.75
10000168,18,2025-01-24,Radio,4070,137,6,2238.72,1054.25
10000169,44,2025-01-16,Email,10449,390,24,443.29,2467.96
10000170,36,2025-01-25,Display,27969,677,27,2523.41,3841.69
10000171,36,2025-01-30,Email,54647,956,56,595.12,7843.04
10000172,20,2025-01-17,Email,38035,1351,70,1781.15,11593.5
10000173,20,2025-01-07,TV,11851,459,39,2978.91,6896.31
10000174,6,2025-01-01,Display,62802,1767,138,3529.73,14176.58
10000175,16,2025-01-16,Direct Mail,71747,959,33,3550.71,2601.47
10000176,44,2025-01-30,PPC,41031,1603,79,2324.03,7344.44
10000177,15,2025-01-08,Display,35804,878,33,2538.77,5302.65
10000178,19,2025-01-04,Radio,17703,284,8,3382.16,1166.25
10000179,28,2025-01-04,Display,20059,954,94,1991.01,17964.95
10000180,6,2025-01-14,PPC,33540,1479,140,2835.55,19015.37
10000181,22,2025-01-19,Radio,71559,2739,100,4346.26,15758.82
10000182,18,2025-01-29,Direct Mail,61863,1930,95,2806.46,5467.95
10000183,41,2025-01-09,Radio,48500,1068,41,291.08,2385.63
10000184,56,2025-01-26,Email,6006,124,11,1552.97,2171.99
10000185,49,2025-01-31,Radio,83992,3497,338,1811.52,26171.31
10000186,12,2025-01-16,TV,55193,2728,238,3272.58,36744.82
10000187,57,2025-01-20,PPC,77264,3159,119,2619.37,15738.87
10000188,57,2025-01-09,Social,47551,1700,117,1062.84,14460.15
10000189,40,2025-01-06,Social,26489,1181,91,1648.12,10612.59
10000190,59,2025-01-22,Display,54016,910,27,117.95,3734.96
10000191,60,2025-01-03,PPC,54213,1351,57,4492.8,9675.04
10000192,25,2025-01-30,Email,79643,2057,57,823.97,3414.92
10000193,15,2025-01-24,Radio,6742,247,17,1859.45,917.09
10000194,37,2025-01-19,Display,84573,1991,109,1284.71,13915.96
10000195,51,2025-01-16,PPC,45484,1542,72,4551.04,6396.4
10000196,44,2025-01-09,Email,62160,2933,288,3086.37,15704.29
10000197,34,2025-01-13,Social,12771,190,11,3589.99,1725.97
10000198,36,2025-01-05,Direct Mail,50309,852,30,4414.21,4620.32
10000199,9,2025-01-16,Display,56372,1099,68,3307.91,13430.88
10000200,34,2025-01-03,Display,61710,3060,274,3992.52,41721.82
10000201,28,2025-01-15,Radio,83734,2406,238,3500.07,24286.15
10000202,17,2025-01-28,Display,30654,1452,79,380.68,12608.18
10000203,58,2025-01-22,Display,1588,20,1,1601.35,122.95
10000204,15,2025-01-19,Display,81652,2531,184,1805.34,14862.8
10000205,35,2025-01-31,Display,36214,1259,103,338.18,12302.4
10000206,12,2025-01-11,Email,42664,452,43,1664.6,8251.75
10000207,10,2025-01-21,Direct Mail,52288,2495,234,294.33,36863.68
10000208,34,2025-01-27,TV,32683,817,23,4581.51,3106.5
10000209,32,2025-01-01,Email,68973,1702,79,161.51,5287.66
10000210,11,2025-01-09,Direct Mail,47298,1566,152,3943.73,18116.98
10000211,41,2025-01-30,Radio,19967,930,54,4410.15,4058.87
10000212,57,2025-01-02,Direct Mail,73372,2091,83,3061.07,5892.49
10000213,52,2025-01-15,Direct Mail,31473,602,50,2596.63,4247.49
10000214,29,2025-01-01,PPC,68211,1715,78,703.81,6312.8
10000215,57,2025-01-22,PPC,5632,96,3,1007.92,528.12
10000216,45,2025-01-19,Radio,50220,2256,204,3914.59,26302.58
10000217,49,2025-01-08,Display,49250,2189,199,2776.01,10773.47
10000218,58,2025-01-10,Direct Mail,26511,809,53,624.33,5711.43
10000219,8,2025-01-01,Radio,24038,1201,67,2561.52,7520.06
10000220,12,2025-01-17,Display,20902,867,59,2562.43,11710.51
10000221,6,2025-01-23,Radio,34518,1473,120,822.2,20234.53
10000222,21,2025-01-22,Email,24402,708,21,3605.4,1058.72
10000223,20,2025-01-28,TV,83948,3870,302,4311.49,29971.32
10000224,49,2025-01-07,TV,23485,572,54,183.13,9125.21
10000225,39,2025-01-24,Social,50179,1415,116,1634.46,6787.83
10000226,47,2025-01-26,PPC,13878,155,5,3809.97,639.4
10000227,25,2025-01-10,Direct Mail,37012,1144,67,1902.08,10505.31
10000228,6,2025-01-20,Radio,5468,176,13,4298.1,2144.05
10000229,21,2025-01-15,Display,55088,1302,112,994.15,9272.55
10000230,41,2025-01-09,Email,28352,1026,93,3058.14,6134.21
10000231,46,2025-01-06,Display,2126,24,0,1901.87,0.0
10000232,47,2025-01-26,Social,14408,182,11,1927.0,1547.65
10000233,12,2025-01-09,Email,78113,3820,176,4236.76,34104.31
10000234,12,2025-01-17,Radio,58421,1076,76,3810.64,8693.52
10000235,2,2025-01-20,Radio,38389,1420,137,1101.38,11722.91
10000236,17,2025-01-29,Radio,37246,1190,77,3691.81,15118.9
10000237,20,2025-01-01,TV,8373,319,11,233.54,666.67
10000238,35,2025-01-22,PPC,61725,2229,134,2435.28,11978.45
10000239,59,2025-01-10,Email,17286,227,14,1976.87,1139.3
10000240,40,2025-01-18,Email,49577,1614,125,4384.85,18787.78
10000241,47,2025-01-19,PPC,22770,288,9,4215.96,616.63
10000242,42,2025-01-15,TV,12241,611,23,4031.87,1494.24
10000243,11,2025-01-14,Email,58087,1439,87,2120.47,9142.92
10000244,14,2025-01-19,TV,55146,743,31,4542.37,2342.85
10000245,10,2025-01-27,Direct Mail,78823,1886,80,1028.7,15480.23
10000246,35,2025-01-09,Social,77645,2126,151,899.31,18542.42
10000247,25,2025-01-18,Radio,66885,2350,53,1852.79,4554.39
10000248,60,2025-01-23,Direct Mail,52720,2010,161,3259.4,26971.21
10000249,6,2025-01-18,Email,67222,1215,63,2069.32,3196.11
10000250,50,2025-01-14,Display,73040,1965,73,1861.13,4080.7
10000251,52,2025-01-08,Social,35433,981,27,4510.07,3090.63
10000252,14,2025-01-16,TV,84297,2042,139,1156.38,10327.49
10000253,7,2025-01-18,Social,60342,654,52,1190.52,9927.3
10000254,39,2025-01-22,Social,29055,1049,93,2595.03,7893.52
10000255,13,2025-01-03,Display,77730,2907,113,1236.36,10350.52
10000256,30,2025-01-05,Radio,24743,1153,89,576.86,9762.28
10000257,21,2025-01-06,PPC,20191,644,28,1530.54,1626.21
10000258,5,2025-01-26,Radio,24010,622,60,3762.78,10372.65
10000259,51,2025-01-09,Direct Mail,30564,1019,66,166.29,9898.99
10000260,27,2025-01-16,PPC,58987,2103,117,1450.73,20343.16
10000261,39,2025-01-11,TV,33377,483,27,123.7,4187.29
10000262,11,2025-01-22,Display,9755,154,5,3162.71,789.06
10000263,53,2025-01-22,TV,52968,2269,104,607.31,6820.54
10000264,53,2025-01-12,Radio,60468,1323,61,3789.81,9285.18
10000265,31,2025-01-28,Email,41233,1050,83,4449.7,13687.43
10000266,21,2025-01-31,Radio,10651,421,11,1082.51,844.77
10000267,35,2025-01-25,TV,64918,2909,110,591.38,5645.57
10000268,16,2025-01-17,Display,17539,787,38,3935.4,2585.31
10000269,34,2025-01-30,Display,83227,1297,97,1643.97,8302.44
10000270,6,2025-01-15,Radio,7861,272,22,3925.36,2894.47
10000271,40,2025-01-11,Social,20139,344,11,2974.73,1815.77
10000272,56,2025-01-20,Email,35802,593,37,1606.43,6401.02
10000273,14,2025-01-04,Social,28515,1084,89,2991.76,9150.24
10000274,52,2025-01-19,TV,76064,1639,128,2088.61,8409.57
10000275,26,2025-01-01,Direct Mail,15479,214,15,3951.24,1689.5
10000276,1,2025-01-06,PPC,52011,1129,88,4530.1,16904.49
10000277,33,2025-01-13,Email,21173,715,55,3631.99,7202.26
10000278,31,2025-01-09,Email,53672,1146,56,2613.13,3342.72
10000279,26,2025-01-18,Email,69185,2967,98,1002.06,9060.39
10000280,33,2025-01-21,Social,47398,1737,155,2149.42,25680.12
10000281,54,2025-01-22,Social,24079,624,49,2508.81,9785.37
10000282,42,2025-01-28,Social,63638,2172,115,3245.57,19624.1
10000283,22,2025-01-30,TV,66133,1511,77,3909.45,3991.79
10000284,13,2025-01-30,Display,49553,636,42,2954.93,7193.4
10000285,29,2025-01-01,TV,60404,1583,102,3696.9,6407.11
10000286,27,2025-01-20,Social,84973,1831,69,3331.45,4781.73
10000287,46,2025-01-22,PPC,38847,1903,102,660.03,5802.37
10000288,37,2025-01-30,Direct Mail,7759,171,4,2183.47,393.38
10000289,28,2025-01-21,PPC,61491,2301,50,2008.39,3171.83
10000290,51,2025-01-22,PPC,39245,1414,56,4406.94,5208.09
10000291,18,2025-01-21,Social,13786,373,17,3032.11,3239.55
10000292,20,2025-01-08,Direct Mail,28488,1122,101,3043.21,10107.62
10000293,46,2025-01-29,Social,9955,490,16,113.88,1111.41
10000294,28,2025-01-22,Email,19812,481,46,297.3,2637.45
10000295,1,2025-01-31,Radio,79026,3425,119,2877.54,6515.15
10000296,60,2025-01-29,Display,60575,2371,165,200.39,26930.13
10000297,9,2025-01-22,Social,75374,3234,112,2690.89,16586.19
10000298,1,2025-01-14,PPC,46454,1219,117,3328.07,12638.95
10000299,42,2025-01-05,Radio,54915,961,95,4610.55,9332.34
10000300,13,2025-01-26,Social,48741,1770,50,1340.76,8534.5
10000301,45,2025-01-10,Social,65410,2519,190,3613.65,18955.56
10000302,43,2025-01-02,Email,21487,1048,97,4197.49,4855.72
10000303,25,2025-01-04,Email,23120,1097,30,4101.15,5699.57
10000304,59,2025-01-19,Direct Mail,19221,911,81,1927.01,14180.62
10000305,13,2025-01-12,Display,60655,2822,234,4277.22,28578.59
10000306,23,2025-01-27,Social,57558,1608,62,1103.92,11137.9
10000307,40,2025-01-05,Display,84208,3409,178,3330.61,9221.61
10000308,49,2025-01-25,TV,24069,1066,56,1899.23,6133.23
10000309,56,2025-01-02,PPC,28303,322,24,2299.39,2106.52
10000310,6,2025-01-21,Direct Mail,16052,200,17,641.23,1264.6
10000311,16,2025-01-25,TV,16877,561,38,4487.19,5154.21
10000312,28,2025-01-25,TV,29994,743,30,172.17,1621.44
10000313,32,2025-01-01,PPC,35004,1334,61,1278.52,8369.4
10000314,58,2025-01-08,PPC,35294,609,42,908.99,6971.9
10000315,11,2025-01-31,Display,26527,582,51,359.7,7046.91
10000316,24,2025-01-25,Direct Mail,46526,1384,54,3465.48,3867.77
10000317,48,2025-01-17,Email,28122,585,54,203.78,8352.37
10000318,42,2025-01-08,Display,68620,2426,124,2348.17,24153.53
10000319,28,2025-01-14,Radio,12027,532,46,1566.28,3694.52
10000320,5,2025-01-02,PPC,28367,1125,69,2110.82,10851.65
10000321,10,2025-01-07,PPC,49065,1418,59,2080.98,8779.05
10000322,46,2025-01-03,Display,47467,2323,118,2131.94,20005.19
10000323,58,2025-01-08,TV,14667,349,19,726.48,3438.37
10000324,59,2025-01-18,Email,49713,565,28,2520.91,4180.21
10000325,7,2025-01-09,Direct Mail,51623,923,21,3857.03,2850.98
10000326,42,2025-01-19,TV,12491,543,48,3211.62,3600.74
10000327,27,2025-01-06,Email,28415,607,20,3271.06,3560.4
10000328,10,2025-01-15,Display,41221,1158,55,784.0,10436.35
10000329,11,2025-01-26,Email,45615,1290,74,647.46,13947.47
10000330,50,2025-01-14,Social,10394,415,32,2913.79,2136.05
10000331,56,2025-01-13,TV,80612,1776,97,3505.57,9611.07
10000332,55,2025-01-26,Direct Mail,41275,650,13,1667.77,1544.84
10000333,54,2025-01-13,Email,5410,128,3,2372.3,216.98
10000334,15,2025-01-30,PPC,57612,1104,48,3121.73,5217.21
10000335,21,2025-01-17,Radio,40917,497,47,1498.16,2942.11
10000336,25,2025-01-07,Social,84493,1174,104,714.2,9024.16
10000337,21,2025-01-22,Radio,23377,496,31,1078.58,2594.35
10000338,39,2025-01-12,Radio,51220,1435,84,2001.86,4753.36
10000339,60,2025-01-16,Display,51619,1787,102,1293.63,17907.75
10000340,57,2025-01-15,Display,66379,1699,129,1776.99,20381.86
10000341,29,2025-01-08,Email,66904,1961,127,3316.42,12901.51
10000342,40,2025-01-18,Radio,70384,1084,50,3008.09,5497.18
10000343,20,2025-01-14,Display,21348,505,18,724.85,2534.87
10000344,27,2025-01-05,Display,14562,427,20,4280.65,2187.3
10000345,45,2025-01-17,Social,63996,2081,98,3855.54,14126.16
10000346,60,2025-01-01,Radio,77871,1539,66,3306.13,5453.15
10000347,17,2025-01-04,Radio,19665,514,26,211.9,4226.13
10000348,43,2025-01-17,Radio,69060,2006,84,491.59,15691.85
10000349,3,2025-01-17,Email,42196,1687,150,2778.16,22002.32
10000350,23,2025-01-06,Social,24411,807,49,1900.91,2870.32
10000351,35,2025-01-15,Display,32503,387,28,3463.24,5020.19
10000352,57,2025-01-28,Radio,53108,1701,59,2199.19,11621.03
10000353,33,2025-01-13,TV,67046,3061,221,4674.42,11752.59
10000354,53,2025-01-29,Display,60276,1378,114,2052.07,20069.89
10000355,15,2025-01-26,Email,24135,1053,41,743.57,5928.95
10000356,42,2025-01-03,Direct Mail,81824,2645,162,296.3,10259.64
10000357,24,2025-01-02,PPC,7221,227,19,426.43,1781.12
10000358,23,2025-01-06,Social,989,11,1,4176.83,133.28
10000359,26,2025-01-06,Direct Mail,66313,1064,62,3183.39,9251.76
10000360,7,2025-01-16,PPC,73509,3241,315,4656.85,35512.8
10000361,16,2025-01-26,Direct Mail,17019,413,30,2687.89,4927.72
10000362,53,2025-01-31,TV,53886,2137,125,2571.13,13724.12
10000363,20,2025-01-03,PPC,18445,314,8,1606.15,1474.38
10000364,23,2025-01-22,Radio,81409,3582,179,3461.55,30651.69
10000365,46,2025-01-15,Radio,69197,2532,71,2725.49,4317.91
10000366,13,2025-01-26,PPC,9288,199,17,302.51,2505.06
10000367,23,2025-01-08,Radio,64824,3002,174,1892.01,32692.81
10000368,59,2025-01-20,Direct Mail,48078,1285,104,1682.74,19875.56
10000369,57,2025-01-16,Email,50363,2061,119,2356.61,23783.72
10000370,41,2025-01-07,Email,75694,2516,114,4625.39,9839.86
10000371,53,2025-01-05,Social,75949,2732,133,804.22,21586.57
10000372,57,2025-01-01,Radio,36099,1236,118,942.76,17793.53
10000373,27,2025-01-21,Email,5266,157,11,1992.17,2122.15
10000374,15,2025-01-15,Radio,64261,1201,32,4306.44,3310.34
10000375,24,2025-01-25,Social,37421,1072,32,3807.85,5705.41
10000376,8,2025-01-09,TV,46246,1186,98,3033.97,4972.36
10000377,9,2025-01-29,Display,5817,281,23,321.01,2609.34
10000378,45,2025-01-07,TV,29292,1366,49,4349.45,6133.96
10000379,52,2025-01-30,TV,14414,207,11,2523.42,1842.62
10000380,39,2025-01-14,TV,74286,1153,38,266.17,2115.82
10000381,35,2025-01-31,Display,67232,2237,204,253.34,24035.57
10000382,60,2025-01-25,Email,61160,2205,162,1610.99,10184.8
10000383,37,2025-01-01,Display,24541,477,17,1880.87,2117.95
10000384,58,2025-01-11,Email,5705,236,9,2274.38,503.33
10000385,55,2025-01-28,TV,38830,1750,145,2134.11,28444.83
10000386,56,2025-01-27,Direct Mail,33849,647,27,1403.01,5296.53
10000387,51,2025-01-24,Radio,47110,682,28,2453.24,1400.19
10000388,44,2025-01-09,TV,65369,2797,258,1312.97,50666.89
10000389,41,2025-01-24,PPC,63255,1472,66,2114.21,12592.24
10000390,40,2025-01-12,Display,83622,3788,151,3470.74,23724.16
10000391,54,2025-01-22,Direct Mail,56360,1821,149,1643.87,23779.86
10000392,10,2025-01-27,Social,44875,1656,107,3310.0,13789.6
10000393,8,2025-01-01,PPC,11218,411,17,2874.42,3141.95
10000394,24,2025-01-14,Radio,46727,2012,155,4626.93,12700.09
10000395,4,2025-01-10,TV,55353,599,59,3503.33,5169.4
10000396,33,2025-01-31,Email,7153,250,12,3482.75,660.57
10000397,16,2025-01-19,Direct Mail,58165,2409,194,572.0,17342.19
10000398,24,2025-01-19,Email,36542,479,33,2330.24,5436.31
10000399,51,2025-01-01,PPC,18582,911,67,1100.64,6756.86
10000400,58,2025-01-18,Email,48583,1553,140,1553.08,27706.14
10000401,42,2025-01-30,PPC,55188,1075,96,284.93,6080.99
10000402,51,2025-01-02,Radio,30359,1513,87,2103.2,7255.57
10000403,40,2025-01-22,TV,13397,394,34,3061.73,6033.72
10000404,14,2025-01-28,Social,23844,617,29,3380.05,4088.01
10000405,19,2025-01-09,Direct Mail,71635,1154,43,4497.91,8534.43
10000406,56,2025-01-06,TV,15205,257,5,1523.06,459.23
10000407,15,2025-01-16,Social,39938,1529,126,568.0,24530.78
