complaint_id,customer_key,complaint_date,complaint_type,status,resolution_days,compensation_amount,ofcom_escalated
10000034,941,2025-01-20,Billing,Resolved,26.0,0.0,False
10000035,930,2025-01-07,Billing,Open,2.0,0.0,False
10000036,72,2025-01-17,Billing,Under Investigation,,0.0,False
10000037,942,2025-01-11,Other,Closed,29.0,0.0,False
10000038,97,2025-01-28,Billing,Under Investigation,27.0,0.0,False
10000039,852,2025-01-02,Contract,Resolved,,0.0,False
10000040,383,2025-01-16,Billing,Resolved,1.0,0.0,False
10000041,905,2025-01-08,Billing,Closed,28.0,0.0,False
10000042,158,2025-01-14,Customer Service,Closed,,0.0,False
10000043,496,2025-01-26,Network,Under Investigation,,0.0,False
10000044,471,2025-01-02,Network,Under Investigation,1.0,0.0,False
10000045,208,2025-01-20,Contract,Closed,12.0,0.0,False
10000046,338,2025-01-10,Service,Closed,30.0,15.89,False
10000047,131,2025-01-07,Billing,Closed,12.0,87.13,False
10000048,94,2025-01-04,Customer Service,Open,23.0,32.11,False
10000049,670,2025-01-18,Customer Service,Under Investigation,18.0,0.0,False
10000050,6,2025-01-22,Contract,Open,21.0,0.0,False
10000051,669,2025-01-20,Service,Resolved,14.0,0.0,False
10000052,465,2025-01-19,Customer Service,Closed,,0.0,False
10000053,332,2025-01-04,Network,Open,4.0,0.0,False
10000054,26,2025-01-12,Billing,Open,18.0,0.0,False
10000055,535,2025-01-01,Contract,Resolved,24.0,0.0,False
10000056,65,2025-01-26,Contract,Open,14.0,60.73,False
10000057,662,2025-01-03,Billing,Under Investigation,15.0,0.0,False
10000058,341,2025-01-31,Customer Service,Under Investigation,,0.0,False
10000059,759,2025-01-22,Service,Under Investigation,,0.0,True
10000060,152,2025-01-29,Other,Open,,74.55,False
10000061,516,2025-01-03,Billing,Under Investigation,18.0,0.0,False
10000062,683,2025-01-10,Contract,Resolved,,0.0,False
10000063,657,2025-01-06,Contract,Under Investigation,,0.0,False
10000064,192,2025-01-14,Service,Open,,36.66,False
10000065,955,2025-01-04,Billing,Closed,20.0,0.0,False
10000066,470,2025-01-29,Other,Under Investigation,2.0,55.47,False
10000067,27,2025-01-09,Billing,Closed,,0.0,False
10000068,943,2025-01-11,Billing,Resolved,,70.87,False
10000069,92,2025-01-11,Billing,Under Investigation,16.0,0.0,False
10000070,253,2025-01-30,Service,Resolved,,0.0,False
10000071,275,2025-01-19,Other,Under Investigation,,0.0,False
10000072,535,2025-01-23,Service,Under Investigation,28.0,0.0,False
10000073,555,2025-01-09,Service,Open,29.0,99.54,False
10000074,718,2025-01-27,Billing,Closed,11.0,0.0,False
10000075,764,2025-01-26,Billing,Open,7.0,0.0,False
10000076,24,2025-01-20,Other,Under Investigation,,0.0,False
10000077,51,2025-01-30,Billing,Resolved,19.0,0.0,False
10000078,378,2025-01-03,Customer Service,Open,11.0,31.33,False
10000079,319,2025-01-18,Service,Under Investigation,24.0,0.0,False
10000080,789,2025-01-30,Other,Under Investigation,,0.0,False
10000081,609,2025-01-22,Contract,Resolved,,54.35,False
10000082,227,2025-01-19,Contract,Resolved,1.0,0.0,False
10000083,505,2025-01-28,Other,Resolved,12.0,0.0,False
10000084,871,2025-01-27,Network,Under Investigation,3.0,81.74,False
10000085,87,2025-01-30,Customer Service,Resolved,2.0,0.0,False
10000086,75,2025-01-20,Billing,Under Investigation,10.0,0.0,False
10000087,209,2025-01-03,Other,Open,25.0,0.0,False
10000088,5,2025-01-27,Contract,Open,18.0,0.0,False
10000089,343,2025-01-11,Customer Service,Open,27.0,0.0,False
10000090,376,2025-01-02,Network,Closed,1.0,0.0,False
10000091,52,2025-01-15,Customer Service,Closed,14.0,0.0,False
10000092,463,2025-01-06,Other,Under Investigation,24.0,0.0,False
10000093,624,2025-01-13,Network,Closed,3.0,0.0,False
10000094,564,2025-01-09,Billing,Closed,,0.0,False
10000095,971,2025-01-15,Network,Resolved,,42.04,False
10000096,599,2025-01-14,Billing,Closed,2.0,0.0,False
10000097,62,2025-01-08,Customer Service,Resolved,3.0,0.0,False
10000098,385,2025-01-11,Other,Resolved,19.0,0.0,False
10000099,254,2025-01-07,Billing,Under Investigation,27.0,0.0,False
10000100,810,2025-01-25,Contract,Under Investigation,27.0,0.0,False
10000101,744,2025-01-09,Other,Under Investigation,19.0,0.0,False
10000102,910,2025-01-23,Service,Closed,26.0,0.0,False
10000103,678,2025-01-11,Other,Under Investigation,5.0,0.0,False
10000104,825,2025-01-26,Billing,Resolved,9.0,53.29,False
10000105,529,2025-01-31,Other,Resolved,,0.0,False
10000106,982,2025-01-01,Other,Resolved,,0.0,False
10000107,1000,2025-01-27,Service,Resolved,28.0,0.0,False
10000108,656,2025-01-25,Contract,Resolved,30.0,0.0,False
10000109,21,2025-01-01,Customer Service,Closed,7.0,0.0,False
10000110,327,2025-01-05,Billing,Closed,,14.19,False
10000111,133,2025-01-18,Contract,Under Investigation,3.0,40.9,False
10000112,413,2025-01-20,Other,Open,,15.09,False
10000113,545,2025-01-22,Customer Service,Closed,13.0,0.0,False
10000114,132,2025-01-06,Network,Under Investigation,,0.0,False
10000115,246,2025-01-22,Other,Resolved,,0.0,False
10000116,953,2025-01-28,Customer Service,Under Investigation,11.0,0.0,False
10000117,84,2025-01-10,Customer Service,Resolved,,53.13,False
10000118,965,2025-01-05,Billing,Open,29.0,0.0,False
10000119,751,2025-01-05,Other,Closed,24.0,0.0,False
10000120,415,2025-01-12,Network,Resolved,20.0,0.0,False
10000121,129,2025-01-10,Billing,Under Investigation,24.0,0.0,False
10000122,414,2025-01-30,Other,Resolved,14.0,0.0,False
10000123,35,2025-01-06,Contract,Open,,0.0,False
10000124,680,2025-01-22,Contract,Open,8.0,19.39,False
10000125,334,2025-01-16,Billing,Under Investigation,,32.56,False
10000126,551,2025-01-09,Billing,Closed,3.0,0.0,False
10000127,855,2025-01-31,Contract,Resolved,16.0,0.0,False
10000128,772,2025-01-26,Billing,Under Investigation,,55.27,False
10000129,283,2025-01-15,Service,Open,12.0,0.0,False
10000130,239,2025-01-21,Network,Open,22.0,59.47,False
10000131,861,2025-01-06,Service,Open,4.0,0.0,False
10000132,748,2025-01-16,Network,Closed,23.0,0.0,True
10000133,598,2025-01-18,Customer Service,Resolved,16.0,0.0,False
10000134,412,2025-01-15,Other,Under Investigation,27.0,0.0,False
10000135,43,2025-01-07,Customer Service,Open,11.0,0.0,False
10000136,565,2025-01-28,Contract,Resolved,,0.0,False
10000137,934,2025-01-04,Other,Closed,22.0,0.0,False
10000138,113,2025-01-16,Billing,Under Investigation,9.0,0.0,False
10000139,100,2025-01-23,Other,Closed,1.0,0.0,False
10000140,899,2025-01-07,Customer Service,Under Investigation,13.0,0.0,False
10000141,246,2025-01-04,Network,Closed,24.0,0.0,False
10000142,738,2025-01-30,Billing,Closed,29.0,0.0,False
10000143,400,2025-01-17,Contract,Under Investigation,12.0,0.0,False
10000144,988,2025-01-03,Customer Service,Resolved,26.0,0.0,False
10000145,681,2025-01-02,Customer Service,Resolved,21.0,0.0,False
10000146,873,2025-01-25,Other,Under Investigation,12.0,29.65,False
10000147,326,2025-01-19,Other,Resolved,23.0,0.0,False
10000148,101,2025-01-09,Contract,Resolved,,0.0,False
10000149,568,2025-01-30,Service,Open,11.0,0.0,False
10000150,573,2025-01-28,Network,Closed,,0.0,False
10000151,615,2025-01-15,Network,Resolved,10.0,0.0,False
10000152,537,2025-01-02,Customer Service,Open,19.0,40.89,False
10000153,768,2025-01-04,Contract,Resolved,13.0,0.0,False
10000154,153,2025-01-08,Contract,Closed,29.0,0.0,False
10000155,276,2025-01-17,Customer Service,Closed,6.0,0.0,False
10000156,578,2025-01-02,Network,Closed,,0.0,False
10000157,823,2025-01-02,Billing,Under Investigation,11.0,0.0,False
10000158,17,2025-01-24,Customer Service,Resolved,23.0,0.0,False
10000159,409,2025-01-15,Other,Open,,42.84,False
10000160,168,2025-01-15,Customer Service,Open,30.0,0.0,False
10000161,947,2025-01-06,Other,Under Investigation,,0.0,False
10000162,876,2025-01-14,Contract,Open,,0.0,False
10000163,497,2025-01-07,Contract,Open,12.0,0.0,False
10000164,33,2025-01-16,Customer Service,Resolved,13.0,40.26,False
10000165,115,2025-01-02,Network,Open,,0.0,False
10000166,46,2025-01-31,Billing,Closed,,0.0,False
10000167,907,2025-01-27,Billing,Resolved,,78.61,False
10000168,990,2025-01-25,Service,Under Investigation,27.0,0.0,False
10000169,320,2025-01-28,Contract,Open,20.0,0.0,False
10000170,45,2025-01-31,Other,Under Investigation,,31.87,False
10000171,927,2025-01-31,Billing,Resolved,,0.0,False
10000172,529,2025-01-20,Other,Open,,0.0,False
10000173,940,2025-01-19,Network,Closed,,70.6,False
10000174,239,2025-01-24,Service,Resolved,7.0,0.0,False
10000175,892,2025-01-27,Other,Under Investigation,13.0,0.0,False
10000176,319,2025-01-24,Service,Open,,0.0,False
10000177,428,2025-01-21,Service,Resolved,,57.4,False
10000178,114,2025-01-03,Customer Service,Under Investigation,6.0,0.0,False
10000179,774,2025-01-24,Network,Open,13.0,0.0,True
10000180,381,2025-01-27,Billing,Closed,20.0,0.0,False
10000181,316,2025-01-30,Contract,Open,11.0,0.0,False
10000182,552,2025-01-18,Network,Open,,0.0,False
10000183,692,2025-01-19,Billing,Resolved,20.0,0.0,False
10000184,815,2025-01-09,Contract,Closed,26.0,0.0,False
10000185,390,2025-01-28,Network,Closed,26.0,0.0,False
10000186,37,2025-01-08,Service,Under Investigation,6.0,0.0,False
10000187,36,2025-01-24,Other,Under Investigation,12.0,0.0,False
10000188,175,2025-01-17,Billing,Open,,76.99,False
10000189,480,2025-01-22,Service,Closed,28.0,0.0,False
10000190,402,2025-01-19,Service,Open,17.0,0.0,False
10000191,844,2025-01-31,Other,Closed,2.0,76.6,False
10000192,539,2025-01-15,Other,Resolved,27.0,79.31,False
10000193,681,2025-01-31,Billing,Under Investigation,28.0,0.0,False
10000194,344,2025-01-12,Service,Closed,23.0,68.84,False
10000195,392,2025-01-03,Contract,Closed,5.0,31.86,False
10000196,624,2025-01-16,Network,Under Investigation,24.0,0.0,False
10000197,809,2025-01-23,Contract,Closed,17.0,0.0,False
10000198,713,2025-01-17,Contract,Resolved,,0.0,False
10000199,236,2025-01-12,Billing,Closed,3.0,0.0,False
10000200,769,2025-01-01,Network,Under Investigation,6.0,0.0,False
10000201,592,2025-01-19,Service,Closed,7.0,0.0,False
10000202,980,2025-01-31,Network,Open,14.0,0.0,False
10000203,148,2025-01-30,Other,Closed,12.0,18.89,False
10000204,716,2025-01-16,Network,Under Investigation,13.0,0.0,False
10000205,15,2025-01-20,Billing,Under Investigation,,0.0,False
10000206,256,2025-01-23,Service,Open,,0.0,False
10000207,461,2025-01-08,Customer Service,Resolved,24.0,0.0,False
10000208,645,2025-01-08,Service,Under Investigation,25.0,0.0,False
10000209,118,2025-01-24,Billing,Closed,1.0,0.0,False
10000210,643,2025-01-06,Customer Service,Open,,0.0,False
10000211,112,2025-01-13,Other,Closed,25.0,0.0,False
10000212,347,2025-01-04,Service,Under Investigation,,94.45,False
10000213,330,2025-01-02,Other,Resolved,15.0,0.0,False
10000214,39,2025-01-01,Other,Resolved,,0.0,False
10000215,645,2025-01-29,Customer Service,Open,3.0,0.0,False
10000216,268,2025-01-04,Contract,Open,28.0,0.0,False
10000217,899,2025-01-23,Service,Open,1.0,0.0,False
10000218,137,2025-01-06,Billing,Closed,,0.0,False
10000219,949,2025-01-26,Network,Open,8.0,0.0,False
10000220,617,2025-01-27,Network,Resolved,2.0,0.0,False
10000221,621,2025-01-10,Customer Service,Under Investigation,3.0,90.56,False
10000222,462,2025-01-29,Contract,Under Investigation,28.0,66.43,False
10000223,848,2025-01-19,Customer Service,Under Investigation,30.0,0.0,False
10000224,784,2025-01-04,Billing,Closed,,0.0,False
10000225,656,2025-01-19,Network,Closed,19.0,43.42,False
10000226,826,2025-01-08,Billing,Open,,0.0,False
10000227,858,2025-01-23,Contract,Closed,,0.0,False
10000228,492,2025-01-20,Contract,Open,,0.0,False
10000229,760,2025-01-21,Contract,Under Investigation,24.0,91.25,False
10000230,408,2025-01-09,Customer Service,Closed,24.0,0.0,False
10000231,777,2025-01-21,Service,Open,6.0,24.48,False
10000232,422,2025-01-01,Other,Closed,,0.0,False
10000233,672,2025-01-10,Other,Closed,15.0,77.2,False
10000234,163,2025-01-28,Network,Under Investigation,25.0,0.0,False
10000235,797,2025-01-10,Other,Closed,,0.0,False
10000236,603,2025-01-12,Network,Resolved,28.0,0.0,False
10000237,373,2025-01-07,Network,Resolved,23.0,0.0,False
10000238,349,2025-01-28,Billing,Open,,0.0,False
10000239,807,2025-01-03,Service,Closed,15.0,0.0,False
10000240,270,2025-01-25,Customer Service,Resolved,11.0,0.0,False
10000241,239,2025-01-23,Billing,Resolved,16.0,0.0,False
10000242,565,2025-01-26,Customer Service,Closed,19.0,0.0,False
10000243,567,2025-01-07,Billing,Closed,12.0,0.0,False
10000244,138,2025-01-25,Service,Under Investigation,15.0,0.0,True
10000245,949,2025-01-31,Service,Resolved,18.0,0.0,True
10000246,120,2025-01-30,Billing,Closed,23.0,0.0,False
10000247,664,2025-01-23,Billing,Resolved,18.0,0.0,False
10000248,522,2025-01-15,Billing,Resolved,10.0,0.0,False
10000249,934,2025-01-05,Billing,Closed,17.0,0.0,False
10000250,772,2025-01-25,Other,Open,,0.0,False
10000251,487,2025-01-23,Billing,Resolved,10.0,0.0,False
10000252,614,2025-01-23,Network,Open,,0.0,False
10000253,237,2025-01-14,Service,Closed,6.0,0.0,False
10000254,128,2025-01-17,Billing,Resolved,6.0,54.54,False
10000255,68,2025-01-27,Service,Open,27.0,0.0,False
10000256,548,2025-01-12,Service,Open,3.0,0.0,False
10000257,958,2025-01-29,Customer Service,Open,,0.0,False
10000258,803,2025-01-11,Network,Resolved,25.0,0.0,False
10000259,689,2025-01-05,Other,Under Investigation,29.0,0.0,False
10000260,193,2025-01-20,Other,Closed,19.0,0.0,False
10000261,746,2025-01-21,Network,Open,5.0,0.0,False
10000262,996,2025-01-07,Network,Resolved,9.0,0.0,False
10000263,219,2025-01-17,Customer Service,Under Investigation,15.0,0.0,False
10000264,480,2025-01-31,Billing,Resolved,3.0,0.0,False
10000265,404,2025-01-19,Network,Under Investigation,19.0,0.0,False
10000266,639,2025-01-12,Other,Closed,,0.0,False
10000267,104,2025-01-28,Other,Resolved,22.0,0.0,False
10000268,449,2025-01-21,Service,Under Investigation,,62.15,False
10000269,406,2025-01-25,Service,Open,7.0,0.0,False
10000270,628,2025-01-09,Other,Resolved,2.0,0.0,False
10000271,634,2025-01-12,Network,Under Investigation,12.0,0.0,False
10000272,403,2025-01-17,Contract,Open,16.0,0.0,False
10000273,60,2025-01-13,Customer Service,Resolved,19.0,13.54,False
10000274,440,2025-01-29,Service,Closed,,0.0,False
10000275,263,2025-01-16,Other,Closed,,0.0,True
10000276,262,2025-01-27,Customer Service,Under Investigation,28.0,83.19,False
10000277,826,2025-01-16,Customer Service,Resolved,19.0,0.0,False
10000278,473,2025-01-01,Other,Under Investigation,1.0,0.0,False
10000279,825,2025-01-07,Customer Service,Under Investigation,,0.0,False
10000280,366,2025-01-29,Service,Resolved,24.0,0.0,False
10000281,564,2025-01-08,Other,Open,13.0,0.0,False
10000282,248,2025-01-22,Other,Under Investigation,14.0,0.0,False
10000283,679,2025-01-17,Billing,Open,,24.21,False
10000284,941,2025-01-16,Other,Resolved,3.0,19.62,False
10000285,441,2025-01-15,Billing,Closed,22.0,0.0,False
10000286,25,2025-01-12,Network,Resolved,16.0,0.0,False
10000287,48,2025-01-20,Customer Service,Closed,25.0,0.0,False
10000288,522,2025-01-13,Service,Under Investigation,19.0,0.0,False
10000289,701,2025-01-14,Contract,Open,9.0,0.0,False
10000290,802,2025-01-19,Billing,Under Investigation,16.0,0.0,False
10000291,555,2025-01-01,Contract,Closed,24.0,37.83,False
10000292,620,2025-01-14,Other,Closed,20.0,0.0,False
10000293,997,2025-01-02,Billing,Under Investigation,,0.0,False
10000294,92,2025-01-02,Service,Resolved,13.0,0.0,False
10000295,193,2025-01-04,Customer Service,Under Investigation,4.0,0.0,False
10000296,666,2025-01-06,Network,Under Investigation,13.0,0.0,False
10000297,501,2025-01-13,Other,Closed,6.0,0.0,False
10000298,12,2025-01-21,Other,Closed,,0.0,False
10000299,574,2025-01-15,Other,Under Investigation,27.0,0.0,False
10000300,8,2025-01-11,Contract,Resolved,1.0,0.0,False
10000301,292,2025-01-15,Service,Closed,14.0,40.14,False
10000302,461,2025-01-06,Service,Resolved,,0.0,False
10000303,327,2025-01-24,Billing,Closed,16.0,87.89,False
10000304,327,2025-01-18,Network,Closed,4.0,0.0,False
10000305,921,2025-01-15,Other,Resolved,3.0,42.76,False
10000306,820,2025-01-20,Network,Closed,,0.0,False
10000307,504,2025-01-16,Contract,Resolved,29.0,46.48,False
10000308,494,2025-01-21,Customer Service,Closed,2.0,0.0,False
10000309,404,2025-01-28,Billing,Open,,36.51,False
10000310,9,2025-01-11,Other,Closed,8.0,0.0,False
10000311,182,2025-01-19,Billing,Under Investigation,,98.63,False
10000312,336,2025-01-23,Customer Service,Under Investigation,27.0,0.0,False
10000313,314,2025-01-07,Network,Closed,10.0,0.0,False
10000314,429,2025-01-11,Service,Under Investigation,7.0,0.0,False
10000315,287,2025-01-07,Customer Service,Resolved,16.0,0.0,False
10000316,809,2025-01-25,Customer Service,Closed,24.0,0.0,False
10000317,533,2025-01-08,Billing,Resolved,28.0,78.33,False
10000318,514,2025-01-26,Contract,Under Investigation,26.0,0.0,False
10000319,645,2025-01-03,Other,Under Investigation,22.0,0.0,False
10000320,715,2025-01-06,Network,Resolved,11.0,22.6,False
10000321,260,2025-01-18,Service,Closed,,17.0,False
10000322,797,2025-01-12,Contract,Resolved,,0.0,False
10000323,482,2025-01-05,Billing,Closed,12.0,0.0,False
10000324,344,2025-01-01,Billing,Closed,,0.0,False
10000325,307,2025-01-31,Service,Open,28.0,0.0,False
10000326,519,2025-01-30,Billing,Resolved,,0.0,False
10000327,255,2025-01-11,Network,Closed,28.0,0.0,False
10000328,289,2025-01-16,Network,Under Investigation,1.0,0.0,False
10000329,476,2025-01-19,Customer Service,Open,13.0,0.0,False
10000330,245,2025-01-16,Contract,Open,,0.0,False
10000331,773,2025-01-25,Network,Closed,,0.0,False
10000332,138,2025-01-10,Customer Service,Under Investigation,26.0,0.0,False
10000333,962,2025-01-14,Billing,Closed,28.0,0.0,False
10000334,671,2025-01-03,Customer Service,Under Investigation,22.0,0.0,False
10000335,305,2025-01-27,Network,Under Investigation,11.0,0.0,False
10000336,95,2025-01-26,Customer Service,Closed,21.0,0.0,False
10000337,442,2025-01-25,Customer Service,Closed,,0.0,False
10000338,500,2025-01-30,Customer Service,Resolved,18.0,0.0,False
10000339,277,2025-01-30,Billing,Open,24.0,0.0,False
10000340,925,2025-01-06,Billing,Under Investigation,8.0,0.0,False
10000341,987,2025-01-24,Other,Closed,10.0,43.96,False
10000342,965,2025-01-25,Service,Open,,0.0,False
10000343,49,2025-01-28,Contract,Open,,0.0,False
10000344,73,2025-01-02,Customer Service,Resolved,,0.0,False
10000345,824,2025-01-05,Other,Open,7.0,0.0,False
10000346,504,2025-01-14,Service,Resolved,2.0,27.01,False
10000347,244,2025-01-13,Other,Open,28.0,0.0,False
10000348,369,2025-01-14,Customer Service,Resolved,20.0,84.11,False
10000349,22,2025-01-02,Customer Service,Open,27.0,0.0,False
10000350,953,2025-01-31,Customer Service,Closed,,55.63,False
10000351,91,2025-01-15,Network,Under Investigation,23.0,0.0,False
10000352,619,2025-01-25,Other,Resolved,14.0,53.48,False
10000353,833,2025-01-03,Network,Under Investigation,,12.82,False
10000354,150,2025-01-13,Customer Service,Under Investigation,,0.0,False
10000355,907,2025-01-01,Billing,Closed,25.0,0.0,False
10000356,517,2025-01-11,Billing,Under Investigation,,0.0,False
10000357,730,2025-01-17,Customer Service,Closed,15.0,0.0,False
10000358,572,2025-01-26,Billing,Open,,0.0,False
10000359,685,2025-01-14,Network,Closed,9.0,0.0,False
10000360,961,2025-01-11,Network,Resolved,4.0,0.0,False
10000361,353,2025-01-31,Network,Open,27.0,0.0,False
10000362,45,2025-01-10,Network,Under Investigation,21.0,29.8,False
10000363,52,2025-01-17,Service,Under Investigation,13.0,0.0,False
10000364,678,2025-01-10,Customer Service,Open,22.0,0.0,False
10000365,279,2025-01-28,Billing,Closed,,0.0,False
10000366,256,2025-01-06,Service,Closed,,0.0,False
10000367,215,2025-01-30,Service,Under Investigation,28.0,0.0,False
10000368,439,2025-01-25,Network,Under Investigation,,0.0,False
10000369,263,2025-01-26,Service,Open,,0.0,False
10000370,610,2025-01-23,Contract,Resolved,,0.0,False
10000371,684,2025-01-31,Customer Service,Open,,0.0,False
10000372,374,2025-01-05,Customer Service,Open,,0.0,False
10000373,541,2025-01-30,Service,Closed,9.0,0.0,False
10000374,572,2025-01-28,Other,Open,,0.0,False
10000375,56,2025-01-26,Network,Resolved,,0.0,False
10000376,209,2025-01-21,Other,Under Investigation,22.0,0.0,False
10000377,664,2025-01-08,Service,Under Investigation,13.0,0.0,False
10000378,313,2025-01-08,Other,Closed,21.0,28.67,False
10000379,625,2025-01-03,Service,Closed,28.0,0.0,False
10000380,392,2025-01-05,Billing,Resolved,17.0,0.0,False
10000381,785,2025-01-22,Other,Under Investigation,,0.0,False
10000382,134,2025-01-23,Customer Service,Open,22.0,0.0,False
10000383,168,2025-01-24,Other,Under Investigation,3.0,0.0,False
10000384,443,2025-01-14,Network,Resolved,,0.0,False
10000385,758,2025-01-30,Contract,Under Investigation,20.0,0.0,False
10000386,377,2025-01-24,Network,Open,26.0,0.0,False
10000387,793,2025-01-24,Contract,Resolved,,0.0,False
10000388,155,2025-01-15,Customer Service,Open,15.0,0.0,False
10000389,478,2025-01-30,Customer Service,Under Investigation,,0.0,False
10000390,453,2025-01-14,Network,Resolved,23.0,26.89,False
10000391,751,2025-01-16,Billing,Resolved,7.0,0.0,False
10000392,454,2025-01-19,Service,Under Investigation,,67.94,False
10000393,481,2025-01-01,Network,Closed,15.0,0.0,False
10000394,172,2025-01-11,Billing,Closed,3.0,0.0,False
10000395,655,2025-01-17,Other,Closed,24.0,0.0,False
10000396,29,2025-01-18,Service,Under Investigation,,0.0,False
10000397,60,2025-01-27,Service,Open,,0.0,False
10000398,112,2025-01-30,Customer Service,Open,15.0,0.0,False
10000399,951,2025-01-27,Customer Service,Open,23.0,67.75,False
10000400,144,2025-01-31,Other,Resolved,10.0,0.0,False
10000401,267,2025-01-03,Service,Closed,23.0,0.0,False
10000402,681,2025-01-27,Contract,Resolved,,0.0,False
10000403,359,2025-01-21,Billing,Under Investigation,7.0,0.0,False
10000404,815,2025-01-22,Other,Resolved,,0.0,False
10000405,699,2025-01-17,Service,Resolved,28.0,0.0,False
10000406,516,2025-01-14,Other,Under Investigation,29.0,0.0,False
10000407,387,2025-01-28,Service,Open,19.0,0.0,False
10000408,740,2025-01-06,Network,Resolved,4.0,50.87,False
10000409,436,2025-01-03,Customer Service,Closed,25.0,0.0,False
10000410,424,2025-01-22,Service,Resolved,29.0,0.0,False
10000411,6,2025-01-04,Customer Service,Resolved,4.0,0.0,False
10000412,384,2025-01-27,Contract,Closed,29.0,18.1,False
10000413,912,2025-01-18,Service,Resolved,30.0,0.0,False
10000414,972,2025-01-23,Other,Closed,18.0,0.0,False
10000415,778,2025-01-07,Other,Resolved,12.0,53.43,False
10000416,135,2025-01-09,Customer Service,Closed,,0.0,False
10000417,489,2025-01-11,Contract,Resolved,24.0,0.0,False
10000418,966,2025-01-07,Service,Closed,,0.0,False
10000419,83,2025-01-29,Other,Under Investigation,6.0,0.0,False
10000420,263,2025-01-24,Customer Service,Resolved,,0.0,False
10000421,843,2025-01-27,Other,Resolved,11.0,10.27,False
10000422,553,2025-01-28,Service,Under Investigation,28.0,0.0,False
10000423,622,2025-01-02,Billing,Under Investigation,,87.05,False
10000424,839,2025-01-16,Billing,Under Investigation,9.0,0.0,False
10000425,342,2025-01-12,Service,Under Investigation,,34.98,False
10000426,106,2025-01-22,Service,Resolved,15.0,0.0,False
10000427,289,2025-01-26,Customer Service,Under Investigation,24.0,0.0,False
10000428,713,2025-01-13,Billing,Under Investigation,26.0,0.0,False
10000429,498,2025-01-18,Network,Closed,,0.0,False
10000430,663,2025-01-18,Other,Resolved,7.0,0.0,False
10000431,39,2025-01-16,Network,Closed,3.0,80.65,False
10000432,851,2025-01-08,Contract,Under Investigation,12.0,0.0,False
10000433,814,2025-01-25,Billing,Open,20.0,25.35,False
10000434,861,2025-01-13,Billing,Under Investigation,,0.0,False
10000435,199,2025-01-28,Other,Closed,16.0,0.0,False
10000436,13,2025-01-27,Contract,Closed,14.0,0.0,False
10000437,749,2025-01-01,Other,Under Investigation,6.0,0.0,False
10000438,310,2025-01-10,Contract,Resolved,9.0,61.36,False
10000439,468,2025-01-25,Other,Under Investigation,1.0,0.0,False
10000440,492,2025-01-02,Billing,Open,18.0,0.0,False
10000441,60,2025-01-02,Billing,Under Investigation,1.0,41.6,False
10000442,885,2025-01-06,Other,Closed,21.0,0.0,False
10000443,918,2025-01-30,Customer Service,Closed,,55.08,False
10000444,54,2025-01-03,Other,Resolved,22.0,0.0,False
10000445,331,2025-01-30,Service,Under Investigation,29.0,0.0,False
10000446,294,2025-01-22,Other,Under Investigation,12.0,0.0,False
10000447,282,2025-01-10,Service,Under Investigation,15.0,0.0,False
10000448,115,2025-01-03,Contract,Resolved,21.0,0.0,False
10000449,661,2025-01-02,Service,Resolved,5.0,0.0,False
10000450,59,2025-01-25,Network,Resolved,8.0,86.79,False
10000451,674,2025-01-27,Contract,Open,,0.0,False
